Stored fact information:
Course(ID1) => Min Interval: 3, Max Interval: 45
Course(ID269) => Min Interval: 0, Max Interval: 37
Course(ID281) => Min Interval: 22, Max Interval: 48
Course(ID285) => Min Interval: 0, Max Interval: 48
Course(ID322) => Min Interval: 10, Max Interval: 44
Course(ID325) => Min Interval: 8, Max Interval: 45
Course(ID343) => Min Interval: 15, Max Interval: 47
Course(ID347) => Min Interval: 7, Max Interval: 40
Course(ID351) => Min Interval: 0, Max Interval: 41
Course(ID353) => Min Interval: 4, Max Interval: 49
Course(ID362) => Min Interval: 0, Max Interval: 49
Course(ID365) => Min Interval: 1, Max Interval: 50
Course(ID368) => Min Interval: 8, Max Interval: 49
Course(ID370) => Min Interval: 8, Max Interval: 40
Course(ID376) => Min Interval: 5, Max Interval: 47
Course(ID391) => Min Interval: 6, Max Interval: 46
Course(ID415) => Min Interval: 17, Max Interval: 48
Course(ID424) => Min Interval: 9, Max Interval: 38
Course(ID430) => Min Interval: 0, Max Interval: 49
Course(ID440) => Min Interval: 1, Max Interval: 45
Course(ID449) => Min Interval: 5, Max Interval: 50
Course(ID452) => Min Interval: 2, Max Interval: 39
Course(ID453) => Min Interval: 11, Max Interval: 49
Course(ID463) => Min Interval: 7, Max Interval: 49
Course(ID465) => Min Interval: 1, Max Interval: 48
Course(ID474) => Min Interval: 0, Max Interval: 37
Course(ID484) => Min Interval: 1, Max Interval: 38
Course(ID506) => Min Interval: 0, Max Interval: 48
Course(ID536) => Min Interval: 5, Max Interval: 45
Course(ID545) => Min Interval: 4, Max Interval: 45
Course(ID550) => Min Interval: 2, Max Interval: 46
Course(ID577) => Min Interval: 22, Max Interval: 47
Course(ID585) => Min Interval: 0, Max Interval: 50
Course(ID598) => Min Interval: 10, Max Interval: 44
Course(ID608) => Min Interval: 4, Max Interval: 45
Course(ID631) => Min Interval: 1, Max Interval: 27
Course(ID650) => Min Interval: 3, Max Interval: 43
Course(ID690) => Min Interval: 0, Max Interval: 45
Course(ID708) => Min Interval: 0, Max Interval: 49
Course(ID713) => Min Interval: 0, Max Interval: 49
Course(ID715) => Min Interval: 2, Max Interval: 50
Course(ID720) => Min Interval: 0, Max Interval: 49
Course(ID733) => Min Interval: 11, Max Interval: 36
Course(ID737) => Min Interval: 1, Max Interval: 47
Course(ID741) => Min Interval: 0, Max Interval: 49
Course(ID755) => Min Interval: 9, Max Interval: 48
Course(ID759) => Min Interval: 0, Max Interval: 38
Course(ID772) => Min Interval: 2, Max Interval: 49
Course(ID777) => Min Interval: 5, Max Interval: 49
Course(ID784) => Min Interval: 0, Max Interval: 49
Course(ID794) => Min Interval: 1, Max Interval: 49
Course(ID833) => Min Interval: 7, Max Interval: 46
Course(ID845) => Min Interval: 2, Max Interval: 46
Course(ID862) => Min Interval: 0, Max Interval: 48
Course(ID878) => Min Interval: 8, Max Interval: 48
Course(ID920) => Min Interval: 8, Max Interval: 48
Course(ID944) => Min Interval: 9, Max Interval: 38
Course(ID945) => Min Interval: 9, Max Interval: 43
Course(ID1012) => Min Interval: 9, Max Interval: 37
Course(ID1018) => Min Interval: 9, Max Interval: 47
Course(ID1095) => Min Interval: 7, Max Interval: 50
Course(ID1099) => Min Interval: 4, Max Interval: 48
Course(ID1125) => Min Interval: 6, Max Interval: 48
Course(ID1170) => Min Interval: 12, Max Interval: 46
Course(ID1299) => Min Interval: 8, Max Interval: 41
Course(ID1317) => Min Interval: 8, Max Interval: 39
Course(ID1320) => Min Interval: 6, Max Interval: 41
Course(ID1858) => Min Interval: 0, Max Interval: 45
Course(ID1863) => Min Interval: 3, Max Interval: 49
Course(ID1866) => Min Interval: 7, Max Interval: 45
Course(ID1872) => Min Interval: 5, Max Interval: 49
Course(ID1875) => Min Interval: 11, Max Interval: 47
Course(ID1877) => Min Interval: 1, Max Interval: 37
Course(ID1879) => Min Interval: 2, Max Interval: 42
Course(ID1882) => Min Interval: 1, Max Interval: 47
Course(ID1884) => Min Interval: 0, Max Interval: 48
Course(ID1895) => Min Interval: 5, Max Interval: 41
Course(ID1898) => Min Interval: 0, Max Interval: 47
Course(ID1906) => Min Interval: 0, Max Interval: 48
Course(ID1910) => Min Interval: 4, Max Interval: 38
Course(ID1915) => Min Interval: 1, Max Interval: 49
Course(ID1917) => Min Interval: 6, Max Interval: 42
Course(ID1919) => Min Interval: 10, Max Interval: 48
Course(ID1921) => Min Interval: 9, Max Interval: 49
Course(ID1924) => Min Interval: 3, Max Interval: 49
Course(ID1926) => Min Interval: 0, Max Interval: 49
Course(ID1932) => Min Interval: 4, Max Interval: 47
Course(ID1935) => Min Interval: 4, Max Interval: 48
Course(ID1951) => Min Interval: 3, Max Interval: 47
Course(ID1959) => Min Interval: 10, Max Interval: 48
Course(ID1961) => Min Interval: 10, Max Interval: 46
Course(ID1967) => Min Interval: 2, Max Interval: 49
Course(ID1969) => Min Interval: 0, Max Interval: 38
Course(ID1971) => Min Interval: 3, Max Interval: 42
Course(ID1972) => Min Interval: 1, Max Interval: 43
Course(ID1974) => Min Interval: 0, Max Interval: 38
Course(ID1987) => Min Interval: 0, Max Interval: 40
Course(ID2006) => Min Interval: 1, Max Interval: 43
Course(ID2007) => Min Interval: 3, Max Interval: 46
Course(ID2014) => Min Interval: 5, Max Interval: 49
Course(ID2023) => Min Interval: 14, Max Interval: 50
Course(ID2031) => Min Interval: 1, Max Interval: 43
Course(ID2062) => Min Interval: 0, Max Interval: 44
Course(ID2064) => Min Interval: 9, Max Interval: 50
Course(ID2071) => Min Interval: 2, Max Interval: 42
Course(ID2076) => Min Interval: 2, Max Interval: 48
Course(ID2077) => Min Interval: 7, Max Interval: 44
Course(ID2080) => Min Interval: 0, Max Interval: 43
Course(ID2100) => Min Interval: 2, Max Interval: 50
Course(ID2103) => Min Interval: 1, Max Interval: 46
Course(ID2104) => Min Interval: 3, Max Interval: 50
Course(ID2114) => Min Interval: 1, Max Interval: 47
Course(ID2117) => Min Interval: 9, Max Interval: 50
Course(ID2119) => Min Interval: 1, Max Interval: 41
Course(ID2127) => Min Interval: 0, Max Interval: 48
Course(ID2132) => Min Interval: 18, Max Interval: 50
Course(ID2140) => Min Interval: 15, Max Interval: 50
Course(ID2141) => Min Interval: 6, Max Interval: 49
Course(ID2142) => Min Interval: 13, Max Interval: 48
Course(ID2150) => Min Interval: 3, Max Interval: 49
Course(ID2152) => Min Interval: 0, Max Interval: 41
Course(ID2161) => Min Interval: 0, Max Interval: 38
Course(ID2170) => Min Interval: 5, Max Interval: 49
Course(ID2176) => Min Interval: 2, Max Interval: 46
Course(ID2179) => Min Interval: 11, Max Interval: 47
Course(ID2184) => Min Interval: 8, Max Interval: 36
Course(ID2191) => Min Interval: 11, Max Interval: 39
Course(ID2193) => Min Interval: 4, Max Interval: 45
Course(ID2202) => Min Interval: 0, Max Interval: 50
Course(ID2205) => Min Interval: 3, Max Interval: 37
Course(ID2208) => Min Interval: 14, Max Interval: 48
Course(ID2212) => Min Interval: 2, Max Interval: 41
Course(ID2222) => Min Interval: 0, Max Interval: 49
Course(ID2253) => Min Interval: 2, Max Interval: 49
Course(ID2256) => Min Interval: 2, Max Interval: 40
Course(ID2296) => Min Interval: 3, Max Interval: 47
Course(ID2299) => Min Interval: 0, Max Interval: 45
Course(ID2307) => Min Interval: 2, Max Interval: 48
Course(ID2311) => Min Interval: 5, Max Interval: 48
Course(ID2319) => Min Interval: 2, Max Interval: 28
Course(ID2328) => Min Interval: 0, Max Interval: 49
Course(ID2346) => Min Interval: 3, Max Interval: 50
Course(ID2357) => Min Interval: 9, Max Interval: 45
Course(ID2394) => Min Interval: 3, Max Interval: 49
Course(ID2401) => Min Interval: 4, Max Interval: 44
Course(ID2405) => Min Interval: 0, Max Interval: 43
Course(ID2448) => Min Interval: 2, Max Interval: 38
Course(ID2489) => Min Interval: 1, Max Interval: 48
Course(ID2491) => Min Interval: 1, Max Interval: 49
Course(ID2501) => Min Interval: 0, Max Interval: 45
Course(ID2519) => Min Interval: 0, Max Interval: 50
Course(ID2537) => Min Interval: 1, Max Interval: 49
Course(ID2583) => Min Interval: 22, Max Interval: 43
Course(ID2605) => Min Interval: 2, Max Interval: 25
Course(ID2612) => Min Interval: 6, Max Interval: 48
Course(ID2644) => Min Interval: 4, Max Interval: 44
Course(ID2692) => Min Interval: 13, Max Interval: 48
Course(ID2728) => Min Interval: 1, Max Interval: 39
Course(ID2836) => Min Interval: 13, Max Interval: 48
Course(ID2839) => Min Interval: 0, Max Interval: 50
Course(ID2842) => Min Interval: 7, Max Interval: 50
Course(ID2867) => Min Interval: 0, Max Interval: 50
Course(ID2870) => Min Interval: 5, Max Interval: 44
Course(ID2874) => Min Interval: 13, Max Interval: 47
Course(ID2876) => Min Interval: 1, Max Interval: 48
Course(ID2880) => Min Interval: 1, Max Interval: 50
Course(ID2883) => Min Interval: 3, Max Interval: 47
Course(ID2885) => Min Interval: 1, Max Interval: 42
Course(ID2888) => Min Interval: 5, Max Interval: 47
Course(ID2890) => Min Interval: 17, Max Interval: 49
Course(ID2892) => Min Interval: 1, Max Interval: 50
Course(ID2900) => Min Interval: 2, Max Interval: 35
Course(ID2904) => Min Interval: 4, Max Interval: 49
Course(ID2906) => Min Interval: 1, Max Interval: 50
Course(ID2914) => Min Interval: 7, Max Interval: 48
Course(ID2920) => Min Interval: 17, Max Interval: 44
Course(ID2927) => Min Interval: 1, Max Interval: 50
Course(ID2932) => Min Interval: 9, Max Interval: 50
Course(ID2938) => Min Interval: 2, Max Interval: 48
Course(ID2940) => Min Interval: 5, Max Interval: 41
Course(ID2948) => Min Interval: 5, Max Interval: 42
Course(ID2953) => Min Interval: 3, Max Interval: 48
Course(ID2955) => Min Interval: 0, Max Interval: 47
Course(ID2961) => Min Interval: 11, Max Interval: 48
Course(ID2965) => Min Interval: 2, Max Interval: 48
Course(ID2969) => Min Interval: 3, Max Interval: 42
Course(ID2978) => Min Interval: 0, Max Interval: 41
Course(ID2982) => Min Interval: 2, Max Interval: 47
Course(ID2984) => Min Interval: 1, Max Interval: 49
Course(ID2988) => Min Interval: 1, Max Interval: 39
Course(ID2998) => Min Interval: 5, Max Interval: 36
Course(ID3003) => Min Interval: 13, Max Interval: 49
Course(ID3013) => Min Interval: 3, Max Interval: 44
Course(ID3016) => Min Interval: 0, Max Interval: 39
Course(ID3022) => Min Interval: 3, Max Interval: 32
Course(ID3023) => Min Interval: 3, Max Interval: 49
Course(ID3031) => Min Interval: 3, Max Interval: 48
Course(ID3036) => Min Interval: 4, Max Interval: 50
Course(ID3039) => Min Interval: 3, Max Interval: 29
Course(ID3066) => Min Interval: 1, Max Interval: 50
Course(ID3073) => Min Interval: 6, Max Interval: 44
Course(ID3074) => Min Interval: 6, Max Interval: 37
Course(ID3079) => Min Interval: 2, Max Interval: 44
Course(ID3091) => Min Interval: 10, Max Interval: 41
Course(ID3092) => Min Interval: 7, Max Interval: 46
Course(ID3102) => Min Interval: 2, Max Interval: 48
Course(ID3104) => Min Interval: 2, Max Interval: 48
Course(ID3113) => Min Interval: 5, Max Interval: 43
Course(ID3135) => Min Interval: 2, Max Interval: 48
Course(ID3137) => Min Interval: 0, Max Interval: 41
Course(ID3146) => Min Interval: 5, Max Interval: 48
Course(ID3148) => Min Interval: 3, Max Interval: 48
Course(ID3155) => Min Interval: 3, Max Interval: 40
Course(ID3158) => Min Interval: 8, Max Interval: 48
Course(ID3169) => Min Interval: 1, Max Interval: 47
Course(ID3172) => Min Interval: 4, Max Interval: 50
Course(ID3174) => Min Interval: 0, Max Interval: 48
Course(ID3175) => Min Interval: 7, Max Interval: 49
Course(ID3181) => Min Interval: 10, Max Interval: 47
Course(ID3182) => Min Interval: 2, Max Interval: 49
Course(ID3188) => Min Interval: 2, Max Interval: 39
Course(ID3192) => Min Interval: 4, Max Interval: 50
Course(ID3210) => Min Interval: 0, Max Interval: 48
Course(ID3237) => Min Interval: 0, Max Interval: 46
Course(ID3240) => Min Interval: 4, Max Interval: 47
Course(ID3257) => Min Interval: 0, Max Interval: 49
Course(ID3261) => Min Interval: 9, Max Interval: 39
Course(ID3274) => Min Interval: 1, Max Interval: 45
Course(ID3279) => Min Interval: 2, Max Interval: 38
Course(ID3304) => Min Interval: 16, Max Interval: 50
Course(ID3313) => Min Interval: 18, Max Interval: 37
Course(ID3327) => Min Interval: 11, Max Interval: 38
Course(ID3333) => Min Interval: 3, Max Interval: 44
Course(ID3335) => Min Interval: 2, Max Interval: 49
Course(ID3336) => Min Interval: 0, Max Interval: 33
Course(ID3349) => Min Interval: 15, Max Interval: 48
Course(ID3364) => Min Interval: 3, Max Interval: 49
Course(ID3371) => Min Interval: 2, Max Interval: 47
Course(ID3374) => Min Interval: 1, Max Interval: 41
Course(ID3389) => Min Interval: 7, Max Interval: 46
Course(ID3397) => Min Interval: 1, Max Interval: 47
Course(ID3426) => Min Interval: 1, Max Interval: 43
Course(ID3427) => Min Interval: 2, Max Interval: 49
Course(ID3442) => Min Interval: 2, Max Interval: 43
Course(ID3445) => Min Interval: 6, Max Interval: 50
Course(ID3461) => Min Interval: 0, Max Interval: 35
Course(ID3519) => Min Interval: 5, Max Interval: 50
Course(ID3525) => Min Interval: 0, Max Interval: 42
Course(ID3570) => Min Interval: 4, Max Interval: 50
Course(ID3572) => Min Interval: 1, Max Interval: 41
Course(ID3592) => Min Interval: 7, Max Interval: 38
Course(ID3593) => Min Interval: 0, Max Interval: 48
Course(ID3599) => Min Interval: 6, Max Interval: 49
Course(ID3624) => Min Interval: 2, Max Interval: 47
Course(ID3633) => Min Interval: 6, Max Interval: 48
Course(ID3859) => Min Interval: 2, Max Interval: 40
Course(ID3870) => Min Interval: 1, Max Interval: 47
Course(ID3872) => Min Interval: 17, Max Interval: 49
Course(ID3874) => Min Interval: 7, Max Interval: 38
Course(ID3882) => Min Interval: 0, Max Interval: 45
Course(ID3886) => Min Interval: 11, Max Interval: 49
Course(ID3890) => Min Interval: 14, Max Interval: 45
Course(ID3896) => Min Interval: 8, Max Interval: 41
Course(ID3899) => Min Interval: 1, Max Interval: 46
Course(ID3905) => Min Interval: 1, Max Interval: 36
Course(ID3907) => Min Interval: 4, Max Interval: 50
Course(ID3912) => Min Interval: 4, Max Interval: 46
Course(ID3923) => Min Interval: 2, Max Interval: 46
Course(ID3925) => Min Interval: 5, Max Interval: 50
Course(ID3937) => Min Interval: 0, Max Interval: 48
Course(ID3944) => Min Interval: 1, Max Interval: 49
Course(ID3947) => Min Interval: 1, Max Interval: 38
Course(ID3953) => Min Interval: 4, Max Interval: 44
Course(ID3956) => Min Interval: 2, Max Interval: 42
Course(ID3957) => Min Interval: 8, Max Interval: 41
Course(ID3968) => Min Interval: 0, Max Interval: 47
Course(ID3970) => Min Interval: 9, Max Interval: 45
Course(ID3977) => Min Interval: 3, Max Interval: 45
Course(ID3981) => Min Interval: 0, Max Interval: 42
Course(ID3984) => Min Interval: 2, Max Interval: 49
Course(ID3998) => Min Interval: 15, Max Interval: 47
Course(ID4003) => Min Interval: 1, Max Interval: 50
Course(ID4009) => Min Interval: 8, Max Interval: 40
Course(ID4012) => Min Interval: 17, Max Interval: 45
Course(ID4016) => Min Interval: 1, Max Interval: 42
Course(ID4033) => Min Interval: 4, Max Interval: 50
Course(ID4042) => Min Interval: 2, Max Interval: 46
Course(ID4046) => Min Interval: 5, Max Interval: 43
Course(ID4052) => Min Interval: 5, Max Interval: 35
Course(ID4062) => Min Interval: 3, Max Interval: 48
Course(ID4063) => Min Interval: 2, Max Interval: 46
Course(ID4064) => Min Interval: 3, Max Interval: 49
Course(ID4069) => Min Interval: 2, Max Interval: 43
Course(ID4084) => Min Interval: 3, Max Interval: 45
Course(ID4085) => Min Interval: 0, Max Interval: 49
Course(ID4090) => Min Interval: 2, Max Interval: 49
Course(ID4101) => Min Interval: 0, Max Interval: 45
Course(ID4109) => Min Interval: 8, Max Interval: 49
Course(ID4115) => Min Interval: 8, Max Interval: 50
Course(ID4126) => Min Interval: 4, Max Interval: 45
Course(ID4130) => Min Interval: 3, Max Interval: 49
Course(ID4135) => Min Interval: 5, Max Interval: 50
Course(ID4164) => Min Interval: 12, Max Interval: 41
Course(ID4179) => Min Interval: 5, Max Interval: 45
Course(ID4182) => Min Interval: 4, Max Interval: 45
Course(ID4196) => Min Interval: 7, Max Interval: 44
Course(ID4201) => Min Interval: 0, Max Interval: 47
Course(ID4202) => Min Interval: 4, Max Interval: 46
Course(ID4207) => Min Interval: 2, Max Interval: 47
Course(ID4211) => Min Interval: 4, Max Interval: 41
Course(ID4219) => Min Interval: 1, Max Interval: 43
Course(ID4220) => Min Interval: 0, Max Interval: 46
Course(ID4222) => Min Interval: 2, Max Interval: 33
Course(ID4240) => Min Interval: 6, Max Interval: 45
Course(ID4251) => Min Interval: 0, Max Interval: 44
Course(ID4276) => Min Interval: 9, Max Interval: 46
Course(ID4277) => Min Interval: 0, Max Interval: 40
Course(ID4296) => Min Interval: 4, Max Interval: 46
Course(ID4298) => Min Interval: 2, Max Interval: 47
Course(ID4299) => Min Interval: 1, Max Interval: 50
Course(ID4324) => Min Interval: 5, Max Interval: 49
Course(ID4332) => Min Interval: 13, Max Interval: 48
Course(ID4334) => Min Interval: 11, Max Interval: 43
Course(ID4350) => Min Interval: 3, Max Interval: 44
Course(ID4351) => Min Interval: 7, Max Interval: 48
Course(ID4355) => Min Interval: 0, Max Interval: 45
Course(ID4363) => Min Interval: 1, Max Interval: 48
Course(ID4368) => Min Interval: 2, Max Interval: 36
Course(ID4371) => Min Interval: 5, Max Interval: 45
Course(ID4376) => Min Interval: 3, Max Interval: 50
Course(ID4384) => Min Interval: 7, Max Interval: 37
Course(ID4390) => Min Interval: 4, Max Interval: 44
Course(ID4394) => Min Interval: 2, Max Interval: 25
Course(ID4398) => Min Interval: 22, Max Interval: 48
Course(ID4403) => Min Interval: 0, Max Interval: 50
Course(ID4405) => Min Interval: 1, Max Interval: 49
Course(ID4411) => Min Interval: 2, Max Interval: 45
Course(ID4420) => Min Interval: 2, Max Interval: 46
Course(ID4425) => Min Interval: 2, Max Interval: 48
Course(ID4427) => Min Interval: 0, Max Interval: 50
Course(ID4432) => Min Interval: 13, Max Interval: 49
Course(ID4439) => Min Interval: 8, Max Interval: 50
Course(ID4442) => Min Interval: 4, Max Interval: 38
Course(ID4444) => Min Interval: 0, Max Interval: 41
Course(ID4458) => Min Interval: 1, Max Interval: 50
Course(ID4470) => Min Interval: 3, Max Interval: 47
Course(ID4530) => Min Interval: 9, Max Interval: 50
Course(ID4564) => Min Interval: 17, Max Interval: 39
Course(ID4621) => Min Interval: 4, Max Interval: 49
Course(ID4653) => Min Interval: 0, Max Interval: 31
Course(ID4655) => Min Interval: 12, Max Interval: 47
Course(ID4696) => Min Interval: 1, Max Interval: 47
Course(ID4697) => Min Interval: 0, Max Interval: 49
Course(ID4714) => Min Interval: 3, Max Interval: 50
Course(ID4716) => Min Interval: 15, Max Interval: 45
Course(ID4722) => Min Interval: 1, Max Interval: 46
Course(ID4734) => Min Interval: 4, Max Interval: 45
Course(ID4818) => Min Interval: 3, Max Interval: 50
Course(ID4825) => Min Interval: 1, Max Interval: 45
Course(ID4887) => Min Interval: 1, Max Interval: 42
Course(ID4893) => Min Interval: 4, Max Interval: 38
Course(ID4896) => Min Interval: 6, Max Interval: 40
Course(ID4914) => Min Interval: 1, Max Interval: 50
Course(ID4916) => Min Interval: 0, Max Interval: 40
Course(ID4919) => Min Interval: 0, Max Interval: 34
Course(ID4924) => Min Interval: 7, Max Interval: 40
Course(ID4926) => Min Interval: 8, Max Interval: 39
Course(ID4928) => Min Interval: 6, Max Interval: 43
Course(ID4932) => Min Interval: 5, Max Interval: 46
Course(ID4934) => Min Interval: 1, Max Interval: 45
Course(ID4938) => Min Interval: 1, Max Interval: 50
Course(ID4941) => Min Interval: 3, Max Interval: 47
Course(ID4957) => Min Interval: 6, Max Interval: 47
Course(ID4959) => Min Interval: 3, Max Interval: 40
Course(ID4961) => Min Interval: 6, Max Interval: 47
Course(ID4963) => Min Interval: 2, Max Interval: 43
Course(ID4967) => Min Interval: 9, Max Interval: 50
Course(ID4970) => Min Interval: 12, Max Interval: 45
Course(ID4972) => Min Interval: 1, Max Interval: 49
Course(ID4975) => Min Interval: 0, Max Interval: 48
Course(ID4978) => Min Interval: 16, Max Interval: 48
Course(ID4992) => Min Interval: 3, Max Interval: 50
Course(ID4996) => Min Interval: 2, Max Interval: 50
Course(ID4998) => Min Interval: 17, Max Interval: 46
Course(ID5002) => Min Interval: 5, Max Interval: 42
Course(ID5005) => Min Interval: 2, Max Interval: 49
Course(ID5007) => Min Interval: 0, Max Interval: 41
Course(ID5016) => Min Interval: 5, Max Interval: 45
Course(ID5028) => Min Interval: 4, Max Interval: 50
Course(ID5030) => Min Interval: 0, Max Interval: 47
Course(ID5037) => Min Interval: 11, Max Interval: 47
Course(ID5046) => Min Interval: 0, Max Interval: 48
Course(ID5049) => Min Interval: 1, Max Interval: 38
Course(ID5056) => Min Interval: 5, Max Interval: 50
Course(ID5059) => Min Interval: 4, Max Interval: 42
Course(ID5062) => Min Interval: 0, Max Interval: 45
Course(ID5069) => Min Interval: 2, Max Interval: 49
Course(ID5088) => Min Interval: 1, Max Interval: 47
Course(ID5118) => Min Interval: 0, Max Interval: 45
Course(ID5138) => Min Interval: 1, Max Interval: 43
Course(ID5141) => Min Interval: 7, Max Interval: 32
Course(ID5142) => Min Interval: 21, Max Interval: 46
Course(ID5166) => Min Interval: 7, Max Interval: 45
Course(ID5168) => Min Interval: 8, Max Interval: 49
Course(ID5175) => Min Interval: 0, Max Interval: 39
Course(ID5176) => Min Interval: 4, Max Interval: 49
Course(ID5190) => Min Interval: 7, Max Interval: 38
Course(ID5215) => Min Interval: 1, Max Interval: 45
Course(ID5218) => Min Interval: 4, Max Interval: 48
Course(ID5222) => Min Interval: 1, Max Interval: 48
Course(ID5226) => Min Interval: 4, Max Interval: 47
Course(ID5248) => Min Interval: 0, Max Interval: 50
Course(ID5251) => Min Interval: 14, Max Interval: 46
Course(ID5257) => Min Interval: 16, Max Interval: 47
Course(ID5275) => Min Interval: 1, Max Interval: 47
Course(ID5296) => Min Interval: 2, Max Interval: 43
Course(ID5300) => Min Interval: 6, Max Interval: 45
Course(ID5304) => Min Interval: 15, Max Interval: 50
Course(ID5306) => Min Interval: 0, Max Interval: 44
Course(ID5312) => Min Interval: 9, Max Interval: 46
Course(ID5313) => Min Interval: 0, Max Interval: 49
Course(ID5335) => Min Interval: 5, Max Interval: 47
Course(ID5338) => Min Interval: 2, Max Interval: 42
Course(ID5360) => Min Interval: 3, Max Interval: 49
Course(ID5362) => Min Interval: 1, Max Interval: 46
Course(ID5368) => Min Interval: 0, Max Interval: 48
Course(ID5372) => Min Interval: 5, Max Interval: 50
Course(ID5380) => Min Interval: 0, Max Interval: 44
Course(ID5386) => Min Interval: 10, Max Interval: 46
Course(ID5399) => Min Interval: 0, Max Interval: 50
Course(ID5403) => Min Interval: 10, Max Interval: 47
Course(ID5404) => Min Interval: 3, Max Interval: 45
Course(ID5405) => Min Interval: 2, Max Interval: 45
Course(ID5410) => Min Interval: 1, Max Interval: 48
Course(ID5419) => Min Interval: 3, Max Interval: 46
Course(ID5426) => Min Interval: 3, Max Interval: 50
Course(ID5427) => Min Interval: 0, Max Interval: 50
Course(ID5453) => Min Interval: 4, Max Interval: 39
Course(ID5459) => Min Interval: 6, Max Interval: 30
Course(ID5469) => Min Interval: 0, Max Interval: 40
Course(ID5479) => Min Interval: 2, Max Interval: 38
Course(ID5506) => Min Interval: 2, Max Interval: 33
Course(ID5514) => Min Interval: 7, Max Interval: 48
Course(ID5542) => Min Interval: 0, Max Interval: 41
Course(ID5545) => Min Interval: 10, Max Interval: 50
Course(ID5566) => Min Interval: 6, Max Interval: 40
Course(ID5584) => Min Interval: 1, Max Interval: 46
Course(ID5600) => Min Interval: 1, Max Interval: 47
Course(ID5701) => Min Interval: 0, Max Interval: 34
Course(ID5758) => Min Interval: 2, Max Interval: 41
Course(ID5759) => Min Interval: 4, Max Interval: 49
Course(ID5783) => Min Interval: 6, Max Interval: 48
Course(ID5797) => Min Interval: 1, Max Interval: 45
Course(ID5842) => Min Interval: 3, Max Interval: 49
Course(ID5878) => Min Interval: 1, Max Interval: 44
Course(ID5897) => Min Interval: 23, Max Interval: 46
Course(ID5930) => Min Interval: 11, Max Interval: 45
Course(ID5960) => Min Interval: 2, Max Interval: 44
Course(ID5965) => Min Interval: 4, Max Interval: 43
Course(ID5970) => Min Interval: 5, Max Interval: 45
Course(ID6000) => Min Interval: 3, Max Interval: 47
Course(ID6029) => Min Interval: 9, Max Interval: 50
Course(ID6033) => Min Interval: 16, Max Interval: 47
Course(ID6039) => Min Interval: 1, Max Interval: 48
Course(ID6050) => Min Interval: 1, Max Interval: 42
Course(ID6116) => Min Interval: 0, Max Interval: 48
Course(ID6238) => Min Interval: 2, Max Interval: 32
Course(ID6240) => Min Interval: 6, Max Interval: 49
Course(ID6243) => Min Interval: 4, Max Interval: 31
Course(ID6245) => Min Interval: 2, Max Interval: 29
Course(ID6247) => Min Interval: 0, Max Interval: 39
Course(ID6252) => Min Interval: 4, Max Interval: 48
Course(ID6260) => Min Interval: 3, Max Interval: 47
Course(ID6264) => Min Interval: 4, Max Interval: 47
Course(ID6273) => Min Interval: 9, Max Interval: 46
Course(ID6281) => Min Interval: 0, Max Interval: 50
