Stored fact information:
LecturerCandidate(ID0) => Min Interval: 31, Max Interval: 40
LecturerCandidate(ID174) => Min Interval: 24, Max Interval: 27
LecturerCandidate(ID177) => Min Interval: 3, Max Interval: 46
LecturerCandidate(ID182) => Min Interval: 12, Max Interval: 24
LecturerCandidate(ID187) => Min Interval: 9, Max Interval: 38
LecturerCandidate(ID190) => Min Interval: 18, Max Interval: 27
LecturerCandidate(ID193) => Min Interval: 30, Max Interval: 43
LecturerCandidate(ID194) => Min Interval: 18, Max Interval: 44
LecturerCandidate(ID196) => Min Interval: 10, Max Interval: 49
LecturerCandidate(ID198) => Min Interval: 8, Max Interval: 50
LecturerCandidate(ID203) => Min Interval: 2, Max Interval: 52
LecturerCandidate(ID207) => Min Interval: 15, Max Interval: 47
LecturerCandidate(ID209) => Min Interval: 16, Max Interval: 36
LecturerCandidate(ID211) => Min Interval: 20, Max Interval: 33
LecturerCandidate(ID218) => Min Interval: 35, Max Interval: 39
LecturerCandidate(ID219) => Min Interval: 8, Max Interval: 25
LecturerCandidate(ID222) => Min Interval: 36, Max Interval: 40
LecturerCandidate(ID224) => Min Interval: 30, Max Interval: 41
LecturerCandidate(ID228) => Min Interval: 11, Max Interval: 41
LecturerCandidate(ID229) => Min Interval: 11, Max Interval: 42
LecturerCandidate(ID232) => Min Interval: 27, Max Interval: 44
LecturerCandidate(ID233) => Min Interval: 35, Max Interval: 42
LecturerCandidate(ID237) => Min Interval: 3, Max Interval: 50
LecturerCandidate(ID242) => Min Interval: 15, Max Interval: 49
LecturerCandidate(ID245) => Min Interval: 6, Max Interval: 48
LecturerCandidate(ID247) => Min Interval: 42, Max Interval: 46
LecturerCandidate(ID249) => Min Interval: 5, Max Interval: 39
LecturerCandidate(ID251) => Min Interval: 15, Max Interval: 43
LecturerCandidate(ID253) => Min Interval: 21, Max Interval: 32
LecturerCandidate(ID254) => Min Interval: 28, Max Interval: 31
LecturerCandidate(ID259) => Min Interval: 22, Max Interval: 48
LecturerCandidate(ID261) => Min Interval: 4, Max Interval: 41
LecturerCandidate(ID267) => Min Interval: 13, Max Interval: 48
LecturerCandidate(ID271) => Min Interval: 15, Max Interval: 41
LecturerCandidate(ID275) => Min Interval: 4, Max Interval: 46
LecturerCandidate(ID276) => Min Interval: 36, Max Interval: 48
LecturerCandidate(ID277) => Min Interval: 30, Max Interval: 50
LecturerCandidate(ID280) => Min Interval: 26, Max Interval: 50
LecturerCandidate(ID282) => Min Interval: 19, Max Interval: 37
LecturerCandidate(ID288) => Min Interval: 23, Max Interval: 44
LecturerCandidate(ID289) => Min Interval: 8, Max Interval: 29
LecturerCandidate(ID292) => Min Interval: 13, Max Interval: 50
LecturerCandidate(ID294) => Min Interval: 46, Max Interval: 50
LecturerCandidate(ID295) => Min Interval: 29, Max Interval: 48
LecturerCandidate(ID296) => Min Interval: 19, Max Interval: 32
LecturerCandidate(ID298) => Min Interval: 16, Max Interval: 48
LecturerCandidate(ID299) => Min Interval: 26, Max Interval: 31
LecturerCandidate(ID301) => Min Interval: 15, Max Interval: 44
LecturerCandidate(ID303) => Min Interval: 16, Max Interval: 50
LecturerCandidate(ID306) => Min Interval: 27, Max Interval: 48
LecturerCandidate(ID312) => Min Interval: 12, Max Interval: 29
LecturerCandidate(ID315) => Min Interval: 10, Max Interval: 32
LecturerCandidate(ID321) => Min Interval: 22, Max Interval: 42
LecturerCandidate(ID327) => Min Interval: 41, Max Interval: 41
LecturerCandidate(ID333) => Min Interval: 29, Max Interval: 46
LecturerCandidate(ID334) => Min Interval: 15, Max Interval: 44
LecturerCandidate(ID341) => Min Interval: 7, Max Interval: 47
LecturerCandidate(ID346) => Min Interval: 9, Max Interval: 47
LecturerCandidate(ID348) => Min Interval: 6, Max Interval: 45
LecturerCandidate(ID349) => Min Interval: 4, Max Interval: 34
LecturerCandidate(ID350) => Min Interval: 9, Max Interval: 34
LecturerCandidate(ID352) => Min Interval: 10, Max Interval: 34
LecturerCandidate(ID355) => Min Interval: 48, Max Interval: 50
LecturerCandidate(ID359) => Min Interval: 21, Max Interval: 45
LecturerCandidate(ID364) => Min Interval: 22, Max Interval: 28
LecturerCandidate(ID367) => Min Interval: 15, Max Interval: 19
LecturerCandidate(ID369) => Min Interval: 8, Max Interval: 38
LecturerCandidate(ID373) => Min Interval: 33, Max Interval: 44
LecturerCandidate(ID375) => Min Interval: 17, Max Interval: 49
LecturerCandidate(ID377) => Min Interval: 13, Max Interval: 47
LecturerCandidate(ID382) => Min Interval: 25, Max Interval: 42
LecturerCandidate(ID387) => Min Interval: 6, Max Interval: 35
LecturerCandidate(ID389) => Min Interval: 26, Max Interval: 34
LecturerCandidate(ID390) => Min Interval: 7, Max Interval: 44
LecturerCandidate(ID393) => Min Interval: 1, Max Interval: 26
LecturerCandidate(ID395) => Min Interval: 28, Max Interval: 50
LecturerCandidate(ID396) => Min Interval: 23, Max Interval: 48
LecturerCandidate(ID398) => Min Interval: 10, Max Interval: 50
LecturerCandidate(ID401) => Min Interval: 17, Max Interval: 49
LecturerCandidate(ID402) => Min Interval: 18, Max Interval: 52
LecturerCandidate(ID404) => Min Interval: 28, Max Interval: 38
LecturerCandidate(ID407) => Min Interval: 26, Max Interval: 50
LecturerCandidate(ID410) => Min Interval: 2, Max Interval: 48
LecturerCandidate(ID411) => Min Interval: 5, Max Interval: 49
LecturerCandidate(ID414) => Min Interval: 24, Max Interval: 43
LecturerCandidate(ID418) => Min Interval: 13, Max Interval: 42
LecturerCandidate(ID419) => Min Interval: 11, Max Interval: 37
LecturerCandidate(ID422) => Min Interval: 19, Max Interval: 51
LecturerCandidate(ID428) => Min Interval: 9, Max Interval: 52
LecturerCandidate(ID434) => Min Interval: 5, Max Interval: 44
LecturerCandidate(ID436) => Min Interval: 11, Max Interval: 46
LecturerCandidate(ID437) => Min Interval: 6, Max Interval: 46
LecturerCandidate(ID439) => Min Interval: 16, Max Interval: 30
LecturerCandidate(ID441) => Min Interval: 15, Max Interval: 36
LecturerCandidate(ID446) => Min Interval: 15, Max Interval: 42
LecturerCandidate(ID447) => Min Interval: 15, Max Interval: 50
LecturerCandidate(ID448) => Min Interval: 14, Max Interval: 18
LecturerCandidate(ID450) => Min Interval: 15, Max Interval: 47
LecturerCandidate(ID455) => Min Interval: 19, Max Interval: 37
LecturerCandidate(ID456) => Min Interval: 11, Max Interval: 29
LecturerCandidate(ID458) => Min Interval: 5, Max Interval: 43
LecturerCandidate(ID459) => Min Interval: 39, Max Interval: 48
LecturerCandidate(ID461) => Min Interval: 17, Max Interval: 30
LecturerCandidate(ID462) => Min Interval: 24, Max Interval: 45
LecturerCandidate(ID466) => Min Interval: 5, Max Interval: 46
LecturerCandidate(ID468) => Min Interval: 35, Max Interval: 46
LecturerCandidate(ID469) => Min Interval: 22, Max Interval: 34
LecturerCandidate(ID470) => Min Interval: 33, Max Interval: 48
LecturerCandidate(ID471) => Min Interval: 12, Max Interval: 13
LecturerCandidate(ID473) => Min Interval: 3, Max Interval: 49
LecturerCandidate(ID478) => Min Interval: 8, Max Interval: 43
LecturerCandidate(ID479) => Min Interval: 27, Max Interval: 49
LecturerCandidate(ID490) => Min Interval: 11, Max Interval: 50
LecturerCandidate(ID491) => Min Interval: 10, Max Interval: 36
LecturerCandidate(ID502) => Min Interval: 9, Max Interval: 29
LecturerCandidate(ID504) => Min Interval: 11, Max Interval: 48
LecturerCandidate(ID509) => Min Interval: 6, Max Interval: 48
LecturerCandidate(ID511) => Min Interval: 15, Max Interval: 50
LecturerCandidate(ID512) => Min Interval: 12, Max Interval: 52
LecturerCandidate(ID513) => Min Interval: 45, Max Interval: 50
LecturerCandidate(ID515) => Min Interval: 19, Max Interval: 49
LecturerCandidate(ID516) => Min Interval: 13, Max Interval: 44
LecturerCandidate(ID519) => Min Interval: 12, Max Interval: 31
LecturerCandidate(ID520) => Min Interval: 6, Max Interval: 45
LecturerCandidate(ID521) => Min Interval: 21, Max Interval: 42
LecturerCandidate(ID523) => Min Interval: 17, Max Interval: 49
LecturerCandidate(ID524) => Min Interval: 18, Max Interval: 44
LecturerCandidate(ID527) => Min Interval: 15, Max Interval: 41
LecturerCandidate(ID531) => Min Interval: 26, Max Interval: 48
LecturerCandidate(ID534) => Min Interval: 31, Max Interval: 35
LecturerCandidate(ID537) => Min Interval: 15, Max Interval: 35
LecturerCandidate(ID538) => Min Interval: 46, Max Interval: 46
LecturerCandidate(ID539) => Min Interval: 8, Max Interval: 37
LecturerCandidate(ID541) => Min Interval: 14, Max Interval: 44
LecturerCandidate(ID544) => Min Interval: 13, Max Interval: 30
LecturerCandidate(ID549) => Min Interval: 39, Max Interval: 45
LecturerCandidate(ID552) => Min Interval: 18, Max Interval: 50
LecturerCandidate(ID553) => Min Interval: 14, Max Interval: 20
LecturerCandidate(ID557) => Min Interval: 32, Max Interval: 49
LecturerCandidate(ID559) => Min Interval: 6, Max Interval: 52
LecturerCandidate(ID562) => Min Interval: 11, Max Interval: 48
LecturerCandidate(ID566) => Min Interval: 10, Max Interval: 28
LecturerCandidate(ID567) => Min Interval: 10, Max Interval: 44
LecturerCandidate(ID569) => Min Interval: 9, Max Interval: 37
LecturerCandidate(ID570) => Min Interval: 20, Max Interval: 48
LecturerCandidate(ID574) => Min Interval: 3, Max Interval: 49
LecturerCandidate(ID578) => Min Interval: 16, Max Interval: 30
LecturerCandidate(ID579) => Min Interval: 15, Max Interval: 42
LecturerCandidate(ID580) => Min Interval: 10, Max Interval: 48
LecturerCandidate(ID583) => Min Interval: 33, Max Interval: 50
LecturerCandidate(ID584) => Min Interval: 22, Max Interval: 49
LecturerCandidate(ID587) => Min Interval: 9, Max Interval: 27
LecturerCandidate(ID589) => Min Interval: 35, Max Interval: 43
LecturerCandidate(ID590) => Min Interval: 4, Max Interval: 43
LecturerCandidate(ID593) => Min Interval: 11, Max Interval: 19
LecturerCandidate(ID597) => Min Interval: 11, Max Interval: 28
LecturerCandidate(ID599) => Min Interval: 24, Max Interval: 33
LecturerCandidate(ID600) => Min Interval: 9, Max Interval: 43
LecturerCandidate(ID607) => Min Interval: 21, Max Interval: 45
LecturerCandidate(ID610) => Min Interval: 14, Max Interval: 22
LecturerCandidate(ID611) => Min Interval: 10, Max Interval: 20
LecturerCandidate(ID612) => Min Interval: 27, Max Interval: 47
LecturerCandidate(ID614) => Min Interval: 19, Max Interval: 33
LecturerCandidate(ID615) => Min Interval: 20, Max Interval: 31
LecturerCandidate(ID616) => Min Interval: 9, Max Interval: 17
LecturerCandidate(ID617) => Min Interval: 14, Max Interval: 31
LecturerCandidate(ID619) => Min Interval: 2, Max Interval: 48
LecturerCandidate(ID620) => Min Interval: 13, Max Interval: 39
LecturerCandidate(ID626) => Min Interval: 18, Max Interval: 39
LecturerCandidate(ID628) => Min Interval: 33, Max Interval: 45
LecturerCandidate(ID629) => Min Interval: 17, Max Interval: 49
LecturerCandidate(ID633) => Min Interval: 29, Max Interval: 33
LecturerCandidate(ID634) => Min Interval: 29, Max Interval: 48
LecturerCandidate(ID635) => Min Interval: 29, Max Interval: 49
LecturerCandidate(ID643) => Min Interval: 12, Max Interval: 42
LecturerCandidate(ID645) => Min Interval: 21, Max Interval: 41
LecturerCandidate(ID648) => Min Interval: 13, Max Interval: 32
LecturerCandidate(ID649) => Min Interval: 15, Max Interval: 38
LecturerCandidate(ID652) => Min Interval: 11, Max Interval: 28
LecturerCandidate(ID655) => Min Interval: 24, Max Interval: 50
LecturerCandidate(ID658) => Min Interval: 9, Max Interval: 49
LecturerCandidate(ID659) => Min Interval: 14, Max Interval: 38
LecturerCandidate(ID661) => Min Interval: 25, Max Interval: 30
LecturerCandidate(ID664) => Min Interval: 37, Max Interval: 40
LecturerCandidate(ID665) => Min Interval: 19, Max Interval: 40
LecturerCandidate(ID666) => Min Interval: 21, Max Interval: 49
LecturerCandidate(ID671) => Min Interval: 16, Max Interval: 44
LecturerCandidate(ID676) => Min Interval: 11, Max Interval: 43
LecturerCandidate(ID679) => Min Interval: 25, Max Interval: 34
LecturerCandidate(ID684) => Min Interval: 6, Max Interval: 51
LecturerCandidate(ID686) => Min Interval: 12, Max Interval: 48
LecturerCandidate(ID697) => Min Interval: 10, Max Interval: 40
LecturerCandidate(ID703) => Min Interval: 11, Max Interval: 19
LecturerCandidate(ID704) => Min Interval: 27, Max Interval: 46
LecturerCandidate(ID705) => Min Interval: 15, Max Interval: 16
LecturerCandidate(ID711) => Min Interval: 4, Max Interval: 48
LecturerCandidate(ID717) => Min Interval: 13, Max Interval: 52
LecturerCandidate(ID725) => Min Interval: 24, Max Interval: 27
LecturerCandidate(ID727) => Min Interval: 23, Max Interval: 46
LecturerCandidate(ID729) => Min Interval: 7, Max Interval: 48
LecturerCandidate(ID734) => Min Interval: 7, Max Interval: 45
LecturerCandidate(ID740) => Min Interval: 9, Max Interval: 40
LecturerCandidate(ID742) => Min Interval: 26, Max Interval: 39
LecturerCandidate(ID745) => Min Interval: 29, Max Interval: 39
LecturerCandidate(ID749) => Min Interval: 24, Max Interval: 32
LecturerCandidate(ID751) => Min Interval: 34, Max Interval: 38
LecturerCandidate(ID753) => Min Interval: 20, Max Interval: 43
LecturerCandidate(ID754) => Min Interval: 9, Max Interval: 36
LecturerCandidate(ID762) => Min Interval: 34, Max Interval: 41
LecturerCandidate(ID764) => Min Interval: 24, Max Interval: 50
LecturerCandidate(ID765) => Min Interval: 10, Max Interval: 30
LecturerCandidate(ID767) => Min Interval: 21, Max Interval: 46
LecturerCandidate(ID775) => Min Interval: 3, Max Interval: 50
LecturerCandidate(ID778) => Min Interval: 27, Max Interval: 49
LecturerCandidate(ID779) => Min Interval: 23, Max Interval: 46
LecturerCandidate(ID780) => Min Interval: 35, Max Interval: 49
LecturerCandidate(ID786) => Min Interval: 11, Max Interval: 27
LecturerCandidate(ID788) => Min Interval: 27, Max Interval: 27
LecturerCandidate(ID796) => Min Interval: 8, Max Interval: 50
LecturerCandidate(ID809) => Min Interval: 22, Max Interval: 42
LecturerCandidate(ID814) => Min Interval: 5, Max Interval: 47
LecturerCandidate(ID816) => Min Interval: 17, Max Interval: 37
LecturerCandidate(ID821) => Min Interval: 13, Max Interval: 39
LecturerCandidate(ID822) => Min Interval: 14, Max Interval: 41
LecturerCandidate(ID823) => Min Interval: 11, Max Interval: 35
LecturerCandidate(ID825) => Min Interval: 37, Max Interval: 46
LecturerCandidate(ID828) => Min Interval: 14, Max Interval: 44
LecturerCandidate(ID831) => Min Interval: 41, Max Interval: 51
LecturerCandidate(ID840) => Min Interval: 5, Max Interval: 36
LecturerCandidate(ID847) => Min Interval: 5, Max Interval: 41
LecturerCandidate(ID853) => Min Interval: 31, Max Interval: 37
LecturerCandidate(ID854) => Min Interval: 26, Max Interval: 50
LecturerCandidate(ID856) => Min Interval: 14, Max Interval: 38
LecturerCandidate(ID860) => Min Interval: 25, Max Interval: 50
LecturerCandidate(ID864) => Min Interval: 18, Max Interval: 23
LecturerCandidate(ID865) => Min Interval: 39, Max Interval: 45
LecturerCandidate(ID870) => Min Interval: 9, Max Interval: 33
LecturerCandidate(ID876) => Min Interval: 11, Max Interval: 36
LecturerCandidate(ID877) => Min Interval: 9, Max Interval: 27
LecturerCandidate(ID886) => Min Interval: 11, Max Interval: 50
LecturerCandidate(ID888) => Min Interval: 21, Max Interval: 49
LecturerCandidate(ID890) => Min Interval: 19, Max Interval: 50
LecturerCandidate(ID898) => Min Interval: 41, Max Interval: 43
LecturerCandidate(ID901) => Min Interval: 10, Max Interval: 46
LecturerCandidate(ID908) => Min Interval: 9, Max Interval: 27
LecturerCandidate(ID910) => Min Interval: 27, Max Interval: 44
LecturerCandidate(ID916) => Min Interval: 4, Max Interval: 45
LecturerCandidate(ID917) => Min Interval: 13, Max Interval: 46
LecturerCandidate(ID918) => Min Interval: 13, Max Interval: 46
LecturerCandidate(ID921) => Min Interval: 1, Max Interval: 30
LecturerCandidate(ID923) => Min Interval: 28, Max Interval: 42
LecturerCandidate(ID928) => Min Interval: 20, Max Interval: 26
LecturerCandidate(ID932) => Min Interval: 17, Max Interval: 49
LecturerCandidate(ID934) => Min Interval: 35, Max Interval: 48
LecturerCandidate(ID938) => Min Interval: 23, Max Interval: 32
LecturerCandidate(ID939) => Min Interval: 12, Max Interval: 37
LecturerCandidate(ID941) => Min Interval: 5, Max Interval: 42
LecturerCandidate(ID946) => Min Interval: 9, Max Interval: 39
LecturerCandidate(ID947) => Min Interval: 24, Max Interval: 42
LecturerCandidate(ID949) => Min Interval: 12, Max Interval: 20
LecturerCandidate(ID953) => Min Interval: 11, Max Interval: 31
LecturerCandidate(ID955) => Min Interval: 19, Max Interval: 24
LecturerCandidate(ID956) => Min Interval: 26, Max Interval: 45
LecturerCandidate(ID961) => Min Interval: 13, Max Interval: 49
LecturerCandidate(ID962) => Min Interval: 9, Max Interval: 49
LecturerCandidate(ID963) => Min Interval: 5, Max Interval: 51
LecturerCandidate(ID968) => Min Interval: 25, Max Interval: 44
LecturerCandidate(ID969) => Min Interval: 40, Max Interval: 50
LecturerCandidate(ID973) => Min Interval: 15, Max Interval: 32
LecturerCandidate(ID974) => Min Interval: 22, Max Interval: 45
LecturerCandidate(ID986) => Min Interval: 24, Max Interval: 49
LecturerCandidate(ID989) => Min Interval: 21, Max Interval: 21
LecturerCandidate(ID993) => Min Interval: 8, Max Interval: 49
LecturerCandidate(ID996) => Min Interval: 16, Max Interval: 49
LecturerCandidate(ID1001) => Min Interval: 20, Max Interval: 47
LecturerCandidate(ID1009) => Min Interval: 10, Max Interval: 49
LecturerCandidate(ID1011) => Min Interval: 33, Max Interval: 36
LecturerCandidate(ID1014) => Min Interval: 21, Max Interval: 36
LecturerCandidate(ID1019) => Min Interval: 11, Max Interval: 41
LecturerCandidate(ID1023) => Min Interval: 39, Max Interval: 43
LecturerCandidate(ID1029) => Min Interval: 47, Max Interval: 49
LecturerCandidate(ID1037) => Min Interval: 13, Max Interval: 30
LecturerCandidate(ID1038) => Min Interval: 10, Max Interval: 35
LecturerCandidate(ID1048) => Min Interval: 9, Max Interval: 36
LecturerCandidate(ID1051) => Min Interval: 23, Max Interval: 44
LecturerCandidate(ID1053) => Min Interval: 12, Max Interval: 48
LecturerCandidate(ID1056) => Min Interval: 19, Max Interval: 40
LecturerCandidate(ID1057) => Min Interval: 24, Max Interval: 24
LecturerCandidate(ID1067) => Min Interval: 11, Max Interval: 38
LecturerCandidate(ID1070) => Min Interval: 19, Max Interval: 38
LecturerCandidate(ID1080) => Min Interval: 24, Max Interval: 43
LecturerCandidate(ID1082) => Min Interval: 13, Max Interval: 37
LecturerCandidate(ID1084) => Min Interval: 6, Max Interval: 43
LecturerCandidate(ID1087) => Min Interval: 13, Max Interval: 41
LecturerCandidate(ID1088) => Min Interval: 9, Max Interval: 25
LecturerCandidate(ID1094) => Min Interval: 14, Max Interval: 44
LecturerCandidate(ID1114) => Min Interval: 3, Max Interval: 50
LecturerCandidate(ID1116) => Min Interval: 11, Max Interval: 41
LecturerCandidate(ID1145) => Min Interval: 11, Max Interval: 33
LecturerCandidate(ID1153) => Min Interval: 17, Max Interval: 47
LecturerCandidate(ID1156) => Min Interval: 23, Max Interval: 49
LecturerCandidate(ID1158) => Min Interval: 45, Max Interval: 47
LecturerCandidate(ID1159) => Min Interval: 33, Max Interval: 48
LecturerCandidate(ID1161) => Min Interval: 20, Max Interval: 40
LecturerCandidate(ID1166) => Min Interval: 30, Max Interval: 38
LecturerCandidate(ID1168) => Min Interval: 12, Max Interval: 40
LecturerCandidate(ID1176) => Min Interval: 20, Max Interval: 43
LecturerCandidate(ID1180) => Min Interval: 20, Max Interval: 45
LecturerCandidate(ID1181) => Min Interval: 13, Max Interval: 48
LecturerCandidate(ID1186) => Min Interval: 38, Max Interval: 48
LecturerCandidate(ID1189) => Min Interval: 15, Max Interval: 28
LecturerCandidate(ID1199) => Min Interval: 12, Max Interval: 48
LecturerCandidate(ID1202) => Min Interval: 5, Max Interval: 45
LecturerCandidate(ID1213) => Min Interval: 19, Max Interval: 49
LecturerCandidate(ID1245) => Min Interval: 30, Max Interval: 40
LecturerCandidate(ID1254) => Min Interval: 17, Max Interval: 43
LecturerCandidate(ID1274) => Min Interval: 28, Max Interval: 46
LecturerCandidate(ID1289) => Min Interval: 25, Max Interval: 35
LecturerCandidate(ID1298) => Min Interval: 16, Max Interval: 46
LecturerCandidate(ID1302) => Min Interval: 46, Max Interval: 47
LecturerCandidate(ID1304) => Min Interval: 20, Max Interval: 50
LecturerCandidate(ID1306) => Min Interval: 23, Max Interval: 46
LecturerCandidate(ID1335) => Min Interval: 11, Max Interval: 37
LecturerCandidate(ID1340) => Min Interval: 18, Max Interval: 44
LecturerCandidate(ID1346) => Min Interval: 27, Max Interval: 36
LecturerCandidate(ID1384) => Min Interval: 13, Max Interval: 43
LecturerCandidate(ID1399) => Min Interval: 10, Max Interval: 11
LecturerCandidate(ID1402) => Min Interval: 24, Max Interval: 48
LecturerCandidate(ID1404) => Min Interval: 18, Max Interval: 40
LecturerCandidate(ID1408) => Min Interval: 13, Max Interval: 17
LecturerCandidate(ID1410) => Min Interval: 13, Max Interval: 34
LecturerCandidate(ID1412) => Min Interval: 16, Max Interval: 45
LecturerCandidate(ID1442) => Min Interval: 16, Max Interval: 49
LecturerCandidate(ID1447) => Min Interval: 14, Max Interval: 47
LecturerCandidate(ID1512) => Min Interval: 26, Max Interval: 39
LecturerCandidate(ID1514) => Min Interval: 21, Max Interval: 30
LecturerCandidate(ID1580) => Min Interval: 24, Max Interval: 29
LecturerCandidate(ID1665) => Min Interval: 14, Max Interval: 49
LecturerCandidate(ID1857) => Min Interval: 21, Max Interval: 37
LecturerCandidate(ID1860) => Min Interval: 2, Max Interval: 46
LecturerCandidate(ID1861) => Min Interval: 4, Max Interval: 34
LecturerCandidate(ID1862) => Min Interval: 20, Max Interval: 43
LecturerCandidate(ID1865) => Min Interval: 7, Max Interval: 49
LecturerCandidate(ID1870) => Min Interval: 9, Max Interval: 48
LecturerCandidate(ID1871) => Min Interval: 10, Max Interval: 25
LecturerCandidate(ID1873) => Min Interval: 9, Max Interval: 16
LecturerCandidate(ID1874) => Min Interval: 43, Max Interval: 50
LecturerCandidate(ID1876) => Min Interval: 20, Max Interval: 36
LecturerCandidate(ID1878) => Min Interval: 40, Max Interval: 49
LecturerCandidate(ID1881) => Min Interval: 14, Max Interval: 36
LecturerCandidate(ID1883) => Min Interval: 14, Max Interval: 48
LecturerCandidate(ID1892) => Min Interval: 16, Max Interval: 28
LecturerCandidate(ID1894) => Min Interval: 8, Max Interval: 37
LecturerCandidate(ID1896) => Min Interval: 32, Max Interval: 49
LecturerCandidate(ID1897) => Min Interval: 30, Max Interval: 38
LecturerCandidate(ID1900) => Min Interval: 20, Max Interval: 38
LecturerCandidate(ID1904) => Min Interval: 26, Max Interval: 42
LecturerCandidate(ID1908) => Min Interval: 11, Max Interval: 36
LecturerCandidate(ID1909) => Min Interval: 10, Max Interval: 49
LecturerCandidate(ID1911) => Min Interval: 17, Max Interval: 46
LecturerCandidate(ID1914) => Min Interval: 20, Max Interval: 47
LecturerCandidate(ID1916) => Min Interval: 6, Max Interval: 40
LecturerCandidate(ID1918) => Min Interval: 4, Max Interval: 46
LecturerCandidate(ID1920) => Min Interval: 12, Max Interval: 40
LecturerCandidate(ID1922) => Min Interval: 4, Max Interval: 50
LecturerCandidate(ID1923) => Min Interval: 17, Max Interval: 41
LecturerCandidate(ID1925) => Min Interval: 15, Max Interval: 47
LecturerCandidate(ID1927) => Min Interval: 49, Max Interval: 49
LecturerCandidate(ID1929) => Min Interval: 9, Max Interval: 49
LecturerCandidate(ID1931) => Min Interval: 9, Max Interval: 42
LecturerCandidate(ID1936) => Min Interval: 15, Max Interval: 29
