Stored fact information:
Work(ID1) => Min Interval: 3, Max Interval: 45
Work(ID713) => Min Interval: 0, Max Interval: 49
Work(ID715) => Min Interval: 2, Max Interval: 50
Work(ID720) => Min Interval: 0, Max Interval: 49
Work(ID733) => Min Interval: 11, Max Interval: 36
Work(ID737) => Min Interval: 1, Max Interval: 47
Work(ID741) => Min Interval: 0, Max Interval: 49
Work(ID755) => Min Interval: 9, Max Interval: 48
Work(ID759) => Min Interval: 0, Max Interval: 38
Work(ID772) => Min Interval: 2, Max Interval: 49
Work(ID777) => Min Interval: 5, Max Interval: 49
Work(ID784) => Min Interval: 0, Max Interval: 49
Work(ID794) => Min Interval: 1, Max Interval: 49
Work(ID833) => Min Interval: 7, Max Interval: 46
Work(ID845) => Min Interval: 2, Max Interval: 46
Work(ID862) => Min Interval: 0, Max Interval: 48
Work(ID878) => Min Interval: 8, Max Interval: 48
Work(ID920) => Min Interval: 8, Max Interval: 48
Work(ID944) => Min Interval: 9, Max Interval: 38
Work(ID945) => Min Interval: 9, Max Interval: 43
Work(ID1012) => Min Interval: 9, Max Interval: 37
Work(ID1018) => Min Interval: 9, Max Interval: 47
Work(ID1095) => Min Interval: 7, Max Interval: 50
Work(ID1099) => Min Interval: 4, Max Interval: 48
Work(ID1125) => Min Interval: 6, Max Interval: 48
Work(ID1170) => Min Interval: 12, Max Interval: 46
Work(ID1299) => Min Interval: 8, Max Interval: 41
Work(ID1317) => Min Interval: 8, Max Interval: 39
Work(ID1320) => Min Interval: 6, Max Interval: 41
Work(ID1858) => Min Interval: 0, Max Interval: 45
Work(ID1863) => Min Interval: 3, Max Interval: 49
Work(ID1866) => Min Interval: 7, Max Interval: 45
Work(ID1872) => Min Interval: 5, Max Interval: 49
Work(ID1875) => Min Interval: 11, Max Interval: 47
Work(ID1877) => Min Interval: 1, Max Interval: 37
Work(ID1879) => Min Interval: 2, Max Interval: 42
Work(ID1882) => Min Interval: 1, Max Interval: 47
Work(ID1884) => Min Interval: 0, Max Interval: 48
Work(ID1895) => Min Interval: 5, Max Interval: 41
Work(ID1898) => Min Interval: 0, Max Interval: 47
Work(ID1906) => Min Interval: 0, Max Interval: 48
Work(ID1910) => Min Interval: 4, Max Interval: 38
Work(ID1915) => Min Interval: 1, Max Interval: 49
Work(ID1917) => Min Interval: 6, Max Interval: 42
Work(ID1919) => Min Interval: 10, Max Interval: 48
Work(ID1921) => Min Interval: 9, Max Interval: 49
Work(ID1924) => Min Interval: 3, Max Interval: 49
Work(ID1926) => Min Interval: 0, Max Interval: 49
Work(ID1932) => Min Interval: 4, Max Interval: 47
Work(ID1935) => Min Interval: 4, Max Interval: 48
Work(ID1951) => Min Interval: 3, Max Interval: 47
Work(ID1959) => Min Interval: 10, Max Interval: 48
Work(ID1961) => Min Interval: 10, Max Interval: 46
Work(ID1967) => Min Interval: 2, Max Interval: 49
Work(ID1969) => Min Interval: 0, Max Interval: 38
Work(ID1971) => Min Interval: 3, Max Interval: 42
Work(ID1972) => Min Interval: 1, Max Interval: 43
Work(ID1974) => Min Interval: 0, Max Interval: 38
Work(ID1987) => Min Interval: 0, Max Interval: 40
Work(ID2006) => Min Interval: 1, Max Interval: 43
Work(ID2007) => Min Interval: 3, Max Interval: 46
Work(ID2014) => Min Interval: 5, Max Interval: 49
Work(ID2023) => Min Interval: 14, Max Interval: 50
Work(ID2031) => Min Interval: 1, Max Interval: 43
Work(ID2062) => Min Interval: 0, Max Interval: 44
Work(ID2064) => Min Interval: 9, Max Interval: 50
Work(ID2071) => Min Interval: 2, Max Interval: 42
Work(ID2076) => Min Interval: 2, Max Interval: 48
Work(ID2077) => Min Interval: 7, Max Interval: 44
Work(ID2080) => Min Interval: 0, Max Interval: 43
Work(ID2100) => Min Interval: 2, Max Interval: 50
Work(ID2103) => Min Interval: 1, Max Interval: 46
Work(ID2104) => Min Interval: 3, Max Interval: 50
Work(ID2114) => Min Interval: 1, Max Interval: 47
Work(ID2117) => Min Interval: 9, Max Interval: 50
Work(ID2119) => Min Interval: 1, Max Interval: 41
Work(ID2127) => Min Interval: 0, Max Interval: 48
Work(ID2132) => Min Interval: 18, Max Interval: 50
Work(ID2140) => Min Interval: 15, Max Interval: 50
Work(ID2141) => Min Interval: 6, Max Interval: 49
Work(ID2142) => Min Interval: 13, Max Interval: 48
Work(ID2150) => Min Interval: 3, Max Interval: 49
Work(ID2152) => Min Interval: 0, Max Interval: 41
Work(ID2161) => Min Interval: 0, Max Interval: 38
Work(ID2170) => Min Interval: 5, Max Interval: 49
Work(ID2176) => Min Interval: 2, Max Interval: 46
Work(ID2179) => Min Interval: 11, Max Interval: 47
Work(ID2184) => Min Interval: 8, Max Interval: 36
Work(ID2191) => Min Interval: 11, Max Interval: 39
Work(ID2193) => Min Interval: 4, Max Interval: 45
Work(ID2202) => Min Interval: 0, Max Interval: 50
Work(ID2205) => Min Interval: 3, Max Interval: 37
Work(ID2208) => Min Interval: 14, Max Interval: 48
Work(ID2212) => Min Interval: 2, Max Interval: 41
Work(ID2222) => Min Interval: 0, Max Interval: 49
Work(ID2253) => Min Interval: 2, Max Interval: 49
Work(ID2256) => Min Interval: 2, Max Interval: 40
Work(ID2296) => Min Interval: 3, Max Interval: 47
Work(ID2299) => Min Interval: 0, Max Interval: 45
Work(ID2307) => Min Interval: 2, Max Interval: 48
Work(ID2311) => Min Interval: 5, Max Interval: 48
Work(ID2319) => Min Interval: 2, Max Interval: 28
Work(ID2328) => Min Interval: 0, Max Interval: 49
Work(ID2346) => Min Interval: 3, Max Interval: 50
Work(ID2357) => Min Interval: 9, Max Interval: 45
Work(ID2394) => Min Interval: 3, Max Interval: 49
Work(ID2401) => Min Interval: 4, Max Interval: 44
Work(ID2405) => Min Interval: 0, Max Interval: 43
Work(ID2448) => Min Interval: 2, Max Interval: 38
Work(ID2489) => Min Interval: 1, Max Interval: 48
Work(ID2491) => Min Interval: 1, Max Interval: 49
Work(ID2501) => Min Interval: 0, Max Interval: 45
Work(ID2519) => Min Interval: 0, Max Interval: 50
Work(ID2537) => Min Interval: 1, Max Interval: 49
Work(ID2583) => Min Interval: 22, Max Interval: 43
Work(ID2605) => Min Interval: 2, Max Interval: 25
Work(ID2612) => Min Interval: 6, Max Interval: 48
Work(ID2644) => Min Interval: 4, Max Interval: 44
Work(ID2692) => Min Interval: 13, Max Interval: 48
Work(ID2728) => Min Interval: 1, Max Interval: 39
Work(ID2836) => Min Interval: 13, Max Interval: 48
Work(ID2839) => Min Interval: 0, Max Interval: 50
Work(ID2842) => Min Interval: 7, Max Interval: 50
Work(ID2867) => Min Interval: 0, Max Interval: 50
Work(ID2870) => Min Interval: 5, Max Interval: 44
Work(ID2874) => Min Interval: 13, Max Interval: 47
Work(ID2876) => Min Interval: 1, Max Interval: 48
Work(ID2880) => Min Interval: 1, Max Interval: 50
Work(ID2883) => Min Interval: 3, Max Interval: 47
Work(ID2885) => Min Interval: 1, Max Interval: 42
Work(ID2888) => Min Interval: 5, Max Interval: 47
Work(ID2890) => Min Interval: 17, Max Interval: 49
Work(ID2892) => Min Interval: 1, Max Interval: 50
Work(ID2900) => Min Interval: 2, Max Interval: 35
Work(ID2904) => Min Interval: 4, Max Interval: 49
Work(ID2906) => Min Interval: 1, Max Interval: 50
Work(ID2914) => Min Interval: 7, Max Interval: 48
Work(ID2920) => Min Interval: 17, Max Interval: 44
Work(ID2927) => Min Interval: 1, Max Interval: 50
Work(ID2932) => Min Interval: 9, Max Interval: 50
Work(ID2938) => Min Interval: 2, Max Interval: 48
Work(ID2940) => Min Interval: 5, Max Interval: 41
Work(ID2948) => Min Interval: 5, Max Interval: 42
Work(ID2953) => Min Interval: 3, Max Interval: 48
Work(ID2955) => Min Interval: 0, Max Interval: 47
Work(ID2961) => Min Interval: 11, Max Interval: 48
Work(ID2965) => Min Interval: 2, Max Interval: 48
Work(ID2969) => Min Interval: 3, Max Interval: 42
Work(ID2978) => Min Interval: 0, Max Interval: 41
Work(ID2982) => Min Interval: 2, Max Interval: 47
Work(ID2984) => Min Interval: 1, Max Interval: 49
Work(ID2988) => Min Interval: 1, Max Interval: 39
Work(ID2998) => Min Interval: 5, Max Interval: 36
Work(ID3003) => Min Interval: 13, Max Interval: 49
Work(ID3013) => Min Interval: 3, Max Interval: 44
Work(ID3016) => Min Interval: 0, Max Interval: 39
Work(ID3022) => Min Interval: 3, Max Interval: 32
Work(ID3023) => Min Interval: 3, Max Interval: 49
Work(ID3031) => Min Interval: 3, Max Interval: 48
Work(ID3036) => Min Interval: 4, Max Interval: 50
Work(ID3039) => Min Interval: 3, Max Interval: 29
Work(ID3066) => Min Interval: 1, Max Interval: 50
Work(ID3073) => Min Interval: 6, Max Interval: 44
Work(ID3074) => Min Interval: 6, Max Interval: 37
Work(ID3079) => Min Interval: 2, Max Interval: 44
Work(ID3091) => Min Interval: 10, Max Interval: 41
Work(ID3092) => Min Interval: 7, Max Interval: 46
Work(ID3102) => Min Interval: 2, Max Interval: 48
Work(ID3104) => Min Interval: 2, Max Interval: 48
Work(ID3113) => Min Interval: 5, Max Interval: 43
Work(ID3135) => Min Interval: 2, Max Interval: 48
Work(ID3137) => Min Interval: 0, Max Interval: 41
Work(ID3146) => Min Interval: 5, Max Interval: 48
Work(ID3148) => Min Interval: 3, Max Interval: 48
Work(ID3155) => Min Interval: 3, Max Interval: 40
Work(ID3158) => Min Interval: 8, Max Interval: 48
Work(ID3169) => Min Interval: 1, Max Interval: 47
Work(ID3172) => Min Interval: 4, Max Interval: 50
Work(ID3174) => Min Interval: 0, Max Interval: 48
Work(ID3175) => Min Interval: 7, Max Interval: 49
Work(ID3181) => Min Interval: 10, Max Interval: 47
Work(ID3182) => Min Interval: 2, Max Interval: 49
Work(ID3188) => Min Interval: 2, Max Interval: 39
Work(ID3192) => Min Interval: 4, Max Interval: 50
Work(ID3210) => Min Interval: 0, Max Interval: 48
Work(ID3237) => Min Interval: 0, Max Interval: 46
Work(ID3240) => Min Interval: 4, Max Interval: 47
Work(ID3257) => Min Interval: 0, Max Interval: 49
Work(ID3261) => Min Interval: 9, Max Interval: 39
Work(ID3274) => Min Interval: 1, Max Interval: 45
Work(ID3279) => Min Interval: 2, Max Interval: 38
Work(ID3304) => Min Interval: 16, Max Interval: 50
Work(ID3313) => Min Interval: 18, Max Interval: 37
Work(ID3327) => Min Interval: 11, Max Interval: 38
Work(ID3333) => Min Interval: 3, Max Interval: 44
Work(ID3335) => Min Interval: 2, Max Interval: 49
Work(ID3336) => Min Interval: 0, Max Interval: 33
Work(ID3349) => Min Interval: 15, Max Interval: 48
Work(ID3364) => Min Interval: 3, Max Interval: 49
Work(ID3371) => Min Interval: 2, Max Interval: 47
Work(ID3374) => Min Interval: 1, Max Interval: 41
Work(ID3389) => Min Interval: 7, Max Interval: 46
Work(ID3397) => Min Interval: 1, Max Interval: 47
Work(ID3426) => Min Interval: 1, Max Interval: 43
Work(ID3427) => Min Interval: 2, Max Interval: 49
Work(ID3442) => Min Interval: 2, Max Interval: 43
Work(ID3445) => Min Interval: 6, Max Interval: 50
Work(ID3461) => Min Interval: 0, Max Interval: 35
Work(ID3519) => Min Interval: 5, Max Interval: 50
Work(ID3525) => Min Interval: 0, Max Interval: 42
Work(ID3570) => Min Interval: 4, Max Interval: 50
Work(ID3572) => Min Interval: 1, Max Interval: 41
Work(ID3592) => Min Interval: 7, Max Interval: 38
Work(ID3593) => Min Interval: 0, Max Interval: 48
Work(ID3599) => Min Interval: 6, Max Interval: 49
Work(ID3624) => Min Interval: 2, Max Interval: 47
Work(ID3633) => Min Interval: 6, Max Interval: 48
Work(ID3859) => Min Interval: 2, Max Interval: 40
Work(ID3870) => Min Interval: 1, Max Interval: 47
Work(ID3872) => Min Interval: 17, Max Interval: 49
Work(ID3874) => Min Interval: 7, Max Interval: 38
Work(ID3882) => Min Interval: 0, Max Interval: 45
Work(ID3886) => Min Interval: 11, Max Interval: 49
Work(ID3890) => Min Interval: 14, Max Interval: 45
Work(ID3896) => Min Interval: 8, Max Interval: 41
Work(ID3899) => Min Interval: 1, Max Interval: 46
Work(ID3905) => Min Interval: 1, Max Interval: 36
Work(ID3907) => Min Interval: 4, Max Interval: 50
Work(ID3912) => Min Interval: 4, Max Interval: 46
Work(ID3923) => Min Interval: 2, Max Interval: 46
Work(ID3925) => Min Interval: 5, Max Interval: 50
Work(ID3937) => Min Interval: 0, Max Interval: 48
Work(ID3944) => Min Interval: 1, Max Interval: 49
Work(ID3947) => Min Interval: 1, Max Interval: 38
Work(ID3953) => Min Interval: 4, Max Interval: 44
Work(ID3956) => Min Interval: 2, Max Interval: 42
Work(ID3957) => Min Interval: 8, Max Interval: 41
Work(ID3968) => Min Interval: 0, Max Interval: 47
Work(ID3970) => Min Interval: 9, Max Interval: 45
Work(ID3977) => Min Interval: 3, Max Interval: 45
Work(ID3981) => Min Interval: 0, Max Interval: 42
Work(ID3984) => Min Interval: 2, Max Interval: 49
Work(ID3998) => Min Interval: 15, Max Interval: 47
Work(ID4003) => Min Interval: 1, Max Interval: 50
Work(ID4009) => Min Interval: 8, Max Interval: 40
Work(ID4012) => Min Interval: 17, Max Interval: 45
Work(ID4016) => Min Interval: 1, Max Interval: 42
Work(ID4033) => Min Interval: 4, Max Interval: 50
Work(ID4042) => Min Interval: 2, Max Interval: 46
Work(ID4046) => Min Interval: 5, Max Interval: 43
Work(ID4052) => Min Interval: 5, Max Interval: 35
Work(ID4062) => Min Interval: 3, Max Interval: 48
Work(ID4063) => Min Interval: 2, Max Interval: 46
Work(ID4064) => Min Interval: 3, Max Interval: 49
Work(ID4069) => Min Interval: 2, Max Interval: 43
Work(ID4084) => Min Interval: 3, Max Interval: 45
Work(ID4085) => Min Interval: 0, Max Interval: 49
Work(ID4090) => Min Interval: 2, Max Interval: 49
Work(ID4101) => Min Interval: 0, Max Interval: 45
Work(ID4109) => Min Interval: 8, Max Interval: 49
Work(ID4115) => Min Interval: 8, Max Interval: 50
Work(ID4126) => Min Interval: 4, Max Interval: 45
Work(ID4130) => Min Interval: 3, Max Interval: 49
Work(ID4135) => Min Interval: 5, Max Interval: 50
Work(ID4164) => Min Interval: 12, Max Interval: 41
Work(ID4179) => Min Interval: 5, Max Interval: 45
Work(ID4182) => Min Interval: 4, Max Interval: 45
Work(ID4196) => Min Interval: 7, Max Interval: 44
Work(ID4201) => Min Interval: 0, Max Interval: 47
Work(ID4202) => Min Interval: 4, Max Interval: 46
Work(ID4207) => Min Interval: 2, Max Interval: 47
Work(ID4211) => Min Interval: 4, Max Interval: 41
Work(ID4219) => Min Interval: 1, Max Interval: 43
Work(ID4220) => Min Interval: 0, Max Interval: 46
Work(ID4222) => Min Interval: 2, Max Interval: 33
Work(ID4240) => Min Interval: 6, Max Interval: 45
Work(ID4251) => Min Interval: 0, Max Interval: 44
Work(ID4276) => Min Interval: 9, Max Interval: 46
Work(ID4277) => Min Interval: 0, Max Interval: 40
Work(ID4296) => Min Interval: 4, Max Interval: 46
Work(ID4298) => Min Interval: 2, Max Interval: 47
Work(ID4299) => Min Interval: 1, Max Interval: 50
Work(ID4324) => Min Interval: 5, Max Interval: 49
Work(ID4332) => Min Interval: 13, Max Interval: 48
Work(ID4334) => Min Interval: 11, Max Interval: 43
Work(ID4350) => Min Interval: 3, Max Interval: 44
Work(ID4351) => Min Interval: 7, Max Interval: 48
Work(ID4355) => Min Interval: 0, Max Interval: 45
Work(ID4363) => Min Interval: 1, Max Interval: 48
Work(ID4368) => Min Interval: 2, Max Interval: 36
Work(ID4371) => Min Interval: 5, Max Interval: 45
Work(ID4376) => Min Interval: 3, Max Interval: 50
Work(ID4384) => Min Interval: 7, Max Interval: 37
Work(ID4390) => Min Interval: 4, Max Interval: 44
Work(ID4394) => Min Interval: 2, Max Interval: 25
Work(ID4398) => Min Interval: 22, Max Interval: 48
Work(ID4403) => Min Interval: 0, Max Interval: 50
Work(ID4405) => Min Interval: 1, Max Interval: 49
Work(ID4411) => Min Interval: 2, Max Interval: 45
Work(ID4420) => Min Interval: 2, Max Interval: 46
Work(ID4425) => Min Interval: 2, Max Interval: 48
Work(ID4427) => Min Interval: 0, Max Interval: 50
Work(ID4432) => Min Interval: 13, Max Interval: 49
Work(ID4439) => Min Interval: 8, Max Interval: 50
Work(ID4442) => Min Interval: 4, Max Interval: 38
Work(ID4444) => Min Interval: 0, Max Interval: 41
Work(ID4458) => Min Interval: 1, Max Interval: 50
Work(ID4470) => Min Interval: 3, Max Interval: 47
Work(ID4530) => Min Interval: 9, Max Interval: 50
Work(ID4564) => Min Interval: 17, Max Interval: 39
Work(ID4621) => Min Interval: 4, Max Interval: 49
Work(ID4653) => Min Interval: 0, Max Interval: 31
Work(ID4655) => Min Interval: 12, Max Interval: 47
Work(ID4696) => Min Interval: 1, Max Interval: 47
Work(ID4697) => Min Interval: 0, Max Interval: 49
Work(ID4714) => Min Interval: 3, Max Interval: 50
Work(ID4716) => Min Interval: 15, Max Interval: 45
Work(ID4722) => Min Interval: 1, Max Interval: 46
Work(ID4734) => Min Interval: 4, Max Interval: 45
Work(ID4818) => Min Interval: 3, Max Interval: 50
Work(ID4825) => Min Interval: 1, Max Interval: 45
Work(ID4887) => Min Interval: 1, Max Interval: 42
Work(ID4893) => Min Interval: 4, Max Interval: 38
Work(ID4896) => Min Interval: 6, Max Interval: 40
Work(ID4914) => Min Interval: 1, Max Interval: 50
Work(ID4916) => Min Interval: 0, Max Interval: 40
Work(ID4919) => Min Interval: 0, Max Interval: 34
Work(ID4924) => Min Interval: 7, Max Interval: 40
Work(ID4926) => Min Interval: 8, Max Interval: 39
Work(ID4928) => Min Interval: 6, Max Interval: 43
Work(ID4932) => Min Interval: 5, Max Interval: 46
Work(ID4934) => Min Interval: 1, Max Interval: 45
Work(ID4938) => Min Interval: 1, Max Interval: 50
Work(ID4941) => Min Interval: 3, Max Interval: 47
Work(ID4957) => Min Interval: 6, Max Interval: 47
Work(ID4959) => Min Interval: 3, Max Interval: 40
Work(ID4961) => Min Interval: 6, Max Interval: 47
Work(ID4963) => Min Interval: 2, Max Interval: 43
Work(ID4967) => Min Interval: 9, Max Interval: 50
Work(ID4970) => Min Interval: 12, Max Interval: 45
Work(ID4972) => Min Interval: 1, Max Interval: 49
Work(ID4975) => Min Interval: 0, Max Interval: 48
Work(ID4978) => Min Interval: 16, Max Interval: 48
Work(ID4992) => Min Interval: 3, Max Interval: 50
Work(ID4996) => Min Interval: 2, Max Interval: 50
Work(ID4998) => Min Interval: 17, Max Interval: 46
Work(ID5002) => Min Interval: 5, Max Interval: 42
Work(ID5005) => Min Interval: 2, Max Interval: 49
Work(ID5007) => Min Interval: 0, Max Interval: 41
Work(ID5016) => Min Interval: 5, Max Interval: 45
Work(ID5028) => Min Interval: 4, Max Interval: 50
Work(ID5030) => Min Interval: 0, Max Interval: 47
Work(ID5037) => Min Interval: 11, Max Interval: 47
Work(ID5046) => Min Interval: 0, Max Interval: 48
Work(ID5049) => Min Interval: 1, Max Interval: 38
Work(ID5056) => Min Interval: 5, Max Interval: 50
Work(ID5059) => Min Interval: 4, Max Interval: 42
Work(ID5062) => Min Interval: 0, Max Interval: 45
Work(ID5069) => Min Interval: 2, Max Interval: 49
Work(ID5088) => Min Interval: 1, Max Interval: 47
Work(ID5118) => Min Interval: 0, Max Interval: 45
Work(ID5138) => Min Interval: 1, Max Interval: 43
Work(ID5141) => Min Interval: 7, Max Interval: 32
Work(ID5142) => Min Interval: 21, Max Interval: 46
Work(ID5166) => Min Interval: 7, Max Interval: 45
Work(ID5168) => Min Interval: 8, Max Interval: 49
Work(ID5175) => Min Interval: 0, Max Interval: 39
Work(ID5176) => Min Interval: 4, Max Interval: 49
Work(ID5190) => Min Interval: 7, Max Interval: 38
Work(ID5215) => Min Interval: 1, Max Interval: 45
Work(ID5218) => Min Interval: 4, Max Interval: 48
Work(ID5222) => Min Interval: 1, Max Interval: 48
Work(ID5226) => Min Interval: 4, Max Interval: 47
Work(ID5248) => Min Interval: 0, Max Interval: 50
Work(ID5251) => Min Interval: 14, Max Interval: 46
Work(ID5257) => Min Interval: 16, Max Interval: 47
Work(ID5275) => Min Interval: 1, Max Interval: 47
Work(ID5296) => Min Interval: 2, Max Interval: 43
Work(ID5300) => Min Interval: 6, Max Interval: 45
Work(ID5304) => Min Interval: 15, Max Interval: 50
Work(ID5306) => Min Interval: 0, Max Interval: 44
Work(ID5312) => Min Interval: 9, Max Interval: 46
Work(ID5313) => Min Interval: 0, Max Interval: 49
Work(ID5335) => Min Interval: 5, Max Interval: 47
Work(ID5338) => Min Interval: 2, Max Interval: 42
Work(ID5360) => Min Interval: 3, Max Interval: 49
Work(ID5362) => Min Interval: 1, Max Interval: 46
Work(ID5368) => Min Interval: 0, Max Interval: 48
Work(ID5372) => Min Interval: 5, Max Interval: 50
Work(ID5380) => Min Interval: 0, Max Interval: 44
Work(ID5386) => Min Interval: 10, Max Interval: 46
Work(ID5399) => Min Interval: 0, Max Interval: 50
Work(ID5403) => Min Interval: 10, Max Interval: 47
Work(ID5404) => Min Interval: 3, Max Interval: 45
Work(ID5405) => Min Interval: 2, Max Interval: 45
Work(ID5410) => Min Interval: 1, Max Interval: 48
Work(ID5419) => Min Interval: 3, Max Interval: 46
Work(ID5426) => Min Interval: 3, Max Interval: 50
Work(ID5427) => Min Interval: 0, Max Interval: 50
Work(ID5453) => Min Interval: 4, Max Interval: 39
Work(ID5459) => Min Interval: 6, Max Interval: 30
Work(ID5469) => Min Interval: 0, Max Interval: 40
Work(ID5479) => Min Interval: 2, Max Interval: 38
Work(ID5506) => Min Interval: 2, Max Interval: 33
Work(ID5514) => Min Interval: 7, Max Interval: 48
Work(ID5542) => Min Interval: 0, Max Interval: 41
Work(ID5545) => Min Interval: 10, Max Interval: 50
Work(ID5566) => Min Interval: 6, Max Interval: 40
Work(ID5584) => Min Interval: 1, Max Interval: 46
Work(ID5600) => Min Interval: 1, Max Interval: 47
Work(ID5701) => Min Interval: 0, Max Interval: 34
Work(ID5758) => Min Interval: 2, Max Interval: 41
Work(ID5759) => Min Interval: 4, Max Interval: 49
Work(ID5783) => Min Interval: 6, Max Interval: 48
Work(ID5797) => Min Interval: 1, Max Interval: 45
Work(ID5842) => Min Interval: 3, Max Interval: 49
Work(ID5878) => Min Interval: 1, Max Interval: 44
Work(ID5897) => Min Interval: 23, Max Interval: 46
Work(ID5930) => Min Interval: 11, Max Interval: 45
Work(ID5960) => Min Interval: 2, Max Interval: 44
Work(ID5965) => Min Interval: 4, Max Interval: 43
Work(ID5970) => Min Interval: 5, Max Interval: 45
Work(ID6000) => Min Interval: 3, Max Interval: 47
Work(ID6029) => Min Interval: 9, Max Interval: 50
Work(ID6033) => Min Interval: 16, Max Interval: 47
Work(ID6039) => Min Interval: 1, Max Interval: 48
Work(ID6050) => Min Interval: 1, Max Interval: 42
Work(ID6116) => Min Interval: 0, Max Interval: 48
Work(ID6238) => Min Interval: 2, Max Interval: 32
Work(ID6240) => Min Interval: 6, Max Interval: 49
Work(ID6243) => Min Interval: 4, Max Interval: 31
Work(ID6245) => Min Interval: 2, Max Interval: 29
Work(ID6247) => Min Interval: 0, Max Interval: 39
Work(ID6252) => Min Interval: 4, Max Interval: 48
Work(ID6260) => Min Interval: 3, Max Interval: 47
Work(ID6264) => Min Interval: 4, Max Interval: 47
Work(ID6273) => Min Interval: 9, Max Interval: 46
Work(ID6281) => Min Interval: 0, Max Interval: 50
