Stored fact information:
Organization(ID11) => Min Interval: 0, Max Interval: 50
Organization(ID593) => Min Interval: 14, Max Interval: 49
Organization(ID614) => Min Interval: 1, Max Interval: 48
Organization(ID615) => Min Interval: 2, Max Interval: 42
Organization(ID616) => Min Interval: 12, Max Interval: 45
Organization(ID617) => Min Interval: 4, Max Interval: 40
Organization(ID623) => Min Interval: 0, Max Interval: 43
Organization(ID625) => Min Interval: 0, Max Interval: 48
Organization(ID650) => Min Interval: 0, Max Interval: 44
Organization(ID655) => Min Interval: 2, Max Interval: 46
Organization(ID666) => Min Interval: 0, Max Interval: 22
Organization(ID667) => Min Interval: 2, Max Interval: 40
Organization(ID685) => Min Interval: 1, Max Interval: 50
Organization(ID698) => Min Interval: 0, Max Interval: 44
Organization(ID709) => Min Interval: 4, Max Interval: 36
Organization(ID725) => Min Interval: 4, Max Interval: 41
Organization(ID729) => Min Interval: 1, Max Interval: 50
Organization(ID741) => Min Interval: 9, Max Interval: 43
Organization(ID742) => Min Interval: 6, Max Interval: 43
Organization(ID751) => Min Interval: 16, Max Interval: 40
Organization(ID759) => Min Interval: 0, Max Interval: 46
Organization(ID773) => Min Interval: 6, Max Interval: 47
Organization(ID782) => Min Interval: 7, Max Interval: 48
Organization(ID785) => Min Interval: 5, Max Interval: 50
Organization(ID803) => Min Interval: 6, Max Interval: 42
Organization(ID815) => Min Interval: 0, Max Interval: 45
Organization(ID826) => Min Interval: 5, Max Interval: 46
Organization(ID828) => Min Interval: 6, Max Interval: 47
Organization(ID829) => Min Interval: 3, Max Interval: 50
Organization(ID836) => Min Interval: 8, Max Interval: 39
Organization(ID837) => Min Interval: 5, Max Interval: 48
Organization(ID845) => Min Interval: 4, Max Interval: 48
Organization(ID875) => Min Interval: 2, Max Interval: 50
Organization(ID879) => Min Interval: 8, Max Interval: 49
Organization(ID894) => Min Interval: 11, Max Interval: 47
Organization(ID896) => Min Interval: 9, Max Interval: 49
Organization(ID897) => Min Interval: 0, Max Interval: 48
Organization(ID902) => Min Interval: 13, Max Interval: 50
Organization(ID905) => Min Interval: 10, Max Interval: 43
Organization(ID906) => Min Interval: 11, Max Interval: 47
Organization(ID909) => Min Interval: 11, Max Interval: 49
Organization(ID929) => Min Interval: 2, Max Interval: 27
Organization(ID939) => Min Interval: 2, Max Interval: 45
Organization(ID941) => Min Interval: 17, Max Interval: 45
Organization(ID954) => Min Interval: 1, Max Interval: 46
Organization(ID960) => Min Interval: 10, Max Interval: 46
Organization(ID970) => Min Interval: 2, Max Interval: 32
Organization(ID971) => Min Interval: 5, Max Interval: 47
Organization(ID977) => Min Interval: 10, Max Interval: 39
Organization(ID981) => Min Interval: 7, Max Interval: 49
Organization(ID982) => Min Interval: 0, Max Interval: 50
Organization(ID990) => Min Interval: 2, Max Interval: 43
Organization(ID997) => Min Interval: 0, Max Interval: 41
Organization(ID1010) => Min Interval: 1, Max Interval: 49
Organization(ID1022) => Min Interval: 8, Max Interval: 50
Organization(ID1023) => Min Interval: 0, Max Interval: 42
Organization(ID1026) => Min Interval: 12, Max Interval: 45
Organization(ID1031) => Min Interval: 1, Max Interval: 46
Organization(ID1036) => Min Interval: 6, Max Interval: 44
Organization(ID1045) => Min Interval: 0, Max Interval: 48
Organization(ID1047) => Min Interval: 1, Max Interval: 33
Organization(ID1057) => Min Interval: 14, Max Interval: 48
Organization(ID1064) => Min Interval: 1, Max Interval: 38
Organization(ID1076) => Min Interval: 0, Max Interval: 48
Organization(ID1089) => Min Interval: 10, Max Interval: 50
Organization(ID1106) => Min Interval: 1, Max Interval: 34
Organization(ID1113) => Min Interval: 12, Max Interval: 48
Organization(ID1114) => Min Interval: 7, Max Interval: 44
Organization(ID1124) => Min Interval: 3, Max Interval: 46
Organization(ID1128) => Min Interval: 4, Max Interval: 41
Organization(ID1130) => Min Interval: 15, Max Interval: 47
Organization(ID1132) => Min Interval: 5, Max Interval: 45
Organization(ID1134) => Min Interval: 14, Max Interval: 50
Organization(ID1136) => Min Interval: 0, Max Interval: 42
Organization(ID1139) => Min Interval: 1, Max Interval: 37
Organization(ID1140) => Min Interval: 0, Max Interval: 33
Organization(ID1154) => Min Interval: 6, Max Interval: 48
Organization(ID1166) => Min Interval: 12, Max Interval: 46
Organization(ID1168) => Min Interval: 0, Max Interval: 43
Organization(ID1179) => Min Interval: 5, Max Interval: 49
Organization(ID1183) => Min Interval: 20, Max Interval: 47
Organization(ID1190) => Min Interval: 1, Max Interval: 37
Organization(ID1203) => Min Interval: 14, Max Interval: 49
Organization(ID1210) => Min Interval: 12, Max Interval: 45
Organization(ID1214) => Min Interval: 5, Max Interval: 37
Organization(ID1225) => Min Interval: 16, Max Interval: 37
Organization(ID1230) => Min Interval: 2, Max Interval: 49
Organization(ID1231) => Min Interval: 1, Max Interval: 50
Organization(ID1236) => Min Interval: 1, Max Interval: 47
Organization(ID1237) => Min Interval: 2, Max Interval: 46
Organization(ID1242) => Min Interval: 2, Max Interval: 41
Organization(ID1244) => Min Interval: 3, Max Interval: 48
Organization(ID1250) => Min Interval: 1, Max Interval: 41
Organization(ID1256) => Min Interval: 2, Max Interval: 45
Organization(ID1257) => Min Interval: 11, Max Interval: 50
Organization(ID1260) => Min Interval: 16, Max Interval: 45
Organization(ID1262) => Min Interval: 5, Max Interval: 42
Organization(ID1264) => Min Interval: 4, Max Interval: 49
Organization(ID1265) => Min Interval: 4, Max Interval: 37
Organization(ID1267) => Min Interval: 13, Max Interval: 49
Organization(ID1272) => Min Interval: 3, Max Interval: 48
Organization(ID1273) => Min Interval: 1, Max Interval: 45
Organization(ID1274) => Min Interval: 7, Max Interval: 50
Organization(ID1289) => Min Interval: 3, Max Interval: 37
Organization(ID1290) => Min Interval: 1, Max Interval: 50
Organization(ID1291) => Min Interval: 7, Max Interval: 49
Organization(ID1296) => Min Interval: 11, Max Interval: 42
Organization(ID1297) => Min Interval: 1, Max Interval: 47
Organization(ID1298) => Min Interval: 4, Max Interval: 42
Organization(ID1299) => Min Interval: 0, Max Interval: 49
Organization(ID1304) => Min Interval: 0, Max Interval: 42
Organization(ID1305) => Min Interval: 0, Max Interval: 43
Organization(ID1314) => Min Interval: 4, Max Interval: 49
Organization(ID1315) => Min Interval: 3, Max Interval: 49
Organization(ID1316) => Min Interval: 0, Max Interval: 46
Organization(ID1317) => Min Interval: 0, Max Interval: 47
Organization(ID1333) => Min Interval: 1, Max Interval: 37
Organization(ID1336) => Min Interval: 2, Max Interval: 48
Organization(ID1339) => Min Interval: 0, Max Interval: 48
Organization(ID1347) => Min Interval: 1, Max Interval: 48
Organization(ID1349) => Min Interval: 4, Max Interval: 39
Organization(ID1350) => Min Interval: 0, Max Interval: 46
Organization(ID1358) => Min Interval: 3, Max Interval: 32
Organization(ID1361) => Min Interval: 5, Max Interval: 50
Organization(ID1367) => Min Interval: 23, Max Interval: 50
Organization(ID1370) => Min Interval: 2, Max Interval: 46
Organization(ID1374) => Min Interval: 9, Max Interval: 46
Organization(ID1377) => Min Interval: 0, Max Interval: 50
Organization(ID1379) => Min Interval: 6, Max Interval: 45
Organization(ID1385) => Min Interval: 1, Max Interval: 50
Organization(ID1391) => Min Interval: 5, Max Interval: 34
Organization(ID1402) => Min Interval: 4, Max Interval: 50
Organization(ID1409) => Min Interval: 1, Max Interval: 48
Organization(ID1414) => Min Interval: 2, Max Interval: 45
Organization(ID1417) => Min Interval: 4, Max Interval: 47
Organization(ID1421) => Min Interval: 4, Max Interval: 49
Organization(ID1426) => Min Interval: 2, Max Interval: 47
Organization(ID1431) => Min Interval: 2, Max Interval: 45
Organization(ID1433) => Min Interval: 8, Max Interval: 43
Organization(ID1454) => Min Interval: 18, Max Interval: 48
Organization(ID1464) => Min Interval: 8, Max Interval: 47
Organization(ID1485) => Min Interval: 3, Max Interval: 41
Organization(ID1491) => Min Interval: 4, Max Interval: 44
Organization(ID1494) => Min Interval: 6, Max Interval: 50
Organization(ID1511) => Min Interval: 5, Max Interval: 49
Organization(ID1514) => Min Interval: 5, Max Interval: 42
Organization(ID1516) => Min Interval: 2, Max Interval: 50
Organization(ID1518) => Min Interval: 2, Max Interval: 42
Organization(ID1519) => Min Interval: 7, Max Interval: 45
Organization(ID1522) => Min Interval: 1, Max Interval: 34
Organization(ID1529) => Min Interval: 1, Max Interval: 39
Organization(ID1534) => Min Interval: 2, Max Interval: 45
Organization(ID1538) => Min Interval: 4, Max Interval: 43
Organization(ID1543) => Min Interval: 7, Max Interval: 42
Organization(ID1551) => Min Interval: 5, Max Interval: 46
Organization(ID1556) => Min Interval: 0, Max Interval: 50
Organization(ID1561) => Min Interval: 5, Max Interval: 47
Organization(ID1571) => Min Interval: 2, Max Interval: 49
Organization(ID1573) => Min Interval: 3, Max Interval: 50
Organization(ID1628) => Min Interval: 0, Max Interval: 50
Organization(ID1644) => Min Interval: 13, Max Interval: 48
Organization(ID1682) => Min Interval: 2, Max Interval: 45
Organization(ID1705) => Min Interval: 17, Max Interval: 32
Organization(ID1725) => Min Interval: 2, Max Interval: 32
Organization(ID1747) => Min Interval: 24, Max Interval: 50
Organization(ID1753) => Min Interval: 16, Max Interval: 45
Organization(ID1756) => Min Interval: 1, Max Interval: 45
Organization(ID1825) => Min Interval: 3, Max Interval: 36
Organization(ID1831) => Min Interval: 8, Max Interval: 46
Organization(ID1881) => Min Interval: 6, Max Interval: 34
Organization(ID1900) => Min Interval: 1, Max Interval: 43
Organization(ID1908) => Min Interval: 0, Max Interval: 40
Organization(ID1912) => Min Interval: 25, Max Interval: 36
Organization(ID1914) => Min Interval: 4, Max Interval: 27
Organization(ID1927) => Min Interval: 11, Max Interval: 41
Organization(ID1947) => Min Interval: 5, Max Interval: 30
Organization(ID1956) => Min Interval: 2, Max Interval: 49
Organization(ID1970) => Min Interval: 14, Max Interval: 49
Organization(ID1973) => Min Interval: 11, Max Interval: 42
Organization(ID1986) => Min Interval: 1, Max Interval: 40
Organization(ID2014) => Min Interval: 3, Max Interval: 36
Organization(ID2017) => Min Interval: 1, Max Interval: 46
