Stored fact information:
Student(ID0) => Min Interval: 3, Max Interval: 44
Student(ID473) => Min Interval: 6, Max Interval: 41
Student(ID478) => Min Interval: 1, Max Interval: 38
Student(ID479) => Min Interval: 18, Max Interval: 49
Student(ID490) => Min Interval: 2, Max Interval: 50
Student(ID491) => Min Interval: 1, Max Interval: 40
Student(ID502) => Min Interval: 0, Max Interval: 45
Student(ID504) => Min Interval: 2, Max Interval: 48
Student(ID509) => Min Interval: 9, Max Interval: 38
Student(ID511) => Min Interval: 6, Max Interval: 50
Student(ID512) => Min Interval: 4, Max Interval: 47
Student(ID513) => Min Interval: 9, Max Interval: 32
Student(ID515) => Min Interval: 10, Max Interval: 49
Student(ID516) => Min Interval: 4, Max Interval: 44
Student(ID519) => Min Interval: 3, Max Interval: 46
Student(ID520) => Min Interval: 6, Max Interval: 46
Student(ID521) => Min Interval: 7, Max Interval: 43
Student(ID523) => Min Interval: 8, Max Interval: 48
Student(ID524) => Min Interval: 9, Max Interval: 44
Student(ID527) => Min Interval: 9, Max Interval: 39
Student(ID531) => Min Interval: 11, Max Interval: 49
Student(ID532) => Min Interval: 22, Max Interval: 42
Student(ID534) => Min Interval: 20, Max Interval: 35
Student(ID537) => Min Interval: 6, Max Interval: 39
Student(ID538) => Min Interval: 5, Max Interval: 46
Student(ID539) => Min Interval: 21, Max Interval: 46
Student(ID541) => Min Interval: 5, Max Interval: 44
Student(ID544) => Min Interval: 4, Max Interval: 47
Student(ID549) => Min Interval: 9, Max Interval: 45
Student(ID552) => Min Interval: 8, Max Interval: 40
Student(ID553) => Min Interval: 5, Max Interval: 45
Student(ID557) => Min Interval: 7, Max Interval: 49
Student(ID559) => Min Interval: 8, Max Interval: 47
Student(ID562) => Min Interval: 2, Max Interval: 48
Student(ID566) => Min Interval: 1, Max Interval: 47
Student(ID567) => Min Interval: 4, Max Interval: 43
Student(ID569) => Min Interval: 12, Max Interval: 33
Student(ID570) => Min Interval: 8, Max Interval: 40
Student(ID574) => Min Interval: 11, Max Interval: 43
Student(ID575) => Min Interval: 9, Max Interval: 46
Student(ID578) => Min Interval: 2, Max Interval: 34
Student(ID579) => Min Interval: 1, Max Interval: 42
Student(ID580) => Min Interval: 1, Max Interval: 48
Student(ID583) => Min Interval: 1, Max Interval: 50
Student(ID584) => Min Interval: 7, Max Interval: 49
Student(ID587) => Min Interval: 0, Max Interval: 28
Student(ID589) => Min Interval: 17, Max Interval: 46
Student(ID590) => Min Interval: 4, Max Interval: 38
Student(ID593) => Min Interval: 2, Max Interval: 30
Student(ID596) => Min Interval: 43, Max Interval: 50
Student(ID597) => Min Interval: 2, Max Interval: 40
Student(ID599) => Min Interval: 15, Max Interval: 41
Student(ID600) => Min Interval: 0, Max Interval: 43
Student(ID607) => Min Interval: 12, Max Interval: 46
Student(ID610) => Min Interval: 2, Max Interval: 43
Student(ID611) => Min Interval: 1, Max Interval: 40
Student(ID612) => Min Interval: 0, Max Interval: 48
Student(ID614) => Min Interval: 10, Max Interval: 42
Student(ID615) => Min Interval: 6, Max Interval: 44
Student(ID616) => Min Interval: 0, Max Interval: 44
Student(ID617) => Min Interval: 5, Max Interval: 45
Student(ID619) => Min Interval: 4, Max Interval: 44
Student(ID620) => Min Interval: 4, Max Interval: 44
Student(ID626) => Min Interval: 13, Max Interval: 42
Student(ID628) => Min Interval: 11, Max Interval: 46
Student(ID629) => Min Interval: 8, Max Interval: 49
Student(ID633) => Min Interval: 3, Max Interval: 40
Student(ID634) => Min Interval: 9, Max Interval: 48
Student(ID635) => Min Interval: 11, Max Interval: 49
Student(ID643) => Min Interval: 3, Max Interval: 43
Student(ID645) => Min Interval: 12, Max Interval: 43
Student(ID648) => Min Interval: 4, Max Interval: 42
Student(ID649) => Min Interval: 6, Max Interval: 39
Student(ID652) => Min Interval: 9, Max Interval: 39
Student(ID654) => Min Interval: 9, Max Interval: 47
Student(ID655) => Min Interval: 15, Max Interval: 21
Student(ID658) => Min Interval: 0, Max Interval: 49
Student(ID659) => Min Interval: 2, Max Interval: 47
Student(ID661) => Min Interval: 3, Max Interval: 34
Student(ID664) => Min Interval: 14, Max Interval: 42
Student(ID665) => Min Interval: 5, Max Interval: 41
Student(ID666) => Min Interval: 8, Max Interval: 45
Student(ID671) => Min Interval: 7, Max Interval: 44
Student(ID676) => Min Interval: 2, Max Interval: 43
Student(ID679) => Min Interval: 16, Max Interval: 48
Student(ID684) => Min Interval: 3, Max Interval: 37
Student(ID686) => Min Interval: 9, Max Interval: 16
Student(ID697) => Min Interval: 1, Max Interval: 43
Student(ID703) => Min Interval: 2, Max Interval: 43
Student(ID704) => Min Interval: 5, Max Interval: 46
Student(ID705) => Min Interval: 6, Max Interval: 49
Student(ID711) => Min Interval: 8, Max Interval: 40
Student(ID717) => Min Interval: 18, Max Interval: 47
Student(ID725) => Min Interval: 10, Max Interval: 45
Student(ID727) => Min Interval: 7, Max Interval: 47
Student(ID729) => Min Interval: 3, Max Interval: 40
Student(ID734) => Min Interval: 4, Max Interval: 37
Student(ID740) => Min Interval: 1, Max Interval: 46
Student(ID742) => Min Interval: 8, Max Interval: 40
Student(ID745) => Min Interval: 3, Max Interval: 42
Student(ID749) => Min Interval: 3, Max Interval: 33
Student(ID751) => Min Interval: 8, Max Interval: 46
Student(ID753) => Min Interval: 9, Max Interval: 45
Student(ID754) => Min Interval: 16, Max Interval: 30
Student(ID762) => Min Interval: 6, Max Interval: 42
Student(ID764) => Min Interval: 11, Max Interval: 31
Student(ID765) => Min Interval: 1, Max Interval: 48
Student(ID767) => Min Interval: 12, Max Interval: 47
Student(ID775) => Min Interval: 9, Max Interval: 37
Student(ID778) => Min Interval: 9, Max Interval: 49
Student(ID779) => Min Interval: 0, Max Interval: 46
Student(ID780) => Min Interval: 7, Max Interval: 49
Student(ID783) => Min Interval: 10, Max Interval: 46
Student(ID786) => Min Interval: 2, Max Interval: 44
Student(ID788) => Min Interval: 3, Max Interval: 44
Student(ID796) => Min Interval: 18, Max Interval: 37
Student(ID798) => Min Interval: 5, Max Interval: 46
Student(ID809) => Min Interval: 7, Max Interval: 45
Student(ID814) => Min Interval: 11, Max Interval: 49
Student(ID816) => Min Interval: 3, Max Interval: 37
Student(ID821) => Min Interval: 4, Max Interval: 42
Student(ID822) => Min Interval: 5, Max Interval: 42
Student(ID823) => Min Interval: 2, Max Interval: 35
Student(ID825) => Min Interval: 14, Max Interval: 47
Student(ID828) => Min Interval: 5, Max Interval: 48
Student(ID831) => Min Interval: 8, Max Interval: 43
Student(ID840) => Min Interval: 6, Max Interval: 49
Student(ID847) => Min Interval: 8, Max Interval: 38
Student(ID853) => Min Interval: 11, Max Interval: 40
Student(ID854) => Min Interval: 17, Max Interval: 50
Student(ID856) => Min Interval: 4, Max Interval: 44
Student(ID860) => Min Interval: 4, Max Interval: 50
Student(ID864) => Min Interval: 0, Max Interval: 24
Student(ID865) => Min Interval: 9, Max Interval: 45
Student(ID868) => Min Interval: 4, Max Interval: 48
Student(ID870) => Min Interval: 0, Max Interval: 40
Student(ID876) => Min Interval: 2, Max Interval: 40
Student(ID877) => Min Interval: 0, Max Interval: 43
Student(ID886) => Min Interval: 2, Max Interval: 50
Student(ID888) => Min Interval: 12, Max Interval: 49
Student(ID890) => Min Interval: 9, Max Interval: 50
Student(ID898) => Min Interval: 17, Max Interval: 49
Student(ID901) => Min Interval: 1, Max Interval: 46
Student(ID908) => Min Interval: 0, Max Interval: 41
Student(ID910) => Min Interval: 9, Max Interval: 45
Student(ID916) => Min Interval: 5, Max Interval: 45
Student(ID917) => Min Interval: 1, Max Interval: 46
Student(ID918) => Min Interval: 4, Max Interval: 46
Student(ID921) => Min Interval: 7, Max Interval: 44
Student(ID923) => Min Interval: 7, Max Interval: 42
Student(ID928) => Min Interval: 11, Max Interval: 36
Student(ID932) => Min Interval: 8, Max Interval: 49
Student(ID934) => Min Interval: 19, Max Interval: 38
Student(ID938) => Min Interval: 3, Max Interval: 33
Student(ID939) => Min Interval: 3, Max Interval: 46
Student(ID941) => Min Interval: 5, Max Interval: 26
Student(ID946) => Min Interval: 0, Max Interval: 39
Student(ID947) => Min Interval: 12, Max Interval: 42
Student(ID949) => Min Interval: 3, Max Interval: 44
Student(ID953) => Min Interval: 2, Max Interval: 40
Student(ID955) => Min Interval: 8, Max Interval: 40
Student(ID956) => Min Interval: 10, Max Interval: 48
Student(ID961) => Min Interval: 10, Max Interval: 47
Student(ID962) => Min Interval: 10, Max Interval: 46
Student(ID963) => Min Interval: 3, Max Interval: 46
Student(ID968) => Min Interval: 2, Max Interval: 38
Student(ID969) => Min Interval: 3, Max Interval: 50
Student(ID973) => Min Interval: 6, Max Interval: 48
Student(ID974) => Min Interval: 6, Max Interval: 45
Student(ID986) => Min Interval: 15, Max Interval: 49
Student(ID989) => Min Interval: 11, Max Interval: 33
Student(ID993) => Min Interval: 12, Max Interval: 38
Student(ID996) => Min Interval: 7, Max Interval: 49
Student(ID1001) => Min Interval: 6, Max Interval: 47
Student(ID1009) => Min Interval: 1, Max Interval: 49
Student(ID1011) => Min Interval: 11, Max Interval: 43
Student(ID1014) => Min Interval: 11, Max Interval: 39
Student(ID1019) => Min Interval: 2, Max Interval: 41
Student(ID1023) => Min Interval: 9, Max Interval: 48
Student(ID1029) => Min Interval: 5, Max Interval: 49
Student(ID1035) => Min Interval: 8, Max Interval: 46
Student(ID1037) => Min Interval: 4, Max Interval: 40
Student(ID1038) => Min Interval: 1, Max Interval: 36
Student(ID1048) => Min Interval: 0, Max Interval: 37
Student(ID1051) => Min Interval: 9, Max Interval: 44
Student(ID1053) => Min Interval: 3, Max Interval: 49
Student(ID1056) => Min Interval: 7, Max Interval: 41
Student(ID1057) => Min Interval: 5, Max Interval: 41
Student(ID1067) => Min Interval: 2, Max Interval: 48
Student(ID1070) => Min Interval: 9, Max Interval: 39
Student(ID1080) => Min Interval: 5, Max Interval: 43
Student(ID1082) => Min Interval: 4, Max Interval: 48
Student(ID1084) => Min Interval: 2, Max Interval: 41
Student(ID1087) => Min Interval: 4, Max Interval: 42
Student(ID1088) => Min Interval: 0, Max Interval: 45
Student(ID1094) => Min Interval: 5, Max Interval: 45
Student(ID1097) => Min Interval: 15, Max Interval: 39
Student(ID1114) => Min Interval: 5, Max Interval: 37
Student(ID1116) => Min Interval: 2, Max Interval: 42
Student(ID1145) => Min Interval: 2, Max Interval: 33
Student(ID1153) => Min Interval: 8, Max Interval: 47
Student(ID1156) => Min Interval: 4, Max Interval: 49
Student(ID1158) => Min Interval: 8, Max Interval: 47
Student(ID1159) => Min Interval: 14, Max Interval: 48
Student(ID1161) => Min Interval: 4, Max Interval: 43
Student(ID1166) => Min Interval: 10, Max Interval: 46
Student(ID1168) => Min Interval: 3, Max Interval: 46
Student(ID1176) => Min Interval: 5, Max Interval: 43
Student(ID1180) => Min Interval: 10, Max Interval: 46
Student(ID1181) => Min Interval: 4, Max Interval: 48
Student(ID1186) => Min Interval: 13, Max Interval: 48
Student(ID1189) => Min Interval: 6, Max Interval: 30
Student(ID1199) => Min Interval: 3, Max Interval: 48
Student(ID1202) => Min Interval: 11, Max Interval: 38
Student(ID1213) => Min Interval: 10, Max Interval: 49
Student(ID1214) => Min Interval: 9, Max Interval: 47
Student(ID1245) => Min Interval: 3, Max Interval: 43
Student(ID1254) => Min Interval: 8, Max Interval: 45
Student(ID1274) => Min Interval: 5, Max Interval: 46
Student(ID1289) => Min Interval: 13, Max Interval: 36
Student(ID1298) => Min Interval: 6, Max Interval: 46
Student(ID1302) => Min Interval: 6, Max Interval: 47
Student(ID1304) => Min Interval: 6, Max Interval: 50
Student(ID1306) => Min Interval: 10, Max Interval: 46
Student(ID1335) => Min Interval: 2, Max Interval: 39
Student(ID1340) => Min Interval: 9, Max Interval: 45
Student(ID1346) => Min Interval: 2, Max Interval: 37
Student(ID1384) => Min Interval: 4, Max Interval: 43
Student(ID1399) => Min Interval: 1, Max Interval: 49
Student(ID1402) => Min Interval: 5, Max Interval: 48
Student(ID1404) => Min Interval: 4, Max Interval: 45
Student(ID1408) => Min Interval: 4, Max Interval: 48
Student(ID1410) => Min Interval: 4, Max Interval: 35
Student(ID1412) => Min Interval: 7, Max Interval: 45
Student(ID1442) => Min Interval: 7, Max Interval: 49
Student(ID1447) => Min Interval: 5, Max Interval: 49
Student(ID1465) => Min Interval: 12, Max Interval: 49
Student(ID1512) => Min Interval: 5, Max Interval: 44
Student(ID1514) => Min Interval: 7, Max Interval: 50
Student(ID1580) => Min Interval: 8, Max Interval: 38
Student(ID1665) => Min Interval: 5, Max Interval: 49
Student(ID1857) => Min Interval: 12, Max Interval: 42
Student(ID1860) => Min Interval: 2, Max Interval: 47
Student(ID1861) => Min Interval: 8, Max Interval: 41
Student(ID1862) => Min Interval: 6, Max Interval: 43
Student(ID1865) => Min Interval: 5, Max Interval: 23
Student(ID1870) => Min Interval: 0, Max Interval: 49
Student(ID1871) => Min Interval: 1, Max Interval: 48
Student(ID1873) => Min Interval: 5, Max Interval: 43
Student(ID1874) => Min Interval: 11, Max Interval: 50
Student(ID1876) => Min Interval: 11, Max Interval: 45
Student(ID1878) => Min Interval: 2, Max Interval: 49
Student(ID1881) => Min Interval: 5, Max Interval: 47
Student(ID1883) => Min Interval: 0, Max Interval: 46
Student(ID1892) => Min Interval: 7, Max Interval: 42
Student(ID1894) => Min Interval: 10, Max Interval: 41
Student(ID1896) => Min Interval: 3, Max Interval: 49
Student(ID1897) => Min Interval: 21, Max Interval: 46
Student(ID1900) => Min Interval: 4, Max Interval: 48
Student(ID1904) => Min Interval: 3, Max Interval: 43
Student(ID1908) => Min Interval: 2, Max Interval: 37
Student(ID1909) => Min Interval: 4, Max Interval: 38
Student(ID1911) => Min Interval: 8, Max Interval: 46
Student(ID1914) => Min Interval: 7, Max Interval: 47
Student(ID1916) => Min Interval: 6, Max Interval: 42
Student(ID1918) => Min Interval: 1, Max Interval: 39
Student(ID1920) => Min Interval: 3, Max Interval: 48
Student(ID1922) => Min Interval: 15, Max Interval: 47
Student(ID1923) => Min Interval: 8, Max Interval: 49
Student(ID1925) => Min Interval: 5, Max Interval: 47
Student(ID1927) => Min Interval: 8, Max Interval: 49
Student(ID1929) => Min Interval: 0, Max Interval: 49
Student(ID1931) => Min Interval: 0, Max Interval: 43
Student(ID1936) => Min Interval: 6, Max Interval: 40
Student(ID1937) => Min Interval: 4, Max Interval: 46
Student(ID1938) => Min Interval: 6, Max Interval: 45
Student(ID1941) => Min Interval: 6, Max Interval: 45
Student(ID1942) => Min Interval: 8, Max Interval: 47
Student(ID1943) => Min Interval: 3, Max Interval: 50
Student(ID1944) => Min Interval: 2, Max Interval: 46
Student(ID1946) => Min Interval: 1, Max Interval: 45
Student(ID1947) => Min Interval: 6, Max Interval: 26
Student(ID1953) => Min Interval: 3, Max Interval: 45
Student(ID1954) => Min Interval: 8, Max Interval: 43
Student(ID1955) => Min Interval: 19, Max Interval: 42
Student(ID1957) => Min Interval: 6, Max Interval: 39
Student(ID1958) => Min Interval: 2, Max Interval: 45
Student(ID1960) => Min Interval: 3, Max Interval: 44
Student(ID1965) => Min Interval: 14, Max Interval: 42
Student(ID1966) => Min Interval: 1, Max Interval: 43
Student(ID1968) => Min Interval: 3, Max Interval: 43
Student(ID1970) => Min Interval: 5, Max Interval: 50
Student(ID1973) => Min Interval: 21, Max Interval: 48
Student(ID1975) => Min Interval: 4, Max Interval: 38
Student(ID1980) => Min Interval: 7, Max Interval: 49
Student(ID1983) => Min Interval: 7, Max Interval: 49
Student(ID1985) => Min Interval: 5, Max Interval: 43
Student(ID1988) => Min Interval: 7, Max Interval: 49
Student(ID1993) => Min Interval: 18, Max Interval: 49
Student(ID1994) => Min Interval: 2, Max Interval: 48
Student(ID1997) => Min Interval: 0, Max Interval: 50
Student(ID1999) => Min Interval: 6, Max Interval: 36
Student(ID2001) => Min Interval: 6, Max Interval: 37
Student(ID2002) => Min Interval: 7, Max Interval: 50
Student(ID2003) => Min Interval: 3, Max Interval: 48
Student(ID2009) => Min Interval: 25, Max Interval: 50
Student(ID2010) => Min Interval: 2, Max Interval: 39
Student(ID2012) => Min Interval: 1, Max Interval: 33
Student(ID2013) => Min Interval: 3, Max Interval: 39
Student(ID2016) => Min Interval: 3, Max Interval: 46
Student(ID2017) => Min Interval: 6, Max Interval: 41
Student(ID2018) => Min Interval: 9, Max Interval: 46
Student(ID2022) => Min Interval: 3, Max Interval: 39
Student(ID2025) => Min Interval: 1, Max Interval: 46
Student(ID2028) => Min Interval: 5, Max Interval: 49
Student(ID2029) => Min Interval: 3, Max Interval: 45
Student(ID2034) => Min Interval: 4, Max Interval: 47
Student(ID2041) => Min Interval: 5, Max Interval: 42
Student(ID2042) => Min Interval: 2, Max Interval: 43
Student(ID2043) => Min Interval: 0, Max Interval: 50
Student(ID2044) => Min Interval: 2, Max Interval: 41
Student(ID2045) => Min Interval: 12, Max Interval: 43
Student(ID2047) => Min Interval: 4, Max Interval: 47
Student(ID2048) => Min Interval: 4, Max Interval: 42
Student(ID2051) => Min Interval: 2, Max Interval: 43
Student(ID2055) => Min Interval: 8, Max Interval: 43
Student(ID2056) => Min Interval: 2, Max Interval: 50
Student(ID2059) => Min Interval: 10, Max Interval: 45
Student(ID2060) => Min Interval: 13, Max Interval: 43
Student(ID2061) => Min Interval: 17, Max Interval: 49
Student(ID2063) => Min Interval: 6, Max Interval: 44
Student(ID2065) => Min Interval: 12, Max Interval: 41
Student(ID2066) => Min Interval: 18, Max Interval: 37
Student(ID2072) => Min Interval: 4, Max Interval: 25
Student(ID2074) => Min Interval: 5, Max Interval: 43
Student(ID2075) => Min Interval: 3, Max Interval: 48
Student(ID2079) => Min Interval: 1, Max Interval: 41
Student(ID2082) => Min Interval: 12, Max Interval: 49
Student(ID2084) => Min Interval: 7, Max Interval: 48
Student(ID2089) => Min Interval: 15, Max Interval: 35
Student(ID2092) => Min Interval: 2, Max Interval: 42
Student(ID2094) => Min Interval: 4, Max Interval: 44
Student(ID2096) => Min Interval: 5, Max Interval: 44
Student(ID2097) => Min Interval: 5, Max Interval: 45
Student(ID2098) => Min Interval: 4, Max Interval: 37
Student(ID2099) => Min Interval: 2, Max Interval: 41
Student(ID2102) => Min Interval: 4, Max Interval: 47
Student(ID2105) => Min Interval: 6, Max Interval: 47
Student(ID2108) => Min Interval: 4, Max Interval: 47
Student(ID2109) => Min Interval: 9, Max Interval: 45
Student(ID2111) => Min Interval: 1, Max Interval: 36
Student(ID2116) => Min Interval: 8, Max Interval: 48
Student(ID2118) => Min Interval: 5, Max Interval: 39
Student(ID2120) => Min Interval: 2, Max Interval: 40
