Stored fact information:
Student(ID4) => Min Interval: 5, Max Interval: 50
Student(ID187) => Min Interval: 18, Max Interval: 48
Student(ID190) => Min Interval: 10, Max Interval: 44
Student(ID192) => Min Interval: 7, Max Interval: 48
Student(ID193) => Min Interval: 16, Max Interval: 48
Student(ID195) => Min Interval: 10, Max Interval: 30
Student(ID197) => Min Interval: 0, Max Interval: 47
Student(ID198) => Min Interval: 1, Max Interval: 49
Student(ID200) => Min Interval: 12, Max Interval: 41
Student(ID207) => Min Interval: 7, Max Interval: 48
Student(ID209) => Min Interval: 4, Max Interval: 47
Student(ID210) => Min Interval: 2, Max Interval: 45
Student(ID217) => Min Interval: 5, Max Interval: 35
Student(ID219) => Min Interval: 4, Max Interval: 48
Student(ID221) => Min Interval: 4, Max Interval: 45
Student(ID227) => Min Interval: 3, Max Interval: 42
Student(ID229) => Min Interval: 6, Max Interval: 44
Student(ID231) => Min Interval: 4, Max Interval: 46
Student(ID233) => Min Interval: 2, Max Interval: 47
Student(ID234) => Min Interval: 26, Max Interval: 32
Student(ID236) => Min Interval: 17, Max Interval: 48
Student(ID238) => Min Interval: 13, Max Interval: 50
Student(ID239) => Min Interval: 4, Max Interval: 49
Student(ID240) => Min Interval: 7, Max Interval: 40
Student(ID241) => Min Interval: 3, Max Interval: 42
Student(ID243) => Min Interval: 0, Max Interval: 50
Student(ID244) => Min Interval: 8, Max Interval: 50
Student(ID246) => Min Interval: 18, Max Interval: 46
Student(ID256) => Min Interval: 8, Max Interval: 48
Student(ID263) => Min Interval: 2, Max Interval: 47
Student(ID266) => Min Interval: 3, Max Interval: 33
Student(ID268) => Min Interval: 3, Max Interval: 47
Student(ID270) => Min Interval: 1, Max Interval: 45
Student(ID271) => Min Interval: 11, Max Interval: 50
Student(ID277) => Min Interval: 4, Max Interval: 48
Student(ID278) => Min Interval: 7, Max Interval: 42
Student(ID279) => Min Interval: 3, Max Interval: 44
Student(ID283) => Min Interval: 14, Max Interval: 47
Student(ID289) => Min Interval: 1, Max Interval: 43
Student(ID292) => Min Interval: 0, Max Interval: 44
Student(ID293) => Min Interval: 11, Max Interval: 50
Student(ID295) => Min Interval: 10, Max Interval: 48
Student(ID297) => Min Interval: 9, Max Interval: 48
Student(ID299) => Min Interval: 4, Max Interval: 17
Student(ID303) => Min Interval: 7, Max Interval: 49
Student(ID305) => Min Interval: 1, Max Interval: 45
Student(ID309) => Min Interval: 10, Max Interval: 50
Student(ID311) => Min Interval: 4, Max Interval: 17
Student(ID312) => Min Interval: 3, Max Interval: 47
Student(ID315) => Min Interval: 1, Max Interval: 37
Student(ID316) => Min Interval: 0, Max Interval: 43
Student(ID318) => Min Interval: 8, Max Interval: 49
Student(ID319) => Min Interval: 4, Max Interval: 47
Student(ID320) => Min Interval: 8, Max Interval: 40
Student(ID321) => Min Interval: 4, Max Interval: 46
Student(ID326) => Min Interval: 13, Max Interval: 43
Student(ID328) => Min Interval: 5, Max Interval: 50
Student(ID330) => Min Interval: 2, Max Interval: 37
Student(ID331) => Min Interval: 17, Max Interval: 50
Student(ID332) => Min Interval: 10, Max Interval: 50
Student(ID335) => Min Interval: 2, Max Interval: 43
Student(ID338) => Min Interval: 3, Max Interval: 39
Student(ID340) => Min Interval: 13, Max Interval: 25
Student(ID344) => Min Interval: 0, Max Interval: 40
Student(ID350) => Min Interval: 3, Max Interval: 46
Student(ID351) => Min Interval: 8, Max Interval: 48
Student(ID353) => Min Interval: 2, Max Interval: 33
Student(ID354) => Min Interval: 7, Max Interval: 47
Student(ID356) => Min Interval: 4, Max Interval: 43
Student(ID358) => Min Interval: 9, Max Interval: 39
Student(ID361) => Min Interval: 4, Max Interval: 36
Student(ID363) => Min Interval: 18, Max Interval: 42
Student(ID364) => Min Interval: 12, Max Interval: 48
Student(ID366) => Min Interval: 9, Max Interval: 41
Student(ID369) => Min Interval: 9, Max Interval: 46
Student(ID371) => Min Interval: 2, Max Interval: 46
Student(ID372) => Min Interval: 10, Max Interval: 49
Student(ID374) => Min Interval: 3, Max Interval: 47
Student(ID376) => Min Interval: 15, Max Interval: 47
Student(ID380) => Min Interval: 26, Max Interval: 45
Student(ID382) => Min Interval: 6, Max Interval: 41
Student(ID383) => Min Interval: 8, Max Interval: 43
Student(ID384) => Min Interval: 19, Max Interval: 42
Student(ID388) => Min Interval: 13, Max Interval: 46
Student(ID390) => Min Interval: 33, Max Interval: 39
Student(ID392) => Min Interval: 3, Max Interval: 45
Student(ID393) => Min Interval: 7, Max Interval: 47
Student(ID396) => Min Interval: 6, Max Interval: 49
Student(ID400) => Min Interval: 15, Max Interval: 43
Student(ID404) => Min Interval: 6, Max Interval: 37
Student(ID405) => Min Interval: 5, Max Interval: 42
Student(ID412) => Min Interval: 11, Max Interval: 48
Student(ID413) => Min Interval: 3, Max Interval: 42
Student(ID415) => Min Interval: 10, Max Interval: 39
Student(ID417) => Min Interval: 25, Max Interval: 48
Student(ID418) => Min Interval: 11, Max Interval: 43
Student(ID419) => Min Interval: 8, Max Interval: 46
Student(ID420) => Min Interval: 1, Max Interval: 37
Student(ID421) => Min Interval: 3, Max Interval: 48
Student(ID423) => Min Interval: 9, Max Interval: 48
Student(ID429) => Min Interval: 2, Max Interval: 31
Student(ID431) => Min Interval: 1, Max Interval: 46
Student(ID432) => Min Interval: 5, Max Interval: 50
Student(ID434) => Min Interval: 6, Max Interval: 41
Student(ID437) => Min Interval: 4, Max Interval: 41
Student(ID438) => Min Interval: 3, Max Interval: 48
Student(ID441) => Min Interval: 4, Max Interval: 44
Student(ID443) => Min Interval: 10, Max Interval: 38
Student(ID444) => Min Interval: 11, Max Interval: 22
Student(ID446) => Min Interval: 5, Max Interval: 43
Student(ID449) => Min Interval: 3, Max Interval: 44
Student(ID452) => Min Interval: 10, Max Interval: 43
Student(ID453) => Min Interval: 9, Max Interval: 50
Student(ID454) => Min Interval: 7, Max Interval: 48
Student(ID455) => Min Interval: 1, Max Interval: 44
Student(ID456) => Min Interval: 6, Max Interval: 48
Student(ID458) => Min Interval: 6, Max Interval: 47
Student(ID460) => Min Interval: 12, Max Interval: 45
Student(ID463) => Min Interval: 1, Max Interval: 41
Student(ID465) => Min Interval: 0, Max Interval: 43
Student(ID468) => Min Interval: 5, Max Interval: 48
Student(ID469) => Min Interval: 12, Max Interval: 41
Student(ID472) => Min Interval: 4, Max Interval: 43
Student(ID473) => Min Interval: 16, Max Interval: 46
Student(ID474) => Min Interval: 8, Max Interval: 42
Student(ID475) => Min Interval: 10, Max Interval: 40
Student(ID477) => Min Interval: 0, Max Interval: 50
Student(ID478) => Min Interval: 6, Max Interval: 39
Student(ID480) => Min Interval: 6, Max Interval: 43
Student(ID481) => Min Interval: 0, Max Interval: 46
Student(ID484) => Min Interval: 1, Max Interval: 47
Student(ID487) => Min Interval: 8, Max Interval: 33
Student(ID496) => Min Interval: 5, Max Interval: 38
Student(ID499) => Min Interval: 5, Max Interval: 48
Student(ID501) => Min Interval: 2, Max Interval: 48
Student(ID503) => Min Interval: 8, Max Interval: 45
Student(ID508) => Min Interval: 3, Max Interval: 43
Student(ID509) => Min Interval: 2, Max Interval: 49
Student(ID511) => Min Interval: 9, Max Interval: 49
Student(ID515) => Min Interval: 9, Max Interval: 49
Student(ID516) => Min Interval: 0, Max Interval: 46
Student(ID518) => Min Interval: 10, Max Interval: 37
Student(ID525) => Min Interval: 0, Max Interval: 45
Student(ID531) => Min Interval: 5, Max Interval: 43
Student(ID533) => Min Interval: 8, Max Interval: 45
Student(ID536) => Min Interval: 0, Max Interval: 49
Student(ID542) => Min Interval: 15, Max Interval: 42
Student(ID544) => Min Interval: 12, Max Interval: 42
Student(ID545) => Min Interval: 1, Max Interval: 47
Student(ID546) => Min Interval: 4, Max Interval: 50
Student(ID547) => Min Interval: 11, Max Interval: 47
Student(ID551) => Min Interval: 13, Max Interval: 47
Student(ID552) => Min Interval: 11, Max Interval: 36
Student(ID554) => Min Interval: 13, Max Interval: 48
Student(ID555) => Min Interval: 36, Max Interval: 44
Student(ID558) => Min Interval: 19, Max Interval: 46
Student(ID564) => Min Interval: 4, Max Interval: 49
Student(ID566) => Min Interval: 8, Max Interval: 35
Student(ID572) => Min Interval: 1, Max Interval: 44
Student(ID576) => Min Interval: 4, Max Interval: 48
Student(ID578) => Min Interval: 6, Max Interval: 40
Student(ID580) => Min Interval: 2, Max Interval: 47
Student(ID584) => Min Interval: 27, Max Interval: 44
Student(ID587) => Min Interval: 7, Max Interval: 43
Student(ID588) => Min Interval: 5, Max Interval: 46
Student(ID601) => Min Interval: 2, Max Interval: 28
Student(ID604) => Min Interval: 6, Max Interval: 43
Student(ID605) => Min Interval: 10, Max Interval: 47
Student(ID608) => Min Interval: 2, Max Interval: 48
Student(ID609) => Min Interval: 3, Max Interval: 50
Student(ID611) => Min Interval: 6, Max Interval: 41
Student(ID618) => Min Interval: 11, Max Interval: 46
Student(ID620) => Min Interval: 35, Max Interval: 49
Student(ID624) => Min Interval: 1, Max Interval: 47
Student(ID630) => Min Interval: 3, Max Interval: 41
Student(ID634) => Min Interval: 1, Max Interval: 43
Student(ID635) => Min Interval: 2, Max Interval: 39
Student(ID638) => Min Interval: 6, Max Interval: 45
Student(ID640) => Min Interval: 0, Max Interval: 29
Student(ID644) => Min Interval: 9, Max Interval: 48
Student(ID647) => Min Interval: 0, Max Interval: 38
Student(ID648) => Min Interval: 0, Max Interval: 46
Student(ID649) => Min Interval: 0, Max Interval: 38
Student(ID651) => Min Interval: 9, Max Interval: 39
Student(ID653) => Min Interval: 11, Max Interval: 48
Student(ID660) => Min Interval: 6, Max Interval: 46
Student(ID664) => Min Interval: 18, Max Interval: 45
Student(ID668) => Min Interval: 1, Max Interval: 49
Student(ID674) => Min Interval: 20, Max Interval: 41
Student(ID676) => Min Interval: 15, Max Interval: 49
Student(ID679) => Min Interval: 8, Max Interval: 41
Student(ID681) => Min Interval: 4, Max Interval: 30
Student(ID682) => Min Interval: 7, Max Interval: 44
Student(ID684) => Min Interval: 5, Max Interval: 44
Student(ID686) => Min Interval: 8, Max Interval: 43
Student(ID688) => Min Interval: 2, Max Interval: 39
Student(ID692) => Min Interval: 5, Max Interval: 41
Student(ID695) => Min Interval: 13, Max Interval: 48
Student(ID697) => Min Interval: 0, Max Interval: 48
Student(ID699) => Min Interval: 5, Max Interval: 45
Student(ID701) => Min Interval: 4, Max Interval: 47
Student(ID707) => Min Interval: 8, Max Interval: 49
Student(ID712) => Min Interval: 4, Max Interval: 37
Student(ID721) => Min Interval: 5, Max Interval: 42
Student(ID723) => Min Interval: 2, Max Interval: 47
Student(ID726) => Min Interval: 10, Max Interval: 43
Student(ID727) => Min Interval: 11, Max Interval: 49
Student(ID732) => Min Interval: 0, Max Interval: 47
Student(ID736) => Min Interval: 3, Max Interval: 44
Student(ID743) => Min Interval: 5, Max Interval: 21
Student(ID745) => Min Interval: 5, Max Interval: 49
Student(ID747) => Min Interval: 4, Max Interval: 44
Student(ID748) => Min Interval: 5, Max Interval: 48
Student(ID753) => Min Interval: 0, Max Interval: 50
Student(ID758) => Min Interval: 4, Max Interval: 46
Student(ID763) => Min Interval: 16, Max Interval: 50
Student(ID764) => Min Interval: 9, Max Interval: 49
Student(ID766) => Min Interval: 1, Max Interval: 47
Student(ID768) => Min Interval: 0, Max Interval: 45
Student(ID771) => Min Interval: 3, Max Interval: 43
Student(ID775) => Min Interval: 3, Max Interval: 46
Student(ID778) => Min Interval: 7, Max Interval: 33
Student(ID780) => Min Interval: 7, Max Interval: 46
Student(ID793) => Min Interval: 0, Max Interval: 48
Student(ID799) => Min Interval: 4, Max Interval: 42
Student(ID804) => Min Interval: 7, Max Interval: 44
Student(ID811) => Min Interval: 8, Max Interval: 45
Student(ID816) => Min Interval: 11, Max Interval: 46
Student(ID817) => Min Interval: 4, Max Interval: 44
Student(ID819) => Min Interval: 10, Max Interval: 50
Student(ID821) => Min Interval: 4, Max Interval: 48
Student(ID827) => Min Interval: 4, Max Interval: 39
Student(ID832) => Min Interval: 11, Max Interval: 40
Student(ID841) => Min Interval: 7, Max Interval: 46
Student(ID842) => Min Interval: 0, Max Interval: 46
Student(ID852) => Min Interval: 7, Max Interval: 49
Student(ID857) => Min Interval: 9, Max Interval: 46
Student(ID859) => Min Interval: 5, Max Interval: 28
Student(ID865) => Min Interval: 3, Max Interval: 45
Student(ID867) => Min Interval: 2, Max Interval: 43
Student(ID870) => Min Interval: 9, Max Interval: 49
Student(ID871) => Min Interval: 16, Max Interval: 47
Student(ID874) => Min Interval: 1, Max Interval: 46
Student(ID877) => Min Interval: 15, Max Interval: 38
Student(ID884) => Min Interval: 4, Max Interval: 50
Student(ID888) => Min Interval: 7, Max Interval: 46
Student(ID890) => Min Interval: 6, Max Interval: 45
Student(ID891) => Min Interval: 3, Max Interval: 43
Student(ID893) => Min Interval: 9, Max Interval: 35
Student(ID898) => Min Interval: 7, Max Interval: 32
Student(ID899) => Min Interval: 7, Max Interval: 47
Student(ID901) => Min Interval: 2, Max Interval: 44
Student(ID908) => Min Interval: 1, Max Interval: 46
Student(ID911) => Min Interval: 6, Max Interval: 43
Student(ID913) => Min Interval: 5, Max Interval: 36
Student(ID923) => Min Interval: 2, Max Interval: 41
Student(ID928) => Min Interval: 0, Max Interval: 41
Student(ID930) => Min Interval: 3, Max Interval: 46
Student(ID940) => Min Interval: 14, Max Interval: 43
Student(ID946) => Min Interval: 8, Max Interval: 41
Student(ID949) => Min Interval: 6, Max Interval: 39
Student(ID955) => Min Interval: 3, Max Interval: 46
Student(ID959) => Min Interval: 14, Max Interval: 43
Student(ID963) => Min Interval: 3, Max Interval: 50
Student(ID978) => Min Interval: 1, Max Interval: 35
Student(ID979) => Min Interval: 8, Max Interval: 50
Student(ID980) => Min Interval: 2, Max Interval: 48
Student(ID983) => Min Interval: 0, Max Interval: 47
Student(ID986) => Min Interval: 0, Max Interval: 49
Student(ID991) => Min Interval: 1, Max Interval: 26
Student(ID993) => Min Interval: 12, Max Interval: 38
Student(ID999) => Min Interval: 25, Max Interval: 48
Student(ID1000) => Min Interval: 7, Max Interval: 47
Student(ID1002) => Min Interval: 2, Max Interval: 48
Student(ID1004) => Min Interval: 11, Max Interval: 45
Student(ID1007) => Min Interval: 1, Max Interval: 44
Student(ID1008) => Min Interval: 0, Max Interval: 50
Student(ID1013) => Min Interval: 14, Max Interval: 38
Student(ID1014) => Min Interval: 6, Max Interval: 45
Student(ID1024) => Min Interval: 4, Max Interval: 39
Student(ID1030) => Min Interval: 3, Max Interval: 48
Student(ID1038) => Min Interval: 0, Max Interval: 48
Student(ID1041) => Min Interval: 1, Max Interval: 49
Student(ID1044) => Min Interval: 4, Max Interval: 44
Student(ID1048) => Min Interval: 21, Max Interval: 42
Student(ID1053) => Min Interval: 7, Max Interval: 49
Student(ID1056) => Min Interval: 0, Max Interval: 36
Student(ID1062) => Min Interval: 3, Max Interval: 48
Student(ID1063) => Min Interval: 12, Max Interval: 42
Student(ID1070) => Min Interval: 0, Max Interval: 34
Student(ID1080) => Min Interval: 0, Max Interval: 32
Student(ID1082) => Min Interval: 7, Max Interval: 42
Student(ID1086) => Min Interval: 6, Max Interval: 35
Student(ID1088) => Min Interval: 9, Max Interval: 43
Student(ID1091) => Min Interval: 6, Max Interval: 42
Student(ID1093) => Min Interval: 21, Max Interval: 28
Student(ID1098) => Min Interval: 12, Max Interval: 37
Student(ID1104) => Min Interval: 9, Max Interval: 27
Student(ID1110) => Min Interval: 4, Max Interval: 39
Student(ID1111) => Min Interval: 2, Max Interval: 25
Student(ID1126) => Min Interval: 6, Max Interval: 27
Student(ID1137) => Min Interval: 4, Max Interval: 41
Student(ID1145) => Min Interval: 4, Max Interval: 45
Student(ID1150) => Min Interval: 6, Max Interval: 43
Student(ID1155) => Min Interval: 16, Max Interval: 41
Student(ID1187) => Min Interval: 8, Max Interval: 40
Student(ID1192) => Min Interval: 14, Max Interval: 40
Student(ID1211) => Min Interval: 3, Max Interval: 50
Student(ID1228) => Min Interval: 7, Max Interval: 48
Student(ID1233) => Min Interval: 8, Max Interval: 48
Student(ID1251) => Min Interval: 3, Max Interval: 44
Student(ID1281) => Min Interval: 9, Max Interval: 42
Student(ID1293) => Min Interval: 9, Max Interval: 40
Student(ID1306) => Min Interval: 5, Max Interval: 47
Student(ID1324) => Min Interval: 2, Max Interval: 47
Student(ID1351) => Min Interval: 7, Max Interval: 43
Student(ID1353) => Min Interval: 2, Max Interval: 50
Student(ID1363) => Min Interval: 1, Max Interval: 44
Student(ID1401) => Min Interval: 3, Max Interval: 48
Student(ID1633) => Min Interval: 14, Max Interval: 45
Student(ID1655) => Min Interval: 4, Max Interval: 43
Student(ID1656) => Min Interval: 30, Max Interval: 47
Student(ID1680) => Min Interval: 0, Max Interval: 25
Student(ID1692) => Min Interval: 18, Max Interval: 47
Student(ID1696) => Min Interval: 1, Max Interval: 30
Student(ID1712) => Min Interval: 6, Max Interval: 50
Student(ID1716) => Min Interval: 13, Max Interval: 35
Student(ID1746) => Min Interval: 18, Max Interval: 30
Student(ID1748) => Min Interval: 3, Max Interval: 29
Student(ID1765) => Min Interval: 27, Max Interval: 34
Student(ID1791) => Min Interval: 13, Max Interval: 48
Student(ID1798) => Min Interval: 3, Max Interval: 42
Student(ID1809) => Min Interval: 26, Max Interval: 35
Student(ID1812) => Min Interval: 3, Max Interval: 46
Student(ID1858) => Min Interval: 7, Max Interval: 42
Student(ID1916) => Min Interval: 10, Max Interval: 47
Student(ID1974) => Min Interval: 12, Max Interval: 47
Student(ID1980) => Min Interval: 0, Max Interval: 46
Student(ID1984) => Min Interval: 7, Max Interval: 48
Student(ID2007) => Min Interval: 1, Max Interval: 50
