Stored fact information:
SmartStudent(ID4) => Min Interval: 8, Max Interval: 22
SmartStudent(ID297) => Min Interval: 6, Max Interval: 45
SmartStudent(ID299) => Min Interval: 9, Max Interval: 21
SmartStudent(ID303) => Min Interval: 7, Max Interval: 42
SmartStudent(ID305) => Min Interval: 18, Max Interval: 36
SmartStudent(ID309) => Min Interval: 22, Max Interval: 39
SmartStudent(ID311) => Min Interval: 11, Max Interval: 30
SmartStudent(ID312) => Min Interval: 24, Max Interval: 30
SmartStudent(ID315) => Min Interval: 6, Max Interval: 29
SmartStudent(ID316) => Min Interval: 2, Max Interval: 23
SmartStudent(ID318) => Min Interval: 17, Max Interval: 49
SmartStudent(ID319) => Min Interval: 23, Max Interval: 42
SmartStudent(ID320) => Min Interval: 38, Max Interval: 49
SmartStudent(ID321) => Min Interval: 3, Max Interval: 31
SmartStudent(ID328) => Min Interval: 15, Max Interval: 48
SmartStudent(ID330) => Min Interval: 25, Max Interval: 49
SmartStudent(ID331) => Min Interval: 20, Max Interval: 50
SmartStudent(ID335) => Min Interval: 4, Max Interval: 17
SmartStudent(ID338) => Min Interval: 9, Max Interval: 21
SmartStudent(ID340) => Min Interval: 27, Max Interval: 31
SmartStudent(ID344) => Min Interval: 15, Max Interval: 35
SmartStudent(ID350) => Min Interval: 11, Max Interval: 41
SmartStudent(ID351) => Min Interval: 11, Max Interval: 48
SmartStudent(ID353) => Min Interval: 6, Max Interval: 9
SmartStudent(ID354) => Min Interval: 26, Max Interval: 32
SmartStudent(ID356) => Min Interval: 13, Max Interval: 36
SmartStudent(ID358) => Min Interval: 5, Max Interval: 40
SmartStudent(ID361) => Min Interval: 15, Max Interval: 25
SmartStudent(ID363) => Min Interval: 12, Max Interval: 45
SmartStudent(ID364) => Min Interval: 26, Max Interval: 41
SmartStudent(ID366) => Min Interval: 10, Max Interval: 27
SmartStudent(ID369) => Min Interval: 5, Max Interval: 40
SmartStudent(ID371) => Min Interval: 37, Max Interval: 50
SmartStudent(ID372) => Min Interval: 21, Max Interval: 49
SmartStudent(ID374) => Min Interval: 26, Max Interval: 46
SmartStudent(ID376) => Min Interval: 20, Max Interval: 42
SmartStudent(ID380) => Min Interval: 33, Max Interval: 45
SmartStudent(ID382) => Min Interval: 14, Max Interval: 41
SmartStudent(ID383) => Min Interval: 4, Max Interval: 18
SmartStudent(ID384) => Min Interval: 38, Max Interval: 40
SmartStudent(ID388) => Min Interval: 16, Max Interval: 42
SmartStudent(ID390) => Min Interval: 11, Max Interval: 45
SmartStudent(ID392) => Min Interval: 4, Max Interval: 46
SmartStudent(ID393) => Min Interval: 9, Max Interval: 47
SmartStudent(ID396) => Min Interval: 9, Max Interval: 36
SmartStudent(ID400) => Min Interval: 8, Max Interval: 45
SmartStudent(ID404) => Min Interval: 13, Max Interval: 29
SmartStudent(ID405) => Min Interval: 28, Max Interval: 31
SmartStudent(ID412) => Min Interval: 32, Max Interval: 37
SmartStudent(ID413) => Min Interval: 20, Max Interval: 37
SmartStudent(ID415) => Min Interval: 15, Max Interval: 37
SmartStudent(ID417) => Min Interval: 34, Max Interval: 41
SmartStudent(ID418) => Min Interval: 11, Max Interval: 32
SmartStudent(ID419) => Min Interval: 32, Max Interval: 46
SmartStudent(ID420) => Min Interval: 8, Max Interval: 33
SmartStudent(ID421) => Min Interval: 7, Max Interval: 34
SmartStudent(ID423) => Min Interval: 31, Max Interval: 42
SmartStudent(ID429) => Min Interval: 5, Max Interval: 31
SmartStudent(ID431) => Min Interval: 3, Max Interval: 28
SmartStudent(ID432) => Min Interval: 10, Max Interval: 46
SmartStudent(ID434) => Min Interval: 12, Max Interval: 31
SmartStudent(ID437) => Min Interval: 12, Max Interval: 32
SmartStudent(ID438) => Min Interval: 8, Max Interval: 17
SmartStudent(ID443) => Min Interval: 3, Max Interval: 30
SmartStudent(ID446) => Min Interval: 6, Max Interval: 33
SmartStudent(ID449) => Min Interval: 11, Max Interval: 35
SmartStudent(ID452) => Min Interval: 17, Max Interval: 43
SmartStudent(ID453) => Min Interval: 15, Max Interval: 34
SmartStudent(ID454) => Min Interval: 7, Max Interval: 48
SmartStudent(ID455) => Min Interval: 7, Max Interval: 29
SmartStudent(ID456) => Min Interval: 17, Max Interval: 46
SmartStudent(ID458) => Min Interval: 8, Max Interval: 45
SmartStudent(ID460) => Min Interval: 12, Max Interval: 40
SmartStudent(ID463) => Min Interval: 7, Max Interval: 46
SmartStudent(ID465) => Min Interval: 3, Max Interval: 39
SmartStudent(ID469) => Min Interval: 7, Max Interval: 24
SmartStudent(ID472) => Min Interval: 29, Max Interval: 47
SmartStudent(ID473) => Min Interval: 22, Max Interval: 37
SmartStudent(ID474) => Min Interval: 8, Max Interval: 15
SmartStudent(ID475) => Min Interval: 5, Max Interval: 43
SmartStudent(ID477) => Min Interval: 13, Max Interval: 49
SmartStudent(ID478) => Min Interval: 4, Max Interval: 19
SmartStudent(ID480) => Min Interval: 11, Max Interval: 39
SmartStudent(ID481) => Min Interval: 26, Max Interval: 46
SmartStudent(ID484) => Min Interval: 11, Max Interval: 20
SmartStudent(ID487) => Min Interval: 11, Max Interval: 25
SmartStudent(ID496) => Min Interval: 10, Max Interval: 43
SmartStudent(ID499) => Min Interval: 10, Max Interval: 47
SmartStudent(ID501) => Min Interval: 26, Max Interval: 47
SmartStudent(ID503) => Min Interval: 12, Max Interval: 43
SmartStudent(ID508) => Min Interval: 10, Max Interval: 24
SmartStudent(ID509) => Min Interval: 12, Max Interval: 42
SmartStudent(ID511) => Min Interval: 11, Max Interval: 49
SmartStudent(ID515) => Min Interval: 16, Max Interval: 45
SmartStudent(ID518) => Min Interval: 7, Max Interval: 42
SmartStudent(ID525) => Min Interval: 7, Max Interval: 42
SmartStudent(ID531) => Min Interval: 8, Max Interval: 37
SmartStudent(ID533) => Min Interval: 8, Max Interval: 29
SmartStudent(ID536) => Min Interval: 21, Max Interval: 47
SmartStudent(ID542) => Min Interval: 16, Max Interval: 37
SmartStudent(ID544) => Min Interval: 31, Max Interval: 33
SmartStudent(ID545) => Min Interval: 20, Max Interval: 47
SmartStudent(ID546) => Min Interval: 10, Max Interval: 37
SmartStudent(ID547) => Min Interval: 22, Max Interval: 41
SmartStudent(ID551) => Min Interval: 15, Max Interval: 39
SmartStudent(ID552) => Min Interval: 16, Max Interval: 34
SmartStudent(ID554) => Min Interval: 27, Max Interval: 29
SmartStudent(ID558) => Min Interval: 10, Max Interval: 44
SmartStudent(ID564) => Min Interval: 10, Max Interval: 42
SmartStudent(ID566) => Min Interval: 17, Max Interval: 35
SmartStudent(ID572) => Min Interval: 39, Max Interval: 42
SmartStudent(ID576) => Min Interval: 3, Max Interval: 45
SmartStudent(ID578) => Min Interval: 10, Max Interval: 44
SmartStudent(ID580) => Min Interval: 5, Max Interval: 47
SmartStudent(ID584) => Min Interval: 33, Max Interval: 44
SmartStudent(ID587) => Min Interval: 23, Max Interval: 34
SmartStudent(ID588) => Min Interval: 23, Max Interval: 37
SmartStudent(ID594) => Min Interval: 7, Max Interval: 27
SmartStudent(ID601) => Min Interval: 12, Max Interval: 26
SmartStudent(ID604) => Min Interval: 9, Max Interval: 16
SmartStudent(ID605) => Min Interval: 15, Max Interval: 36
SmartStudent(ID608) => Min Interval: 17, Max Interval: 45
SmartStudent(ID609) => Min Interval: 7, Max Interval: 21
SmartStudent(ID611) => Min Interval: 13, Max Interval: 25
SmartStudent(ID618) => Min Interval: 12, Max Interval: 27
SmartStudent(ID620) => Min Interval: 37, Max Interval: 49
SmartStudent(ID624) => Min Interval: 11, Max Interval: 47
SmartStudent(ID630) => Min Interval: 9, Max Interval: 36
SmartStudent(ID634) => Min Interval: 9, Max Interval: 43
SmartStudent(ID635) => Min Interval: 14, Max Interval: 21
SmartStudent(ID638) => Min Interval: 20, Max Interval: 44
SmartStudent(ID640) => Min Interval: 23, Max Interval: 29
SmartStudent(ID644) => Min Interval: 10, Max Interval: 48
SmartStudent(ID647) => Min Interval: 9, Max Interval: 37
SmartStudent(ID649) => Min Interval: 8, Max Interval: 36
SmartStudent(ID651) => Min Interval: 19, Max Interval: 38
SmartStudent(ID653) => Min Interval: 28, Max Interval: 45
SmartStudent(ID660) => Min Interval: 14, Max Interval: 40
SmartStudent(ID664) => Min Interval: 23, Max Interval: 29
SmartStudent(ID668) => Min Interval: 4, Max Interval: 32
SmartStudent(ID674) => Min Interval: 28, Max Interval: 46
SmartStudent(ID676) => Min Interval: 25, Max Interval: 35
SmartStudent(ID679) => Min Interval: 22, Max Interval: 37
SmartStudent(ID681) => Min Interval: 5, Max Interval: 18
SmartStudent(ID682) => Min Interval: 9, Max Interval: 44
SmartStudent(ID684) => Min Interval: 5, Max Interval: 41
SmartStudent(ID686) => Min Interval: 12, Max Interval: 40
SmartStudent(ID688) => Min Interval: 15, Max Interval: 30
SmartStudent(ID692) => Min Interval: 8, Max Interval: 30
SmartStudent(ID695) => Min Interval: 9, Max Interval: 46
SmartStudent(ID697) => Min Interval: 8, Max Interval: 26
SmartStudent(ID699) => Min Interval: 10, Max Interval: 22
SmartStudent(ID701) => Min Interval: 18, Max Interval: 47
SmartStudent(ID707) => Min Interval: 21, Max Interval: 38
SmartStudent(ID712) => Min Interval: 21, Max Interval: 36
SmartStudent(ID721) => Min Interval: 5, Max Interval: 15
SmartStudent(ID723) => Min Interval: 8, Max Interval: 47
SmartStudent(ID726) => Min Interval: 15, Max Interval: 25
SmartStudent(ID727) => Min Interval: 33, Max Interval: 42
SmartStudent(ID732) => Min Interval: 2, Max Interval: 18
SmartStudent(ID736) => Min Interval: 3, Max Interval: 22
SmartStudent(ID743) => Min Interval: 15, Max Interval: 42
SmartStudent(ID745) => Min Interval: 35, Max Interval: 49
SmartStudent(ID747) => Min Interval: 11, Max Interval: 39
SmartStudent(ID748) => Min Interval: 5, Max Interval: 43
SmartStudent(ID753) => Min Interval: 5, Max Interval: 30
SmartStudent(ID758) => Min Interval: 17, Max Interval: 29
SmartStudent(ID763) => Min Interval: 21, Max Interval: 39
SmartStudent(ID764) => Min Interval: 16, Max Interval: 46
SmartStudent(ID766) => Min Interval: 2, Max Interval: 47
SmartStudent(ID768) => Min Interval: 4, Max Interval: 37
SmartStudent(ID771) => Min Interval: 20, Max Interval: 43
SmartStudent(ID775) => Min Interval: 28, Max Interval: 41
SmartStudent(ID778) => Min Interval: 12, Max Interval: 19
SmartStudent(ID780) => Min Interval: 15, Max Interval: 40
SmartStudent(ID793) => Min Interval: 5, Max Interval: 48
SmartStudent(ID799) => Min Interval: 21, Max Interval: 40
SmartStudent(ID804) => Min Interval: 20, Max Interval: 37
SmartStudent(ID811) => Min Interval: 30, Max Interval: 34
SmartStudent(ID816) => Min Interval: 24, Max Interval: 46
SmartStudent(ID817) => Min Interval: 4, Max Interval: 30
SmartStudent(ID819) => Min Interval: 13, Max Interval: 48
SmartStudent(ID821) => Min Interval: 12, Max Interval: 36
SmartStudent(ID827) => Min Interval: 9, Max Interval: 39
SmartStudent(ID832) => Min Interval: 16, Max Interval: 29
SmartStudent(ID841) => Min Interval: 19, Max Interval: 31
SmartStudent(ID842) => Min Interval: 30, Max Interval: 47
SmartStudent(ID852) => Min Interval: 12, Max Interval: 48
SmartStudent(ID857) => Min Interval: 9, Max Interval: 18
SmartStudent(ID859) => Min Interval: 17, Max Interval: 27
SmartStudent(ID865) => Min Interval: 33, Max Interval: 45
SmartStudent(ID867) => Min Interval: 15, Max Interval: 34
SmartStudent(ID870) => Min Interval: 23, Max Interval: 38
SmartStudent(ID871) => Min Interval: 21, Max Interval: 47
SmartStudent(ID874) => Min Interval: 17, Max Interval: 19
SmartStudent(ID877) => Min Interval: 15, Max Interval: 37
SmartStudent(ID884) => Min Interval: 7, Max Interval: 45
SmartStudent(ID888) => Min Interval: 16, Max Interval: 19
SmartStudent(ID890) => Min Interval: 27, Max Interval: 29
SmartStudent(ID891) => Min Interval: 23, Max Interval: 37
SmartStudent(ID893) => Min Interval: 10, Max Interval: 35
SmartStudent(ID898) => Min Interval: 10, Max Interval: 43
SmartStudent(ID899) => Min Interval: 10, Max Interval: 17
SmartStudent(ID901) => Min Interval: 12, Max Interval: 37
SmartStudent(ID908) => Min Interval: 9, Max Interval: 46
SmartStudent(ID911) => Min Interval: 10, Max Interval: 38
SmartStudent(ID913) => Min Interval: 11, Max Interval: 35
SmartStudent(ID923) => Min Interval: 16, Max Interval: 41
SmartStudent(ID928) => Min Interval: 24, Max Interval: 33
SmartStudent(ID930) => Min Interval: 2, Max Interval: 25
SmartStudent(ID940) => Min Interval: 45, Max Interval: 49
SmartStudent(ID946) => Min Interval: 18, Max Interval: 41
SmartStudent(ID949) => Min Interval: 6, Max Interval: 33
SmartStudent(ID955) => Min Interval: 5, Max Interval: 37
SmartStudent(ID959) => Min Interval: 18, Max Interval: 48
SmartStudent(ID963) => Min Interval: 5, Max Interval: 40
SmartStudent(ID978) => Min Interval: 4, Max Interval: 29
SmartStudent(ID979) => Min Interval: 9, Max Interval: 20
SmartStudent(ID980) => Min Interval: 26, Max Interval: 41
SmartStudent(ID986) => Min Interval: 6, Max Interval: 45
SmartStudent(ID991) => Min Interval: 7, Max Interval: 20
SmartStudent(ID999) => Min Interval: 16, Max Interval: 34
SmartStudent(ID1000) => Min Interval: 24, Max Interval: 32
SmartStudent(ID1002) => Min Interval: 4, Max Interval: 41
SmartStudent(ID1004) => Min Interval: 14, Max Interval: 40
SmartStudent(ID1008) => Min Interval: 6, Max Interval: 29
SmartStudent(ID1013) => Min Interval: 24, Max Interval: 33
SmartStudent(ID1014) => Min Interval: 12, Max Interval: 40
SmartStudent(ID1024) => Min Interval: 5, Max Interval: 38
SmartStudent(ID1030) => Min Interval: 12, Max Interval: 43
SmartStudent(ID1038) => Min Interval: 9, Max Interval: 50
SmartStudent(ID1041) => Min Interval: 11, Max Interval: 49
SmartStudent(ID1044) => Min Interval: 8, Max Interval: 38
SmartStudent(ID1048) => Min Interval: 34, Max Interval: 41
SmartStudent(ID1056) => Min Interval: 3, Max Interval: 33
SmartStudent(ID1062) => Min Interval: 6, Max Interval: 45
SmartStudent(ID1063) => Min Interval: 16, Max Interval: 41
SmartStudent(ID1070) => Min Interval: 8, Max Interval: 20
SmartStudent(ID1080) => Min Interval: 2, Max Interval: 29
SmartStudent(ID1082) => Min Interval: 11, Max Interval: 42
SmartStudent(ID1086) => Min Interval: 28, Max Interval: 49
SmartStudent(ID1088) => Min Interval: 13, Max Interval: 42
SmartStudent(ID1091) => Min Interval: 10, Max Interval: 27
SmartStudent(ID1093) => Min Interval: 5, Max Interval: 42
SmartStudent(ID1098) => Min Interval: 17, Max Interval: 36
SmartStudent(ID1104) => Min Interval: 9, Max Interval: 25
SmartStudent(ID1110) => Min Interval: 25, Max Interval: 36
SmartStudent(ID1111) => Min Interval: 6, Max Interval: 13
SmartStudent(ID1126) => Min Interval: 6, Max Interval: 16
SmartStudent(ID1137) => Min Interval: 9, Max Interval: 32
SmartStudent(ID1145) => Min Interval: 8, Max Interval: 46
SmartStudent(ID1150) => Min Interval: 13, Max Interval: 47
SmartStudent(ID1155) => Min Interval: 17, Max Interval: 39
SmartStudent(ID1187) => Min Interval: 26, Max Interval: 29
SmartStudent(ID1192) => Min Interval: 24, Max Interval: 32
SmartStudent(ID1211) => Min Interval: 12, Max Interval: 42
SmartStudent(ID1228) => Min Interval: 19, Max Interval: 43
SmartStudent(ID1233) => Min Interval: 30, Max Interval: 48
SmartStudent(ID1251) => Min Interval: 13, Max Interval: 44
SmartStudent(ID1281) => Min Interval: 28, Max Interval: 41
SmartStudent(ID1293) => Min Interval: 20, Max Interval: 35
SmartStudent(ID1306) => Min Interval: 29, Max Interval: 46
SmartStudent(ID1324) => Min Interval: 6, Max Interval: 38
SmartStudent(ID1351) => Min Interval: 19, Max Interval: 42
SmartStudent(ID1353) => Min Interval: 3, Max Interval: 46
SmartStudent(ID1363) => Min Interval: 17, Max Interval: 21
SmartStudent(ID1401) => Min Interval: 9, Max Interval: 25
