Stored fact information:
Faculty(ID0) => Min Interval: 0, Max Interval: 99
Faculty(ID511) => Min Interval: 19, Max Interval: 50
Faculty(ID515) => Min Interval: 24, Max Interval: 50
Faculty(ID518) => Min Interval: 6, Max Interval: 47
Faculty(ID525) => Min Interval: 8, Max Interval: 43
Faculty(ID531) => Min Interval: 7, Max Interval: 40
Faculty(ID533) => Min Interval: 16, Max Interval: 45
Faculty(ID536) => Min Interval: 20, Max Interval: 51
Faculty(ID542) => Min Interval: 23, Max Interval: 38
Faculty(ID544) => Min Interval: 20, Max Interval: 34
Faculty(ID545) => Min Interval: 9, Max Interval: 48
Faculty(ID546) => Min Interval: 18, Max Interval: 51
Faculty(ID547) => Min Interval: 9, Max Interval: 53
Faculty(ID551) => Min Interval: 32, Max Interval: 40
Faculty(ID552) => Min Interval: 24, Max Interval: 36
Faculty(ID554) => Min Interval: 32, Max Interval: 48
Faculty(ID555) => Min Interval: 3, Max Interval: 50
Faculty(ID558) => Min Interval: 5, Max Interval: 51
Faculty(ID564) => Min Interval: 18, Max Interval: 50
Faculty(ID576) => Min Interval: 5, Max Interval: 52
Faculty(ID578) => Min Interval: 0, Max Interval: 51
Faculty(ID580) => Min Interval: 10, Max Interval: 48
Faculty(ID587) => Min Interval: 26, Max Interval: 48
Faculty(ID588) => Min Interval: 13, Max Interval: 38
Faculty(ID594) => Min Interval: 4, Max Interval: 30
Faculty(ID598) => Min Interval: 4, Max Interval: 99
Faculty(ID601) => Min Interval: 10, Max Interval: 10
Faculty(ID605) => Min Interval: 23, Max Interval: 48
Faculty(ID608) => Min Interval: 12, Max Interval: 49
Faculty(ID609) => Min Interval: 15, Max Interval: 51
Faculty(ID611) => Min Interval: 14, Max Interval: 26
Faculty(ID618) => Min Interval: 19, Max Interval: 28
Faculty(ID630) => Min Interval: 17, Max Interval: 42
Faculty(ID635) => Min Interval: 13, Max Interval: 55
Faculty(ID638) => Min Interval: 14, Max Interval: 46
Faculty(ID640) => Min Interval: 19, Max Interval: 30
Faculty(ID644) => Min Interval: 18, Max Interval: 49
Faculty(ID647) => Min Interval: 8, Max Interval: 38
Faculty(ID648) => Min Interval: 8, Max Interval: 23
Faculty(ID649) => Min Interval: 16, Max Interval: 37
Faculty(ID651) => Min Interval: 27, Max Interval: 39
Faculty(ID653) => Min Interval: 19, Max Interval: 48
Faculty(ID656) => Min Interval: 0, Max Interval: 99
Faculty(ID660) => Min Interval: 22, Max Interval: 41
Faculty(ID664) => Min Interval: 31, Max Interval: 45
Faculty(ID668) => Min Interval: 9, Max Interval: 50
Faculty(ID674) => Min Interval: 31, Max Interval: 49
Faculty(ID676) => Min Interval: 33, Max Interval: 50
Faculty(ID679) => Min Interval: 30, Max Interval: 41
Faculty(ID681) => Min Interval: 13, Max Interval: 30
Faculty(ID682) => Min Interval: 17, Max Interval: 45
Faculty(ID684) => Min Interval: 13, Max Interval: 42
Faculty(ID686) => Min Interval: 20, Max Interval: 43
Faculty(ID688) => Min Interval: 10, Max Interval: 31
Faculty(ID692) => Min Interval: 13, Max Interval: 31
Faculty(ID695) => Min Interval: 8, Max Interval: 49
Faculty(ID697) => Min Interval: 8, Max Interval: 49
Faculty(ID699) => Min Interval: 5, Max Interval: 49
Faculty(ID701) => Min Interval: 26, Max Interval: 48
Faculty(ID707) => Min Interval: 29, Max Interval: 50
Faculty(ID712) => Min Interval: 12, Max Interval: 37
Faculty(ID723) => Min Interval: 16, Max Interval: 48
Faculty(ID726) => Min Interval: 18, Max Interval: 44
Faculty(ID732) => Min Interval: 8, Max Interval: 47
Faculty(ID736) => Min Interval: 11, Max Interval: 23
Faculty(ID743) => Min Interval: 18, Max Interval: 45
Faculty(ID745) => Min Interval: 38, Max Interval: 50
Faculty(ID747) => Min Interval: 11, Max Interval: 50
Faculty(ID748) => Min Interval: 13, Max Interval: 44
Faculty(ID753) => Min Interval: 8, Max Interval: 33
Faculty(ID763) => Min Interval: 24, Max Interval: 51
Faculty(ID764) => Min Interval: 17, Max Interval: 50
Faculty(ID766) => Min Interval: 9, Max Interval: 48
Faculty(ID768) => Min Interval: 8, Max Interval: 21
Faculty(ID771) => Min Interval: 28, Max Interval: 44
Faculty(ID775) => Min Interval: 36, Max Interval: 47
Faculty(ID780) => Min Interval: 15, Max Interval: 29
Faculty(ID793) => Min Interval: 8, Max Interval: 49
Faculty(ID804) => Min Interval: 4, Max Interval: 52
Faculty(ID811) => Min Interval: 28, Max Interval: 29
Faculty(ID816) => Min Interval: 36, Max Interval: 47
Faculty(ID817) => Min Interval: 18, Max Interval: 31
Faculty(ID819) => Min Interval: 21, Max Interval: 51
Faculty(ID821) => Min Interval: 24, Max Interval: 49
Faculty(ID827) => Min Interval: 17, Max Interval: 40
Faculty(ID832) => Min Interval: 19, Max Interval: 40
Faculty(ID842) => Min Interval: 29, Max Interval: 50
Faculty(ID852) => Min Interval: 15, Max Interval: 50
Faculty(ID859) => Min Interval: 13, Max Interval: 28
Faculty(ID867) => Min Interval: 23, Max Interval: 38
Faculty(ID870) => Min Interval: 31, Max Interval: 49
Faculty(ID871) => Min Interval: 29, Max Interval: 48
Faculty(ID874) => Min Interval: 3, Max Interval: 26
Faculty(ID877) => Min Interval: 23, Max Interval: 38
Faculty(ID884) => Min Interval: 26, Max Interval: 51
Faculty(ID890) => Min Interval: 3, Max Interval: 33
Faculty(ID891) => Min Interval: 11, Max Interval: 32
Faculty(ID893) => Min Interval: 18, Max Interval: 36
Faculty(ID898) => Min Interval: 3, Max Interval: 49
Faculty(ID901) => Min Interval: 6, Max Interval: 44
Faculty(ID908) => Min Interval: 17, Max Interval: 47
Faculty(ID911) => Min Interval: 5, Max Interval: 48
Faculty(ID913) => Min Interval: 19, Max Interval: 36
Faculty(ID923) => Min Interval: 10, Max Interval: 19
Faculty(ID928) => Min Interval: 8, Max Interval: 35
Faculty(ID930) => Min Interval: 3, Max Interval: 48
Faculty(ID940) => Min Interval: 8, Max Interval: 8
Faculty(ID946) => Min Interval: 26, Max Interval: 42
Faculty(ID955) => Min Interval: 11, Max Interval: 38
Faculty(ID959) => Min Interval: 18, Max Interval: 51
Faculty(ID963) => Min Interval: 13, Max Interval: 51
Faculty(ID978) => Min Interval: 9, Max Interval: 19
Faculty(ID979) => Min Interval: 17, Max Interval: 51
Faculty(ID980) => Min Interval: 10, Max Interval: 42
Faculty(ID983) => Min Interval: 8, Max Interval: 9
Faculty(ID986) => Min Interval: 8, Max Interval: 50
Faculty(ID991) => Min Interval: 9, Max Interval: 26
Faculty(ID999) => Min Interval: 6, Max Interval: 53
Faculty(ID1002) => Min Interval: 10, Max Interval: 42
Faculty(ID1004) => Min Interval: 35, Max Interval: 35
Faculty(ID1008) => Min Interval: 8, Max Interval: 30
Faculty(ID1013) => Min Interval: 11, Max Interval: 40
Faculty(ID1014) => Min Interval: 14, Max Interval: 41
Faculty(ID1024) => Min Interval: 16, Max Interval: 39
Faculty(ID1030) => Min Interval: 11, Max Interval: 49
Faculty(ID1038) => Min Interval: 6, Max Interval: 54
Faculty(ID1041) => Min Interval: 9, Max Interval: 50
Faculty(ID1044) => Min Interval: 16, Max Interval: 45
Faculty(ID1056) => Min Interval: 8, Max Interval: 34
Faculty(ID1062) => Min Interval: 3, Max Interval: 52
Faculty(ID1063) => Min Interval: 20, Max Interval: 42
Faculty(ID1070) => Min Interval: 8, Max Interval: 21
Faculty(ID1080) => Min Interval: 8, Max Interval: 30
Faculty(ID1082) => Min Interval: 19, Max Interval: 43
Faculty(ID1086) => Min Interval: 8, Max Interval: 54
Faculty(ID1091) => Min Interval: 14, Max Interval: 30
Faculty(ID1093) => Min Interval: 4, Max Interval: 49
Faculty(ID1104) => Min Interval: 17, Max Interval: 26
Faculty(ID1126) => Min Interval: 14, Max Interval: 27
Faculty(ID1137) => Min Interval: 12, Max Interval: 33
Faculty(ID1145) => Min Interval: 11, Max Interval: 53
Faculty(ID1150) => Min Interval: 12, Max Interval: 41
Faculty(ID1155) => Min Interval: 25, Max Interval: 42
Faculty(ID1187) => Min Interval: 16, Max Interval: 30
Faculty(ID1211) => Min Interval: 20, Max Interval: 51
Faculty(ID1228) => Min Interval: 27, Max Interval: 49
Faculty(ID1233) => Min Interval: 26, Max Interval: 49
Faculty(ID1251) => Min Interval: 11, Max Interval: 45
Faculty(ID1281) => Min Interval: 17, Max Interval: 42
Faculty(ID1293) => Min Interval: 17, Max Interval: 40
Faculty(ID1306) => Min Interval: 24, Max Interval: 47
Faculty(ID1324) => Min Interval: 10, Max Interval: 48
Faculty(ID1351) => Min Interval: 15, Max Interval: 43
Faculty(ID1353) => Min Interval: 42, Max Interval: 51
Faculty(ID1363) => Min Interval: 9, Max Interval: 33
Faculty(ID1633) => Min Interval: 22, Max Interval: 46
Faculty(ID1638) => Min Interval: 5, Max Interval: 99
Faculty(ID1640) => Min Interval: 8, Max Interval: 34
Faculty(ID1641) => Min Interval: 3, Max Interval: 47
Faculty(ID1647) => Min Interval: 3, Max Interval: 29
Faculty(ID1650) => Min Interval: 2, Max Interval: 49
Faculty(ID1652) => Min Interval: 11, Max Interval: 99
Faculty(ID1655) => Min Interval: 12, Max Interval: 44
Faculty(ID1656) => Min Interval: 38, Max Interval: 48
Faculty(ID1667) => Min Interval: 2, Max Interval: 46
Faculty(ID1680) => Min Interval: 8, Max Interval: 26
Faculty(ID1681) => Min Interval: 8, Max Interval: 99
Faculty(ID1691) => Min Interval: 5, Max Interval: 33
Faculty(ID1692) => Min Interval: 26, Max Interval: 48
Faculty(ID1696) => Min Interval: 9, Max Interval: 31
Faculty(ID1703) => Min Interval: 1, Max Interval: 46
Faculty(ID1704) => Min Interval: 0, Max Interval: 34
Faculty(ID1712) => Min Interval: 28, Max Interval: 51
Faculty(ID1714) => Min Interval: 8, Max Interval: 99
Faculty(ID1720) => Min Interval: 18, Max Interval: 24
Faculty(ID1721) => Min Interval: 41, Max Interval: 50
Faculty(ID1724) => Min Interval: 11, Max Interval: 43
Faculty(ID1735) => Min Interval: 17, Max Interval: 99
Faculty(ID1748) => Min Interval: 11, Max Interval: 30
Faculty(ID1779) => Min Interval: 4, Max Interval: 47
Faculty(ID1790) => Min Interval: 35, Max Interval: 49
Faculty(ID1791) => Min Interval: 21, Max Interval: 49
Faculty(ID1812) => Min Interval: 11, Max Interval: 25
Faculty(ID1833) => Min Interval: 2, Max Interval: 44
Faculty(ID1858) => Min Interval: 15, Max Interval: 43
Faculty(ID1863) => Min Interval: 9, Max Interval: 48
Faculty(ID1891) => Min Interval: 3, Max Interval: 34
Faculty(ID1896) => Min Interval: 5, Max Interval: 47
Faculty(ID1907) => Min Interval: 0, Max Interval: 36
Faculty(ID1911) => Min Interval: 5, Max Interval: 49
Faculty(ID1916) => Min Interval: 18, Max Interval: 48
Faculty(ID1924) => Min Interval: 4, Max Interval: 42
Faculty(ID1925) => Min Interval: 9, Max Interval: 43
Faculty(ID1968) => Min Interval: 21, Max Interval: 35
Faculty(ID1974) => Min Interval: 20, Max Interval: 48
Faculty(ID1980) => Min Interval: 8, Max Interval: 47
Faculty(ID1984) => Min Interval: 15, Max Interval: 36
Faculty(ID2007) => Min Interval: 9, Max Interval: 51
Faculty(ID2019) => Min Interval: 8, Max Interval: 35
