Stored fact information:
TeachingAssistant(ID10) => Min Interval: 15, Max Interval: 50
TeachingAssistant(ID3881) => Min Interval: 7, Max Interval: 45
TeachingAssistant(ID3887) => Min Interval: 2, Max Interval: 49
TeachingAssistant(ID3911) => Min Interval: 9, Max Interval: 41
TeachingAssistant(ID3935) => Min Interval: 3, Max Interval: 46
TeachingAssistant(ID3964) => Min Interval: 0, Max Interval: 49
TeachingAssistant(ID3979) => Min Interval: 1, Max Interval: 42
TeachingAssistant(ID4029) => Min Interval: 7, Max Interval: 49
TeachingAssistant(ID4060) => Min Interval: 10, Max Interval: 48
TeachingAssistant(ID4077) => Min Interval: 0, Max Interval: 39
TeachingAssistant(ID4081) => Min Interval: 9, Max Interval: 50
TeachingAssistant(ID4131) => Min Interval: 7, Max Interval: 45
TeachingAssistant(ID4153) => Min Interval: 6, Max Interval: 39
TeachingAssistant(ID4172) => Min Interval: 0, Max Interval: 44
TeachingAssistant(ID4186) => Min Interval: 12, Max Interval: 48
TeachingAssistant(ID4188) => Min Interval: 11, Max Interval: 43
TeachingAssistant(ID4226) => Min Interval: 0, Max Interval: 42
TeachingAssistant(ID4234) => Min Interval: 12, Max Interval: 50
TeachingAssistant(ID4243) => Min Interval: 3, Max Interval: 40
TeachingAssistant(ID4300) => Min Interval: 0, Max Interval: 49
TeachingAssistant(ID4323) => Min Interval: 7, Max Interval: 48
TeachingAssistant(ID4378) => Min Interval: 13, Max Interval: 47
TeachingAssistant(ID4386) => Min Interval: 0, Max Interval: 49
TeachingAssistant(ID4414) => Min Interval: 7, Max Interval: 49
TeachingAssistant(ID4522) => Min Interval: 16, Max Interval: 50
TeachingAssistant(ID4571) => Min Interval: 14, Max Interval: 44
TeachingAssistant(ID4670) => Min Interval: 3, Max Interval: 31
TeachingAssistant(ID4904) => Min Interval: 3, Max Interval: 45
TeachingAssistant(ID4907) => Min Interval: 1, Max Interval: 50
TeachingAssistant(ID5004) => Min Interval: 2, Max Interval: 42
TeachingAssistant(ID5070) => Min Interval: 1, Max Interval: 45
TeachingAssistant(ID5140) => Min Interval: 7, Max Interval: 39
TeachingAssistant(ID5217) => Min Interval: 6, Max Interval: 47
TeachingAssistant(ID5227) => Min Interval: 0, Max Interval: 50
TeachingAssistant(ID5235) => Min Interval: 6, Max Interval: 47
TeachingAssistant(ID5263) => Min Interval: 0, Max Interval: 44
TeachingAssistant(ID5277) => Min Interval: 6, Max Interval: 40
TeachingAssistant(ID5315) => Min Interval: 1, Max Interval: 43
TeachingAssistant(ID5320) => Min Interval: 3, Max Interval: 48
TeachingAssistant(ID5346) => Min Interval: 12, Max Interval: 40
TeachingAssistant(ID5364) => Min Interval: 0, Max Interval: 45
TeachingAssistant(ID5376) => Min Interval: 5, Max Interval: 43
TeachingAssistant(ID5397) => Min Interval: 4, Max Interval: 49
TeachingAssistant(ID5400) => Min Interval: 5, Max Interval: 48
TeachingAssistant(ID5462) => Min Interval: 0, Max Interval: 34
TeachingAssistant(ID5486) => Min Interval: 1, Max Interval: 40
TeachingAssistant(ID5503) => Min Interval: 3, Max Interval: 40
TeachingAssistant(ID5528) => Min Interval: 7, Max Interval: 49
TeachingAssistant(ID5556) => Min Interval: 1, Max Interval: 44
TeachingAssistant(ID5652) => Min Interval: 7, Max Interval: 49
TeachingAssistant(ID5718) => Min Interval: 8, Max Interval: 43
TeachingAssistant(ID5811) => Min Interval: 3, Max Interval: 33
TeachingAssistant(ID5900) => Min Interval: 11, Max Interval: 47
TeachingAssistant(ID6283) => Min Interval: 4, Max Interval: 44
TeachingAssistant(ID6294) => Min Interval: 13, Max Interval: 50
TeachingAssistant(ID6312) => Min Interval: 10, Max Interval: 45
TeachingAssistant(ID6339) => Min Interval: 18, Max Interval: 39
TeachingAssistant(ID6349) => Min Interval: 6, Max Interval: 39
TeachingAssistant(ID6359) => Min Interval: 7, Max Interval: 41
TeachingAssistant(ID6367) => Min Interval: 18, Max Interval: 44
TeachingAssistant(ID6419) => Min Interval: 5, Max Interval: 48
TeachingAssistant(ID6530) => Min Interval: 8, Max Interval: 44
TeachingAssistant(ID6589) => Min Interval: 1, Max Interval: 47
TeachingAssistant(ID6667) => Min Interval: 3, Max Interval: 49
TeachingAssistant(ID6721) => Min Interval: 1, Max Interval: 48
TeachingAssistant(ID6735) => Min Interval: 6, Max Interval: 36
TeachingAssistant(ID6741) => Min Interval: 0, Max Interval: 44
TeachingAssistant(ID6772) => Min Interval: 7, Max Interval: 50
TeachingAssistant(ID6824) => Min Interval: 5, Max Interval: 47
TeachingAssistant(ID6842) => Min Interval: 1, Max Interval: 47
TeachingAssistant(ID6909) => Min Interval: 5, Max Interval: 42
TeachingAssistant(ID6911) => Min Interval: 0, Max Interval: 45
TeachingAssistant(ID6919) => Min Interval: 7, Max Interval: 49
TeachingAssistant(ID6921) => Min Interval: 1, Max Interval: 32
TeachingAssistant(ID6961) => Min Interval: 12, Max Interval: 47
TeachingAssistant(ID6976) => Min Interval: 2, Max Interval: 47
TeachingAssistant(ID6987) => Min Interval: 5, Max Interval: 44
TeachingAssistant(ID6997) => Min Interval: 5, Max Interval: 42
TeachingAssistant(ID7026) => Min Interval: 0, Max Interval: 49
TeachingAssistant(ID7029) => Min Interval: 2, Max Interval: 50
TeachingAssistant(ID7098) => Min Interval: 3, Max Interval: 48
TeachingAssistant(ID7101) => Min Interval: 12, Max Interval: 39
TeachingAssistant(ID7184) => Min Interval: 0, Max Interval: 33
TeachingAssistant(ID7248) => Min Interval: 5, Max Interval: 49
TeachingAssistant(ID7278) => Min Interval: 2, Max Interval: 43
TeachingAssistant(ID7343) => Min Interval: 6, Max Interval: 47
TeachingAssistant(ID7627) => Min Interval: 1, Max Interval: 48
TeachingAssistant(ID7640) => Min Interval: 14, Max Interval: 46
TeachingAssistant(ID7676) => Min Interval: 9, Max Interval: 48
TeachingAssistant(ID7679) => Min Interval: 2, Max Interval: 19
TeachingAssistant(ID7692) => Min Interval: 2, Max Interval: 44
TeachingAssistant(ID7699) => Min Interval: 1, Max Interval: 50
TeachingAssistant(ID7727) => Min Interval: 8, Max Interval: 46
TeachingAssistant(ID7741) => Min Interval: 7, Max Interval: 47
TeachingAssistant(ID7786) => Min Interval: 6, Max Interval: 49
TeachingAssistant(ID7798) => Min Interval: 17, Max Interval: 50
TeachingAssistant(ID7823) => Min Interval: 5, Max Interval: 47
TeachingAssistant(ID7862) => Min Interval: 9, Max Interval: 36
TeachingAssistant(ID7901) => Min Interval: 3, Max Interval: 40
TeachingAssistant(ID7944) => Min Interval: 0, Max Interval: 43
TeachingAssistant(ID7963) => Min Interval: 6, Max Interval: 44
TeachingAssistant(ID7968) => Min Interval: 3, Max Interval: 33
TeachingAssistant(ID7974) => Min Interval: 15, Max Interval: 42
TeachingAssistant(ID8008) => Min Interval: 0, Max Interval: 42
TeachingAssistant(ID8011) => Min Interval: 1, Max Interval: 46
TeachingAssistant(ID8031) => Min Interval: 7, Max Interval: 40
TeachingAssistant(ID8054) => Min Interval: 0, Max Interval: 47
TeachingAssistant(ID8181) => Min Interval: 6, Max Interval: 49
TeachingAssistant(ID8203) => Min Interval: 0, Max Interval: 46
TeachingAssistant(ID8265) => Min Interval: 0, Max Interval: 38
TeachingAssistant(ID8316) => Min Interval: 9, Max Interval: 35
TeachingAssistant(ID8370) => Min Interval: 0, Max Interval: 47
TeachingAssistant(ID8503) => Min Interval: 2, Max Interval: 49
TeachingAssistant(ID8855) => Min Interval: 1, Max Interval: 50
TeachingAssistant(ID8862) => Min Interval: 2, Max Interval: 50
TeachingAssistant(ID8879) => Min Interval: 3, Max Interval: 45
TeachingAssistant(ID8882) => Min Interval: 4, Max Interval: 41
TeachingAssistant(ID8893) => Min Interval: 11, Max Interval: 49
TeachingAssistant(ID8908) => Min Interval: 0, Max Interval: 39
TeachingAssistant(ID8923) => Min Interval: 23, Max Interval: 50
TeachingAssistant(ID9001) => Min Interval: 2, Max Interval: 50
TeachingAssistant(ID9033) => Min Interval: 9, Max Interval: 33
TeachingAssistant(ID9070) => Min Interval: 7, Max Interval: 44
TeachingAssistant(ID9072) => Min Interval: 12, Max Interval: 50
TeachingAssistant(ID9121) => Min Interval: 15, Max Interval: 36
TeachingAssistant(ID9160) => Min Interval: 4, Max Interval: 44
TeachingAssistant(ID9185) => Min Interval: 5, Max Interval: 45
TeachingAssistant(ID9207) => Min Interval: 2, Max Interval: 31
TeachingAssistant(ID9231) => Min Interval: 0, Max Interval: 46
TeachingAssistant(ID9260) => Min Interval: 9, Max Interval: 35
TeachingAssistant(ID9313) => Min Interval: 6, Max Interval: 47
TeachingAssistant(ID9326) => Min Interval: 6, Max Interval: 50
TeachingAssistant(ID9370) => Min Interval: 3, Max Interval: 44
TeachingAssistant(ID9380) => Min Interval: 9, Max Interval: 41
TeachingAssistant(ID9423) => Min Interval: 11, Max Interval: 46
TeachingAssistant(ID9458) => Min Interval: 4, Max Interval: 49
TeachingAssistant(ID9509) => Min Interval: 10, Max Interval: 43
TeachingAssistant(ID9562) => Min Interval: 6, Max Interval: 38
TeachingAssistant(ID9981) => Min Interval: 6, Max Interval: 38
