Stored fact information:
AssistantProfessorCandidate(ID4) => Min Interval: 17, Max Interval: 48
AssistantProfessorCandidate(ID444) => Min Interval: 37, Max Interval: 49
AssistantProfessorCandidate(ID446) => Min Interval: 14, Max Interval: 21
AssistantProfessorCandidate(ID449) => Min Interval: 11, Max Interval: 39
AssistantProfessorCandidate(ID453) => Min Interval: 18, Max Interval: 48
AssistantProfessorCandidate(ID454) => Min Interval: 16, Max Interval: 46
AssistantProfessorCandidate(ID455) => Min Interval: 10, Max Interval: 27
AssistantProfessorCandidate(ID456) => Min Interval: 12, Max Interval: 46
AssistantProfessorCandidate(ID458) => Min Interval: 8, Max Interval: 52
AssistantProfessorCandidate(ID460) => Min Interval: 21, Max Interval: 38
AssistantProfessorCandidate(ID463) => Min Interval: 2, Max Interval: 50
AssistantProfessorCandidate(ID465) => Min Interval: 4, Max Interval: 40
AssistantProfessorCandidate(ID469) => Min Interval: 10, Max Interval: 51
AssistantProfessorCandidate(ID472) => Min Interval: 29, Max Interval: 50
AssistantProfessorCandidate(ID473) => Min Interval: 25, Max Interval: 35
AssistantProfessorCandidate(ID475) => Min Interval: 8, Max Interval: 43
AssistantProfessorCandidate(ID477) => Min Interval: 9, Max Interval: 48
AssistantProfessorCandidate(ID478) => Min Interval: 7, Max Interval: 11
AssistantProfessorCandidate(ID480) => Min Interval: 15, Max Interval: 21
AssistantProfessorCandidate(ID481) => Min Interval: 9, Max Interval: 44
AssistantProfessorCandidate(ID487) => Min Interval: 20, Max Interval: 23
AssistantProfessorCandidate(ID492) => Min Interval: 2, Max Interval: 36
AssistantProfessorCandidate(ID496) => Min Interval: 4, Max Interval: 50
AssistantProfessorCandidate(ID499) => Min Interval: 8, Max Interval: 47
AssistantProfessorCandidate(ID501) => Min Interval: 14, Max Interval: 48
AssistantProfessorCandidate(ID503) => Min Interval: 1, Max Interval: 50
AssistantProfessorCandidate(ID508) => Min Interval: 10, Max Interval: 28
AssistantProfessorCandidate(ID509) => Min Interval: 4, Max Interval: 49
AssistantProfessorCandidate(ID511) => Min Interval: 20, Max Interval: 47
AssistantProfessorCandidate(ID515) => Min Interval: 25, Max Interval: 47
AssistantProfessorCandidate(ID518) => Min Interval: 7, Max Interval: 44
AssistantProfessorCandidate(ID525) => Min Interval: 9, Max Interval: 40
AssistantProfessorCandidate(ID531) => Min Interval: 8, Max Interval: 37
AssistantProfessorCandidate(ID533) => Min Interval: 17, Max Interval: 42
AssistantProfessorCandidate(ID536) => Min Interval: 21, Max Interval: 48
AssistantProfessorCandidate(ID542) => Min Interval: 24, Max Interval: 35
AssistantProfessorCandidate(ID544) => Min Interval: 21, Max Interval: 31
AssistantProfessorCandidate(ID545) => Min Interval: 10, Max Interval: 45
AssistantProfessorCandidate(ID546) => Min Interval: 19, Max Interval: 48
AssistantProfessorCandidate(ID547) => Min Interval: 10, Max Interval: 50
AssistantProfessorCandidate(ID551) => Min Interval: 33, Max Interval: 37
AssistantProfessorCandidate(ID552) => Min Interval: 25, Max Interval: 33
AssistantProfessorCandidate(ID554) => Min Interval: 33, Max Interval: 45
AssistantProfessorCandidate(ID555) => Min Interval: 4, Max Interval: 47
AssistantProfessorCandidate(ID558) => Min Interval: 6, Max Interval: 48
AssistantProfessorCandidate(ID564) => Min Interval: 19, Max Interval: 47
AssistantProfessorCandidate(ID576) => Min Interval: 6, Max Interval: 49
AssistantProfessorCandidate(ID578) => Min Interval: 1, Max Interval: 48
AssistantProfessorCandidate(ID580) => Min Interval: 11, Max Interval: 45
AssistantProfessorCandidate(ID587) => Min Interval: 27, Max Interval: 45
AssistantProfessorCandidate(ID588) => Min Interval: 14, Max Interval: 35
AssistantProfessorCandidate(ID594) => Min Interval: 5, Max Interval: 27
AssistantProfessorCandidate(ID601) => Min Interval: 11, Max Interval: 13
AssistantProfessorCandidate(ID605) => Min Interval: 24, Max Interval: 45
AssistantProfessorCandidate(ID608) => Min Interval: 13, Max Interval: 46
AssistantProfessorCandidate(ID609) => Min Interval: 16, Max Interval: 48
AssistantProfessorCandidate(ID611) => Min Interval: 15, Max Interval: 23
AssistantProfessorCandidate(ID618) => Min Interval: 20, Max Interval: 25
AssistantProfessorCandidate(ID630) => Min Interval: 18, Max Interval: 39
AssistantProfessorCandidate(ID635) => Min Interval: 14, Max Interval: 52
AssistantProfessorCandidate(ID638) => Min Interval: 15, Max Interval: 43
AssistantProfessorCandidate(ID640) => Min Interval: 20, Max Interval: 27
AssistantProfessorCandidate(ID644) => Min Interval: 19, Max Interval: 46
AssistantProfessorCandidate(ID647) => Min Interval: 9, Max Interval: 35
AssistantProfessorCandidate(ID648) => Min Interval: 9, Max Interval: 20
AssistantProfessorCandidate(ID649) => Min Interval: 17, Max Interval: 34
AssistantProfessorCandidate(ID651) => Min Interval: 28, Max Interval: 36
AssistantProfessorCandidate(ID653) => Min Interval: 20, Max Interval: 45
AssistantProfessorCandidate(ID656) => Min Interval: 14, Max Interval: 53
AssistantProfessorCandidate(ID660) => Min Interval: 23, Max Interval: 38
AssistantProfessorCandidate(ID664) => Min Interval: 32, Max Interval: 42
AssistantProfessorCandidate(ID668) => Min Interval: 10, Max Interval: 47
AssistantProfessorCandidate(ID674) => Min Interval: 32, Max Interval: 46
AssistantProfessorCandidate(ID676) => Min Interval: 34, Max Interval: 47
AssistantProfessorCandidate(ID679) => Min Interval: 31, Max Interval: 38
AssistantProfessorCandidate(ID681) => Min Interval: 14, Max Interval: 27
AssistantProfessorCandidate(ID682) => Min Interval: 18, Max Interval: 42
AssistantProfessorCandidate(ID684) => Min Interval: 14, Max Interval: 39
AssistantProfessorCandidate(ID686) => Min Interval: 21, Max Interval: 40
AssistantProfessorCandidate(ID688) => Min Interval: 11, Max Interval: 28
AssistantProfessorCandidate(ID692) => Min Interval: 14, Max Interval: 28
AssistantProfessorCandidate(ID695) => Min Interval: 9, Max Interval: 46
AssistantProfessorCandidate(ID697) => Min Interval: 9, Max Interval: 46
AssistantProfessorCandidate(ID699) => Min Interval: 6, Max Interval: 46
AssistantProfessorCandidate(ID701) => Min Interval: 27, Max Interval: 45
AssistantProfessorCandidate(ID707) => Min Interval: 30, Max Interval: 47
AssistantProfessorCandidate(ID712) => Min Interval: 13, Max Interval: 34
AssistantProfessorCandidate(ID723) => Min Interval: 17, Max Interval: 45
AssistantProfessorCandidate(ID726) => Min Interval: 19, Max Interval: 41
AssistantProfessorCandidate(ID732) => Min Interval: 9, Max Interval: 44
AssistantProfessorCandidate(ID736) => Min Interval: 12, Max Interval: 20
AssistantProfessorCandidate(ID743) => Min Interval: 19, Max Interval: 42
AssistantProfessorCandidate(ID745) => Min Interval: 39, Max Interval: 47
AssistantProfessorCandidate(ID747) => Min Interval: 12, Max Interval: 47
AssistantProfessorCandidate(ID748) => Min Interval: 14, Max Interval: 41
AssistantProfessorCandidate(ID753) => Min Interval: 9, Max Interval: 30
AssistantProfessorCandidate(ID763) => Min Interval: 25, Max Interval: 48
AssistantProfessorCandidate(ID764) => Min Interval: 18, Max Interval: 47
AssistantProfessorCandidate(ID766) => Min Interval: 10, Max Interval: 45
AssistantProfessorCandidate(ID768) => Min Interval: 9, Max Interval: 18
AssistantProfessorCandidate(ID771) => Min Interval: 29, Max Interval: 41
AssistantProfessorCandidate(ID775) => Min Interval: 37, Max Interval: 44
AssistantProfessorCandidate(ID780) => Min Interval: 16, Max Interval: 26
AssistantProfessorCandidate(ID793) => Min Interval: 9, Max Interval: 46
AssistantProfessorCandidate(ID804) => Min Interval: 5, Max Interval: 49
AssistantProfessorCandidate(ID811) => Min Interval: 29, Max Interval: 32
AssistantProfessorCandidate(ID816) => Min Interval: 37, Max Interval: 44
AssistantProfessorCandidate(ID817) => Min Interval: 19, Max Interval: 28
AssistantProfessorCandidate(ID819) => Min Interval: 22, Max Interval: 48
AssistantProfessorCandidate(ID821) => Min Interval: 25, Max Interval: 46
AssistantProfessorCandidate(ID827) => Min Interval: 18, Max Interval: 37
AssistantProfessorCandidate(ID832) => Min Interval: 20, Max Interval: 37
AssistantProfessorCandidate(ID842) => Min Interval: 30, Max Interval: 47
AssistantProfessorCandidate(ID852) => Min Interval: 16, Max Interval: 47
AssistantProfessorCandidate(ID859) => Min Interval: 14, Max Interval: 25
AssistantProfessorCandidate(ID867) => Min Interval: 24, Max Interval: 35
AssistantProfessorCandidate(ID870) => Min Interval: 32, Max Interval: 46
AssistantProfessorCandidate(ID871) => Min Interval: 30, Max Interval: 45
AssistantProfessorCandidate(ID874) => Min Interval: 4, Max Interval: 23
AssistantProfessorCandidate(ID877) => Min Interval: 24, Max Interval: 35
AssistantProfessorCandidate(ID884) => Min Interval: 27, Max Interval: 48
AssistantProfessorCandidate(ID890) => Min Interval: 4, Max Interval: 30
AssistantProfessorCandidate(ID891) => Min Interval: 12, Max Interval: 35
AssistantProfessorCandidate(ID893) => Min Interval: 19, Max Interval: 33
AssistantProfessorCandidate(ID898) => Min Interval: 4, Max Interval: 46
AssistantProfessorCandidate(ID901) => Min Interval: 7, Max Interval: 41
AssistantProfessorCandidate(ID908) => Min Interval: 18, Max Interval: 44
AssistantProfessorCandidate(ID911) => Min Interval: 6, Max Interval: 45
AssistantProfessorCandidate(ID913) => Min Interval: 20, Max Interval: 33
AssistantProfessorCandidate(ID923) => Min Interval: 11, Max Interval: 16
AssistantProfessorCandidate(ID928) => Min Interval: 9, Max Interval: 32
AssistantProfessorCandidate(ID930) => Min Interval: 4, Max Interval: 45
AssistantProfessorCandidate(ID940) => Min Interval: 9, Max Interval: 11
AssistantProfessorCandidate(ID946) => Min Interval: 27, Max Interval: 39
AssistantProfessorCandidate(ID955) => Min Interval: 12, Max Interval: 35
AssistantProfessorCandidate(ID959) => Min Interval: 19, Max Interval: 48
AssistantProfessorCandidate(ID963) => Min Interval: 14, Max Interval: 48
AssistantProfessorCandidate(ID978) => Min Interval: 10, Max Interval: 16
AssistantProfessorCandidate(ID979) => Min Interval: 18, Max Interval: 48
AssistantProfessorCandidate(ID980) => Min Interval: 11, Max Interval: 39
AssistantProfessorCandidate(ID983) => Min Interval: 9, Max Interval: 12
AssistantProfessorCandidate(ID986) => Min Interval: 9, Max Interval: 47
AssistantProfessorCandidate(ID991) => Min Interval: 10, Max Interval: 23
AssistantProfessorCandidate(ID999) => Min Interval: 7, Max Interval: 50
AssistantProfessorCandidate(ID1002) => Min Interval: 11, Max Interval: 39
AssistantProfessorCandidate(ID1004) => Min Interval: 36, Max Interval: 38
AssistantProfessorCandidate(ID1008) => Min Interval: 9, Max Interval: 27
AssistantProfessorCandidate(ID1013) => Min Interval: 12, Max Interval: 37
AssistantProfessorCandidate(ID1014) => Min Interval: 15, Max Interval: 38
AssistantProfessorCandidate(ID1024) => Min Interval: 17, Max Interval: 36
AssistantProfessorCandidate(ID1030) => Min Interval: 12, Max Interval: 46
AssistantProfessorCandidate(ID1038) => Min Interval: 7, Max Interval: 51
AssistantProfessorCandidate(ID1041) => Min Interval: 10, Max Interval: 47
AssistantProfessorCandidate(ID1044) => Min Interval: 17, Max Interval: 42
AssistantProfessorCandidate(ID1056) => Min Interval: 9, Max Interval: 31
AssistantProfessorCandidate(ID1062) => Min Interval: 4, Max Interval: 49
AssistantProfessorCandidate(ID1063) => Min Interval: 21, Max Interval: 39
AssistantProfessorCandidate(ID1070) => Min Interval: 9, Max Interval: 18
AssistantProfessorCandidate(ID1080) => Min Interval: 9, Max Interval: 27
AssistantProfessorCandidate(ID1082) => Min Interval: 20, Max Interval: 40
AssistantProfessorCandidate(ID1086) => Min Interval: 9, Max Interval: 51
AssistantProfessorCandidate(ID1091) => Min Interval: 15, Max Interval: 27
AssistantProfessorCandidate(ID1093) => Min Interval: 5, Max Interval: 46
AssistantProfessorCandidate(ID1104) => Min Interval: 18, Max Interval: 23
AssistantProfessorCandidate(ID1126) => Min Interval: 15, Max Interval: 24
AssistantProfessorCandidate(ID1137) => Min Interval: 13, Max Interval: 30
AssistantProfessorCandidate(ID1145) => Min Interval: 12, Max Interval: 50
AssistantProfessorCandidate(ID1150) => Min Interval: 13, Max Interval: 38
AssistantProfessorCandidate(ID1155) => Min Interval: 26, Max Interval: 39
AssistantProfessorCandidate(ID1187) => Min Interval: 17, Max Interval: 27
AssistantProfessorCandidate(ID1211) => Min Interval: 21, Max Interval: 48
AssistantProfessorCandidate(ID1228) => Min Interval: 28, Max Interval: 46
AssistantProfessorCandidate(ID1233) => Min Interval: 27, Max Interval: 46
AssistantProfessorCandidate(ID1251) => Min Interval: 12, Max Interval: 42
AssistantProfessorCandidate(ID1281) => Min Interval: 18, Max Interval: 39
AssistantProfessorCandidate(ID1293) => Min Interval: 18, Max Interval: 37
AssistantProfessorCandidate(ID1306) => Min Interval: 25, Max Interval: 44
AssistantProfessorCandidate(ID1324) => Min Interval: 11, Max Interval: 45
AssistantProfessorCandidate(ID1351) => Min Interval: 16, Max Interval: 40
AssistantProfessorCandidate(ID1353) => Min Interval: 43, Max Interval: 48
AssistantProfessorCandidate(ID1363) => Min Interval: 10, Max Interval: 30
AssistantProfessorCandidate(ID1633) => Min Interval: 23, Max Interval: 43
AssistantProfessorCandidate(ID1640) => Min Interval: 9, Max Interval: 31
AssistantProfessorCandidate(ID1655) => Min Interval: 13, Max Interval: 41
AssistantProfessorCandidate(ID1656) => Min Interval: 39, Max Interval: 45
AssistantProfessorCandidate(ID1680) => Min Interval: 9, Max Interval: 23
AssistantProfessorCandidate(ID1681) => Min Interval: 11, Max Interval: 44
AssistantProfessorCandidate(ID1692) => Min Interval: 27, Max Interval: 45
AssistantProfessorCandidate(ID1696) => Min Interval: 10, Max Interval: 28
AssistantProfessorCandidate(ID1712) => Min Interval: 29, Max Interval: 48
AssistantProfessorCandidate(ID1721) => Min Interval: 42, Max Interval: 47
AssistantProfessorCandidate(ID1748) => Min Interval: 12, Max Interval: 27
AssistantProfessorCandidate(ID1791) => Min Interval: 22, Max Interval: 46
AssistantProfessorCandidate(ID1812) => Min Interval: 12, Max Interval: 22
AssistantProfessorCandidate(ID1858) => Min Interval: 16, Max Interval: 40
AssistantProfessorCandidate(ID1891) => Min Interval: 4, Max Interval: 31
AssistantProfessorCandidate(ID1896) => Min Interval: 6, Max Interval: 44
AssistantProfessorCandidate(ID1911) => Min Interval: 6, Max Interval: 46
AssistantProfessorCandidate(ID1916) => Min Interval: 19, Max Interval: 45
AssistantProfessorCandidate(ID1924) => Min Interval: 5, Max Interval: 39
AssistantProfessorCandidate(ID1925) => Min Interval: 10, Max Interval: 40
AssistantProfessorCandidate(ID1968) => Min Interval: 22, Max Interval: 32
AssistantProfessorCandidate(ID1974) => Min Interval: 21, Max Interval: 45
AssistantProfessorCandidate(ID1980) => Min Interval: 9, Max Interval: 44
AssistantProfessorCandidate(ID1984) => Min Interval: 16, Max Interval: 33
AssistantProfessorCandidate(ID2007) => Min Interval: 10, Max Interval: 48
