Stored fact information:
ScientistCandidate(ID7) => Min Interval: 5, Max Interval: 48
ScientistCandidate(ID832) => Min Interval: 7, Max Interval: 49
ScientistCandidate(ID1355) => Min Interval: 17, Max Interval: 48
ScientistCandidate(ID1869) => Min Interval: 10, Max Interval: 33
ScientistCandidate(ID1886) => Min Interval: 27, Max Interval: 46
ScientistCandidate(ID1889) => Min Interval: 3, Max Interval: 21
ScientistCandidate(ID1891) => Min Interval: 11, Max Interval: 49
ScientistCandidate(ID1903) => Min Interval: 10, Max Interval: 41
ScientistCandidate(ID1905) => Min Interval: 7, Max Interval: 22
ScientistCandidate(ID1950) => Min Interval: 2, Max Interval: 31
ScientistCandidate(ID1962) => Min Interval: 13, Max Interval: 39
ScientistCandidate(ID1964) => Min Interval: 4, Max Interval: 52
ScientistCandidate(ID1982) => Min Interval: 8, Max Interval: 52
ScientistCandidate(ID1986) => Min Interval: 2, Max Interval: 39
ScientistCandidate(ID1990) => Min Interval: 8, Max Interval: 52
ScientistCandidate(ID1992) => Min Interval: 3, Max Interval: 29
ScientistCandidate(ID1996) => Min Interval: 3, Max Interval: 44
ScientistCandidate(ID2005) => Min Interval: 18, Max Interval: 46
ScientistCandidate(ID2030) => Min Interval: 18, Max Interval: 44
ScientistCandidate(ID2033) => Min Interval: 7, Max Interval: 51
ScientistCandidate(ID2036) => Min Interval: 1, Max Interval: 52
ScientistCandidate(ID2039) => Min Interval: 16, Max Interval: 38
ScientistCandidate(ID2068) => Min Interval: 11, Max Interval: 52
ScientistCandidate(ID2070) => Min Interval: 9, Max Interval: 20
ScientistCandidate(ID2086) => Min Interval: 2, Max Interval: 51
ScientistCandidate(ID2101) => Min Interval: 1, Max Interval: 50
ScientistCandidate(ID2106) => Min Interval: 22, Max Interval: 44
ScientistCandidate(ID2112) => Min Interval: 33, Max Interval: 47
ScientistCandidate(ID2123) => Min Interval: 14, Max Interval: 51
ScientistCandidate(ID2147) => Min Interval: 5, Max Interval: 36
ScientistCandidate(ID2149) => Min Interval: 8, Max Interval: 50
ScientistCandidate(ID2198) => Min Interval: 7, Max Interval: 39
ScientistCandidate(ID2378) => Min Interval: 4, Max Interval: 50
ScientistCandidate(ID2873) => Min Interval: 14, Max Interval: 45
ScientistCandidate(ID2877) => Min Interval: 5, Max Interval: 52
ScientistCandidate(ID2918) => Min Interval: 19, Max Interval: 49
ScientistCandidate(ID2919) => Min Interval: 6, Max Interval: 46
ScientistCandidate(ID2924) => Min Interval: 5, Max Interval: 47
ScientistCandidate(ID2929) => Min Interval: 7, Max Interval: 47
ScientistCandidate(ID2944) => Min Interval: 14, Max Interval: 31
ScientistCandidate(ID2956) => Min Interval: 9, Max Interval: 39
ScientistCandidate(ID2963) => Min Interval: 2, Max Interval: 32
ScientistCandidate(ID2974) => Min Interval: 7, Max Interval: 50
ScientistCandidate(ID2980) => Min Interval: 28, Max Interval: 52
ScientistCandidate(ID2995) => Min Interval: 10, Max Interval: 30
ScientistCandidate(ID2996) => Min Interval: 19, Max Interval: 46
ScientistCandidate(ID3004) => Min Interval: 17, Max Interval: 38
ScientistCandidate(ID3018) => Min Interval: 12, Max Interval: 52
ScientistCandidate(ID3034) => Min Interval: 12, Max Interval: 42
ScientistCandidate(ID3035) => Min Interval: 4, Max Interval: 43
ScientistCandidate(ID3046) => Min Interval: 4, Max Interval: 35
ScientistCandidate(ID3048) => Min Interval: 2, Max Interval: 43
ScientistCandidate(ID3063) => Min Interval: 5, Max Interval: 49
ScientistCandidate(ID3065) => Min Interval: 13, Max Interval: 49
ScientistCandidate(ID3069) => Min Interval: 15, Max Interval: 49
ScientistCandidate(ID3107) => Min Interval: 12, Max Interval: 41
ScientistCandidate(ID3116) => Min Interval: 7, Max Interval: 42
ScientistCandidate(ID3118) => Min Interval: 10, Max Interval: 47
ScientistCandidate(ID3139) => Min Interval: 30, Max Interval: 50
ScientistCandidate(ID3162) => Min Interval: 7, Max Interval: 34
ScientistCandidate(ID3220) => Min Interval: 5, Max Interval: 52
ScientistCandidate(ID3236) => Min Interval: 3, Max Interval: 51
ScientistCandidate(ID3282) => Min Interval: 6, Max Interval: 46
ScientistCandidate(ID3291) => Min Interval: 7, Max Interval: 33
ScientistCandidate(ID3573) => Min Interval: 10, Max Interval: 44
ScientistCandidate(ID3753) => Min Interval: 19, Max Interval: 46
ScientistCandidate(ID3852) => Min Interval: 25, Max Interval: 47
ScientistCandidate(ID3853) => Min Interval: 5, Max Interval: 33
ScientistCandidate(ID3861) => Min Interval: 13, Max Interval: 52
ScientistCandidate(ID3864) => Min Interval: 12, Max Interval: 39
ScientistCandidate(ID3866) => Min Interval: 12, Max Interval: 33
ScientistCandidate(ID3871) => Min Interval: 4, Max Interval: 51
ScientistCandidate(ID3880) => Min Interval: 2, Max Interval: 51
ScientistCandidate(ID3894) => Min Interval: 4, Max Interval: 41
ScientistCandidate(ID3914) => Min Interval: 22, Max Interval: 51
ScientistCandidate(ID3922) => Min Interval: 18, Max Interval: 34
ScientistCandidate(ID3927) => Min Interval: 7, Max Interval: 48
ScientistCandidate(ID3932) => Min Interval: 3, Max Interval: 50
ScientistCandidate(ID3934) => Min Interval: 11, Max Interval: 36
ScientistCandidate(ID4005) => Min Interval: 10, Max Interval: 52
ScientistCandidate(ID4011) => Min Interval: 21, Max Interval: 43
ScientistCandidate(ID4023) => Min Interval: 6, Max Interval: 37
ScientistCandidate(ID4035) => Min Interval: 7, Max Interval: 34
ScientistCandidate(ID4038) => Min Interval: 6, Max Interval: 46
ScientistCandidate(ID4048) => Min Interval: 7, Max Interval: 36
ScientistCandidate(ID4057) => Min Interval: 4, Max Interval: 44
ScientistCandidate(ID4078) => Min Interval: 4, Max Interval: 44
ScientistCandidate(ID4082) => Min Interval: 9, Max Interval: 46
ScientistCandidate(ID4095) => Min Interval: 21, Max Interval: 49
ScientistCandidate(ID4112) => Min Interval: 5, Max Interval: 52
ScientistCandidate(ID4140) => Min Interval: 9, Max Interval: 30
ScientistCandidate(ID4152) => Min Interval: 6, Max Interval: 38
ScientistCandidate(ID4154) => Min Interval: 12, Max Interval: 46
ScientistCandidate(ID4210) => Min Interval: 12, Max Interval: 46
ScientistCandidate(ID4262) => Min Interval: 6, Max Interval: 37
ScientistCandidate(ID4272) => Min Interval: 1, Max Interval: 33
ScientistCandidate(ID4291) => Min Interval: 5, Max Interval: 44
ScientistCandidate(ID4393) => Min Interval: 5, Max Interval: 38
ScientistCandidate(ID4402) => Min Interval: 5, Max Interval: 26
ScientistCandidate(ID4479) => Min Interval: 7, Max Interval: 52
ScientistCandidate(ID4889) => Min Interval: 18, Max Interval: 52
ScientistCandidate(ID4891) => Min Interval: 1, Max Interval: 45
ScientistCandidate(ID4900) => Min Interval: 22, Max Interval: 43
ScientistCandidate(ID4901) => Min Interval: 6, Max Interval: 23
ScientistCandidate(ID4911) => Min Interval: 25, Max Interval: 34
ScientistCandidate(ID4922) => Min Interval: 16, Max Interval: 40
ScientistCandidate(ID4927) => Min Interval: 14, Max Interval: 52
ScientistCandidate(ID4930) => Min Interval: 29, Max Interval: 48
ScientistCandidate(ID4936) => Min Interval: 9, Max Interval: 45
ScientistCandidate(ID4953) => Min Interval: 22, Max Interval: 48
ScientistCandidate(ID4980) => Min Interval: 24, Max Interval: 38
ScientistCandidate(ID4988) => Min Interval: 1, Max Interval: 34
ScientistCandidate(ID5014) => Min Interval: 12, Max Interval: 34
ScientistCandidate(ID5020) => Min Interval: 3, Max Interval: 41
ScientistCandidate(ID5026) => Min Interval: 13, Max Interval: 46
ScientistCandidate(ID5034) => Min Interval: 19, Max Interval: 28
ScientistCandidate(ID5040) => Min Interval: 1, Max Interval: 51
ScientistCandidate(ID5061) => Min Interval: 10, Max Interval: 38
ScientistCandidate(ID5066) => Min Interval: 16, Max Interval: 33
ScientistCandidate(ID5086) => Min Interval: 4, Max Interval: 42
ScientistCandidate(ID5101) => Min Interval: 4, Max Interval: 18
ScientistCandidate(ID5115) => Min Interval: 3, Max Interval: 51
ScientistCandidate(ID5136) => Min Interval: 5, Max Interval: 48
ScientistCandidate(ID5170) => Min Interval: 6, Max Interval: 50
ScientistCandidate(ID5177) => Min Interval: 11, Max Interval: 52
ScientistCandidate(ID5193) => Min Interval: 13, Max Interval: 23
ScientistCandidate(ID5232) => Min Interval: 3, Max Interval: 51
ScientistCandidate(ID5241) => Min Interval: 3, Max Interval: 50
ScientistCandidate(ID5243) => Min Interval: 23, Max Interval: 49
ScientistCandidate(ID5261) => Min Interval: 1, Max Interval: 46
ScientistCandidate(ID5264) => Min Interval: 23, Max Interval: 52
ScientistCandidate(ID5267) => Min Interval: 23, Max Interval: 46
ScientistCandidate(ID5401) => Min Interval: 18, Max Interval: 41
ScientistCandidate(ID5465) => Min Interval: 1, Max Interval: 40
ScientistCandidate(ID5705) => Min Interval: 19, Max Interval: 45
ScientistCandidate(ID6236) => Min Interval: 9, Max Interval: 46
ScientistCandidate(ID6250) => Min Interval: 29, Max Interval: 45
ScientistCandidate(ID6266) => Min Interval: 7, Max Interval: 39
ScientistCandidate(ID6268) => Min Interval: 7, Max Interval: 52
ScientistCandidate(ID6276) => Min Interval: 6, Max Interval: 46
ScientistCandidate(ID6278) => Min Interval: 27, Max Interval: 49
ScientistCandidate(ID6298) => Min Interval: 34, Max Interval: 52
ScientistCandidate(ID6321) => Min Interval: 8, Max Interval: 27
ScientistCandidate(ID6332) => Min Interval: 4, Max Interval: 48
ScientistCandidate(ID6364) => Min Interval: 9, Max Interval: 43
ScientistCandidate(ID6366) => Min Interval: 7, Max Interval: 43
ScientistCandidate(ID6396) => Min Interval: 1, Max Interval: 39
ScientistCandidate(ID6399) => Min Interval: 27, Max Interval: 46
ScientistCandidate(ID6406) => Min Interval: 4, Max Interval: 45
ScientistCandidate(ID6413) => Min Interval: 4, Max Interval: 49
ScientistCandidate(ID6428) => Min Interval: 28, Max Interval: 45
ScientistCandidate(ID6436) => Min Interval: 13, Max Interval: 48
ScientistCandidate(ID6442) => Min Interval: 8, Max Interval: 46
ScientistCandidate(ID6474) => Min Interval: 13, Max Interval: 45
ScientistCandidate(ID6514) => Min Interval: 3, Max Interval: 38
ScientistCandidate(ID6517) => Min Interval: 3, Max Interval: 51
ScientistCandidate(ID6523) => Min Interval: 3, Max Interval: 42
ScientistCandidate(ID6535) => Min Interval: 1, Max Interval: 39
ScientistCandidate(ID6551) => Min Interval: 12, Max Interval: 48
ScientistCandidate(ID6556) => Min Interval: 5, Max Interval: 37
ScientistCandidate(ID6564) => Min Interval: 19, Max Interval: 51
ScientistCandidate(ID6593) => Min Interval: 28, Max Interval: 41
ScientistCandidate(ID6615) => Min Interval: 12, Max Interval: 47
ScientistCandidate(ID6709) => Min Interval: 1, Max Interval: 26
ScientistCandidate(ID6714) => Min Interval: 4, Max Interval: 51
ScientistCandidate(ID6737) => Min Interval: 10, Max Interval: 44
ScientistCandidate(ID6754) => Min Interval: 1, Max Interval: 13
ScientistCandidate(ID6762) => Min Interval: 14, Max Interval: 43
ScientistCandidate(ID6802) => Min Interval: 8, Max Interval: 51
ScientistCandidate(ID6814) => Min Interval: 1, Max Interval: 41
ScientistCandidate(ID6859) => Min Interval: 9, Max Interval: 41
ScientistCandidate(ID6956) => Min Interval: 10, Max Interval: 50
ScientistCandidate(ID6978) => Min Interval: 16, Max Interval: 30
ScientistCandidate(ID7210) => Min Interval: 11, Max Interval: 49
ScientistCandidate(ID7628) => Min Interval: 17, Max Interval: 48
ScientistCandidate(ID7644) => Min Interval: 4, Max Interval: 50
ScientistCandidate(ID7648) => Min Interval: 5, Max Interval: 20
ScientistCandidate(ID7660) => Min Interval: 4, Max Interval: 48
ScientistCandidate(ID7684) => Min Interval: 12, Max Interval: 48
ScientistCandidate(ID7689) => Min Interval: 20, Max Interval: 50
ScientistCandidate(ID7705) => Min Interval: 20, Max Interval: 48
ScientistCandidate(ID7708) => Min Interval: 10, Max Interval: 32
ScientistCandidate(ID7723) => Min Interval: 13, Max Interval: 39
ScientistCandidate(ID7737) => Min Interval: 5, Max Interval: 49
ScientistCandidate(ID7744) => Min Interval: 4, Max Interval: 42
ScientistCandidate(ID7754) => Min Interval: 11, Max Interval: 50
ScientistCandidate(ID7764) => Min Interval: 4, Max Interval: 44
ScientistCandidate(ID7788) => Min Interval: 7, Max Interval: 42
ScientistCandidate(ID7802) => Min Interval: 19, Max Interval: 46
ScientistCandidate(ID7831) => Min Interval: 25, Max Interval: 43
ScientistCandidate(ID7836) => Min Interval: 25, Max Interval: 48
ScientistCandidate(ID7848) => Min Interval: 15, Max Interval: 46
ScientistCandidate(ID7854) => Min Interval: 10, Max Interval: 24
ScientistCandidate(ID7860) => Min Interval: 3, Max Interval: 46
ScientistCandidate(ID7879) => Min Interval: 14, Max Interval: 44
ScientistCandidate(ID7888) => Min Interval: 3, Max Interval: 44
ScientistCandidate(ID7908) => Min Interval: 9, Max Interval: 30
ScientistCandidate(ID7916) => Min Interval: 12, Max Interval: 50
ScientistCandidate(ID7938) => Min Interval: 27, Max Interval: 48
ScientistCandidate(ID7993) => Min Interval: 9, Max Interval: 48
ScientistCandidate(ID8019) => Min Interval: 1, Max Interval: 24
ScientistCandidate(ID8037) => Min Interval: 19, Max Interval: 38
ScientistCandidate(ID8061) => Min Interval: 1, Max Interval: 52
ScientistCandidate(ID8069) => Min Interval: 16, Max Interval: 39
ScientistCandidate(ID8084) => Min Interval: 23, Max Interval: 46
ScientistCandidate(ID8091) => Min Interval: 25, Max Interval: 41
ScientistCandidate(ID8112) => Min Interval: 1, Max Interval: 40
ScientistCandidate(ID8190) => Min Interval: 28, Max Interval: 38
ScientistCandidate(ID8217) => Min Interval: 10, Max Interval: 49
ScientistCandidate(ID8267) => Min Interval: 2, Max Interval: 40
ScientistCandidate(ID8282) => Min Interval: 2, Max Interval: 40
ScientistCandidate(ID8851) => Min Interval: 2, Max Interval: 47
ScientistCandidate(ID8863) => Min Interval: 6, Max Interval: 46
ScientistCandidate(ID8880) => Min Interval: 2, Max Interval: 44
ScientistCandidate(ID8888) => Min Interval: 41, Max Interval: 49
ScientistCandidate(ID8894) => Min Interval: 6, Max Interval: 51
ScientistCandidate(ID8895) => Min Interval: 23, Max Interval: 37
ScientistCandidate(ID8919) => Min Interval: 23, Max Interval: 51
ScientistCandidate(ID8922) => Min Interval: 4, Max Interval: 38
ScientistCandidate(ID8942) => Min Interval: 1, Max Interval: 40
ScientistCandidate(ID8944) => Min Interval: 21, Max Interval: 44
ScientistCandidate(ID8947) => Min Interval: 9, Max Interval: 26
ScientistCandidate(ID8960) => Min Interval: 30, Max Interval: 51
ScientistCandidate(ID8976) => Min Interval: 5, Max Interval: 50
ScientistCandidate(ID8990) => Min Interval: 13, Max Interval: 42
ScientistCandidate(ID8991) => Min Interval: 10, Max Interval: 50
ScientistCandidate(ID9007) => Min Interval: 2, Max Interval: 46
ScientistCandidate(ID9020) => Min Interval: 18, Max Interval: 49
ScientistCandidate(ID9031) => Min Interval: 19, Max Interval: 46
ScientistCandidate(ID9043) => Min Interval: 4, Max Interval: 19
ScientistCandidate(ID9091) => Min Interval: 3, Max Interval: 22
ScientistCandidate(ID9094) => Min Interval: 4, Max Interval: 44
ScientistCandidate(ID9106) => Min Interval: 1, Max Interval: 50
ScientistCandidate(ID9118) => Min Interval: 3, Max Interval: 49
ScientistCandidate(ID9125) => Min Interval: 18, Max Interval: 48
ScientistCandidate(ID9135) => Min Interval: 5, Max Interval: 31
ScientistCandidate(ID9150) => Min Interval: 25, Max Interval: 48
ScientistCandidate(ID9151) => Min Interval: 31, Max Interval: 42
ScientistCandidate(ID9153) => Min Interval: 23, Max Interval: 52
ScientistCandidate(ID9171) => Min Interval: 13, Max Interval: 50
ScientistCandidate(ID9201) => Min Interval: 13, Max Interval: 52
ScientistCandidate(ID9228) => Min Interval: 7, Max Interval: 39
ScientistCandidate(ID9243) => Min Interval: 19, Max Interval: 45
ScientistCandidate(ID9257) => Min Interval: 7, Max Interval: 43
ScientistCandidate(ID9276) => Min Interval: 5, Max Interval: 34
ScientistCandidate(ID9422) => Min Interval: 5, Max Interval: 43
ScientistCandidate(ID9484) => Min Interval: 7, Max Interval: 51
ScientistCandidate(ID9536) => Min Interval: 3, Max Interval: 38
ScientistCandidate(ID9947) => Min Interval: 13, Max Interval: 49
ScientistCandidate(ID9950) => Min Interval: 21, Max Interval: 47
ScientistCandidate(ID9962) => Min Interval: 4, Max Interval: 52
ScientistCandidate(ID9986) => Min Interval: 5, Max Interval: 41
ScientistCandidate(ID9997) => Min Interval: 17, Max Interval: 44
