Stored fact information:
Publication(ID2) => Min Interval: 17, Max Interval: 43
Publication(ID424) => Min Interval: 5, Max Interval: 45
Publication(ID427) => Min Interval: 0, Max Interval: 47
Publication(ID428) => Min Interval: 0, Max Interval: 47
Publication(ID430) => Min Interval: 2, Max Interval: 44
Publication(ID440) => Min Interval: 1, Max Interval: 50
Publication(ID442) => Min Interval: 7, Max Interval: 50
Publication(ID445) => Min Interval: 4, Max Interval: 47
Publication(ID447) => Min Interval: 3, Max Interval: 45
Publication(ID450) => Min Interval: 2, Max Interval: 47
Publication(ID457) => Min Interval: 2, Max Interval: 42
Publication(ID461) => Min Interval: 8, Max Interval: 49
Publication(ID466) => Min Interval: 4, Max Interval: 43
Publication(ID471) => Min Interval: 0, Max Interval: 43
Publication(ID488) => Min Interval: 2, Max Interval: 46
Publication(ID495) => Min Interval: 5, Max Interval: 47
Publication(ID497) => Min Interval: 1, Max Interval: 48
Publication(ID506) => Min Interval: 0, Max Interval: 42
Publication(ID507) => Min Interval: 6, Max Interval: 42
Publication(ID520) => Min Interval: 6, Max Interval: 49
Publication(ID523) => Min Interval: 10, Max Interval: 40
Publication(ID529) => Min Interval: 7, Max Interval: 49
Publication(ID530) => Min Interval: 2, Max Interval: 48
Publication(ID532) => Min Interval: 1, Max Interval: 49
Publication(ID534) => Min Interval: 1, Max Interval: 50
Publication(ID537) => Min Interval: 2, Max Interval: 49
Publication(ID539) => Min Interval: 2, Max Interval: 48
Publication(ID540) => Min Interval: 3, Max Interval: 42
Publication(ID543) => Min Interval: 0, Max Interval: 47
Publication(ID548) => Min Interval: 3, Max Interval: 46
Publication(ID557) => Min Interval: 0, Max Interval: 45
Publication(ID561) => Min Interval: 6, Max Interval: 38
Publication(ID562) => Min Interval: 3, Max Interval: 48
Publication(ID563) => Min Interval: 1, Max Interval: 48
Publication(ID567) => Min Interval: 12, Max Interval: 48
Publication(ID570) => Min Interval: 0, Max Interval: 39
Publication(ID571) => Min Interval: 0, Max Interval: 37
Publication(ID573) => Min Interval: 7, Max Interval: 48
Publication(ID574) => Min Interval: 1, Max Interval: 46
Publication(ID577) => Min Interval: 3, Max Interval: 42
Publication(ID581) => Min Interval: 3, Max Interval: 42
Publication(ID585) => Min Interval: 4, Max Interval: 50
Publication(ID586) => Min Interval: 10, Max Interval: 47
Publication(ID589) => Min Interval: 1, Max Interval: 42
Publication(ID590) => Min Interval: 2, Max Interval: 44
Publication(ID592) => Min Interval: 9, Max Interval: 47
Publication(ID596) => Min Interval: 2, Max Interval: 50
Publication(ID597) => Min Interval: 1, Max Interval: 49
Publication(ID599) => Min Interval: 6, Max Interval: 50
Publication(ID600) => Min Interval: 7, Max Interval: 43
Publication(ID603) => Min Interval: 5, Max Interval: 50
Publication(ID607) => Min Interval: 3, Max Interval: 41
Publication(ID613) => Min Interval: 3, Max Interval: 50
Publication(ID621) => Min Interval: 10, Max Interval: 50
Publication(ID628) => Min Interval: 7, Max Interval: 39
Publication(ID631) => Min Interval: 4, Max Interval: 50
Publication(ID632) => Min Interval: 2, Max Interval: 40
Publication(ID636) => Min Interval: 1, Max Interval: 45
Publication(ID637) => Min Interval: 0, Max Interval: 47
Publication(ID643) => Min Interval: 0, Max Interval: 48
Publication(ID654) => Min Interval: 5, Max Interval: 46
Publication(ID661) => Min Interval: 0, Max Interval: 49
Publication(ID662) => Min Interval: 14, Max Interval: 34
Publication(ID670) => Min Interval: 4, Max Interval: 47
Publication(ID671) => Min Interval: 0, Max Interval: 46
Publication(ID672) => Min Interval: 0, Max Interval: 35
Publication(ID673) => Min Interval: 0, Max Interval: 48
Publication(ID677) => Min Interval: 5, Max Interval: 45
Publication(ID678) => Min Interval: 6, Max Interval: 47
Publication(ID680) => Min Interval: 4, Max Interval: 49
Publication(ID687) => Min Interval: 7, Max Interval: 50
Publication(ID691) => Min Interval: 3, Max Interval: 44
Publication(ID694) => Min Interval: 0, Max Interval: 43
Publication(ID696) => Min Interval: 1, Max Interval: 50
Publication(ID702) => Min Interval: 6, Max Interval: 50
Publication(ID703) => Min Interval: 4, Max Interval: 44
Publication(ID704) => Min Interval: 3, Max Interval: 48
Publication(ID715) => Min Interval: 11, Max Interval: 50
Publication(ID717) => Min Interval: 1, Max Interval: 48
Publication(ID730) => Min Interval: 2, Max Interval: 48
Publication(ID734) => Min Interval: 3, Max Interval: 40
Publication(ID738) => Min Interval: 10, Max Interval: 48
Publication(ID744) => Min Interval: 10, Max Interval: 48
Publication(ID746) => Min Interval: 0, Max Interval: 50
Publication(ID752) => Min Interval: 0, Max Interval: 40
Publication(ID755) => Min Interval: 5, Max Interval: 42
Publication(ID757) => Min Interval: 2, Max Interval: 47
Publication(ID760) => Min Interval: 1, Max Interval: 37
Publication(ID765) => Min Interval: 3, Max Interval: 43
Publication(ID767) => Min Interval: 14, Max Interval: 46
Publication(ID770) => Min Interval: 1, Max Interval: 49
Publication(ID772) => Min Interval: 14, Max Interval: 43
Publication(ID774) => Min Interval: 5, Max Interval: 34
Publication(ID776) => Min Interval: 1, Max Interval: 47
Publication(ID779) => Min Interval: 1, Max Interval: 42
Publication(ID781) => Min Interval: 3, Max Interval: 40
Publication(ID786) => Min Interval: 13, Max Interval: 44
Publication(ID787) => Min Interval: 17, Max Interval: 43
Publication(ID788) => Min Interval: 1, Max Interval: 33
Publication(ID789) => Min Interval: 6, Max Interval: 49
Publication(ID790) => Min Interval: 1, Max Interval: 42
Publication(ID794) => Min Interval: 0, Max Interval: 48
Publication(ID795) => Min Interval: 1, Max Interval: 49
Publication(ID796) => Min Interval: 2, Max Interval: 49
Publication(ID801) => Min Interval: 7, Max Interval: 24
Publication(ID802) => Min Interval: 4, Max Interval: 40
Publication(ID806) => Min Interval: 1, Max Interval: 48
Publication(ID807) => Min Interval: 3, Max Interval: 43
Publication(ID808) => Min Interval: 7, Max Interval: 48
Publication(ID810) => Min Interval: 1, Max Interval: 46
Publication(ID813) => Min Interval: 0, Max Interval: 49
Publication(ID825) => Min Interval: 12, Max Interval: 50
Publication(ID830) => Min Interval: 0, Max Interval: 48
Publication(ID831) => Min Interval: 3, Max Interval: 48
Publication(ID834) => Min Interval: 4, Max Interval: 45
Publication(ID835) => Min Interval: 6, Max Interval: 37
Publication(ID838) => Min Interval: 7, Max Interval: 43
Publication(ID843) => Min Interval: 0, Max Interval: 49
Publication(ID844) => Min Interval: 10, Max Interval: 49
Publication(ID847) => Min Interval: 1, Max Interval: 37
Publication(ID848) => Min Interval: 1, Max Interval: 47
Publication(ID850) => Min Interval: 4, Max Interval: 44
Publication(ID851) => Min Interval: 0, Max Interval: 49
Publication(ID853) => Min Interval: 3, Max Interval: 45
Publication(ID854) => Min Interval: 2, Max Interval: 46
Publication(ID855) => Min Interval: 4, Max Interval: 48
Publication(ID858) => Min Interval: 11, Max Interval: 41
Publication(ID860) => Min Interval: 3, Max Interval: 49
Publication(ID864) => Min Interval: 3, Max Interval: 43
Publication(ID866) => Min Interval: 1, Max Interval: 50
Publication(ID878) => Min Interval: 3, Max Interval: 45
Publication(ID881) => Min Interval: 3, Max Interval: 42
Publication(ID882) => Min Interval: 3, Max Interval: 48
Publication(ID885) => Min Interval: 2, Max Interval: 46
Publication(ID889) => Min Interval: 0, Max Interval: 42
Publication(ID892) => Min Interval: 0, Max Interval: 39
Publication(ID895) => Min Interval: 2, Max Interval: 48
Publication(ID900) => Min Interval: 0, Max Interval: 45
Publication(ID903) => Min Interval: 3, Max Interval: 50
Publication(ID904) => Min Interval: 0, Max Interval: 50
Publication(ID912) => Min Interval: 2, Max Interval: 47
Publication(ID916) => Min Interval: 6, Max Interval: 45
Publication(ID918) => Min Interval: 3, Max Interval: 40
Publication(ID921) => Min Interval: 6, Max Interval: 50
Publication(ID931) => Min Interval: 4, Max Interval: 43
Publication(ID932) => Min Interval: 3, Max Interval: 48
Publication(ID933) => Min Interval: 4, Max Interval: 44
Publication(ID937) => Min Interval: 3, Max Interval: 38
Publication(ID948) => Min Interval: 3, Max Interval: 48
Publication(ID950) => Min Interval: 7, Max Interval: 48
Publication(ID951) => Min Interval: 9, Max Interval: 48
Publication(ID952) => Min Interval: 12, Max Interval: 50
Publication(ID956) => Min Interval: 3, Max Interval: 50
Publication(ID957) => Min Interval: 0, Max Interval: 48
Publication(ID962) => Min Interval: 2, Max Interval: 47
Publication(ID965) => Min Interval: 1, Max Interval: 41
Publication(ID969) => Min Interval: 12, Max Interval: 50
Publication(ID975) => Min Interval: 2, Max Interval: 34
Publication(ID976) => Min Interval: 3, Max Interval: 50
Publication(ID985) => Min Interval: 0, Max Interval: 49
Publication(ID994) => Min Interval: 2, Max Interval: 49
Publication(ID996) => Min Interval: 4, Max Interval: 48
Publication(ID998) => Min Interval: 6, Max Interval: 47
Publication(ID1005) => Min Interval: 0, Max Interval: 44
Publication(ID1006) => Min Interval: 5, Max Interval: 46
Publication(ID1011) => Min Interval: 2, Max Interval: 41
Publication(ID1020) => Min Interval: 4, Max Interval: 49
Publication(ID1021) => Min Interval: 0, Max Interval: 39
Publication(ID1025) => Min Interval: 5, Max Interval: 50
Publication(ID1027) => Min Interval: 2, Max Interval: 50
Publication(ID1032) => Min Interval: 5, Max Interval: 46
Publication(ID1037) => Min Interval: 7, Max Interval: 46
Publication(ID1039) => Min Interval: 3, Max Interval: 48
Publication(ID1042) => Min Interval: 5, Max Interval: 50
Publication(ID1043) => Min Interval: 0, Max Interval: 48
Publication(ID1046) => Min Interval: 6, Max Interval: 47
Publication(ID1050) => Min Interval: 2, Max Interval: 46
Publication(ID1051) => Min Interval: 15, Max Interval: 42
Publication(ID1052) => Min Interval: 3, Max Interval: 50
Publication(ID1054) => Min Interval: 0, Max Interval: 50
Publication(ID1059) => Min Interval: 12, Max Interval: 50
Publication(ID1065) => Min Interval: 0, Max Interval: 43
Publication(ID1066) => Min Interval: 1, Max Interval: 50
Publication(ID1069) => Min Interval: 1, Max Interval: 50
Publication(ID1072) => Min Interval: 2, Max Interval: 48
Publication(ID1075) => Min Interval: 3, Max Interval: 45
Publication(ID1077) => Min Interval: 10, Max Interval: 46
Publication(ID1084) => Min Interval: 2, Max Interval: 50
Publication(ID1085) => Min Interval: 8, Max Interval: 40
Publication(ID1087) => Min Interval: 2, Max Interval: 45
Publication(ID1090) => Min Interval: 4, Max Interval: 50
Publication(ID1092) => Min Interval: 1, Max Interval: 47
Publication(ID1095) => Min Interval: 2, Max Interval: 43
Publication(ID1097) => Min Interval: 3, Max Interval: 50
Publication(ID1103) => Min Interval: 3, Max Interval: 40
Publication(ID1108) => Min Interval: 7, Max Interval: 49
Publication(ID1109) => Min Interval: 4, Max Interval: 45
Publication(ID1116) => Min Interval: 3, Max Interval: 36
Publication(ID1117) => Min Interval: 0, Max Interval: 48
Publication(ID1119) => Min Interval: 8, Max Interval: 50
Publication(ID1121) => Min Interval: 4, Max Interval: 43
Publication(ID1122) => Min Interval: 1, Max Interval: 40
Publication(ID1123) => Min Interval: 6, Max Interval: 50
Publication(ID1138) => Min Interval: 5, Max Interval: 49
Publication(ID1141) => Min Interval: 5, Max Interval: 45
Publication(ID1142) => Min Interval: 10, Max Interval: 44
Publication(ID1147) => Min Interval: 4, Max Interval: 33
Publication(ID1151) => Min Interval: 1, Max Interval: 50
Publication(ID1152) => Min Interval: 4, Max Interval: 39
Publication(ID1153) => Min Interval: 2, Max Interval: 46
Publication(ID1158) => Min Interval: 1, Max Interval: 48
Publication(ID1172) => Min Interval: 4, Max Interval: 46
Publication(ID1175) => Min Interval: 3, Max Interval: 49
Publication(ID1185) => Min Interval: 7, Max Interval: 44
Publication(ID1197) => Min Interval: 6, Max Interval: 48
Publication(ID1201) => Min Interval: 2, Max Interval: 40
Publication(ID1202) => Min Interval: 0, Max Interval: 49
Publication(ID1215) => Min Interval: 6, Max Interval: 49
Publication(ID1216) => Min Interval: 0, Max Interval: 47
Publication(ID1217) => Min Interval: 0, Max Interval: 48
Publication(ID1226) => Min Interval: 2, Max Interval: 47
Publication(ID1229) => Min Interval: 6, Max Interval: 50
Publication(ID1234) => Min Interval: 20, Max Interval: 49
Publication(ID1235) => Min Interval: 4, Max Interval: 46
Publication(ID1239) => Min Interval: 0, Max Interval: 50
Publication(ID1245) => Min Interval: 4, Max Interval: 44
Publication(ID1247) => Min Interval: 4, Max Interval: 45
Publication(ID1254) => Min Interval: 7, Max Interval: 48
Publication(ID1255) => Min Interval: 3, Max Interval: 46
Publication(ID1261) => Min Interval: 4, Max Interval: 37
Publication(ID1263) => Min Interval: 3, Max Interval: 50
Publication(ID1266) => Min Interval: 0, Max Interval: 47
Publication(ID1276) => Min Interval: 7, Max Interval: 46
Publication(ID1278) => Min Interval: 1, Max Interval: 49
Publication(ID1279) => Min Interval: 0, Max Interval: 46
Publication(ID1286) => Min Interval: 3, Max Interval: 40
Publication(ID1294) => Min Interval: 4, Max Interval: 45
Publication(ID1301) => Min Interval: 5, Max Interval: 49
Publication(ID1311) => Min Interval: 5, Max Interval: 48
Publication(ID1313) => Min Interval: 4, Max Interval: 45
Publication(ID1327) => Min Interval: 1, Max Interval: 44
Publication(ID1328) => Min Interval: 3, Max Interval: 50
Publication(ID1337) => Min Interval: 2, Max Interval: 47
Publication(ID1338) => Min Interval: 4, Max Interval: 49
Publication(ID1340) => Min Interval: 2, Max Interval: 50
Publication(ID1342) => Min Interval: 0, Max Interval: 35
Publication(ID1345) => Min Interval: 4, Max Interval: 43
Publication(ID1356) => Min Interval: 0, Max Interval: 48
Publication(ID1362) => Min Interval: 6, Max Interval: 38
Publication(ID1373) => Min Interval: 6, Max Interval: 49
Publication(ID1383) => Min Interval: 4, Max Interval: 44
Publication(ID1386) => Min Interval: 2, Max Interval: 47
Publication(ID1388) => Min Interval: 4, Max Interval: 46
Publication(ID1406) => Min Interval: 0, Max Interval: 50
Publication(ID1432) => Min Interval: 19, Max Interval: 49
Publication(ID1438) => Min Interval: 4, Max Interval: 50
Publication(ID1453) => Min Interval: 10, Max Interval: 50
Publication(ID1466) => Min Interval: 14, Max Interval: 41
Publication(ID1469) => Min Interval: 7, Max Interval: 50
Publication(ID1477) => Min Interval: 13, Max Interval: 45
Publication(ID1510) => Min Interval: 1, Max Interval: 45
Publication(ID1548) => Min Interval: 5, Max Interval: 48
Publication(ID1635) => Min Interval: 18, Max Interval: 41
Publication(ID1639) => Min Interval: 14, Max Interval: 48
Publication(ID1649) => Min Interval: 22, Max Interval: 49
Publication(ID1653) => Min Interval: 19, Max Interval: 46
Publication(ID1665) => Min Interval: 16, Max Interval: 47
Publication(ID1669) => Min Interval: 1, Max Interval: 27
Publication(ID1675) => Min Interval: 17, Max Interval: 50
Publication(ID1679) => Min Interval: 8, Max Interval: 32
Publication(ID1686) => Min Interval: 4, Max Interval: 50
Publication(ID1693) => Min Interval: 11, Max Interval: 36
Publication(ID1694) => Min Interval: 2, Max Interval: 44
Publication(ID1701) => Min Interval: 5, Max Interval: 41
Publication(ID1713) => Min Interval: 0, Max Interval: 23
Publication(ID1715) => Min Interval: 3, Max Interval: 38
Publication(ID1717) => Min Interval: 0, Max Interval: 29
Publication(ID1723) => Min Interval: 12, Max Interval: 49
Publication(ID1734) => Min Interval: 13, Max Interval: 39
Publication(ID1741) => Min Interval: 8, Max Interval: 20
Publication(ID1744) => Min Interval: 19, Max Interval: 48
Publication(ID1745) => Min Interval: 5, Max Interval: 49
Publication(ID1752) => Min Interval: 1, Max Interval: 34
Publication(ID1754) => Min Interval: 3, Max Interval: 30
Publication(ID1761) => Min Interval: 8, Max Interval: 34
Publication(ID1774) => Min Interval: 8, Max Interval: 27
Publication(ID1775) => Min Interval: 14, Max Interval: 45
Publication(ID1780) => Min Interval: 8, Max Interval: 34
Publication(ID1783) => Min Interval: 10, Max Interval: 24
Publication(ID1794) => Min Interval: 4, Max Interval: 30
Publication(ID1796) => Min Interval: 0, Max Interval: 25
Publication(ID1800) => Min Interval: 7, Max Interval: 45
Publication(ID1808) => Min Interval: 24, Max Interval: 50
Publication(ID1814) => Min Interval: 27, Max Interval: 48
Publication(ID1823) => Min Interval: 0, Max Interval: 45
Publication(ID1838) => Min Interval: 1, Max Interval: 12
Publication(ID1841) => Min Interval: 1, Max Interval: 50
Publication(ID1843) => Min Interval: 17, Max Interval: 41
Publication(ID1845) => Min Interval: 0, Max Interval: 46
Publication(ID1848) => Min Interval: 0, Max Interval: 38
Publication(ID1859) => Min Interval: 20, Max Interval: 49
Publication(ID1865) => Min Interval: 10, Max Interval: 36
Publication(ID1866) => Min Interval: 2, Max Interval: 38
Publication(ID1876) => Min Interval: 0, Max Interval: 45
Publication(ID1879) => Min Interval: 9, Max Interval: 28
Publication(ID1882) => Min Interval: 18, Max Interval: 46
Publication(ID1886) => Min Interval: 19, Max Interval: 46
Publication(ID1899) => Min Interval: 21, Max Interval: 43
Publication(ID1901) => Min Interval: 27, Max Interval: 45
Publication(ID1918) => Min Interval: 14, Max Interval: 41
Publication(ID1920) => Min Interval: 18, Max Interval: 45
Publication(ID1921) => Min Interval: 1, Max Interval: 27
Publication(ID1928) => Min Interval: 8, Max Interval: 21
Publication(ID1929) => Min Interval: 8, Max Interval: 50
Publication(ID1935) => Min Interval: 3, Max Interval: 37
Publication(ID1943) => Min Interval: 4, Max Interval: 49
Publication(ID1946) => Min Interval: 9, Max Interval: 50
Publication(ID1948) => Min Interval: 22, Max Interval: 39
Publication(ID1950) => Min Interval: 17, Max Interval: 39
Publication(ID1957) => Min Interval: 13, Max Interval: 38
Publication(ID1960) => Min Interval: 0, Max Interval: 39
Publication(ID1964) => Min Interval: 41, Max Interval: 49
Publication(ID1972) => Min Interval: 1, Max Interval: 38
Publication(ID1979) => Min Interval: 2, Max Interval: 49
Publication(ID1981) => Min Interval: 2, Max Interval: 50
Publication(ID1988) => Min Interval: 2, Max Interval: 49
Publication(ID1995) => Min Interval: 8, Max Interval: 35
Publication(ID1997) => Min Interval: 4, Max Interval: 42
Publication(ID1998) => Min Interval: 10, Max Interval: 50
Publication(ID2001) => Min Interval: 14, Max Interval: 43
Publication(ID2003) => Min Interval: 5, Max Interval: 48
Publication(ID2004) => Min Interval: 20, Max Interval: 49
Publication(ID2006) => Min Interval: 4, Max Interval: 35
Publication(ID2015) => Min Interval: 23, Max Interval: 41
Publication(ID2023) => Min Interval: 4, Max Interval: 18
