Stored fact information:
Lecturer(ID4) => Min Interval: 16, Max Interval: 45
Lecturer(ID160) => Min Interval: 14, Max Interval: 32
Lecturer(ID163) => Min Interval: 2, Max Interval: 32
Lecturer(ID165) => Min Interval: 5, Max Interval: 47
Lecturer(ID168) => Min Interval: 8, Max Interval: 44
Lecturer(ID170) => Min Interval: 24, Max Interval: 44
Lecturer(ID171) => Min Interval: 8, Max Interval: 24
Lecturer(ID173) => Min Interval: 4, Max Interval: 41
Lecturer(ID179) => Min Interval: 32, Max Interval: 38
Lecturer(ID184) => Min Interval: 11, Max Interval: 32
Lecturer(ID190) => Min Interval: 18, Max Interval: 33
Lecturer(ID192) => Min Interval: 13, Max Interval: 45
Lecturer(ID193) => Min Interval: 9, Max Interval: 42
Lecturer(ID195) => Min Interval: 2, Max Interval: 43
Lecturer(ID197) => Min Interval: 8, Max Interval: 32
Lecturer(ID198) => Min Interval: 9, Max Interval: 44
Lecturer(ID200) => Min Interval: 12, Max Interval: 48
Lecturer(ID207) => Min Interval: 0, Max Interval: 37
Lecturer(ID209) => Min Interval: 1, Max Interval: 35
Lecturer(ID210) => Min Interval: 8, Max Interval: 45
Lecturer(ID217) => Min Interval: 17, Max Interval: 20
Lecturer(ID219) => Min Interval: 12, Max Interval: 43
Lecturer(ID221) => Min Interval: 19, Max Interval: 34
Lecturer(ID227) => Min Interval: 11, Max Interval: 22
Lecturer(ID229) => Min Interval: 14, Max Interval: 38
Lecturer(ID231) => Min Interval: 1, Max Interval: 32
Lecturer(ID233) => Min Interval: 6, Max Interval: 46
Lecturer(ID234) => Min Interval: 18, Max Interval: 33
Lecturer(ID236) => Min Interval: 35, Max Interval: 38
Lecturer(ID238) => Min Interval: 44, Max Interval: 45
Lecturer(ID239) => Min Interval: 15, Max Interval: 44
Lecturer(ID240) => Min Interval: 15, Max Interval: 18
Lecturer(ID241) => Min Interval: 11, Max Interval: 29
Lecturer(ID243) => Min Interval: 8, Max Interval: 45
Lecturer(ID244) => Min Interval: 33, Max Interval: 45
Lecturer(ID246) => Min Interval: 26, Max Interval: 38
Lecturer(ID256) => Min Interval: 4, Max Interval: 23
Lecturer(ID263) => Min Interval: 3, Max Interval: 47
Lecturer(ID265) => Min Interval: 16, Max Interval: 49
Lecturer(ID266) => Min Interval: 11, Max Interval: 25
Lecturer(ID270) => Min Interval: 9, Max Interval: 19
Lecturer(ID271) => Min Interval: 19, Max Interval: 22
Lecturer(ID277) => Min Interval: 12, Max Interval: 43
Lecturer(ID278) => Min Interval: 15, Max Interval: 37
Lecturer(ID279) => Min Interval: 18, Max Interval: 46
Lecturer(ID289) => Min Interval: 9, Max Interval: 27
Lecturer(ID292) => Min Interval: 8, Max Interval: 38
Lecturer(ID293) => Min Interval: 19, Max Interval: 45
Lecturer(ID295) => Min Interval: 21, Max Interval: 43
Lecturer(ID297) => Min Interval: 9, Max Interval: 45
Lecturer(ID299) => Min Interval: 8, Max Interval: 34
Lecturer(ID303) => Min Interval: 15, Max Interval: 44
Lecturer(ID305) => Min Interval: 6, Max Interval: 37
Lecturer(ID309) => Min Interval: 18, Max Interval: 45
Lecturer(ID311) => Min Interval: 3, Max Interval: 43
Lecturer(ID312) => Min Interval: 32, Max Interval: 36
Lecturer(ID315) => Min Interval: 14, Max Interval: 25
Lecturer(ID316) => Min Interval: 8, Max Interval: 18
Lecturer(ID318) => Min Interval: 25, Max Interval: 44
Lecturer(ID319) => Min Interval: 31, Max Interval: 42
Lecturer(ID320) => Min Interval: 14, Max Interval: 46
Lecturer(ID321) => Min Interval: 3, Max Interval: 41
Lecturer(ID326) => Min Interval: 3, Max Interval: 24
Lecturer(ID328) => Min Interval: 23, Max Interval: 45
Lecturer(ID330) => Min Interval: 11, Max Interval: 47
Lecturer(ID331) => Min Interval: 34, Max Interval: 45
Lecturer(ID332) => Min Interval: 40, Max Interval: 45
Lecturer(ID335) => Min Interval: 10, Max Interval: 15
Lecturer(ID338) => Min Interval: 3, Max Interval: 38
Lecturer(ID340) => Min Interval: 6, Max Interval: 48
Lecturer(ID344) => Min Interval: 23, Max Interval: 30
Lecturer(ID350) => Min Interval: 19, Max Interval: 24
Lecturer(ID351) => Min Interval: 19, Max Interval: 43
Lecturer(ID353) => Min Interval: 10, Max Interval: 27
Lecturer(ID356) => Min Interval: 2, Max Interval: 47
Lecturer(ID358) => Min Interval: 3, Max Interval: 41
Lecturer(ID361) => Min Interval: 12, Max Interval: 23
Lecturer(ID363) => Min Interval: 10, Max Interval: 46
Lecturer(ID364) => Min Interval: 20, Max Interval: 36
Lecturer(ID366) => Min Interval: 18, Max Interval: 35
Lecturer(ID369) => Min Interval: 8, Max Interval: 37
Lecturer(ID371) => Min Interval: 7, Max Interval: 47
Lecturer(ID372) => Min Interval: 18, Max Interval: 44
Lecturer(ID374) => Min Interval: 25, Max Interval: 47
Lecturer(ID376) => Min Interval: 23, Max Interval: 37
Lecturer(ID380) => Min Interval: 34, Max Interval: 40
Lecturer(ID383) => Min Interval: 5, Max Interval: 15
Lecturer(ID384) => Min Interval: 27, Max Interval: 35
Lecturer(ID388) => Min Interval: 21, Max Interval: 38
Lecturer(ID390) => Min Interval: 3, Max Interval: 46
Lecturer(ID392) => Min Interval: 3, Max Interval: 46
Lecturer(ID393) => Min Interval: 17, Max Interval: 42
Lecturer(ID396) => Min Interval: 14, Max Interval: 43
Lecturer(ID400) => Min Interval: 11, Max Interval: 12
Lecturer(ID404) => Min Interval: 9, Max Interval: 38
Lecturer(ID405) => Min Interval: 36, Max Interval: 37
Lecturer(ID412) => Min Interval: 19, Max Interval: 32
Lecturer(ID413) => Min Interval: 11, Max Interval: 38
Lecturer(ID414) => Min Interval: 10, Max Interval: 32
Lecturer(ID415) => Min Interval: 23, Max Interval: 32
Lecturer(ID418) => Min Interval: 19, Max Interval: 38
Lecturer(ID419) => Min Interval: 40, Max Interval: 41
Lecturer(ID420) => Min Interval: 9, Max Interval: 28
Lecturer(ID421) => Min Interval: 15, Max Interval: 43
Lecturer(ID423) => Min Interval: 39, Max Interval: 43
Lecturer(ID429) => Min Interval: 10, Max Interval: 10
Lecturer(ID431) => Min Interval: 11, Max Interval: 41
Lecturer(ID432) => Min Interval: 18, Max Interval: 26
Lecturer(ID434) => Min Interval: 9, Max Interval: 37
Lecturer(ID437) => Min Interval: 12, Max Interval: 27
Lecturer(ID438) => Min Interval: 7, Max Interval: 47
Lecturer(ID443) => Min Interval: 3, Max Interval: 47
Lecturer(ID444) => Min Interval: 36, Max Interval: 46
Lecturer(ID446) => Min Interval: 13, Max Interval: 18
Lecturer(ID449) => Min Interval: 10, Max Interval: 36
Lecturer(ID453) => Min Interval: 17, Max Interval: 45
Lecturer(ID454) => Min Interval: 15, Max Interval: 43
Lecturer(ID455) => Min Interval: 9, Max Interval: 24
Lecturer(ID456) => Min Interval: 11, Max Interval: 43
Lecturer(ID458) => Min Interval: 7, Max Interval: 49
Lecturer(ID460) => Min Interval: 20, Max Interval: 35
Lecturer(ID463) => Min Interval: 1, Max Interval: 47
Lecturer(ID465) => Min Interval: 3, Max Interval: 37
Lecturer(ID469) => Min Interval: 9, Max Interval: 48
Lecturer(ID472) => Min Interval: 28, Max Interval: 47
Lecturer(ID473) => Min Interval: 24, Max Interval: 32
Lecturer(ID475) => Min Interval: 7, Max Interval: 40
Lecturer(ID477) => Min Interval: 8, Max Interval: 45
Lecturer(ID478) => Min Interval: 6, Max Interval: 8
Lecturer(ID480) => Min Interval: 14, Max Interval: 18
Lecturer(ID481) => Min Interval: 8, Max Interval: 41
Lecturer(ID487) => Min Interval: 19, Max Interval: 20
Lecturer(ID492) => Min Interval: 1, Max Interval: 33
Lecturer(ID496) => Min Interval: 3, Max Interval: 47
Lecturer(ID499) => Min Interval: 7, Max Interval: 44
Lecturer(ID501) => Min Interval: 13, Max Interval: 45
Lecturer(ID503) => Min Interval: 0, Max Interval: 47
Lecturer(ID508) => Min Interval: 9, Max Interval: 25
Lecturer(ID509) => Min Interval: 3, Max Interval: 46
Lecturer(ID511) => Min Interval: 19, Max Interval: 44
Lecturer(ID515) => Min Interval: 24, Max Interval: 44
Lecturer(ID518) => Min Interval: 6, Max Interval: 41
Lecturer(ID525) => Min Interval: 8, Max Interval: 37
Lecturer(ID531) => Min Interval: 7, Max Interval: 34
Lecturer(ID533) => Min Interval: 16, Max Interval: 39
Lecturer(ID536) => Min Interval: 20, Max Interval: 45
Lecturer(ID542) => Min Interval: 23, Max Interval: 32
Lecturer(ID544) => Min Interval: 20, Max Interval: 28
Lecturer(ID545) => Min Interval: 9, Max Interval: 42
Lecturer(ID546) => Min Interval: 18, Max Interval: 45
Lecturer(ID547) => Min Interval: 9, Max Interval: 47
Lecturer(ID551) => Min Interval: 32, Max Interval: 34
Lecturer(ID552) => Min Interval: 24, Max Interval: 30
Lecturer(ID554) => Min Interval: 32, Max Interval: 42
Lecturer(ID555) => Min Interval: 3, Max Interval: 44
Lecturer(ID558) => Min Interval: 5, Max Interval: 45
Lecturer(ID564) => Min Interval: 18, Max Interval: 44
Lecturer(ID576) => Min Interval: 5, Max Interval: 46
Lecturer(ID578) => Min Interval: 0, Max Interval: 45
Lecturer(ID580) => Min Interval: 10, Max Interval: 42
Lecturer(ID587) => Min Interval: 26, Max Interval: 42
Lecturer(ID588) => Min Interval: 13, Max Interval: 32
Lecturer(ID594) => Min Interval: 4, Max Interval: 24
Lecturer(ID601) => Min Interval: 10, Max Interval: 10
Lecturer(ID605) => Min Interval: 23, Max Interval: 42
Lecturer(ID608) => Min Interval: 12, Max Interval: 43
Lecturer(ID609) => Min Interval: 15, Max Interval: 45
Lecturer(ID611) => Min Interval: 14, Max Interval: 20
Lecturer(ID618) => Min Interval: 19, Max Interval: 22
Lecturer(ID630) => Min Interval: 17, Max Interval: 36
Lecturer(ID635) => Min Interval: 13, Max Interval: 49
Lecturer(ID638) => Min Interval: 14, Max Interval: 40
Lecturer(ID640) => Min Interval: 19, Max Interval: 24
Lecturer(ID644) => Min Interval: 18, Max Interval: 43
Lecturer(ID647) => Min Interval: 8, Max Interval: 32
Lecturer(ID648) => Min Interval: 8, Max Interval: 17
Lecturer(ID649) => Min Interval: 16, Max Interval: 31
Lecturer(ID651) => Min Interval: 27, Max Interval: 33
Lecturer(ID653) => Min Interval: 19, Max Interval: 42
Lecturer(ID656) => Min Interval: 13, Max Interval: 50
Lecturer(ID660) => Min Interval: 22, Max Interval: 35
Lecturer(ID664) => Min Interval: 31, Max Interval: 39
Lecturer(ID668) => Min Interval: 9, Max Interval: 44
Lecturer(ID674) => Min Interval: 31, Max Interval: 43
Lecturer(ID676) => Min Interval: 33, Max Interval: 44
Lecturer(ID679) => Min Interval: 30, Max Interval: 35
Lecturer(ID681) => Min Interval: 13, Max Interval: 24
Lecturer(ID682) => Min Interval: 17, Max Interval: 39
Lecturer(ID684) => Min Interval: 13, Max Interval: 36
Lecturer(ID686) => Min Interval: 20, Max Interval: 37
Lecturer(ID688) => Min Interval: 10, Max Interval: 25
Lecturer(ID692) => Min Interval: 13, Max Interval: 25
Lecturer(ID695) => Min Interval: 8, Max Interval: 43
Lecturer(ID697) => Min Interval: 8, Max Interval: 43
Lecturer(ID699) => Min Interval: 5, Max Interval: 43
Lecturer(ID701) => Min Interval: 26, Max Interval: 42
Lecturer(ID707) => Min Interval: 29, Max Interval: 44
Lecturer(ID712) => Min Interval: 12, Max Interval: 31
Lecturer(ID723) => Min Interval: 16, Max Interval: 42
Lecturer(ID726) => Min Interval: 18, Max Interval: 38
Lecturer(ID732) => Min Interval: 8, Max Interval: 41
Lecturer(ID736) => Min Interval: 11, Max Interval: 17
Lecturer(ID743) => Min Interval: 18, Max Interval: 39
Lecturer(ID745) => Min Interval: 38, Max Interval: 44
Lecturer(ID747) => Min Interval: 11, Max Interval: 44
Lecturer(ID748) => Min Interval: 13, Max Interval: 38
Lecturer(ID753) => Min Interval: 8, Max Interval: 27
Lecturer(ID763) => Min Interval: 24, Max Interval: 45
Lecturer(ID764) => Min Interval: 17, Max Interval: 44
Lecturer(ID766) => Min Interval: 9, Max Interval: 42
Lecturer(ID768) => Min Interval: 8, Max Interval: 15
Lecturer(ID771) => Min Interval: 28, Max Interval: 38
Lecturer(ID775) => Min Interval: 36, Max Interval: 41
Lecturer(ID780) => Min Interval: 15, Max Interval: 23
Lecturer(ID793) => Min Interval: 8, Max Interval: 43
Lecturer(ID804) => Min Interval: 4, Max Interval: 46
Lecturer(ID811) => Min Interval: 28, Max Interval: 29
Lecturer(ID816) => Min Interval: 36, Max Interval: 41
Lecturer(ID817) => Min Interval: 18, Max Interval: 25
Lecturer(ID819) => Min Interval: 21, Max Interval: 45
Lecturer(ID821) => Min Interval: 24, Max Interval: 43
Lecturer(ID827) => Min Interval: 17, Max Interval: 34
Lecturer(ID832) => Min Interval: 19, Max Interval: 34
Lecturer(ID842) => Min Interval: 29, Max Interval: 44
Lecturer(ID852) => Min Interval: 15, Max Interval: 44
Lecturer(ID859) => Min Interval: 13, Max Interval: 22
Lecturer(ID867) => Min Interval: 23, Max Interval: 32
Lecturer(ID870) => Min Interval: 31, Max Interval: 43
Lecturer(ID871) => Min Interval: 29, Max Interval: 42
Lecturer(ID874) => Min Interval: 3, Max Interval: 20
Lecturer(ID877) => Min Interval: 23, Max Interval: 32
Lecturer(ID884) => Min Interval: 26, Max Interval: 45
Lecturer(ID890) => Min Interval: 3, Max Interval: 27
Lecturer(ID891) => Min Interval: 11, Max Interval: 32
Lecturer(ID893) => Min Interval: 18, Max Interval: 30
Lecturer(ID898) => Min Interval: 3, Max Interval: 43
Lecturer(ID901) => Min Interval: 6, Max Interval: 38
Lecturer(ID908) => Min Interval: 17, Max Interval: 41
Lecturer(ID911) => Min Interval: 5, Max Interval: 42
Lecturer(ID913) => Min Interval: 19, Max Interval: 30
Lecturer(ID923) => Min Interval: 10, Max Interval: 13
Lecturer(ID928) => Min Interval: 8, Max Interval: 29
Lecturer(ID930) => Min Interval: 3, Max Interval: 42
Lecturer(ID940) => Min Interval: 8, Max Interval: 8
Lecturer(ID946) => Min Interval: 26, Max Interval: 36
Lecturer(ID955) => Min Interval: 11, Max Interval: 32
Lecturer(ID959) => Min Interval: 18, Max Interval: 45
Lecturer(ID963) => Min Interval: 13, Max Interval: 45
Lecturer(ID978) => Min Interval: 9, Max Interval: 13
Lecturer(ID979) => Min Interval: 17, Max Interval: 45
Lecturer(ID980) => Min Interval: 10, Max Interval: 36
Lecturer(ID983) => Min Interval: 8, Max Interval: 9
Lecturer(ID986) => Min Interval: 8, Max Interval: 44
Lecturer(ID991) => Min Interval: 9, Max Interval: 20
Lecturer(ID999) => Min Interval: 6, Max Interval: 47
Lecturer(ID1002) => Min Interval: 10, Max Interval: 36
Lecturer(ID1004) => Min Interval: 35, Max Interval: 35
Lecturer(ID1008) => Min Interval: 8, Max Interval: 24
Lecturer(ID1013) => Min Interval: 11, Max Interval: 34
Lecturer(ID1014) => Min Interval: 14, Max Interval: 35
Lecturer(ID1024) => Min Interval: 16, Max Interval: 33
Lecturer(ID1030) => Min Interval: 11, Max Interval: 43
Lecturer(ID1038) => Min Interval: 6, Max Interval: 48
Lecturer(ID1041) => Min Interval: 9, Max Interval: 44
Lecturer(ID1044) => Min Interval: 16, Max Interval: 39
Lecturer(ID1056) => Min Interval: 8, Max Interval: 28
Lecturer(ID1062) => Min Interval: 3, Max Interval: 46
Lecturer(ID1063) => Min Interval: 20, Max Interval: 36
Lecturer(ID1070) => Min Interval: 8, Max Interval: 15
Lecturer(ID1080) => Min Interval: 8, Max Interval: 24
Lecturer(ID1082) => Min Interval: 19, Max Interval: 37
Lecturer(ID1086) => Min Interval: 8, Max Interval: 48
Lecturer(ID1091) => Min Interval: 14, Max Interval: 24
Lecturer(ID1093) => Min Interval: 4, Max Interval: 43
Lecturer(ID1104) => Min Interval: 17, Max Interval: 20
Lecturer(ID1126) => Min Interval: 14, Max Interval: 21
Lecturer(ID1137) => Min Interval: 12, Max Interval: 27
Lecturer(ID1145) => Min Interval: 11, Max Interval: 47
Lecturer(ID1150) => Min Interval: 12, Max Interval: 35
Lecturer(ID1155) => Min Interval: 25, Max Interval: 36
Lecturer(ID1187) => Min Interval: 16, Max Interval: 24
Lecturer(ID1211) => Min Interval: 20, Max Interval: 45
Lecturer(ID1228) => Min Interval: 27, Max Interval: 43
Lecturer(ID1233) => Min Interval: 26, Max Interval: 43
Lecturer(ID1251) => Min Interval: 11, Max Interval: 39
Lecturer(ID1281) => Min Interval: 17, Max Interval: 36
Lecturer(ID1293) => Min Interval: 17, Max Interval: 34
Lecturer(ID1306) => Min Interval: 24, Max Interval: 41
Lecturer(ID1324) => Min Interval: 10, Max Interval: 42
Lecturer(ID1351) => Min Interval: 15, Max Interval: 37
Lecturer(ID1353) => Min Interval: 42, Max Interval: 45
Lecturer(ID1363) => Min Interval: 9, Max Interval: 27
Lecturer(ID1633) => Min Interval: 22, Max Interval: 40
Lecturer(ID1640) => Min Interval: 8, Max Interval: 28
Lecturer(ID1655) => Min Interval: 12, Max Interval: 38
Lecturer(ID1656) => Min Interval: 38, Max Interval: 42
Lecturer(ID1680) => Min Interval: 8, Max Interval: 20
Lecturer(ID1681) => Min Interval: 10, Max Interval: 41
Lecturer(ID1692) => Min Interval: 26, Max Interval: 42
Lecturer(ID1696) => Min Interval: 9, Max Interval: 25
Lecturer(ID1712) => Min Interval: 28, Max Interval: 45
Lecturer(ID1721) => Min Interval: 41, Max Interval: 44
Lecturer(ID1748) => Min Interval: 11, Max Interval: 24
Lecturer(ID1791) => Min Interval: 21, Max Interval: 43
Lecturer(ID1812) => Min Interval: 11, Max Interval: 19
Lecturer(ID1858) => Min Interval: 15, Max Interval: 37
Lecturer(ID1891) => Min Interval: 3, Max Interval: 28
Lecturer(ID1896) => Min Interval: 5, Max Interval: 41
Lecturer(ID1911) => Min Interval: 5, Max Interval: 43
Lecturer(ID1916) => Min Interval: 18, Max Interval: 42
Lecturer(ID1924) => Min Interval: 4, Max Interval: 36
Lecturer(ID1925) => Min Interval: 9, Max Interval: 37
Lecturer(ID1968) => Min Interval: 21, Max Interval: 29
Lecturer(ID1974) => Min Interval: 20, Max Interval: 42
Lecturer(ID1980) => Min Interval: 8, Max Interval: 41
Lecturer(ID1984) => Min Interval: 15, Max Interval: 30
Lecturer(ID2007) => Min Interval: 9, Max Interval: 45
