Stored fact information:
AssociateProfessor(ID0) => Min Interval: 37, Max Interval: 41
AssociateProfessor(ID165) => Min Interval: 12, Max Interval: 33
AssociateProfessor(ID168) => Min Interval: 35, Max Interval: 36
AssociateProfessor(ID170) => Min Interval: 1, Max Interval: 49
AssociateProfessor(ID173) => Min Interval: 18, Max Interval: 48
AssociateProfessor(ID177) => Min Interval: 8, Max Interval: 51
AssociateProfessor(ID182) => Min Interval: 18, Max Interval: 25
AssociateProfessor(ID187) => Min Interval: 15, Max Interval: 39
AssociateProfessor(ID190) => Min Interval: 24, Max Interval: 28
AssociateProfessor(ID193) => Min Interval: 36, Max Interval: 44
AssociateProfessor(ID194) => Min Interval: 24, Max Interval: 27
AssociateProfessor(ID196) => Min Interval: 16, Max Interval: 50
AssociateProfessor(ID198) => Min Interval: 14, Max Interval: 51
AssociateProfessor(ID203) => Min Interval: 8, Max Interval: 54
AssociateProfessor(ID207) => Min Interval: 21, Max Interval: 48
AssociateProfessor(ID209) => Min Interval: 22, Max Interval: 24
AssociateProfessor(ID211) => Min Interval: 26, Max Interval: 34
AssociateProfessor(ID213) => Min Interval: 6, Max Interval: 45
AssociateProfessor(ID215) => Min Interval: 5, Max Interval: 42
AssociateProfessor(ID219) => Min Interval: 13, Max Interval: 30
AssociateProfessor(ID224) => Min Interval: 36, Max Interval: 42
AssociateProfessor(ID226) => Min Interval: 2, Max Interval: 45
AssociateProfessor(ID228) => Min Interval: 17, Max Interval: 42
AssociateProfessor(ID229) => Min Interval: 17, Max Interval: 43
AssociateProfessor(ID232) => Min Interval: 32, Max Interval: 49
AssociateProfessor(ID233) => Min Interval: 41, Max Interval: 43
AssociateProfessor(ID235) => Min Interval: 10, Max Interval: 42
AssociateProfessor(ID237) => Min Interval: 9, Max Interval: 55
AssociateProfessor(ID242) => Min Interval: 21, Max Interval: 50
AssociateProfessor(ID245) => Min Interval: 11, Max Interval: 53
AssociateProfessor(ID249) => Min Interval: 10, Max Interval: 44
AssociateProfessor(ID251) => Min Interval: 20, Max Interval: 48
AssociateProfessor(ID253) => Min Interval: 27, Max Interval: 33
AssociateProfessor(ID259) => Min Interval: 28, Max Interval: 49
AssociateProfessor(ID261) => Min Interval: 10, Max Interval: 32
AssociateProfessor(ID267) => Min Interval: 19, Max Interval: 49
AssociateProfessor(ID270) => Min Interval: 9, Max Interval: 35
AssociateProfessor(ID271) => Min Interval: 21, Max Interval: 42
AssociateProfessor(ID275) => Min Interval: 9, Max Interval: 47
AssociateProfessor(ID276) => Min Interval: 42, Max Interval: 49
AssociateProfessor(ID277) => Min Interval: 36, Max Interval: 51
AssociateProfessor(ID280) => Min Interval: 32, Max Interval: 36
AssociateProfessor(ID282) => Min Interval: 25, Max Interval: 38
AssociateProfessor(ID288) => Min Interval: 29, Max Interval: 45
AssociateProfessor(ID289) => Min Interval: 14, Max Interval: 30
AssociateProfessor(ID292) => Min Interval: 19, Max Interval: 51
AssociateProfessor(ID295) => Min Interval: 35, Max Interval: 49
AssociateProfessor(ID296) => Min Interval: 25, Max Interval: 33
AssociateProfessor(ID298) => Min Interval: 22, Max Interval: 49
AssociateProfessor(ID301) => Min Interval: 20, Max Interval: 49
AssociateProfessor(ID303) => Min Interval: 22, Max Interval: 51
AssociateProfessor(ID306) => Min Interval: 33, Max Interval: 49
AssociateProfessor(ID312) => Min Interval: 18, Max Interval: 30
AssociateProfessor(ID315) => Min Interval: 15, Max Interval: 37
AssociateProfessor(ID321) => Min Interval: 28, Max Interval: 43
AssociateProfessor(ID331) => Min Interval: 19, Max Interval: 26
AssociateProfessor(ID333) => Min Interval: 35, Max Interval: 47
AssociateProfessor(ID334) => Min Interval: 21, Max Interval: 49
AssociateProfessor(ID341) => Min Interval: 13, Max Interval: 48
AssociateProfessor(ID346) => Min Interval: 15, Max Interval: 48
AssociateProfessor(ID348) => Min Interval: 11, Max Interval: 50
AssociateProfessor(ID349) => Min Interval: 10, Max Interval: 39
AssociateProfessor(ID350) => Min Interval: 15, Max Interval: 35
AssociateProfessor(ID352) => Min Interval: 16, Max Interval: 35
AssociateProfessor(ID359) => Min Interval: 27, Max Interval: 46
AssociateProfessor(ID364) => Min Interval: 28, Max Interval: 29
AssociateProfessor(ID369) => Min Interval: 13, Max Interval: 43
AssociateProfessor(ID371) => Min Interval: 13, Max Interval: 51
AssociateProfessor(ID373) => Min Interval: 39, Max Interval: 45
AssociateProfessor(ID375) => Min Interval: 23, Max Interval: 50
AssociateProfessor(ID377) => Min Interval: 19, Max Interval: 48
AssociateProfessor(ID380) => Min Interval: 0, Max Interval: 13
AssociateProfessor(ID382) => Min Interval: 31, Max Interval: 43
AssociateProfessor(ID387) => Min Interval: 11, Max Interval: 40
AssociateProfessor(ID389) => Min Interval: 32, Max Interval: 35
AssociateProfessor(ID390) => Min Interval: 12, Max Interval: 49
AssociateProfessor(ID393) => Min Interval: 7, Max Interval: 31
AssociateProfessor(ID395) => Min Interval: 34, Max Interval: 51
AssociateProfessor(ID396) => Min Interval: 29, Max Interval: 49
AssociateProfessor(ID398) => Min Interval: 16, Max Interval: 51
AssociateProfessor(ID401) => Min Interval: 23, Max Interval: 50
AssociateProfessor(ID402) => Min Interval: 23, Max Interval: 53
AssociateProfessor(ID404) => Min Interval: 33, Max Interval: 43
AssociateProfessor(ID410) => Min Interval: 8, Max Interval: 53
AssociateProfessor(ID411) => Min Interval: 10, Max Interval: 50
AssociateProfessor(ID414) => Min Interval: 30, Max Interval: 44
AssociateProfessor(ID418) => Min Interval: 19, Max Interval: 43
AssociateProfessor(ID419) => Min Interval: 16, Max Interval: 42
AssociateProfessor(ID422) => Min Interval: 24, Max Interval: 52
AssociateProfessor(ID428) => Min Interval: 15, Max Interval: 53
AssociateProfessor(ID434) => Min Interval: 11, Max Interval: 48
AssociateProfessor(ID436) => Min Interval: 17, Max Interval: 47
AssociateProfessor(ID437) => Min Interval: 11, Max Interval: 51
AssociateProfessor(ID439) => Min Interval: 22, Max Interval: 31
AssociateProfessor(ID441) => Min Interval: 21, Max Interval: 37
AssociateProfessor(ID446) => Min Interval: 21, Max Interval: 43
AssociateProfessor(ID447) => Min Interval: 21, Max Interval: 51
AssociateProfessor(ID450) => Min Interval: 21, Max Interval: 35
AssociateProfessor(ID455) => Min Interval: 24, Max Interval: 42
AssociateProfessor(ID456) => Min Interval: 17, Max Interval: 30
AssociateProfessor(ID458) => Min Interval: 11, Max Interval: 48
AssociateProfessor(ID459) => Min Interval: 45, Max Interval: 49
AssociateProfessor(ID461) => Min Interval: 23, Max Interval: 31
AssociateProfessor(ID462) => Min Interval: 30, Max Interval: 46
AssociateProfessor(ID466) => Min Interval: 10, Max Interval: 50
AssociateProfessor(ID468) => Min Interval: 41, Max Interval: 47
AssociateProfessor(ID469) => Min Interval: 28, Max Interval: 35
AssociateProfessor(ID470) => Min Interval: 39, Max Interval: 49
AssociateProfessor(ID473) => Min Interval: 8, Max Interval: 54
AssociateProfessor(ID478) => Min Interval: 13, Max Interval: 48
AssociateProfessor(ID479) => Min Interval: 33, Max Interval: 50
AssociateProfessor(ID482) => Min Interval: 3, Max Interval: 38
AssociateProfessor(ID490) => Min Interval: 17, Max Interval: 51
AssociateProfessor(ID491) => Min Interval: 16, Max Interval: 37
AssociateProfessor(ID502) => Min Interval: 15, Max Interval: 30
AssociateProfessor(ID504) => Min Interval: 17, Max Interval: 49
AssociateProfessor(ID505) => Min Interval: 7, Max Interval: 37
AssociateProfessor(ID509) => Min Interval: 11, Max Interval: 50
AssociateProfessor(ID511) => Min Interval: 21, Max Interval: 51
AssociateProfessor(ID512) => Min Interval: 17, Max Interval: 53
AssociateProfessor(ID515) => Min Interval: 25, Max Interval: 50
AssociateProfessor(ID516) => Min Interval: 19, Max Interval: 45
AssociateProfessor(ID518) => Min Interval: 7, Max Interval: 43
AssociateProfessor(ID519) => Min Interval: 18, Max Interval: 32
AssociateProfessor(ID520) => Min Interval: 12, Max Interval: 46
AssociateProfessor(ID521) => Min Interval: 27, Max Interval: 43
AssociateProfessor(ID523) => Min Interval: 22, Max Interval: 50
AssociateProfessor(ID524) => Min Interval: 24, Max Interval: 45
AssociateProfessor(ID527) => Min Interval: 20, Max Interval: 46
AssociateProfessor(ID531) => Min Interval: 32, Max Interval: 49
AssociateProfessor(ID537) => Min Interval: 21, Max Interval: 36
AssociateProfessor(ID539) => Min Interval: 13, Max Interval: 42
AssociateProfessor(ID541) => Min Interval: 20, Max Interval: 45
AssociateProfessor(ID544) => Min Interval: 19, Max Interval: 31
AssociateProfessor(ID549) => Min Interval: 45, Max Interval: 46
AssociateProfessor(ID552) => Min Interval: 23, Max Interval: 54
AssociateProfessor(ID553) => Min Interval: 20, Max Interval: 21
AssociateProfessor(ID557) => Min Interval: 38, Max Interval: 50
AssociateProfessor(ID559) => Min Interval: 11, Max Interval: 54
AssociateProfessor(ID562) => Min Interval: 17, Max Interval: 49
AssociateProfessor(ID566) => Min Interval: 16, Max Interval: 29
AssociateProfessor(ID567) => Min Interval: 15, Max Interval: 48
AssociateProfessor(ID569) => Min Interval: 14, Max Interval: 42
AssociateProfessor(ID570) => Min Interval: 26, Max Interval: 46
AssociateProfessor(ID574) => Min Interval: 8, Max Interval: 54
AssociateProfessor(ID578) => Min Interval: 22, Max Interval: 31
AssociateProfessor(ID579) => Min Interval: 21, Max Interval: 43
AssociateProfessor(ID580) => Min Interval: 16, Max Interval: 49
AssociateProfessor(ID583) => Min Interval: 39, Max Interval: 51
AssociateProfessor(ID584) => Min Interval: 28, Max Interval: 50
AssociateProfessor(ID587) => Min Interval: 15, Max Interval: 28
AssociateProfessor(ID589) => Min Interval: 41, Max Interval: 44
AssociateProfessor(ID590) => Min Interval: 9, Max Interval: 48
AssociateProfessor(ID593) => Min Interval: 17, Max Interval: 20
AssociateProfessor(ID597) => Min Interval: 17, Max Interval: 29
AssociateProfessor(ID599) => Min Interval: 30, Max Interval: 34
AssociateProfessor(ID600) => Min Interval: 15, Max Interval: 44
AssociateProfessor(ID607) => Min Interval: 27, Max Interval: 46
AssociateProfessor(ID610) => Min Interval: 20, Max Interval: 23
AssociateProfessor(ID611) => Min Interval: 16, Max Interval: 21
AssociateProfessor(ID612) => Min Interval: 33, Max Interval: 48
AssociateProfessor(ID614) => Min Interval: 25, Max Interval: 34
AssociateProfessor(ID615) => Min Interval: 26, Max Interval: 32
AssociateProfessor(ID616) => Min Interval: 15, Max Interval: 18
AssociateProfessor(ID619) => Min Interval: 15, Max Interval: 53
AssociateProfessor(ID620) => Min Interval: 19, Max Interval: 40
AssociateProfessor(ID626) => Min Interval: 24, Max Interval: 40
AssociateProfessor(ID628) => Min Interval: 39, Max Interval: 46
AssociateProfessor(ID629) => Min Interval: 23, Max Interval: 50
AssociateProfessor(ID634) => Min Interval: 35, Max Interval: 49
AssociateProfessor(ID635) => Min Interval: 35, Max Interval: 50
AssociateProfessor(ID640) => Min Interval: 5, Max Interval: 47
AssociateProfessor(ID643) => Min Interval: 18, Max Interval: 43
AssociateProfessor(ID645) => Min Interval: 27, Max Interval: 42
AssociateProfessor(ID647) => Min Interval: 1, Max Interval: 42
AssociateProfessor(ID648) => Min Interval: 19, Max Interval: 33
AssociateProfessor(ID649) => Min Interval: 21, Max Interval: 39
AssociateProfessor(ID652) => Min Interval: 16, Max Interval: 33
AssociateProfessor(ID655) => Min Interval: 29, Max Interval: 53
AssociateProfessor(ID658) => Min Interval: 15, Max Interval: 50
AssociateProfessor(ID659) => Min Interval: 19, Max Interval: 43
AssociateProfessor(ID665) => Min Interval: 25, Max Interval: 41
AssociateProfessor(ID666) => Min Interval: 26, Max Interval: 54
AssociateProfessor(ID671) => Min Interval: 22, Max Interval: 45
AssociateProfessor(ID676) => Min Interval: 17, Max Interval: 32
AssociateProfessor(ID679) => Min Interval: 31, Max Interval: 35
AssociateProfessor(ID684) => Min Interval: 12, Max Interval: 52
AssociateProfessor(ID686) => Min Interval: 17, Max Interval: 53
AssociateProfessor(ID697) => Min Interval: 16, Max Interval: 41
AssociateProfessor(ID703) => Min Interval: 17, Max Interval: 20
AssociateProfessor(ID704) => Min Interval: 33, Max Interval: 47
AssociateProfessor(ID711) => Min Interval: 10, Max Interval: 53
AssociateProfessor(ID717) => Min Interval: 18, Max Interval: 29
AssociateProfessor(ID727) => Min Interval: 29, Max Interval: 47
AssociateProfessor(ID729) => Min Interval: 21, Max Interval: 49
AssociateProfessor(ID734) => Min Interval: 12, Max Interval: 50
AssociateProfessor(ID740) => Min Interval: 14, Max Interval: 45
AssociateProfessor(ID742) => Min Interval: 32, Max Interval: 40
AssociateProfessor(ID745) => Min Interval: 35, Max Interval: 40
AssociateProfessor(ID749) => Min Interval: 30, Max Interval: 33
AssociateProfessor(ID753) => Min Interval: 26, Max Interval: 44
AssociateProfessor(ID754) => Min Interval: 14, Max Interval: 41
AssociateProfessor(ID762) => Min Interval: 40, Max Interval: 42
AssociateProfessor(ID764) => Min Interval: 29, Max Interval: 51
AssociateProfessor(ID765) => Min Interval: 16, Max Interval: 31
AssociateProfessor(ID767) => Min Interval: 27, Max Interval: 47
AssociateProfessor(ID775) => Min Interval: 8, Max Interval: 53
AssociateProfessor(ID779) => Min Interval: 29, Max Interval: 47
AssociateProfessor(ID780) => Min Interval: 41, Max Interval: 50
AssociateProfessor(ID786) => Min Interval: 17, Max Interval: 28
AssociateProfessor(ID796) => Min Interval: 19, Max Interval: 51
AssociateProfessor(ID809) => Min Interval: 28, Max Interval: 43
AssociateProfessor(ID814) => Min Interval: 17, Max Interval: 52
AssociateProfessor(ID821) => Min Interval: 19, Max Interval: 40
AssociateProfessor(ID822) => Min Interval: 20, Max Interval: 42
AssociateProfessor(ID825) => Min Interval: 43, Max Interval: 47
AssociateProfessor(ID828) => Min Interval: 20, Max Interval: 45
AssociateProfessor(ID831) => Min Interval: 47, Max Interval: 52
AssociateProfessor(ID832) => Min Interval: 18, Max Interval: 52
AssociateProfessor(ID840) => Min Interval: 11, Max Interval: 41
AssociateProfessor(ID847) => Min Interval: 10, Max Interval: 46
AssociateProfessor(ID853) => Min Interval: 37, Max Interval: 38
AssociateProfessor(ID854) => Min Interval: 32, Max Interval: 51
AssociateProfessor(ID856) => Min Interval: 20, Max Interval: 39
AssociateProfessor(ID860) => Min Interval: 31, Max Interval: 51
AssociateProfessor(ID865) => Min Interval: 45, Max Interval: 46
AssociateProfessor(ID870) => Min Interval: 15, Max Interval: 34
AssociateProfessor(ID876) => Min Interval: 17, Max Interval: 37
AssociateProfessor(ID877) => Min Interval: 26, Max Interval: 28
AssociateProfessor(ID886) => Min Interval: 17, Max Interval: 51
AssociateProfessor(ID888) => Min Interval: 27, Max Interval: 50
AssociateProfessor(ID890) => Min Interval: 25, Max Interval: 51
AssociateProfessor(ID901) => Min Interval: 16, Max Interval: 47
AssociateProfessor(ID908) => Min Interval: 15, Max Interval: 28
AssociateProfessor(ID910) => Min Interval: 33, Max Interval: 45
AssociateProfessor(ID916) => Min Interval: 10, Max Interval: 50
AssociateProfessor(ID917) => Min Interval: 19, Max Interval: 25
AssociateProfessor(ID918) => Min Interval: 19, Max Interval: 47
AssociateProfessor(ID921) => Min Interval: 7, Max Interval: 35
AssociateProfessor(ID923) => Min Interval: 34, Max Interval: 43
AssociateProfessor(ID928) => Min Interval: 26, Max Interval: 27
AssociateProfessor(ID932) => Min Interval: 23, Max Interval: 50
AssociateProfessor(ID934) => Min Interval: 40, Max Interval: 50
AssociateProfessor(ID938) => Min Interval: 29, Max Interval: 33
AssociateProfessor(ID939) => Min Interval: 18, Max Interval: 38
AssociateProfessor(ID941) => Min Interval: 11, Max Interval: 47
AssociateProfessor(ID946) => Min Interval: 15, Max Interval: 40
AssociateProfessor(ID947) => Min Interval: 30, Max Interval: 43
AssociateProfessor(ID949) => Min Interval: 18, Max Interval: 21
AssociateProfessor(ID953) => Min Interval: 17, Max Interval: 32
AssociateProfessor(ID956) => Min Interval: 32, Max Interval: 46
AssociateProfessor(ID961) => Min Interval: 18, Max Interval: 54
AssociateProfessor(ID962) => Min Interval: 15, Max Interval: 50
AssociateProfessor(ID963) => Min Interval: 10, Max Interval: 54
AssociateProfessor(ID968) => Min Interval: 31, Max Interval: 45
AssociateProfessor(ID969) => Min Interval: 46, Max Interval: 51
AssociateProfessor(ID973) => Min Interval: 21, Max Interval: 33
AssociateProfessor(ID974) => Min Interval: 28, Max Interval: 46
AssociateProfessor(ID986) => Min Interval: 30, Max Interval: 50
AssociateProfessor(ID993) => Min Interval: 14, Max Interval: 54
AssociateProfessor(ID996) => Min Interval: 22, Max Interval: 50
AssociateProfessor(ID1001) => Min Interval: 26, Max Interval: 27
AssociateProfessor(ID1009) => Min Interval: 16, Max Interval: 50
AssociateProfessor(ID1014) => Min Interval: 27, Max Interval: 37
AssociateProfessor(ID1019) => Min Interval: 17, Max Interval: 42
AssociateProfessor(ID1037) => Min Interval: 19, Max Interval: 31
AssociateProfessor(ID1038) => Min Interval: 16, Max Interval: 36
AssociateProfessor(ID1048) => Min Interval: 15, Max Interval: 37
AssociateProfessor(ID1051) => Min Interval: 29, Max Interval: 45
AssociateProfessor(ID1053) => Min Interval: 18, Max Interval: 49
AssociateProfessor(ID1056) => Min Interval: 25, Max Interval: 41
AssociateProfessor(ID1067) => Min Interval: 17, Max Interval: 39
AssociateProfessor(ID1070) => Min Interval: 25, Max Interval: 39
AssociateProfessor(ID1082) => Min Interval: 19, Max Interval: 38
AssociateProfessor(ID1084) => Min Interval: 12, Max Interval: 44
AssociateProfessor(ID1087) => Min Interval: 19, Max Interval: 42
AssociateProfessor(ID1088) => Min Interval: 15, Max Interval: 26
AssociateProfessor(ID1094) => Min Interval: 20, Max Interval: 45
AssociateProfessor(ID1114) => Min Interval: 9, Max Interval: 51
AssociateProfessor(ID1116) => Min Interval: 17, Max Interval: 42
AssociateProfessor(ID1145) => Min Interval: 17, Max Interval: 34
AssociateProfessor(ID1153) => Min Interval: 23, Max Interval: 48
AssociateProfessor(ID1156) => Min Interval: 29, Max Interval: 50
AssociateProfessor(ID1159) => Min Interval: 39, Max Interval: 49
AssociateProfessor(ID1161) => Min Interval: 26, Max Interval: 41
AssociateProfessor(ID1166) => Min Interval: 36, Max Interval: 39
AssociateProfessor(ID1168) => Min Interval: 18, Max Interval: 41
AssociateProfessor(ID1176) => Min Interval: 26, Max Interval: 44
AssociateProfessor(ID1180) => Min Interval: 26, Max Interval: 46
AssociateProfessor(ID1181) => Min Interval: 48, Max Interval: 49
AssociateProfessor(ID1186) => Min Interval: 44, Max Interval: 49
AssociateProfessor(ID1189) => Min Interval: 21, Max Interval: 29
AssociateProfessor(ID1199) => Min Interval: 18, Max Interval: 49
AssociateProfessor(ID1202) => Min Interval: 10, Max Interval: 50
AssociateProfessor(ID1213) => Min Interval: 25, Max Interval: 50
AssociateProfessor(ID1245) => Min Interval: 36, Max Interval: 41
AssociateProfessor(ID1254) => Min Interval: 23, Max Interval: 44
AssociateProfessor(ID1274) => Min Interval: 34, Max Interval: 47
AssociateProfessor(ID1289) => Min Interval: 31, Max Interval: 36
AssociateProfessor(ID1298) => Min Interval: 22, Max Interval: 47
AssociateProfessor(ID1304) => Min Interval: 26, Max Interval: 51
AssociateProfessor(ID1306) => Min Interval: 29, Max Interval: 33
AssociateProfessor(ID1335) => Min Interval: 17, Max Interval: 38
AssociateProfessor(ID1340) => Min Interval: 24, Max Interval: 45
AssociateProfessor(ID1346) => Min Interval: 33, Max Interval: 37
AssociateProfessor(ID1355) => Min Interval: 15, Max Interval: 52
AssociateProfessor(ID1384) => Min Interval: 19, Max Interval: 44
AssociateProfessor(ID1402) => Min Interval: 30, Max Interval: 49
AssociateProfessor(ID1404) => Min Interval: 24, Max Interval: 41
AssociateProfessor(ID1410) => Min Interval: 19, Max Interval: 35
AssociateProfessor(ID1412) => Min Interval: 22, Max Interval: 46
AssociateProfessor(ID1442) => Min Interval: 22, Max Interval: 50
AssociateProfessor(ID1447) => Min Interval: 19, Max Interval: 52
AssociateProfessor(ID1512) => Min Interval: 32, Max Interval: 40
AssociateProfessor(ID1514) => Min Interval: 27, Max Interval: 31
AssociateProfessor(ID1665) => Min Interval: 20, Max Interval: 50
AssociateProfessor(ID1857) => Min Interval: 27, Max Interval: 38
AssociateProfessor(ID1860) => Min Interval: 8, Max Interval: 51
AssociateProfessor(ID1861) => Min Interval: 10, Max Interval: 35
AssociateProfessor(ID1862) => Min Interval: 26, Max Interval: 44
AssociateProfessor(ID1865) => Min Interval: 12, Max Interval: 51
AssociateProfessor(ID1869) => Min Interval: 0, Max Interval: 52
AssociateProfessor(ID1870) => Min Interval: 42, Max Interval: 49
AssociateProfessor(ID1871) => Min Interval: 16, Max Interval: 26
AssociateProfessor(ID1873) => Min Interval: 15, Max Interval: 17
AssociateProfessor(ID1874) => Min Interval: 49, Max Interval: 51
AssociateProfessor(ID1876) => Min Interval: 26, Max Interval: 37
AssociateProfessor(ID1878) => Min Interval: 46, Max Interval: 50
AssociateProfessor(ID1881) => Min Interval: 20, Max Interval: 37
AssociateProfessor(ID1883) => Min Interval: 19, Max Interval: 53
AssociateProfessor(ID1886) => Min Interval: 3, Max Interval: 46
AssociateProfessor(ID1889) => Min Interval: 17, Max Interval: 48
AssociateProfessor(ID1891) => Min Interval: 26, Max Interval: 43
AssociateProfessor(ID1892) => Min Interval: 22, Max Interval: 29
AssociateProfessor(ID1894) => Min Interval: 14, Max Interval: 42
AssociateProfessor(ID1896) => Min Interval: 38, Max Interval: 50
AssociateProfessor(ID1897) => Min Interval: 36, Max Interval: 39
AssociateProfessor(ID1900) => Min Interval: 25, Max Interval: 43
AssociateProfessor(ID1903) => Min Interval: 34, Max Interval: 48
AssociateProfessor(ID1904) => Min Interval: 32, Max Interval: 43
AssociateProfessor(ID1908) => Min Interval: 16, Max Interval: 41
AssociateProfessor(ID1909) => Min Interval: 15, Max Interval: 54
AssociateProfessor(ID1911) => Min Interval: 23, Max Interval: 47
AssociateProfessor(ID1916) => Min Interval: 12, Max Interval: 45
AssociateProfessor(ID1918) => Min Interval: 10, Max Interval: 51
AssociateProfessor(ID1920) => Min Interval: 18, Max Interval: 41
AssociateProfessor(ID1922) => Min Interval: 10, Max Interval: 51
AssociateProfessor(ID1923) => Min Interval: 23, Max Interval: 42
AssociateProfessor(ID1925) => Min Interval: 21, Max Interval: 48
AssociateProfessor(ID1929) => Min Interval: 15, Max Interval: 50
AssociateProfessor(ID1931) => Min Interval: 15, Max Interval: 43
AssociateProfessor(ID1941) => Min Interval: 32, Max Interval: 46
AssociateProfessor(ID1942) => Min Interval: 23, Max Interval: 48
AssociateProfessor(ID1943) => Min Interval: 26, Max Interval: 51
AssociateProfessor(ID1944) => Min Interval: 19, Max Interval: 47
AssociateProfessor(ID1946) => Min Interval: 15, Max Interval: 51
AssociateProfessor(ID1947) => Min Interval: 13, Max Interval: 48
AssociateProfessor(ID1950) => Min Interval: 6, Max Interval: 44
AssociateProfessor(ID1953) => Min Interval: 18, Max Interval: 45
AssociateProfessor(ID1954) => Min Interval: 15, Max Interval: 53
AssociateProfessor(ID1955) => Min Interval: 21, Max Interval: 45
AssociateProfessor(ID1957) => Min Interval: 15, Max Interval: 51
AssociateProfessor(ID1960) => Min Interval: 18, Max Interval: 44
AssociateProfessor(ID1962) => Min Interval: 16, Max Interval: 50
AssociateProfessor(ID1964) => Min Interval: 4, Max Interval: 23
AssociateProfessor(ID1965) => Min Interval: 14, Max Interval: 46
AssociateProfessor(ID1966) => Min Interval: 16, Max Interval: 24
AssociateProfessor(ID1970) => Min Interval: 20, Max Interval: 51
