Stored fact information:
SmartStudent(ID0) => Min Interval: 22, Max Interval: 40
SmartStudent(ID346) => Min Interval: 22, Max Interval: 41
SmartStudent(ID348) => Min Interval: 22, Max Interval: 43
SmartStudent(ID349) => Min Interval: 22, Max Interval: 32
SmartStudent(ID350) => Min Interval: 22, Max Interval: 34
SmartStudent(ID352) => Min Interval: 27, Max Interval: 34
SmartStudent(ID355) => Min Interval: 39, Max Interval: 45
SmartStudent(ID359) => Min Interval: 22, Max Interval: 42
SmartStudent(ID364) => Min Interval: 24, Max Interval: 28
SmartStudent(ID367) => Min Interval: 33, Max Interval: 34
SmartStudent(ID373) => Min Interval: 24, Max Interval: 44
SmartStudent(ID375) => Min Interval: 22, Max Interval: 46
SmartStudent(ID377) => Min Interval: 22, Max Interval: 42
SmartStudent(ID387) => Min Interval: 23, Max Interval: 33
SmartStudent(ID389) => Min Interval: 28, Max Interval: 34
SmartStudent(ID390) => Min Interval: 22, Max Interval: 37
SmartStudent(ID393) => Min Interval: 24, Max Interval: 24
SmartStudent(ID395) => Min Interval: 22, Max Interval: 36
SmartStudent(ID396) => Min Interval: 22, Max Interval: 43
SmartStudent(ID398) => Min Interval: 22, Max Interval: 40
SmartStudent(ID401) => Min Interval: 22, Max Interval: 27
SmartStudent(ID402) => Min Interval: 22, Max Interval: 38
SmartStudent(ID404) => Min Interval: 27, Max Interval: 27
SmartStudent(ID407) => Min Interval: 22, Max Interval: 48
SmartStudent(ID410) => Min Interval: 22, Max Interval: 34
SmartStudent(ID411) => Min Interval: 22, Max Interval: 47
SmartStudent(ID414) => Min Interval: 22, Max Interval: 43
SmartStudent(ID418) => Min Interval: 24, Max Interval: 41
SmartStudent(ID419) => Min Interval: 22, Max Interval: 35
SmartStudent(ID422) => Min Interval: 22, Max Interval: 49
SmartStudent(ID428) => Min Interval: 22, Max Interval: 39
SmartStudent(ID436) => Min Interval: 22, Max Interval: 44
SmartStudent(ID437) => Min Interval: 35, Max Interval: 36
SmartStudent(ID441) => Min Interval: 22, Max Interval: 36
SmartStudent(ID443) => Min Interval: 45, Max Interval: 46
SmartStudent(ID446) => Min Interval: 22, Max Interval: 27
SmartStudent(ID450) => Min Interval: 22, Max Interval: 43
SmartStudent(ID455) => Min Interval: 24, Max Interval: 35
SmartStudent(ID456) => Min Interval: 22, Max Interval: 22
SmartStudent(ID458) => Min Interval: 22, Max Interval: 25
SmartStudent(ID459) => Min Interval: 23, Max Interval: 39
SmartStudent(ID461) => Min Interval: 22, Max Interval: 40
SmartStudent(ID462) => Min Interval: 30, Max Interval: 37
SmartStudent(ID468) => Min Interval: 26, Max Interval: 45
SmartStudent(ID469) => Min Interval: 22, Max Interval: 40
SmartStudent(ID470) => Min Interval: 24, Max Interval: 32
SmartStudent(ID473) => Min Interval: 32, Max Interval: 44
SmartStudent(ID478) => Min Interval: 28, Max Interval: 35
SmartStudent(ID479) => Min Interval: 22, Max Interval: 34
SmartStudent(ID490) => Min Interval: 22, Max Interval: 48
SmartStudent(ID491) => Min Interval: 22, Max Interval: 36
SmartStudent(ID502) => Min Interval: 22, Max Interval: 29
SmartStudent(ID504) => Min Interval: 22, Max Interval: 43
SmartStudent(ID509) => Min Interval: 34, Max Interval: 46
SmartStudent(ID511) => Min Interval: 28, Max Interval: 50
SmartStudent(ID512) => Min Interval: 32, Max Interval: 37
SmartStudent(ID515) => Min Interval: 30, Max Interval: 48
SmartStudent(ID519) => Min Interval: 24, Max Interval: 31
SmartStudent(ID520) => Min Interval: 22, Max Interval: 37
SmartStudent(ID521) => Min Interval: 22, Max Interval: 42
SmartStudent(ID523) => Min Interval: 22, Max Interval: 47
SmartStudent(ID524) => Min Interval: 22, Max Interval: 44
SmartStudent(ID527) => Min Interval: 22, Max Interval: 39
SmartStudent(ID531) => Min Interval: 22, Max Interval: 29
SmartStudent(ID532) => Min Interval: 35, Max Interval: 41
SmartStudent(ID534) => Min Interval: 22, Max Interval: 35
SmartStudent(ID537) => Min Interval: 22, Max Interval: 23
SmartStudent(ID538) => Min Interval: 30, Max Interval: 46
SmartStudent(ID539) => Min Interval: 22, Max Interval: 35
SmartStudent(ID541) => Min Interval: 31, Max Interval: 42
SmartStudent(ID549) => Min Interval: 30, Max Interval: 45
SmartStudent(ID552) => Min Interval: 22, Max Interval: 48
SmartStudent(ID553) => Min Interval: 43, Max Interval: 45
SmartStudent(ID557) => Min Interval: 23, Max Interval: 49
SmartStudent(ID559) => Min Interval: 22, Max Interval: 50
SmartStudent(ID562) => Min Interval: 28, Max Interval: 46
SmartStudent(ID566) => Min Interval: 22, Max Interval: 35
SmartStudent(ID567) => Min Interval: 22, Max Interval: 35
SmartStudent(ID570) => Min Interval: 26, Max Interval: 46
SmartStudent(ID574) => Min Interval: 36, Max Interval: 47
SmartStudent(ID575) => Min Interval: 35, Max Interval: 39
SmartStudent(ID578) => Min Interval: 22, Max Interval: 30
SmartStudent(ID579) => Min Interval: 22, Max Interval: 39
SmartStudent(ID580) => Min Interval: 22, Max Interval: 37
SmartStudent(ID583) => Min Interval: 24, Max Interval: 42
SmartStudent(ID584) => Min Interval: 22, Max Interval: 42
SmartStudent(ID587) => Min Interval: 22, Max Interval: 27
SmartStudent(ID589) => Min Interval: 26, Max Interval: 43
SmartStudent(ID596) => Min Interval: 43, Max Interval: 49
SmartStudent(ID597) => Min Interval: 38, Max Interval: 40
SmartStudent(ID599) => Min Interval: 22, Max Interval: 39
SmartStudent(ID600) => Min Interval: 22, Max Interval: 30
SmartStudent(ID607) => Min Interval: 24, Max Interval: 39
SmartStudent(ID612) => Min Interval: 22, Max Interval: 47
SmartStudent(ID614) => Min Interval: 22, Max Interval: 33
SmartStudent(ID615) => Min Interval: 22, Max Interval: 31
SmartStudent(ID616) => Min Interval: 39, Max Interval: 43
SmartStudent(ID617) => Min Interval: 23, Max Interval: 31
SmartStudent(ID619) => Min Interval: 22, Max Interval: 41
SmartStudent(ID620) => Min Interval: 22, Max Interval: 39
SmartStudent(ID626) => Min Interval: 22, Max Interval: 28
SmartStudent(ID628) => Min Interval: 24, Max Interval: 45
SmartStudent(ID629) => Min Interval: 22, Max Interval: 48
SmartStudent(ID633) => Min Interval: 22, Max Interval: 35
SmartStudent(ID634) => Min Interval: 22, Max Interval: 47
SmartStudent(ID635) => Min Interval: 22, Max Interval: 45
SmartStudent(ID643) => Min Interval: 30, Max Interval: 42
SmartStudent(ID645) => Min Interval: 22, Max Interval: 41
SmartStudent(ID648) => Min Interval: 22, Max Interval: 32
SmartStudent(ID649) => Min Interval: 22, Max Interval: 27
SmartStudent(ID652) => Min Interval: 22, Max Interval: 26
SmartStudent(ID654) => Min Interval: 31, Max Interval: 41
SmartStudent(ID655) => Min Interval: 23, Max Interval: 35
SmartStudent(ID658) => Min Interval: 22, Max Interval: 48
SmartStudent(ID659) => Min Interval: 26, Max Interval: 36
SmartStudent(ID661) => Min Interval: 22, Max Interval: 30
SmartStudent(ID664) => Min Interval: 28, Max Interval: 37
SmartStudent(ID665) => Min Interval: 22, Max Interval: 38
SmartStudent(ID666) => Min Interval: 22, Max Interval: 40
SmartStudent(ID671) => Min Interval: 23, Max Interval: 38
SmartStudent(ID676) => Min Interval: 22, Max Interval: 35
SmartStudent(ID679) => Min Interval: 22, Max Interval: 48
SmartStudent(ID684) => Min Interval: 26, Max Interval: 49
SmartStudent(ID686) => Min Interval: 29, Max Interval: 37
SmartStudent(ID697) => Min Interval: 28, Max Interval: 40
SmartStudent(ID703) => Min Interval: 29, Max Interval: 33
SmartStudent(ID711) => Min Interval: 31, Max Interval: 43
SmartStudent(ID717) => Min Interval: 22, Max Interval: 22
SmartStudent(ID725) => Min Interval: 22, Max Interval: 41
SmartStudent(ID727) => Min Interval: 22, Max Interval: 28
SmartStudent(ID729) => Min Interval: 22, Max Interval: 22
SmartStudent(ID734) => Min Interval: 22, Max Interval: 43
SmartStudent(ID740) => Min Interval: 22, Max Interval: 38
SmartStudent(ID742) => Min Interval: 22, Max Interval: 36
SmartStudent(ID745) => Min Interval: 22, Max Interval: 38
SmartStudent(ID749) => Min Interval: 22, Max Interval: 31
SmartStudent(ID751) => Min Interval: 25, Max Interval: 38
SmartStudent(ID753) => Min Interval: 22, Max Interval: 43
SmartStudent(ID754) => Min Interval: 22, Max Interval: 34
SmartStudent(ID762) => Min Interval: 37, Max Interval: 41
SmartStudent(ID764) => Min Interval: 33, Max Interval: 38
SmartStudent(ID765) => Min Interval: 28, Max Interval: 48
SmartStudent(ID767) => Min Interval: 22, Max Interval: 39
SmartStudent(ID775) => Min Interval: 22, Max Interval: 48
SmartStudent(ID778) => Min Interval: 22, Max Interval: 47
SmartStudent(ID779) => Min Interval: 36, Max Interval: 40
SmartStudent(ID780) => Min Interval: 26, Max Interval: 26
SmartStudent(ID783) => Min Interval: 26, Max Interval: 46
SmartStudent(ID786) => Min Interval: 22, Max Interval: 27
SmartStudent(ID788) => Min Interval: 22, Max Interval: 22
SmartStudent(ID796) => Min Interval: 22, Max Interval: 48
SmartStudent(ID798) => Min Interval: 42, Max Interval: 46
SmartStudent(ID809) => Min Interval: 22, Max Interval: 42
SmartStudent(ID814) => Min Interval: 22, Max Interval: 45
SmartStudent(ID816) => Min Interval: 22, Max Interval: 27
SmartStudent(ID821) => Min Interval: 22, Max Interval: 39
SmartStudent(ID822) => Min Interval: 22, Max Interval: 34
SmartStudent(ID823) => Min Interval: 25, Max Interval: 35
SmartStudent(ID825) => Min Interval: 22, Max Interval: 46
SmartStudent(ID828) => Min Interval: 22, Max Interval: 44
SmartStudent(ID840) => Min Interval: 26, Max Interval: 34
SmartStudent(ID847) => Min Interval: 22, Max Interval: 31
SmartStudent(ID853) => Min Interval: 22, Max Interval: 37
SmartStudent(ID854) => Min Interval: 25, Max Interval: 47
SmartStudent(ID856) => Min Interval: 22, Max Interval: 38
SmartStudent(ID860) => Min Interval: 24, Max Interval: 46
SmartStudent(ID864) => Min Interval: 22, Max Interval: 23
SmartStudent(ID865) => Min Interval: 30, Max Interval: 37
SmartStudent(ID868) => Min Interval: 24, Max Interval: 26
SmartStudent(ID870) => Min Interval: 22, Max Interval: 33
SmartStudent(ID877) => Min Interval: 22, Max Interval: 27
SmartStudent(ID886) => Min Interval: 22, Max Interval: 34
SmartStudent(ID888) => Min Interval: 35, Max Interval: 48
SmartStudent(ID890) => Min Interval: 23, Max Interval: 41
SmartStudent(ID898) => Min Interval: 32, Max Interval: 43
SmartStudent(ID901) => Min Interval: 22, Max Interval: 46
SmartStudent(ID908) => Min Interval: 22, Max Interval: 27
SmartStudent(ID910) => Min Interval: 22, Max Interval: 44
SmartStudent(ID916) => Min Interval: 22, Max Interval: 43
SmartStudent(ID917) => Min Interval: 33, Max Interval: 46
SmartStudent(ID918) => Min Interval: 22, Max Interval: 46
SmartStudent(ID921) => Min Interval: 22, Max Interval: 28
SmartStudent(ID923) => Min Interval: 34, Max Interval: 42
SmartStudent(ID928) => Min Interval: 22, Max Interval: 35
SmartStudent(ID932) => Min Interval: 22, Max Interval: 49
SmartStudent(ID938) => Min Interval: 22, Max Interval: 22
SmartStudent(ID941) => Min Interval: 22, Max Interval: 34
SmartStudent(ID946) => Min Interval: 22, Max Interval: 39
SmartStudent(ID947) => Min Interval: 22, Max Interval: 36
SmartStudent(ID953) => Min Interval: 22, Max Interval: 31
SmartStudent(ID955) => Min Interval: 22, Max Interval: 24
SmartStudent(ID956) => Min Interval: 22, Max Interval: 48
SmartStudent(ID961) => Min Interval: 22, Max Interval: 40
SmartStudent(ID962) => Min Interval: 28, Max Interval: 47
SmartStudent(ID963) => Min Interval: 24, Max Interval: 49
SmartStudent(ID968) => Min Interval: 22, Max Interval: 42
SmartStudent(ID969) => Min Interval: 31, Max Interval: 43
SmartStudent(ID973) => Min Interval: 38, Max Interval: 39
SmartStudent(ID974) => Min Interval: 22, Max Interval: 45
SmartStudent(ID986) => Min Interval: 22, Max Interval: 49
SmartStudent(ID993) => Min Interval: 22, Max Interval: 25
SmartStudent(ID996) => Min Interval: 22, Max Interval: 49
SmartStudent(ID1001) => Min Interval: 22, Max Interval: 47
SmartStudent(ID1009) => Min Interval: 22, Max Interval: 49
SmartStudent(ID1011) => Min Interval: 24, Max Interval: 41
SmartStudent(ID1014) => Min Interval: 22, Max Interval: 36
SmartStudent(ID1019) => Min Interval: 26, Max Interval: 41
SmartStudent(ID1023) => Min Interval: 24, Max Interval: 43
SmartStudent(ID1029) => Min Interval: 40, Max Interval: 49
SmartStudent(ID1037) => Min Interval: 22, Max Interval: 30
SmartStudent(ID1038) => Min Interval: 27, Max Interval: 34
SmartStudent(ID1048) => Min Interval: 22, Max Interval: 31
SmartStudent(ID1051) => Min Interval: 33, Max Interval: 38
SmartStudent(ID1053) => Min Interval: 22, Max Interval: 48
SmartStudent(ID1057) => Min Interval: 22, Max Interval: 24
SmartStudent(ID1067) => Min Interval: 22, Max Interval: 38
SmartStudent(ID1070) => Min Interval: 22, Max Interval: 37
SmartStudent(ID1080) => Min Interval: 23, Max Interval: 43
SmartStudent(ID1082) => Min Interval: 22, Max Interval: 37
SmartStudent(ID1084) => Min Interval: 22, Max Interval: 41
SmartStudent(ID1087) => Min Interval: 32, Max Interval: 39
SmartStudent(ID1088) => Min Interval: 23, Max Interval: 25
SmartStudent(ID1094) => Min Interval: 22, Max Interval: 43
SmartStudent(ID1097) => Min Interval: 25, Max Interval: 33
SmartStudent(ID1114) => Min Interval: 22, Max Interval: 48
SmartStudent(ID1116) => Min Interval: 36, Max Interval: 41
SmartStudent(ID1145) => Min Interval: 23, Max Interval: 33
SmartStudent(ID1153) => Min Interval: 22, Max Interval: 47
SmartStudent(ID1156) => Min Interval: 22, Max Interval: 30
SmartStudent(ID1158) => Min Interval: 36, Max Interval: 47
SmartStudent(ID1159) => Min Interval: 24, Max Interval: 46
SmartStudent(ID1161) => Min Interval: 22, Max Interval: 40
SmartStudent(ID1166) => Min Interval: 22, Max Interval: 38
SmartStudent(ID1168) => Min Interval: 22, Max Interval: 40
SmartStudent(ID1176) => Min Interval: 22, Max Interval: 41
SmartStudent(ID1180) => Min Interval: 22, Max Interval: 44
SmartStudent(ID1181) => Min Interval: 33, Max Interval: 43
SmartStudent(ID1189) => Min Interval: 22, Max Interval: 28
SmartStudent(ID1199) => Min Interval: 32, Max Interval: 48
SmartStudent(ID1202) => Min Interval: 22, Max Interval: 24
SmartStudent(ID1213) => Min Interval: 22, Max Interval: 49
SmartStudent(ID1214) => Min Interval: 24, Max Interval: 25
SmartStudent(ID1245) => Min Interval: 22, Max Interval: 34
SmartStudent(ID1254) => Min Interval: 34, Max Interval: 43
SmartStudent(ID1274) => Min Interval: 22, Max Interval: 45
SmartStudent(ID1289) => Min Interval: 22, Max Interval: 31
SmartStudent(ID1298) => Min Interval: 22, Max Interval: 46
SmartStudent(ID1302) => Min Interval: 22, Max Interval: 45
SmartStudent(ID1304) => Min Interval: 22, Max Interval: 44
SmartStudent(ID1306) => Min Interval: 22, Max Interval: 46
SmartStudent(ID1335) => Min Interval: 29, Max Interval: 37
SmartStudent(ID1340) => Min Interval: 22, Max Interval: 44
SmartStudent(ID1346) => Min Interval: 22, Max Interval: 33
SmartStudent(ID1384) => Min Interval: 40, Max Interval: 43
SmartStudent(ID1399) => Min Interval: 45, Max Interval: 48
SmartStudent(ID1402) => Min Interval: 22, Max Interval: 48
SmartStudent(ID1404) => Min Interval: 22, Max Interval: 40
SmartStudent(ID1408) => Min Interval: 25, Max Interval: 30
SmartStudent(ID1410) => Min Interval: 22, Max Interval: 30
SmartStudent(ID1412) => Min Interval: 22, Max Interval: 32
SmartStudent(ID1442) => Min Interval: 22, Max Interval: 46
SmartStudent(ID1447) => Min Interval: 22, Max Interval: 25
SmartStudent(ID1512) => Min Interval: 22, Max Interval: 39
SmartStudent(ID1514) => Min Interval: 22, Max Interval: 50
SmartStudent(ID1580) => Min Interval: 22, Max Interval: 38
SmartStudent(ID1665) => Min Interval: 22, Max Interval: 49
SmartStudent(ID1857) => Min Interval: 23, Max Interval: 37
SmartStudent(ID1860) => Min Interval: 22, Max Interval: 36
SmartStudent(ID1861) => Min Interval: 22, Max Interval: 24
SmartStudent(ID1862) => Min Interval: 22, Max Interval: 31
SmartStudent(ID1865) => Min Interval: 34, Max Interval: 47
SmartStudent(ID1870) => Min Interval: 27, Max Interval: 43
SmartStudent(ID1874) => Min Interval: 34, Max Interval: 43
SmartStudent(ID1876) => Min Interval: 33, Max Interval: 36
SmartStudent(ID1878) => Min Interval: 31, Max Interval: 47
SmartStudent(ID1881) => Min Interval: 22, Max Interval: 36
SmartStudent(ID1883) => Min Interval: 22, Max Interval: 45
SmartStudent(ID1892) => Min Interval: 22, Max Interval: 28
SmartStudent(ID1894) => Min Interval: 22, Max Interval: 28
SmartStudent(ID1896) => Min Interval: 23, Max Interval: 48
SmartStudent(ID1897) => Min Interval: 24, Max Interval: 30
SmartStudent(ID1900) => Min Interval: 22, Max Interval: 36
SmartStudent(ID1904) => Min Interval: 22, Max Interval: 42
SmartStudent(ID1908) => Min Interval: 25, Max Interval: 34
SmartStudent(ID1909) => Min Interval: 34, Max Interval: 47
SmartStudent(ID1911) => Min Interval: 22, Max Interval: 46
SmartStudent(ID1914) => Min Interval: 36, Max Interval: 46
SmartStudent(ID1916) => Min Interval: 37, Max Interval: 38
SmartStudent(ID1918) => Min Interval: 22, Max Interval: 41
SmartStudent(ID1920) => Min Interval: 22, Max Interval: 40
SmartStudent(ID1922) => Min Interval: 30, Max Interval: 38
SmartStudent(ID1923) => Min Interval: 22, Max Interval: 41
SmartStudent(ID1925) => Min Interval: 25, Max Interval: 43
SmartStudent(ID1927) => Min Interval: 40, Max Interval: 43
SmartStudent(ID1929) => Min Interval: 22, Max Interval: 38
SmartStudent(ID1936) => Min Interval: 22, Max Interval: 29
SmartStudent(ID1937) => Min Interval: 36, Max Interval: 46
SmartStudent(ID1938) => Min Interval: 23, Max Interval: 26
SmartStudent(ID1941) => Min Interval: 22, Max Interval: 45
SmartStudent(ID1942) => Min Interval: 30, Max Interval: 41
SmartStudent(ID1943) => Min Interval: 22, Max Interval: 47
SmartStudent(ID1944) => Min Interval: 22, Max Interval: 36
SmartStudent(ID1946) => Min Interval: 39, Max Interval: 42
SmartStudent(ID1947) => Min Interval: 22, Max Interval: 42
SmartStudent(ID1953) => Min Interval: 38, Max Interval: 40
SmartStudent(ID1954) => Min Interval: 34, Max Interval: 45
SmartStudent(ID1955) => Min Interval: 22, Max Interval: 36
SmartStudent(ID1957) => Min Interval: 25, Max Interval: 29
SmartStudent(ID1958) => Min Interval: 31, Max Interval: 43
SmartStudent(ID1960) => Min Interval: 24, Max Interval: 43
SmartStudent(ID1965) => Min Interval: 22, Max Interval: 41
SmartStudent(ID1970) => Min Interval: 22, Max Interval: 50
SmartStudent(ID1973) => Min Interval: 22, Max Interval: 27
SmartStudent(ID1975) => Min Interval: 22, Max Interval: 38
SmartStudent(ID1980) => Min Interval: 22, Max Interval: 49
SmartStudent(ID1983) => Min Interval: 22, Max Interval: 40
SmartStudent(ID1985) => Min Interval: 22, Max Interval: 37
SmartStudent(ID1988) => Min Interval: 24, Max Interval: 47
SmartStudent(ID1993) => Min Interval: 24, Max Interval: 45
SmartStudent(ID1994) => Min Interval: 30, Max Interval: 39
SmartStudent(ID1997) => Min Interval: 22, Max Interval: 45
SmartStudent(ID1999) => Min Interval: 22, Max Interval: 33
SmartStudent(ID2001) => Min Interval: 22, Max Interval: 22
SmartStudent(ID2002) => Min Interval: 28, Max Interval: 49
SmartStudent(ID2003) => Min Interval: 23, Max Interval: 25
SmartStudent(ID2009) => Min Interval: 24, Max Interval: 47
SmartStudent(ID2010) => Min Interval: 22, Max Interval: 38
SmartStudent(ID2012) => Min Interval: 22, Max Interval: 33
SmartStudent(ID2013) => Min Interval: 22, Max Interval: 39
SmartStudent(ID2016) => Min Interval: 36, Max Interval: 43
SmartStudent(ID2017) => Min Interval: 22, Max Interval: 41
SmartStudent(ID2018) => Min Interval: 40, Max Interval: 43
SmartStudent(ID2022) => Min Interval: 22, Max Interval: 30
SmartStudent(ID2025) => Min Interval: 22, Max Interval: 33
SmartStudent(ID2028) => Min Interval: 24, Max Interval: 41
SmartStudent(ID2029) => Min Interval: 22, Max Interval: 29
SmartStudent(ID2034) => Min Interval: 26, Max Interval: 40
SmartStudent(ID2041) => Min Interval: 22, Max Interval: 27
SmartStudent(ID2042) => Min Interval: 22, Max Interval: 40
SmartStudent(ID2043) => Min Interval: 22, Max Interval: 43
SmartStudent(ID2044) => Min Interval: 39, Max Interval: 46
SmartStudent(ID2045) => Min Interval: 22, Max Interval: 26
SmartStudent(ID2047) => Min Interval: 26, Max Interval: 47
SmartStudent(ID2048) => Min Interval: 22, Max Interval: 47
SmartStudent(ID2051) => Min Interval: 22, Max Interval: 40
SmartStudent(ID2055) => Min Interval: 22, Max Interval: 27
SmartStudent(ID2056) => Min Interval: 22, Max Interval: 33
SmartStudent(ID2059) => Min Interval: 22, Max Interval: 36
SmartStudent(ID2060) => Min Interval: 24, Max Interval: 43
SmartStudent(ID2061) => Min Interval: 22, Max Interval: 49
SmartStudent(ID2063) => Min Interval: 22, Max Interval: 30
SmartStudent(ID2065) => Min Interval: 22, Max Interval: 39
SmartStudent(ID2066) => Min Interval: 22, Max Interval: 30
