Stored fact information:
FullProfessorCandidate(ID0) => Min Interval: 15, Max Interval: 39
FullProfessorCandidate(ID165) => Min Interval: 10, Max Interval: 51
FullProfessorCandidate(ID173) => Min Interval: 34, Max Interval: 44
FullProfessorCandidate(ID184) => Min Interval: 16, Max Interval: 39
FullProfessorCandidate(ID185) => Min Interval: 6, Max Interval: 53
FullProfessorCandidate(ID192) => Min Interval: 18, Max Interval: 52
FullProfessorCandidate(ID193) => Min Interval: 18, Max Interval: 44
FullProfessorCandidate(ID195) => Min Interval: 7, Max Interval: 50
FullProfessorCandidate(ID200) => Min Interval: 17, Max Interval: 53
FullProfessorCandidate(ID203) => Min Interval: 16, Max Interval: 48
FullProfessorCandidate(ID207) => Min Interval: 5, Max Interval: 44
FullProfessorCandidate(ID209) => Min Interval: 6, Max Interval: 42
FullProfessorCandidate(ID210) => Min Interval: 13, Max Interval: 52
FullProfessorCandidate(ID214) => Min Interval: 2, Max Interval: 31
FullProfessorCandidate(ID217) => Min Interval: 22, Max Interval: 22
FullProfessorCandidate(ID219) => Min Interval: 17, Max Interval: 42
FullProfessorCandidate(ID231) => Min Interval: 6, Max Interval: 39
FullProfessorCandidate(ID233) => Min Interval: 11, Max Interval: 50
FullProfessorCandidate(ID234) => Min Interval: 23, Max Interval: 40
FullProfessorCandidate(ID256) => Min Interval: 9, Max Interval: 30
FullProfessorCandidate(ID259) => Min Interval: 4, Max Interval: 32
FullProfessorCandidate(ID263) => Min Interval: 8, Max Interval: 51
FullProfessorCandidate(ID265) => Min Interval: 18, Max Interval: 37
FullProfessorCandidate(ID279) => Min Interval: 23, Max Interval: 52
FullProfessorCandidate(ID299) => Min Interval: 13, Max Interval: 41
FullProfessorCandidate(ID305) => Min Interval: 11, Max Interval: 44
FullProfessorCandidate(ID308) => Min Interval: 3, Max Interval: 40
FullProfessorCandidate(ID311) => Min Interval: 8, Max Interval: 49
FullProfessorCandidate(ID326) => Min Interval: 30, Max Interval: 34
FullProfessorCandidate(ID327) => Min Interval: 15, Max Interval: 40
FullProfessorCandidate(ID330) => Min Interval: 16, Max Interval: 48
FullProfessorCandidate(ID338) => Min Interval: 8, Max Interval: 40
FullProfessorCandidate(ID340) => Min Interval: 11, Max Interval: 53
FullProfessorCandidate(ID356) => Min Interval: 7, Max Interval: 51
FullProfessorCandidate(ID358) => Min Interval: 8, Max Interval: 48
FullProfessorCandidate(ID363) => Min Interval: 15, Max Interval: 53
FullProfessorCandidate(ID369) => Min Interval: 16, Max Interval: 24
FullProfessorCandidate(ID371) => Min Interval: 12, Max Interval: 51
FullProfessorCandidate(ID374) => Min Interval: 30, Max Interval: 53
FullProfessorCandidate(ID390) => Min Interval: 8, Max Interval: 52
FullProfessorCandidate(ID392) => Min Interval: 8, Max Interval: 50
FullProfessorCandidate(ID404) => Min Interval: 14, Max Interval: 45
FullProfessorCandidate(ID413) => Min Interval: 16, Max Interval: 45
FullProfessorCandidate(ID414) => Min Interval: 12, Max Interval: 39
FullProfessorCandidate(ID434) => Min Interval: 18, Max Interval: 35
FullProfessorCandidate(ID438) => Min Interval: 12, Max Interval: 52
FullProfessorCandidate(ID443) => Min Interval: 8, Max Interval: 50
FullProfessorCandidate(ID444) => Min Interval: 41, Max Interval: 50
FullProfessorCandidate(ID449) => Min Interval: 15, Max Interval: 43
FullProfessorCandidate(ID456) => Min Interval: 16, Max Interval: 41
FullProfessorCandidate(ID458) => Min Interval: 12, Max Interval: 53
FullProfessorCandidate(ID463) => Min Interval: 6, Max Interval: 53
FullProfessorCandidate(ID465) => Min Interval: 23, Max Interval: 35
FullProfessorCandidate(ID469) => Min Interval: 14, Max Interval: 52
FullProfessorCandidate(ID472) => Min Interval: 33, Max Interval: 50
FullProfessorCandidate(ID475) => Min Interval: 12, Max Interval: 44
FullProfessorCandidate(ID492) => Min Interval: 6, Max Interval: 40
FullProfessorCandidate(ID496) => Min Interval: 8, Max Interval: 51
FullProfessorCandidate(ID499) => Min Interval: 12, Max Interval: 42
FullProfessorCandidate(ID501) => Min Interval: 18, Max Interval: 49
FullProfessorCandidate(ID503) => Min Interval: 5, Max Interval: 53
FullProfessorCandidate(ID508) => Min Interval: 14, Max Interval: 32
FullProfessorCandidate(ID509) => Min Interval: 8, Max Interval: 53
FullProfessorCandidate(ID518) => Min Interval: 11, Max Interval: 45
FullProfessorCandidate(ID531) => Min Interval: 12, Max Interval: 32
FullProfessorCandidate(ID536) => Min Interval: 25, Max Interval: 41
FullProfessorCandidate(ID547) => Min Interval: 14, Max Interval: 53
FullProfessorCandidate(ID555) => Min Interval: 8, Max Interval: 48
FullProfessorCandidate(ID558) => Min Interval: 10, Max Interval: 47
FullProfessorCandidate(ID576) => Min Interval: 22, Max Interval: 35
FullProfessorCandidate(ID578) => Min Interval: 9, Max Interval: 49
FullProfessorCandidate(ID598) => Min Interval: 13, Max Interval: 47
FullProfessorCandidate(ID635) => Min Interval: 18, Max Interval: 53
FullProfessorCandidate(ID656) => Min Interval: 15, Max Interval: 50
FullProfessorCandidate(ID695) => Min Interval: 13, Max Interval: 38
FullProfessorCandidate(ID699) => Min Interval: 16, Max Interval: 50
FullProfessorCandidate(ID747) => Min Interval: 16, Max Interval: 47
FullProfessorCandidate(ID842) => Min Interval: 34, Max Interval: 43
FullProfessorCandidate(ID874) => Min Interval: 8, Max Interval: 27
FullProfessorCandidate(ID898) => Min Interval: 8, Max Interval: 40
FullProfessorCandidate(ID901) => Min Interval: 11, Max Interval: 45
FullProfessorCandidate(ID959) => Min Interval: 23, Max Interval: 28
FullProfessorCandidate(ID999) => Min Interval: 11, Max Interval: 50
FullProfessorCandidate(ID1013) => Min Interval: 16, Max Interval: 41
FullProfessorCandidate(ID1038) => Min Interval: 11, Max Interval: 52
FullProfessorCandidate(ID1062) => Min Interval: 8, Max Interval: 46
FullProfessorCandidate(ID1086) => Min Interval: 13, Max Interval: 52
FullProfessorCandidate(ID1093) => Min Interval: 9, Max Interval: 50
FullProfessorCandidate(ID1145) => Min Interval: 16, Max Interval: 53
FullProfessorCandidate(ID1150) => Min Interval: 17, Max Interval: 27
FullProfessorCandidate(ID1640) => Min Interval: 14, Max Interval: 35
