Stored fact information:
FullProfessorCandidate(ID7) => Min Interval: 13, Max Interval: 51
FullProfessorCandidate(ID652) => Min Interval: 14, Max Interval: 34
FullProfessorCandidate(ID655) => Min Interval: 27, Max Interval: 51
FullProfessorCandidate(ID659) => Min Interval: 17, Max Interval: 44
FullProfessorCandidate(ID666) => Min Interval: 24, Max Interval: 52
FullProfessorCandidate(ID684) => Min Interval: 12, Max Interval: 50
FullProfessorCandidate(ID686) => Min Interval: 15, Max Interval: 51
FullProfessorCandidate(ID711) => Min Interval: 8, Max Interval: 51
FullProfessorCandidate(ID717) => Min Interval: 16, Max Interval: 30
FullProfessorCandidate(ID734) => Min Interval: 10, Max Interval: 48
FullProfessorCandidate(ID740) => Min Interval: 12, Max Interval: 46
FullProfessorCandidate(ID754) => Min Interval: 12, Max Interval: 42
FullProfessorCandidate(ID764) => Min Interval: 27, Max Interval: 47
FullProfessorCandidate(ID775) => Min Interval: 6, Max Interval: 51
FullProfessorCandidate(ID796) => Min Interval: 17, Max Interval: 40
FullProfessorCandidate(ID814) => Min Interval: 15, Max Interval: 50
FullProfessorCandidate(ID832) => Min Interval: 16, Max Interval: 53
FullProfessorCandidate(ID840) => Min Interval: 9, Max Interval: 42
FullProfessorCandidate(ID847) => Min Interval: 8, Max Interval: 47
FullProfessorCandidate(ID916) => Min Interval: 11, Max Interval: 51
FullProfessorCandidate(ID921) => Min Interval: 5, Max Interval: 36
FullProfessorCandidate(ID934) => Min Interval: 38, Max Interval: 48
FullProfessorCandidate(ID941) => Min Interval: 9, Max Interval: 48
FullProfessorCandidate(ID961) => Min Interval: 16, Max Interval: 52
FullProfessorCandidate(ID962) => Min Interval: 13, Max Interval: 46
FullProfessorCandidate(ID963) => Min Interval: 8, Max Interval: 52
FullProfessorCandidate(ID993) => Min Interval: 12, Max Interval: 52
FullProfessorCandidate(ID1114) => Min Interval: 7, Max Interval: 24
FullProfessorCandidate(ID1202) => Min Interval: 8, Max Interval: 51
FullProfessorCandidate(ID1447) => Min Interval: 17, Max Interval: 51
FullProfessorCandidate(ID1860) => Min Interval: 6, Max Interval: 52
FullProfessorCandidate(ID1865) => Min Interval: 10, Max Interval: 49
FullProfessorCandidate(ID1869) => Min Interval: 1, Max Interval: 52
FullProfessorCandidate(ID1873) => Min Interval: 13, Max Interval: 18
FullProfessorCandidate(ID1883) => Min Interval: 17, Max Interval: 52
FullProfessorCandidate(ID1886) => Min Interval: 5, Max Interval: 47
FullProfessorCandidate(ID1889) => Min Interval: 15, Max Interval: 49
FullProfessorCandidate(ID1891) => Min Interval: 24, Max Interval: 35
FullProfessorCandidate(ID1894) => Min Interval: 21, Max Interval: 43
FullProfessorCandidate(ID1900) => Min Interval: 23, Max Interval: 44
FullProfessorCandidate(ID1903) => Min Interval: 36, Max Interval: 49
FullProfessorCandidate(ID1908) => Min Interval: 14, Max Interval: 42
FullProfessorCandidate(ID1909) => Min Interval: 13, Max Interval: 52
FullProfessorCandidate(ID1916) => Min Interval: 10, Max Interval: 46
FullProfessorCandidate(ID1918) => Min Interval: 8, Max Interval: 51
FullProfessorCandidate(ID1922) => Min Interval: 8, Max Interval: 25
FullProfessorCandidate(ID1946) => Min Interval: 13, Max Interval: 49
FullProfessorCandidate(ID1947) => Min Interval: 11, Max Interval: 49
FullProfessorCandidate(ID1950) => Min Interval: 6, Max Interval: 45
FullProfessorCandidate(ID1954) => Min Interval: 13, Max Interval: 51
FullProfessorCandidate(ID1955) => Min Interval: 19, Max Interval: 46
FullProfessorCandidate(ID1957) => Min Interval: 13, Max Interval: 49
FullProfessorCandidate(ID1962) => Min Interval: 18, Max Interval: 51
FullProfessorCandidate(ID1964) => Min Interval: 3, Max Interval: 24
FullProfessorCandidate(ID1975) => Min Interval: 14, Max Interval: 46
FullProfessorCandidate(ID1990) => Min Interval: 7, Max Interval: 49
FullProfessorCandidate(ID1996) => Min Interval: 2, Max Interval: 46
FullProfessorCandidate(ID1999) => Min Interval: 13, Max Interval: 40
FullProfessorCandidate(ID2005) => Min Interval: 35, Max Interval: 47
FullProfessorCandidate(ID2009) => Min Interval: 9, Max Interval: 52
FullProfessorCandidate(ID2022) => Min Interval: 8, Max Interval: 53
FullProfessorCandidate(ID2028) => Min Interval: 14, Max Interval: 52
FullProfessorCandidate(ID2030) => Min Interval: 17, Max Interval: 38
FullProfessorCandidate(ID2033) => Min Interval: 13, Max Interval: 39
FullProfessorCandidate(ID2036) => Min Interval: 4, Max Interval: 32
FullProfessorCandidate(ID2041) => Min Interval: 26, Max Interval: 37
FullProfessorCandidate(ID2042) => Min Interval: 16, Max Interval: 53
FullProfessorCandidate(ID2044) => Min Interval: 9, Max Interval: 38
FullProfessorCandidate(ID2048) => Min Interval: 11, Max Interval: 51
FullProfessorCandidate(ID2051) => Min Interval: 16, Max Interval: 46
FullProfessorCandidate(ID2055) => Min Interval: 10, Max Interval: 35
FullProfessorCandidate(ID2066) => Min Interval: 16, Max Interval: 49
FullProfessorCandidate(ID2070) => Min Interval: 5, Max Interval: 46
FullProfessorCandidate(ID2072) => Min Interval: 25, Max Interval: 49
FullProfessorCandidate(ID2074) => Min Interval: 9, Max Interval: 46
FullProfessorCandidate(ID2075) => Min Interval: 15, Max Interval: 51
FullProfessorCandidate(ID2086) => Min Interval: 27, Max Interval: 51
FullProfessorCandidate(ID2089) => Min Interval: 8, Max Interval: 52
FullProfessorCandidate(ID2094) => Min Interval: 8, Max Interval: 39
FullProfessorCandidate(ID2097) => Min Interval: 7, Max Interval: 53
FullProfessorCandidate(ID2099) => Min Interval: 6, Max Interval: 29
FullProfessorCandidate(ID2101) => Min Interval: 13, Max Interval: 40
FullProfessorCandidate(ID2102) => Min Interval: 13, Max Interval: 43
FullProfessorCandidate(ID2105) => Min Interval: 15, Max Interval: 53
FullProfessorCandidate(ID2106) => Min Interval: 14, Max Interval: 51
FullProfessorCandidate(ID2109) => Min Interval: 11, Max Interval: 37
FullProfessorCandidate(ID2112) => Min Interval: 6, Max Interval: 51
FullProfessorCandidate(ID2116) => Min Interval: 28, Max Interval: 42
FullProfessorCandidate(ID2120) => Min Interval: 7, Max Interval: 36
FullProfessorCandidate(ID2125) => Min Interval: 8, Max Interval: 53
FullProfessorCandidate(ID2128) => Min Interval: 10, Max Interval: 49
FullProfessorCandidate(ID2130) => Min Interval: 7, Max Interval: 53
FullProfessorCandidate(ID2135) => Min Interval: 24, Max Interval: 53
FullProfessorCandidate(ID2136) => Min Interval: 7, Max Interval: 51
FullProfessorCandidate(ID2147) => Min Interval: 5, Max Interval: 49
FullProfessorCandidate(ID2149) => Min Interval: 5, Max Interval: 49
FullProfessorCandidate(ID2156) => Min Interval: 8, Max Interval: 26
FullProfessorCandidate(ID2158) => Min Interval: 11, Max Interval: 52
FullProfessorCandidate(ID2167) => Min Interval: 9, Max Interval: 49
FullProfessorCandidate(ID2169) => Min Interval: 8, Max Interval: 39
FullProfessorCandidate(ID2182) => Min Interval: 7, Max Interval: 52
FullProfessorCandidate(ID2187) => Min Interval: 9, Max Interval: 41
FullProfessorCandidate(ID2188) => Min Interval: 14, Max Interval: 42
FullProfessorCandidate(ID2198) => Min Interval: 18, Max Interval: 49
FullProfessorCandidate(ID2204) => Min Interval: 8, Max Interval: 44
FullProfessorCandidate(ID2206) => Min Interval: 21, Max Interval: 38
FullProfessorCandidate(ID2224) => Min Interval: 7, Max Interval: 51
FullProfessorCandidate(ID2227) => Min Interval: 23, Max Interval: 48
FullProfessorCandidate(ID2238) => Min Interval: 14, Max Interval: 53
FullProfessorCandidate(ID2243) => Min Interval: 31, Max Interval: 52
FullProfessorCandidate(ID2250) => Min Interval: 6, Max Interval: 24
FullProfessorCandidate(ID2252) => Min Interval: 8, Max Interval: 52
FullProfessorCandidate(ID2275) => Min Interval: 11, Max Interval: 52
FullProfessorCandidate(ID2277) => Min Interval: 12, Max Interval: 39
FullProfessorCandidate(ID2279) => Min Interval: 6, Max Interval: 52
FullProfessorCandidate(ID2281) => Min Interval: 11, Max Interval: 53
FullProfessorCandidate(ID2291) => Min Interval: 12, Max Interval: 51
FullProfessorCandidate(ID2295) => Min Interval: 13, Max Interval: 38
FullProfessorCandidate(ID2300) => Min Interval: 11, Max Interval: 38
FullProfessorCandidate(ID2302) => Min Interval: 17, Max Interval: 52
FullProfessorCandidate(ID2310) => Min Interval: 7, Max Interval: 40
FullProfessorCandidate(ID2320) => Min Interval: 6, Max Interval: 50
FullProfessorCandidate(ID2323) => Min Interval: 9, Max Interval: 36
FullProfessorCandidate(ID2327) => Min Interval: 8, Max Interval: 47
FullProfessorCandidate(ID2330) => Min Interval: 10, Max Interval: 49
FullProfessorCandidate(ID2345) => Min Interval: 9, Max Interval: 51
FullProfessorCandidate(ID2351) => Min Interval: 26, Max Interval: 47
FullProfessorCandidate(ID2353) => Min Interval: 20, Max Interval: 52
FullProfessorCandidate(ID2359) => Min Interval: 13, Max Interval: 50
FullProfessorCandidate(ID2360) => Min Interval: 5, Max Interval: 53
FullProfessorCandidate(ID2363) => Min Interval: 28, Max Interval: 47
FullProfessorCandidate(ID2370) => Min Interval: 13, Max Interval: 49
FullProfessorCandidate(ID2378) => Min Interval: 3, Max Interval: 53
FullProfessorCandidate(ID2380) => Min Interval: 11, Max Interval: 43
FullProfessorCandidate(ID2412) => Min Interval: 12, Max Interval: 44
FullProfessorCandidate(ID2425) => Min Interval: 5, Max Interval: 46
FullProfessorCandidate(ID2427) => Min Interval: 15, Max Interval: 39
FullProfessorCandidate(ID2430) => Min Interval: 5, Max Interval: 50
FullProfessorCandidate(ID2455) => Min Interval: 13, Max Interval: 37
FullProfessorCandidate(ID2469) => Min Interval: 39, Max Interval: 52
FullProfessorCandidate(ID2518) => Min Interval: 14, Max Interval: 51
FullProfessorCandidate(ID2524) => Min Interval: 19, Max Interval: 51
FullProfessorCandidate(ID2528) => Min Interval: 9, Max Interval: 41
FullProfessorCandidate(ID2633) => Min Interval: 17, Max Interval: 47
FullProfessorCandidate(ID2653) => Min Interval: 7, Max Interval: 50
FullProfessorCandidate(ID2679) => Min Interval: 25, Max Interval: 52
FullProfessorCandidate(ID2695) => Min Interval: 20, Max Interval: 28
FullProfessorCandidate(ID2707) => Min Interval: 13, Max Interval: 49
FullProfessorCandidate(ID2833) => Min Interval: 7, Max Interval: 46
FullProfessorCandidate(ID2837) => Min Interval: 14, Max Interval: 46
FullProfessorCandidate(ID2838) => Min Interval: 10, Max Interval: 51
FullProfessorCandidate(ID2844) => Min Interval: 10, Max Interval: 48
FullProfessorCandidate(ID2849) => Min Interval: 6, Max Interval: 36
FullProfessorCandidate(ID2851) => Min Interval: 7, Max Interval: 41
FullProfessorCandidate(ID2854) => Min Interval: 12, Max Interval: 47
FullProfessorCandidate(ID2856) => Min Interval: 15, Max Interval: 31
FullProfessorCandidate(ID2861) => Min Interval: 9, Max Interval: 45
FullProfessorCandidate(ID2863) => Min Interval: 8, Max Interval: 53
FullProfessorCandidate(ID2864) => Min Interval: 10, Max Interval: 43
FullProfessorCandidate(ID2866) => Min Interval: 15, Max Interval: 42
FullProfessorCandidate(ID2869) => Min Interval: 39, Max Interval: 52
FullProfessorCandidate(ID2873) => Min Interval: 10, Max Interval: 45
FullProfessorCandidate(ID2877) => Min Interval: 4, Max Interval: 50
FullProfessorCandidate(ID2902) => Min Interval: 29, Max Interval: 46
FullProfessorCandidate(ID2910) => Min Interval: 15, Max Interval: 52
FullProfessorCandidate(ID2916) => Min Interval: 5, Max Interval: 53
FullProfessorCandidate(ID2918) => Min Interval: 12, Max Interval: 32
FullProfessorCandidate(ID2924) => Min Interval: 11, Max Interval: 47
FullProfessorCandidate(ID2929) => Min Interval: 2, Max Interval: 25
FullProfessorCandidate(ID2931) => Min Interval: 7, Max Interval: 39
FullProfessorCandidate(ID2944) => Min Interval: 7, Max Interval: 10
FullProfessorCandidate(ID2951) => Min Interval: 13, Max Interval: 41
FullProfessorCandidate(ID2959) => Min Interval: 8, Max Interval: 50
FullProfessorCandidate(ID2966) => Min Interval: 13, Max Interval: 50
FullProfessorCandidate(ID2967) => Min Interval: 16, Max Interval: 44
FullProfessorCandidate(ID2968) => Min Interval: 6, Max Interval: 38
FullProfessorCandidate(ID2970) => Min Interval: 33, Max Interval: 42
FullProfessorCandidate(ID2979) => Min Interval: 7, Max Interval: 36
FullProfessorCandidate(ID2983) => Min Interval: 19, Max Interval: 50
FullProfessorCandidate(ID2985) => Min Interval: 6, Max Interval: 50
FullProfessorCandidate(ID2995) => Min Interval: 7, Max Interval: 31
FullProfessorCandidate(ID2996) => Min Interval: 11, Max Interval: 29
FullProfessorCandidate(ID3004) => Min Interval: 31, Max Interval: 49
FullProfessorCandidate(ID3012) => Min Interval: 23, Max Interval: 36
FullProfessorCandidate(ID3015) => Min Interval: 10, Max Interval: 52
FullProfessorCandidate(ID3025) => Min Interval: 23, Max Interval: 53
FullProfessorCandidate(ID3027) => Min Interval: 18, Max Interval: 49
FullProfessorCandidate(ID3029) => Min Interval: 11, Max Interval: 48
FullProfessorCandidate(ID3030) => Min Interval: 11, Max Interval: 45
FullProfessorCandidate(ID3034) => Min Interval: 12, Max Interval: 46
FullProfessorCandidate(ID3035) => Min Interval: 1, Max Interval: 51
FullProfessorCandidate(ID3038) => Min Interval: 9, Max Interval: 52
FullProfessorCandidate(ID3042) => Min Interval: 5, Max Interval: 48
FullProfessorCandidate(ID3046) => Min Interval: 22, Max Interval: 44
FullProfessorCandidate(ID3048) => Min Interval: 20, Max Interval: 50
FullProfessorCandidate(ID3058) => Min Interval: 11, Max Interval: 37
FullProfessorCandidate(ID3062) => Min Interval: 16, Max Interval: 51
FullProfessorCandidate(ID3063) => Min Interval: 14, Max Interval: 48
FullProfessorCandidate(ID3065) => Min Interval: 13, Max Interval: 47
FullProfessorCandidate(ID3067) => Min Interval: 21, Max Interval: 50
FullProfessorCandidate(ID3069) => Min Interval: 4, Max Interval: 51
FullProfessorCandidate(ID3077) => Min Interval: 11, Max Interval: 48
FullProfessorCandidate(ID3082) => Min Interval: 16, Max Interval: 51
FullProfessorCandidate(ID3083) => Min Interval: 8, Max Interval: 50
FullProfessorCandidate(ID3085) => Min Interval: 23, Max Interval: 50
FullProfessorCandidate(ID3088) => Min Interval: 6, Max Interval: 41
FullProfessorCandidate(ID3095) => Min Interval: 11, Max Interval: 44
FullProfessorCandidate(ID3107) => Min Interval: 20, Max Interval: 40
FullProfessorCandidate(ID3109) => Min Interval: 24, Max Interval: 53
FullProfessorCandidate(ID3111) => Min Interval: 22, Max Interval: 49
FullProfessorCandidate(ID3116) => Min Interval: 10, Max Interval: 47
FullProfessorCandidate(ID3118) => Min Interval: 6, Max Interval: 46
FullProfessorCandidate(ID3122) => Min Interval: 11, Max Interval: 47
FullProfessorCandidate(ID3125) => Min Interval: 19, Max Interval: 53
FullProfessorCandidate(ID3150) => Min Interval: 16, Max Interval: 50
FullProfessorCandidate(ID3151) => Min Interval: 16, Max Interval: 49
FullProfessorCandidate(ID3154) => Min Interval: 15, Max Interval: 29
FullProfessorCandidate(ID3162) => Min Interval: 17, Max Interval: 44
FullProfessorCandidate(ID3164) => Min Interval: 19, Max Interval: 49
FullProfessorCandidate(ID3167) => Min Interval: 16, Max Interval: 43
FullProfessorCandidate(ID3184) => Min Interval: 9, Max Interval: 52
FullProfessorCandidate(ID3198) => Min Interval: 13, Max Interval: 51
FullProfessorCandidate(ID3203) => Min Interval: 6, Max Interval: 52
FullProfessorCandidate(ID3213) => Min Interval: 9, Max Interval: 26
FullProfessorCandidate(ID3217) => Min Interval: 12, Max Interval: 52
FullProfessorCandidate(ID3222) => Min Interval: 12, Max Interval: 44
FullProfessorCandidate(ID3232) => Min Interval: 13, Max Interval: 48
FullProfessorCandidate(ID3233) => Min Interval: 24, Max Interval: 52
FullProfessorCandidate(ID3235) => Min Interval: 12, Max Interval: 32
FullProfessorCandidate(ID3236) => Min Interval: 2, Max Interval: 46
FullProfessorCandidate(ID3247) => Min Interval: 41, Max Interval: 50
FullProfessorCandidate(ID3251) => Min Interval: 10, Max Interval: 50
FullProfessorCandidate(ID3265) => Min Interval: 9, Max Interval: 53
FullProfessorCandidate(ID3267) => Min Interval: 22, Max Interval: 52
FullProfessorCandidate(ID3282) => Min Interval: 21, Max Interval: 40
FullProfessorCandidate(ID3284) => Min Interval: 10, Max Interval: 42
FullProfessorCandidate(ID3285) => Min Interval: 12, Max Interval: 46
FullProfessorCandidate(ID3289) => Min Interval: 8, Max Interval: 52
FullProfessorCandidate(ID3291) => Min Interval: 1, Max Interval: 50
FullProfessorCandidate(ID3297) => Min Interval: 5, Max Interval: 45
FullProfessorCandidate(ID3298) => Min Interval: 21, Max Interval: 29
FullProfessorCandidate(ID3309) => Min Interval: 13, Max Interval: 44
FullProfessorCandidate(ID3317) => Min Interval: 10, Max Interval: 52
FullProfessorCandidate(ID3341) => Min Interval: 7, Max Interval: 42
FullProfessorCandidate(ID3352) => Min Interval: 21, Max Interval: 48
FullProfessorCandidate(ID3358) => Min Interval: 9, Max Interval: 48
FullProfessorCandidate(ID3391) => Min Interval: 7, Max Interval: 49
FullProfessorCandidate(ID3393) => Min Interval: 16, Max Interval: 38
FullProfessorCandidate(ID3395) => Min Interval: 8, Max Interval: 48
FullProfessorCandidate(ID3406) => Min Interval: 5, Max Interval: 52
FullProfessorCandidate(ID3407) => Min Interval: 9, Max Interval: 49
FullProfessorCandidate(ID3444) => Min Interval: 12, Max Interval: 39
FullProfessorCandidate(ID3459) => Min Interval: 8, Max Interval: 51
FullProfessorCandidate(ID3460) => Min Interval: 19, Max Interval: 38
FullProfessorCandidate(ID3488) => Min Interval: 14, Max Interval: 49
FullProfessorCandidate(ID3494) => Min Interval: 6, Max Interval: 53
FullProfessorCandidate(ID3499) => Min Interval: 13, Max Interval: 50
FullProfessorCandidate(ID3504) => Min Interval: 10, Max Interval: 48
FullProfessorCandidate(ID3517) => Min Interval: 22, Max Interval: 51
FullProfessorCandidate(ID3528) => Min Interval: 9, Max Interval: 16
FullProfessorCandidate(ID3533) => Min Interval: 10, Max Interval: 39
FullProfessorCandidate(ID3573) => Min Interval: 8, Max Interval: 41
FullProfessorCandidate(ID3595) => Min Interval: 11, Max Interval: 50
FullProfessorCandidate(ID3603) => Min Interval: 7, Max Interval: 45
FullProfessorCandidate(ID3607) => Min Interval: 20, Max Interval: 29
FullProfessorCandidate(ID3636) => Min Interval: 8, Max Interval: 47
FullProfessorCandidate(ID3753) => Min Interval: 8, Max Interval: 32
FullProfessorCandidate(ID3852) => Min Interval: 4, Max Interval: 48
FullProfessorCandidate(ID3856) => Min Interval: 20, Max Interval: 25
FullProfessorCandidate(ID3866) => Min Interval: 23, Max Interval: 51
FullProfessorCandidate(ID3873) => Min Interval: 8, Max Interval: 46
FullProfessorCandidate(ID3878) => Min Interval: 11, Max Interval: 53
FullProfessorCandidate(ID3880) => Min Interval: 5, Max Interval: 49
FullProfessorCandidate(ID3881) => Min Interval: 12, Max Interval: 49
FullProfessorCandidate(ID3887) => Min Interval: 8, Max Interval: 48
FullProfessorCandidate(ID3892) => Min Interval: 6, Max Interval: 30
FullProfessorCandidate(ID3908) => Min Interval: 30, Max Interval: 44
FullProfessorCandidate(ID3911) => Min Interval: 14, Max Interval: 45
FullProfessorCandidate(ID3914) => Min Interval: 7, Max Interval: 48
FullProfessorCandidate(ID3920) => Min Interval: 8, Max Interval: 53
FullProfessorCandidate(ID3922) => Min Interval: 4, Max Interval: 40
FullProfessorCandidate(ID3927) => Min Interval: 21, Max Interval: 48
FullProfessorCandidate(ID3929) => Min Interval: 15, Max Interval: 33
FullProfessorCandidate(ID3932) => Min Interval: 16, Max Interval: 47
FullProfessorCandidate(ID3934) => Min Interval: 7, Max Interval: 42
FullProfessorCandidate(ID3935) => Min Interval: 7, Max Interval: 52
FullProfessorCandidate(ID3950) => Min Interval: 18, Max Interval: 49
FullProfessorCandidate(ID3952) => Min Interval: 12, Max Interval: 38
FullProfessorCandidate(ID3964) => Min Interval: 8, Max Interval: 44
FullProfessorCandidate(ID3973) => Min Interval: 11, Max Interval: 28
FullProfessorCandidate(ID3976) => Min Interval: 10, Max Interval: 39
FullProfessorCandidate(ID3979) => Min Interval: 7, Max Interval: 46
FullProfessorCandidate(ID3987) => Min Interval: 10, Max Interval: 25
FullProfessorCandidate(ID3990) => Min Interval: 10, Max Interval: 50
FullProfessorCandidate(ID4023) => Min Interval: 14, Max Interval: 49
FullProfessorCandidate(ID4027) => Min Interval: 11, Max Interval: 51
FullProfessorCandidate(ID4029) => Min Interval: 11, Max Interval: 51
FullProfessorCandidate(ID4032) => Min Interval: 17, Max Interval: 27
FullProfessorCandidate(ID4035) => Min Interval: 6, Max Interval: 50
FullProfessorCandidate(ID4036) => Min Interval: 20, Max Interval: 47
FullProfessorCandidate(ID4038) => Min Interval: 9, Max Interval: 41
FullProfessorCandidate(ID4039) => Min Interval: 6, Max Interval: 49
FullProfessorCandidate(ID4047) => Min Interval: 14, Max Interval: 49
FullProfessorCandidate(ID4048) => Min Interval: 2, Max Interval: 37
FullProfessorCandidate(ID4057) => Min Interval: 0, Max Interval: 34
FullProfessorCandidate(ID4059) => Min Interval: 13, Max Interval: 52
FullProfessorCandidate(ID4060) => Min Interval: 11, Max Interval: 53
FullProfessorCandidate(ID4072) => Min Interval: 12, Max Interval: 52
