Stored fact information:
FullProfessor(ID7) => Min Interval: 10, Max Interval: 99
FullProfessor(ID2086) => Min Interval: 7, Max Interval: 99
FullProfessor(ID2101) => Min Interval: 6, Max Interval: 99
FullProfessor(ID2106) => Min Interval: 27, Max Interval: 99
FullProfessor(ID2112) => Min Interval: 42, Max Interval: 99
FullProfessor(ID2123) => Min Interval: 3, Max Interval: 99
FullProfessor(ID2147) => Min Interval: 10, Max Interval: 99
FullProfessor(ID2149) => Min Interval: 13, Max Interval: 99
FullProfessor(ID2198) => Min Interval: 12, Max Interval: 99
FullProfessor(ID2378) => Min Interval: 9, Max Interval: 99
FullProfessor(ID2873) => Min Interval: 19, Max Interval: 99
FullProfessor(ID2877) => Min Interval: 24, Max Interval: 99
FullProfessor(ID2918) => Min Interval: 24, Max Interval: 99
FullProfessor(ID2919) => Min Interval: 11, Max Interval: 99
FullProfessor(ID2924) => Min Interval: 36, Max Interval: 99
FullProfessor(ID2929) => Min Interval: 12, Max Interval: 99
FullProfessor(ID2944) => Min Interval: 19, Max Interval: 99
FullProfessor(ID2956) => Min Interval: 11, Max Interval: 99
FullProfessor(ID2963) => Min Interval: 7, Max Interval: 99
FullProfessor(ID2974) => Min Interval: 12, Max Interval: 99
FullProfessor(ID2980) => Min Interval: 2, Max Interval: 99
FullProfessor(ID2995) => Min Interval: 15, Max Interval: 99
FullProfessor(ID2996) => Min Interval: 24, Max Interval: 99
FullProfessor(ID3004) => Min Interval: 22, Max Interval: 99
FullProfessor(ID3018) => Min Interval: 12, Max Interval: 99
FullProfessor(ID3034) => Min Interval: 17, Max Interval: 99
FullProfessor(ID3035) => Min Interval: 9, Max Interval: 99
FullProfessor(ID3046) => Min Interval: 9, Max Interval: 99
FullProfessor(ID3048) => Min Interval: 7, Max Interval: 99
FullProfessor(ID3063) => Min Interval: 10, Max Interval: 99
FullProfessor(ID3065) => Min Interval: 18, Max Interval: 99
FullProfessor(ID3069) => Min Interval: 20, Max Interval: 99
FullProfessor(ID3107) => Min Interval: 33, Max Interval: 99
FullProfessor(ID3116) => Min Interval: 12, Max Interval: 99
FullProfessor(ID3118) => Min Interval: 15, Max Interval: 99
FullProfessor(ID3139) => Min Interval: 4, Max Interval: 99
FullProfessor(ID3162) => Min Interval: 12, Max Interval: 99
FullProfessor(ID3220) => Min Interval: 10, Max Interval: 99
FullProfessor(ID3236) => Min Interval: 8, Max Interval: 99
FullProfessor(ID3282) => Min Interval: 11, Max Interval: 99
FullProfessor(ID3291) => Min Interval: 12, Max Interval: 99
FullProfessor(ID3573) => Min Interval: 15, Max Interval: 99
FullProfessor(ID3753) => Min Interval: 24, Max Interval: 99
FullProfessor(ID3852) => Min Interval: 30, Max Interval: 99
FullProfessor(ID3853) => Min Interval: 10, Max Interval: 99
FullProfessor(ID3861) => Min Interval: 18, Max Interval: 99
FullProfessor(ID3864) => Min Interval: 17, Max Interval: 99
FullProfessor(ID3866) => Min Interval: 17, Max Interval: 99
FullProfessor(ID3871) => Min Interval: 9, Max Interval: 99
FullProfessor(ID3880) => Min Interval: 7, Max Interval: 99
FullProfessor(ID3894) => Min Interval: 7, Max Interval: 99
FullProfessor(ID3914) => Min Interval: 27, Max Interval: 99
FullProfessor(ID3922) => Min Interval: 23, Max Interval: 99
FullProfessor(ID3927) => Min Interval: 12, Max Interval: 99
FullProfessor(ID3932) => Min Interval: 8, Max Interval: 99
FullProfessor(ID3934) => Min Interval: 16, Max Interval: 99
FullProfessor(ID4005) => Min Interval: 4, Max Interval: 99
FullProfessor(ID4011) => Min Interval: 14, Max Interval: 99
FullProfessor(ID4023) => Min Interval: 11, Max Interval: 99
FullProfessor(ID4035) => Min Interval: 12, Max Interval: 99
FullProfessor(ID4038) => Min Interval: 11, Max Interval: 99
FullProfessor(ID4048) => Min Interval: 12, Max Interval: 99
FullProfessor(ID4057) => Min Interval: 9, Max Interval: 99
FullProfessor(ID4078) => Min Interval: 9, Max Interval: 99
FullProfessor(ID4082) => Min Interval: 14, Max Interval: 99
FullProfessor(ID4095) => Min Interval: 19, Max Interval: 99
FullProfessor(ID4112) => Min Interval: 10, Max Interval: 99
FullProfessor(ID4140) => Min Interval: 3, Max Interval: 99
FullProfessor(ID4152) => Min Interval: 11, Max Interval: 99
FullProfessor(ID4154) => Min Interval: 0, Max Interval: 99
FullProfessor(ID4210) => Min Interval: 17, Max Interval: 99
FullProfessor(ID4262) => Min Interval: 11, Max Interval: 99
FullProfessor(ID4272) => Min Interval: 6, Max Interval: 99
FullProfessor(ID4291) => Min Interval: 10, Max Interval: 99
FullProfessor(ID4393) => Min Interval: 10, Max Interval: 99
FullProfessor(ID4402) => Min Interval: 10, Max Interval: 99
FullProfessor(ID4479) => Min Interval: 12, Max Interval: 99
FullProfessor(ID4889) => Min Interval: 23, Max Interval: 99
FullProfessor(ID4891) => Min Interval: 6, Max Interval: 99
FullProfessor(ID4900) => Min Interval: 27, Max Interval: 99
FullProfessor(ID4901) => Min Interval: 11, Max Interval: 99
FullProfessor(ID4911) => Min Interval: 0, Max Interval: 99
FullProfessor(ID4922) => Min Interval: 13, Max Interval: 99
FullProfessor(ID4927) => Min Interval: 19, Max Interval: 99
FullProfessor(ID4930) => Min Interval: 34, Max Interval: 99
FullProfessor(ID4936) => Min Interval: 14, Max Interval: 99
FullProfessor(ID4953) => Min Interval: 30, Max Interval: 99
FullProfessor(ID4980) => Min Interval: 9, Max Interval: 99
FullProfessor(ID4988) => Min Interval: 6, Max Interval: 99
FullProfessor(ID5014) => Min Interval: 17, Max Interval: 99
FullProfessor(ID5020) => Min Interval: 8, Max Interval: 99
FullProfessor(ID5026) => Min Interval: 18, Max Interval: 99
FullProfessor(ID5034) => Min Interval: 24, Max Interval: 99
FullProfessor(ID5040) => Min Interval: 6, Max Interval: 99
FullProfessor(ID5061) => Min Interval: 6, Max Interval: 99
FullProfessor(ID5066) => Min Interval: 4, Max Interval: 99
FullProfessor(ID5086) => Min Interval: 9, Max Interval: 99
FullProfessor(ID5101) => Min Interval: 16, Max Interval: 99
FullProfessor(ID5115) => Min Interval: 8, Max Interval: 99
FullProfessor(ID5136) => Min Interval: 10, Max Interval: 99
FullProfessor(ID5170) => Min Interval: 11, Max Interval: 99
FullProfessor(ID5177) => Min Interval: 16, Max Interval: 99
FullProfessor(ID5193) => Min Interval: 18, Max Interval: 99
FullProfessor(ID5232) => Min Interval: 8, Max Interval: 99
FullProfessor(ID5241) => Min Interval: 8, Max Interval: 99
FullProfessor(ID5243) => Min Interval: 28, Max Interval: 99
FullProfessor(ID5261) => Min Interval: 2, Max Interval: 99
FullProfessor(ID5264) => Min Interval: 28, Max Interval: 99
FullProfessor(ID5267) => Min Interval: 14, Max Interval: 99
FullProfessor(ID5401) => Min Interval: 23, Max Interval: 99
FullProfessor(ID5465) => Min Interval: 6, Max Interval: 99
FullProfessor(ID5705) => Min Interval: 24, Max Interval: 99
FullProfessor(ID6236) => Min Interval: 14, Max Interval: 99
FullProfessor(ID6250) => Min Interval: 34, Max Interval: 99
FullProfessor(ID6266) => Min Interval: 12, Max Interval: 99
FullProfessor(ID6268) => Min Interval: 2, Max Interval: 99
FullProfessor(ID6276) => Min Interval: 11, Max Interval: 99
FullProfessor(ID6278) => Min Interval: 32, Max Interval: 99
FullProfessor(ID6298) => Min Interval: 39, Max Interval: 99
FullProfessor(ID6321) => Min Interval: 13, Max Interval: 99
FullProfessor(ID6332) => Min Interval: 5, Max Interval: 99
FullProfessor(ID6364) => Min Interval: 14, Max Interval: 99
FullProfessor(ID6366) => Min Interval: 12, Max Interval: 99
FullProfessor(ID6396) => Min Interval: 1, Max Interval: 99
FullProfessor(ID6399) => Min Interval: 32, Max Interval: 99
FullProfessor(ID6406) => Min Interval: 9, Max Interval: 99
FullProfessor(ID6413) => Min Interval: 3, Max Interval: 99
FullProfessor(ID6428) => Min Interval: 33, Max Interval: 99
FullProfessor(ID6436) => Min Interval: 18, Max Interval: 99
FullProfessor(ID6442) => Min Interval: 13, Max Interval: 99
FullProfessor(ID6474) => Min Interval: 18, Max Interval: 99
FullProfessor(ID6514) => Min Interval: 8, Max Interval: 99
FullProfessor(ID6517) => Min Interval: 3, Max Interval: 99
FullProfessor(ID6523) => Min Interval: 8, Max Interval: 99
FullProfessor(ID6535) => Min Interval: 6, Max Interval: 99
FullProfessor(ID6551) => Min Interval: 17, Max Interval: 99
FullProfessor(ID6556) => Min Interval: 10, Max Interval: 99
FullProfessor(ID6564) => Min Interval: 24, Max Interval: 99
FullProfessor(ID6593) => Min Interval: 11, Max Interval: 99
FullProfessor(ID6615) => Min Interval: 17, Max Interval: 99
FullProfessor(ID6709) => Min Interval: 6, Max Interval: 99
FullProfessor(ID6714) => Min Interval: 9, Max Interval: 99
FullProfessor(ID6737) => Min Interval: 20, Max Interval: 99
FullProfessor(ID6754) => Min Interval: 6, Max Interval: 99
FullProfessor(ID6762) => Min Interval: 2, Max Interval: 99
FullProfessor(ID6802) => Min Interval: 4, Max Interval: 99
FullProfessor(ID6814) => Min Interval: 6, Max Interval: 99
FullProfessor(ID6859) => Min Interval: 14, Max Interval: 99
FullProfessor(ID6956) => Min Interval: 15, Max Interval: 99
FullProfessor(ID6978) => Min Interval: 21, Max Interval: 99
FullProfessor(ID7210) => Min Interval: 16, Max Interval: 99
FullProfessor(ID7628) => Min Interval: 1, Max Interval: 99
FullProfessor(ID7644) => Min Interval: 9, Max Interval: 99
FullProfessor(ID7648) => Min Interval: 8, Max Interval: 99
FullProfessor(ID7660) => Min Interval: 9, Max Interval: 99
FullProfessor(ID7684) => Min Interval: 17, Max Interval: 99
FullProfessor(ID7689) => Min Interval: 25, Max Interval: 99
FullProfessor(ID7705) => Min Interval: 25, Max Interval: 99
FullProfessor(ID7708) => Min Interval: 15, Max Interval: 99
FullProfessor(ID7723) => Min Interval: 18, Max Interval: 99
FullProfessor(ID7737) => Min Interval: 10, Max Interval: 99
FullProfessor(ID7744) => Min Interval: 9, Max Interval: 99
FullProfessor(ID7754) => Min Interval: 16, Max Interval: 99
FullProfessor(ID7764) => Min Interval: 1, Max Interval: 99
FullProfessor(ID7788) => Min Interval: 12, Max Interval: 99
FullProfessor(ID7802) => Min Interval: 24, Max Interval: 99
FullProfessor(ID7831) => Min Interval: 30, Max Interval: 99
FullProfessor(ID7836) => Min Interval: 13, Max Interval: 99
FullProfessor(ID7848) => Min Interval: 20, Max Interval: 99
FullProfessor(ID7854) => Min Interval: 20, Max Interval: 99
FullProfessor(ID7860) => Min Interval: 8, Max Interval: 99
FullProfessor(ID7879) => Min Interval: 9, Max Interval: 99
FullProfessor(ID7888) => Min Interval: 8, Max Interval: 99
FullProfessor(ID7908) => Min Interval: 4, Max Interval: 99
FullProfessor(ID7916) => Min Interval: 13, Max Interval: 99
FullProfessor(ID7938) => Min Interval: 32, Max Interval: 99
FullProfessor(ID7993) => Min Interval: 14, Max Interval: 99
FullProfessor(ID8019) => Min Interval: 14, Max Interval: 99
FullProfessor(ID8037) => Min Interval: 24, Max Interval: 99
FullProfessor(ID8061) => Min Interval: 6, Max Interval: 99
FullProfessor(ID8069) => Min Interval: 21, Max Interval: 99
FullProfessor(ID8084) => Min Interval: 28, Max Interval: 99
FullProfessor(ID8091) => Min Interval: 30, Max Interval: 99
FullProfessor(ID8112) => Min Interval: 6, Max Interval: 99
FullProfessor(ID8190) => Min Interval: 25, Max Interval: 99
FullProfessor(ID8217) => Min Interval: 15, Max Interval: 99
FullProfessor(ID8267) => Min Interval: 7, Max Interval: 99
FullProfessor(ID8282) => Min Interval: 7, Max Interval: 99
FullProfessor(ID8851) => Min Interval: 1, Max Interval: 99
FullProfessor(ID8863) => Min Interval: 11, Max Interval: 99
FullProfessor(ID8880) => Min Interval: 7, Max Interval: 99
FullProfessor(ID8888) => Min Interval: 2, Max Interval: 99
FullProfessor(ID8894) => Min Interval: 11, Max Interval: 99
FullProfessor(ID8895) => Min Interval: 28, Max Interval: 99
FullProfessor(ID8919) => Min Interval: 28, Max Interval: 99
FullProfessor(ID8922) => Min Interval: 9, Max Interval: 99
FullProfessor(ID8942) => Min Interval: 6, Max Interval: 99
FullProfessor(ID8944) => Min Interval: 26, Max Interval: 99
FullProfessor(ID8947) => Min Interval: 3, Max Interval: 99
FullProfessor(ID8960) => Min Interval: 17, Max Interval: 99
FullProfessor(ID8976) => Min Interval: 10, Max Interval: 99
FullProfessor(ID8990) => Min Interval: 18, Max Interval: 99
FullProfessor(ID8991) => Min Interval: 1, Max Interval: 99
FullProfessor(ID9007) => Min Interval: 7, Max Interval: 99
FullProfessor(ID9020) => Min Interval: 23, Max Interval: 99
FullProfessor(ID9031) => Min Interval: 24, Max Interval: 99
FullProfessor(ID9043) => Min Interval: 9, Max Interval: 99
FullProfessor(ID9091) => Min Interval: 8, Max Interval: 99
FullProfessor(ID9094) => Min Interval: 6, Max Interval: 99
FullProfessor(ID9106) => Min Interval: 6, Max Interval: 99
FullProfessor(ID9118) => Min Interval: 8, Max Interval: 99
FullProfessor(ID9125) => Min Interval: 0, Max Interval: 99
FullProfessor(ID9135) => Min Interval: 6, Max Interval: 99
FullProfessor(ID9150) => Min Interval: 30, Max Interval: 99
FullProfessor(ID9151) => Min Interval: 36, Max Interval: 99
FullProfessor(ID9153) => Min Interval: 28, Max Interval: 99
FullProfessor(ID9171) => Min Interval: 18, Max Interval: 99
FullProfessor(ID9201) => Min Interval: 18, Max Interval: 99
FullProfessor(ID9228) => Min Interval: 12, Max Interval: 99
FullProfessor(ID9243) => Min Interval: 24, Max Interval: 99
FullProfessor(ID9257) => Min Interval: 12, Max Interval: 99
FullProfessor(ID9276) => Min Interval: 10, Max Interval: 99
FullProfessor(ID9422) => Min Interval: 10, Max Interval: 99
FullProfessor(ID9484) => Min Interval: 12, Max Interval: 99
FullProfessor(ID9536) => Min Interval: 8, Max Interval: 99
FullProfessor(ID9947) => Min Interval: 18, Max Interval: 99
FullProfessor(ID9950) => Min Interval: 14, Max Interval: 99
FullProfessor(ID9962) => Min Interval: 3, Max Interval: 99
FullProfessor(ID9986) => Min Interval: 10, Max Interval: 99
FullProfessor(ID9997) => Min Interval: 9, Max Interval: 99
