Stored fact information:
AssociateProfessor(ID0) => Min Interval: 13, Max Interval: 38
AssociateProfessor(ID119) => Min Interval: 9, Max Interval: 52
AssociateProfessor(ID121) => Min Interval: 25, Max Interval: 40
AssociateProfessor(ID123) => Min Interval: 19, Max Interval: 44
AssociateProfessor(ID128) => Min Interval: 25, Max Interval: 36
AssociateProfessor(ID130) => Min Interval: 35, Max Interval: 47
AssociateProfessor(ID132) => Min Interval: 11, Max Interval: 52
AssociateProfessor(ID133) => Min Interval: 31, Max Interval: 42
AssociateProfessor(ID139) => Min Interval: 23, Max Interval: 49
AssociateProfessor(ID141) => Min Interval: 4, Max Interval: 26
AssociateProfessor(ID142) => Min Interval: 13, Max Interval: 53
AssociateProfessor(ID143) => Min Interval: 2, Max Interval: 53
AssociateProfessor(ID152) => Min Interval: 18, Max Interval: 26
AssociateProfessor(ID155) => Min Interval: 8, Max Interval: 54
AssociateProfessor(ID156) => Min Interval: 17, Max Interval: 53
AssociateProfessor(ID159) => Min Interval: 9, Max Interval: 41
AssociateProfessor(ID160) => Min Interval: 21, Max Interval: 38
AssociateProfessor(ID163) => Min Interval: 9, Max Interval: 38
AssociateProfessor(ID165) => Min Interval: 12, Max Interval: 53
AssociateProfessor(ID168) => Min Interval: 15, Max Interval: 50
AssociateProfessor(ID170) => Min Interval: 31, Max Interval: 50
AssociateProfessor(ID171) => Min Interval: 15, Max Interval: 30
AssociateProfessor(ID173) => Min Interval: 11, Max Interval: 47
AssociateProfessor(ID179) => Min Interval: 39, Max Interval: 44
AssociateProfessor(ID184) => Min Interval: 18, Max Interval: 38
AssociateProfessor(ID185) => Min Interval: 8, Max Interval: 52
AssociateProfessor(ID190) => Min Interval: 25, Max Interval: 39
AssociateProfessor(ID192) => Min Interval: 20, Max Interval: 51
AssociateProfessor(ID193) => Min Interval: 16, Max Interval: 48
AssociateProfessor(ID195) => Min Interval: 9, Max Interval: 49
AssociateProfessor(ID197) => Min Interval: 15, Max Interval: 38
AssociateProfessor(ID198) => Min Interval: 16, Max Interval: 50
AssociateProfessor(ID200) => Min Interval: 19, Max Interval: 54
AssociateProfessor(ID203) => Min Interval: 14, Max Interval: 47
AssociateProfessor(ID207) => Min Interval: 7, Max Interval: 43
AssociateProfessor(ID209) => Min Interval: 8, Max Interval: 41
AssociateProfessor(ID210) => Min Interval: 15, Max Interval: 51
AssociateProfessor(ID214) => Min Interval: 4, Max Interval: 30
AssociateProfessor(ID217) => Min Interval: 24, Max Interval: 26
AssociateProfessor(ID219) => Min Interval: 19, Max Interval: 49
AssociateProfessor(ID221) => Min Interval: 26, Max Interval: 40
AssociateProfessor(ID227) => Min Interval: 18, Max Interval: 28
AssociateProfessor(ID229) => Min Interval: 21, Max Interval: 44
AssociateProfessor(ID231) => Min Interval: 8, Max Interval: 38
AssociateProfessor(ID233) => Min Interval: 13, Max Interval: 52
AssociateProfessor(ID234) => Min Interval: 25, Max Interval: 39
AssociateProfessor(ID236) => Min Interval: 42, Max Interval: 44
AssociateProfessor(ID239) => Min Interval: 22, Max Interval: 50
AssociateProfessor(ID240) => Min Interval: 22, Max Interval: 24
AssociateProfessor(ID241) => Min Interval: 18, Max Interval: 35
AssociateProfessor(ID243) => Min Interval: 15, Max Interval: 51
AssociateProfessor(ID244) => Min Interval: 40, Max Interval: 51
AssociateProfessor(ID246) => Min Interval: 33, Max Interval: 44
AssociateProfessor(ID256) => Min Interval: 11, Max Interval: 29
AssociateProfessor(ID259) => Min Interval: 0, Max Interval: 31
AssociateProfessor(ID263) => Min Interval: 10, Max Interval: 53
AssociateProfessor(ID265) => Min Interval: 20, Max Interval: 55
AssociateProfessor(ID266) => Min Interval: 18, Max Interval: 31
AssociateProfessor(ID270) => Min Interval: 16, Max Interval: 25
AssociateProfessor(ID271) => Min Interval: 26, Max Interval: 28
AssociateProfessor(ID277) => Min Interval: 19, Max Interval: 34
AssociateProfessor(ID278) => Min Interval: 22, Max Interval: 43
AssociateProfessor(ID279) => Min Interval: 25, Max Interval: 52
AssociateProfessor(ID289) => Min Interval: 16, Max Interval: 33
AssociateProfessor(ID292) => Min Interval: 15, Max Interval: 44
AssociateProfessor(ID293) => Min Interval: 26, Max Interval: 51
AssociateProfessor(ID295) => Min Interval: 28, Max Interval: 49
AssociateProfessor(ID297) => Min Interval: 16, Max Interval: 51
AssociateProfessor(ID299) => Min Interval: 15, Max Interval: 40
AssociateProfessor(ID303) => Min Interval: 22, Max Interval: 50
AssociateProfessor(ID305) => Min Interval: 13, Max Interval: 43
AssociateProfessor(ID308) => Min Interval: 0, Max Interval: 39
AssociateProfessor(ID309) => Min Interval: 25, Max Interval: 51
AssociateProfessor(ID311) => Min Interval: 10, Max Interval: 49
AssociateProfessor(ID312) => Min Interval: 39, Max Interval: 42
AssociateProfessor(ID315) => Min Interval: 21, Max Interval: 31
AssociateProfessor(ID316) => Min Interval: 15, Max Interval: 24
AssociateProfessor(ID318) => Min Interval: 32, Max Interval: 50
AssociateProfessor(ID319) => Min Interval: 38, Max Interval: 48
AssociateProfessor(ID320) => Min Interval: 21, Max Interval: 52
AssociateProfessor(ID321) => Min Interval: 10, Max Interval: 47
AssociateProfessor(ID326) => Min Interval: 10, Max Interval: 33
AssociateProfessor(ID327) => Min Interval: 13, Max Interval: 39
AssociateProfessor(ID328) => Min Interval: 30, Max Interval: 51
AssociateProfessor(ID330) => Min Interval: 18, Max Interval: 53
AssociateProfessor(ID331) => Min Interval: 41, Max Interval: 51
AssociateProfessor(ID332) => Min Interval: 47, Max Interval: 51
AssociateProfessor(ID335) => Min Interval: 17, Max Interval: 21
AssociateProfessor(ID338) => Min Interval: 10, Max Interval: 44
AssociateProfessor(ID340) => Min Interval: 13, Max Interval: 54
AssociateProfessor(ID344) => Min Interval: 30, Max Interval: 36
AssociateProfessor(ID350) => Min Interval: 26, Max Interval: 30
AssociateProfessor(ID351) => Min Interval: 26, Max Interval: 49
AssociateProfessor(ID353) => Min Interval: 17, Max Interval: 33
AssociateProfessor(ID356) => Min Interval: 9, Max Interval: 53
AssociateProfessor(ID358) => Min Interval: 10, Max Interval: 47
AssociateProfessor(ID361) => Min Interval: 19, Max Interval: 29
AssociateProfessor(ID363) => Min Interval: 17, Max Interval: 52
AssociateProfessor(ID364) => Min Interval: 27, Max Interval: 42
AssociateProfessor(ID366) => Min Interval: 25, Max Interval: 41
AssociateProfessor(ID369) => Min Interval: 15, Max Interval: 43
AssociateProfessor(ID371) => Min Interval: 14, Max Interval: 53
AssociateProfessor(ID372) => Min Interval: 25, Max Interval: 50
AssociateProfessor(ID374) => Min Interval: 32, Max Interval: 53
AssociateProfessor(ID376) => Min Interval: 30, Max Interval: 43
AssociateProfessor(ID380) => Min Interval: 41, Max Interval: 46
AssociateProfessor(ID383) => Min Interval: 12, Max Interval: 21
AssociateProfessor(ID384) => Min Interval: 34, Max Interval: 41
AssociateProfessor(ID388) => Min Interval: 28, Max Interval: 44
AssociateProfessor(ID390) => Min Interval: 10, Max Interval: 52
AssociateProfessor(ID392) => Min Interval: 10, Max Interval: 52
AssociateProfessor(ID393) => Min Interval: 24, Max Interval: 48
AssociateProfessor(ID396) => Min Interval: 21, Max Interval: 49
AssociateProfessor(ID404) => Min Interval: 16, Max Interval: 44
AssociateProfessor(ID412) => Min Interval: 26, Max Interval: 38
AssociateProfessor(ID413) => Min Interval: 18, Max Interval: 44
AssociateProfessor(ID414) => Min Interval: 14, Max Interval: 38
AssociateProfessor(ID415) => Min Interval: 30, Max Interval: 38
AssociateProfessor(ID418) => Min Interval: 26, Max Interval: 44
AssociateProfessor(ID420) => Min Interval: 16, Max Interval: 34
AssociateProfessor(ID421) => Min Interval: 22, Max Interval: 49
AssociateProfessor(ID423) => Min Interval: 46, Max Interval: 49
AssociateProfessor(ID431) => Min Interval: 40, Max Interval: 47
AssociateProfessor(ID432) => Min Interval: 25, Max Interval: 32
AssociateProfessor(ID434) => Min Interval: 16, Max Interval: 43
AssociateProfessor(ID437) => Min Interval: 19, Max Interval: 33
AssociateProfessor(ID438) => Min Interval: 14, Max Interval: 53
AssociateProfessor(ID443) => Min Interval: 10, Max Interval: 53
AssociateProfessor(ID444) => Min Interval: 43, Max Interval: 52
AssociateProfessor(ID446) => Min Interval: 20, Max Interval: 24
AssociateProfessor(ID449) => Min Interval: 17, Max Interval: 42
AssociateProfessor(ID453) => Min Interval: 24, Max Interval: 51
AssociateProfessor(ID454) => Min Interval: 22, Max Interval: 49
AssociateProfessor(ID455) => Min Interval: 16, Max Interval: 30
AssociateProfessor(ID456) => Min Interval: 18, Max Interval: 49
AssociateProfessor(ID458) => Min Interval: 14, Max Interval: 55
AssociateProfessor(ID463) => Min Interval: 8, Max Interval: 53
AssociateProfessor(ID465) => Min Interval: 10, Max Interval: 43
AssociateProfessor(ID469) => Min Interval: 16, Max Interval: 54
AssociateProfessor(ID472) => Min Interval: 35, Max Interval: 53
AssociateProfessor(ID473) => Min Interval: 31, Max Interval: 38
AssociateProfessor(ID475) => Min Interval: 14, Max Interval: 46
AssociateProfessor(ID477) => Min Interval: 15, Max Interval: 51
AssociateProfessor(ID478) => Min Interval: 13, Max Interval: 14
AssociateProfessor(ID480) => Min Interval: 21, Max Interval: 24
AssociateProfessor(ID481) => Min Interval: 15, Max Interval: 47
AssociateProfessor(ID492) => Min Interval: 8, Max Interval: 39
AssociateProfessor(ID496) => Min Interval: 10, Max Interval: 53
AssociateProfessor(ID499) => Min Interval: 14, Max Interval: 50
AssociateProfessor(ID501) => Min Interval: 20, Max Interval: 51
AssociateProfessor(ID503) => Min Interval: 7, Max Interval: 53
AssociateProfessor(ID508) => Min Interval: 16, Max Interval: 31
AssociateProfessor(ID509) => Min Interval: 10, Max Interval: 52
AssociateProfessor(ID511) => Min Interval: 26, Max Interval: 50
AssociateProfessor(ID515) => Min Interval: 31, Max Interval: 50
AssociateProfessor(ID518) => Min Interval: 13, Max Interval: 47
AssociateProfessor(ID525) => Min Interval: 15, Max Interval: 43
AssociateProfessor(ID531) => Min Interval: 14, Max Interval: 40
AssociateProfessor(ID533) => Min Interval: 23, Max Interval: 45
AssociateProfessor(ID536) => Min Interval: 27, Max Interval: 51
AssociateProfessor(ID542) => Min Interval: 30, Max Interval: 38
AssociateProfessor(ID544) => Min Interval: 27, Max Interval: 34
AssociateProfessor(ID545) => Min Interval: 16, Max Interval: 48
AssociateProfessor(ID546) => Min Interval: 25, Max Interval: 51
AssociateProfessor(ID547) => Min Interval: 16, Max Interval: 53
AssociateProfessor(ID551) => Min Interval: 39, Max Interval: 40
AssociateProfessor(ID552) => Min Interval: 31, Max Interval: 36
AssociateProfessor(ID554) => Min Interval: 39, Max Interval: 48
AssociateProfessor(ID555) => Min Interval: 10, Max Interval: 50
AssociateProfessor(ID558) => Min Interval: 12, Max Interval: 51
AssociateProfessor(ID564) => Min Interval: 25, Max Interval: 50
AssociateProfessor(ID576) => Min Interval: 12, Max Interval: 52
AssociateProfessor(ID578) => Min Interval: 7, Max Interval: 51
AssociateProfessor(ID580) => Min Interval: 17, Max Interval: 48
AssociateProfessor(ID587) => Min Interval: 33, Max Interval: 48
AssociateProfessor(ID588) => Min Interval: 20, Max Interval: 38
AssociateProfessor(ID594) => Min Interval: 11, Max Interval: 30
AssociateProfessor(ID598) => Min Interval: 11, Max Interval: 46
AssociateProfessor(ID605) => Min Interval: 30, Max Interval: 48
AssociateProfessor(ID608) => Min Interval: 19, Max Interval: 49
AssociateProfessor(ID609) => Min Interval: 22, Max Interval: 51
AssociateProfessor(ID611) => Min Interval: 21, Max Interval: 26
AssociateProfessor(ID618) => Min Interval: 26, Max Interval: 28
AssociateProfessor(ID630) => Min Interval: 24, Max Interval: 42
AssociateProfessor(ID635) => Min Interval: 20, Max Interval: 55
AssociateProfessor(ID638) => Min Interval: 21, Max Interval: 46
AssociateProfessor(ID640) => Min Interval: 26, Max Interval: 30
AssociateProfessor(ID644) => Min Interval: 48, Max Interval: 49
AssociateProfessor(ID647) => Min Interval: 15, Max Interval: 38
AssociateProfessor(ID648) => Min Interval: 15, Max Interval: 23
AssociateProfessor(ID649) => Min Interval: 23, Max Interval: 37
AssociateProfessor(ID651) => Min Interval: 34, Max Interval: 39
AssociateProfessor(ID653) => Min Interval: 26, Max Interval: 48
AssociateProfessor(ID656) => Min Interval: 17, Max Interval: 56
AssociateProfessor(ID660) => Min Interval: 29, Max Interval: 41
AssociateProfessor(ID664) => Min Interval: 38, Max Interval: 45
AssociateProfessor(ID668) => Min Interval: 30, Max Interval: 50
AssociateProfessor(ID674) => Min Interval: 38, Max Interval: 49
AssociateProfessor(ID676) => Min Interval: 40, Max Interval: 50
AssociateProfessor(ID679) => Min Interval: 37, Max Interval: 41
AssociateProfessor(ID681) => Min Interval: 20, Max Interval: 30
AssociateProfessor(ID682) => Min Interval: 24, Max Interval: 45
AssociateProfessor(ID684) => Min Interval: 20, Max Interval: 42
AssociateProfessor(ID686) => Min Interval: 27, Max Interval: 43
AssociateProfessor(ID688) => Min Interval: 17, Max Interval: 31
AssociateProfessor(ID692) => Min Interval: 20, Max Interval: 31
AssociateProfessor(ID695) => Min Interval: 15, Max Interval: 49
AssociateProfessor(ID697) => Min Interval: 15, Max Interval: 49
AssociateProfessor(ID699) => Min Interval: 12, Max Interval: 49
AssociateProfessor(ID701) => Min Interval: 33, Max Interval: 48
AssociateProfessor(ID707) => Min Interval: 36, Max Interval: 50
AssociateProfessor(ID712) => Min Interval: 19, Max Interval: 37
AssociateProfessor(ID723) => Min Interval: 23, Max Interval: 48
AssociateProfessor(ID726) => Min Interval: 25, Max Interval: 44
AssociateProfessor(ID732) => Min Interval: 15, Max Interval: 47
AssociateProfessor(ID736) => Min Interval: 18, Max Interval: 23
AssociateProfessor(ID743) => Min Interval: 25, Max Interval: 45
AssociateProfessor(ID745) => Min Interval: 45, Max Interval: 50
AssociateProfessor(ID747) => Min Interval: 18, Max Interval: 50
AssociateProfessor(ID748) => Min Interval: 20, Max Interval: 44
AssociateProfessor(ID753) => Min Interval: 15, Max Interval: 33
AssociateProfessor(ID763) => Min Interval: 31, Max Interval: 51
AssociateProfessor(ID764) => Min Interval: 24, Max Interval: 50
AssociateProfessor(ID766) => Min Interval: 16, Max Interval: 48
AssociateProfessor(ID768) => Min Interval: 15, Max Interval: 21
AssociateProfessor(ID771) => Min Interval: 35, Max Interval: 44
AssociateProfessor(ID775) => Min Interval: 43, Max Interval: 47
AssociateProfessor(ID780) => Min Interval: 22, Max Interval: 29
AssociateProfessor(ID793) => Min Interval: 15, Max Interval: 49
AssociateProfessor(ID804) => Min Interval: 11, Max Interval: 52
AssociateProfessor(ID816) => Min Interval: 43, Max Interval: 47
AssociateProfessor(ID817) => Min Interval: 25, Max Interval: 31
AssociateProfessor(ID819) => Min Interval: 28, Max Interval: 51
AssociateProfessor(ID821) => Min Interval: 31, Max Interval: 49
AssociateProfessor(ID827) => Min Interval: 24, Max Interval: 40
AssociateProfessor(ID832) => Min Interval: 26, Max Interval: 40
AssociateProfessor(ID842) => Min Interval: 36, Max Interval: 50
AssociateProfessor(ID852) => Min Interval: 22, Max Interval: 50
AssociateProfessor(ID859) => Min Interval: 20, Max Interval: 28
AssociateProfessor(ID867) => Min Interval: 30, Max Interval: 38
AssociateProfessor(ID870) => Min Interval: 38, Max Interval: 49
AssociateProfessor(ID871) => Min Interval: 36, Max Interval: 48
AssociateProfessor(ID874) => Min Interval: 10, Max Interval: 26
AssociateProfessor(ID877) => Min Interval: 30, Max Interval: 38
AssociateProfessor(ID884) => Min Interval: 33, Max Interval: 51
AssociateProfessor(ID890) => Min Interval: 10, Max Interval: 33
AssociateProfessor(ID893) => Min Interval: 25, Max Interval: 36
AssociateProfessor(ID898) => Min Interval: 10, Max Interval: 49
AssociateProfessor(ID901) => Min Interval: 13, Max Interval: 44
AssociateProfessor(ID908) => Min Interval: 24, Max Interval: 47
AssociateProfessor(ID911) => Min Interval: 12, Max Interval: 48
AssociateProfessor(ID913) => Min Interval: 26, Max Interval: 36
AssociateProfessor(ID923) => Min Interval: 17, Max Interval: 19
AssociateProfessor(ID928) => Min Interval: 15, Max Interval: 35
AssociateProfessor(ID930) => Min Interval: 10, Max Interval: 48
AssociateProfessor(ID946) => Min Interval: 33, Max Interval: 42
AssociateProfessor(ID955) => Min Interval: 18, Max Interval: 38
AssociateProfessor(ID959) => Min Interval: 25, Max Interval: 51
AssociateProfessor(ID963) => Min Interval: 20, Max Interval: 51
AssociateProfessor(ID978) => Min Interval: 16, Max Interval: 19
AssociateProfessor(ID979) => Min Interval: 24, Max Interval: 51
AssociateProfessor(ID980) => Min Interval: 17, Max Interval: 42
AssociateProfessor(ID986) => Min Interval: 15, Max Interval: 50
AssociateProfessor(ID991) => Min Interval: 16, Max Interval: 26
AssociateProfessor(ID999) => Min Interval: 13, Max Interval: 53
AssociateProfessor(ID1002) => Min Interval: 17, Max Interval: 42
AssociateProfessor(ID1008) => Min Interval: 15, Max Interval: 30
AssociateProfessor(ID1013) => Min Interval: 18, Max Interval: 40
AssociateProfessor(ID1014) => Min Interval: 21, Max Interval: 41
AssociateProfessor(ID1024) => Min Interval: 23, Max Interval: 39
AssociateProfessor(ID1030) => Min Interval: 18, Max Interval: 49
AssociateProfessor(ID1038) => Min Interval: 13, Max Interval: 54
AssociateProfessor(ID1041) => Min Interval: 16, Max Interval: 50
AssociateProfessor(ID1044) => Min Interval: 23, Max Interval: 45
AssociateProfessor(ID1056) => Min Interval: 15, Max Interval: 34
AssociateProfessor(ID1062) => Min Interval: 10, Max Interval: 52
AssociateProfessor(ID1063) => Min Interval: 27, Max Interval: 42
AssociateProfessor(ID1070) => Min Interval: 15, Max Interval: 21
AssociateProfessor(ID1080) => Min Interval: 15, Max Interval: 30
AssociateProfessor(ID1082) => Min Interval: 26, Max Interval: 43
AssociateProfessor(ID1086) => Min Interval: 15, Max Interval: 54
AssociateProfessor(ID1091) => Min Interval: 21, Max Interval: 30
AssociateProfessor(ID1093) => Min Interval: 11, Max Interval: 49
AssociateProfessor(ID1104) => Min Interval: 24, Max Interval: 26
AssociateProfessor(ID1126) => Min Interval: 21, Max Interval: 27
AssociateProfessor(ID1137) => Min Interval: 19, Max Interval: 33
AssociateProfessor(ID1145) => Min Interval: 18, Max Interval: 53
AssociateProfessor(ID1150) => Min Interval: 19, Max Interval: 41
AssociateProfessor(ID1155) => Min Interval: 32, Max Interval: 42
AssociateProfessor(ID1187) => Min Interval: 23, Max Interval: 30
AssociateProfessor(ID1211) => Min Interval: 27, Max Interval: 51
AssociateProfessor(ID1228) => Min Interval: 34, Max Interval: 49
AssociateProfessor(ID1233) => Min Interval: 33, Max Interval: 49
AssociateProfessor(ID1251) => Min Interval: 18, Max Interval: 45
AssociateProfessor(ID1281) => Min Interval: 24, Max Interval: 42
AssociateProfessor(ID1293) => Min Interval: 24, Max Interval: 40
AssociateProfessor(ID1306) => Min Interval: 31, Max Interval: 47
AssociateProfessor(ID1324) => Min Interval: 17, Max Interval: 48
AssociateProfessor(ID1351) => Min Interval: 22, Max Interval: 43
AssociateProfessor(ID1353) => Min Interval: 49, Max Interval: 51
AssociateProfessor(ID1363) => Min Interval: 16, Max Interval: 33
AssociateProfessor(ID1633) => Min Interval: 29, Max Interval: 46
AssociateProfessor(ID1640) => Min Interval: 15, Max Interval: 34
AssociateProfessor(ID1655) => Min Interval: 38, Max Interval: 44
AssociateProfessor(ID1656) => Min Interval: 45, Max Interval: 48
AssociateProfessor(ID1680) => Min Interval: 15, Max Interval: 26
AssociateProfessor(ID1681) => Min Interval: 14, Max Interval: 47
AssociateProfessor(ID1692) => Min Interval: 33, Max Interval: 48
AssociateProfessor(ID1696) => Min Interval: 16, Max Interval: 31
AssociateProfessor(ID1712) => Min Interval: 35, Max Interval: 51
AssociateProfessor(ID1721) => Min Interval: 48, Max Interval: 50
AssociateProfessor(ID1748) => Min Interval: 18, Max Interval: 30
AssociateProfessor(ID1791) => Min Interval: 28, Max Interval: 49
AssociateProfessor(ID1812) => Min Interval: 18, Max Interval: 25
AssociateProfessor(ID1858) => Min Interval: 22, Max Interval: 43
AssociateProfessor(ID1891) => Min Interval: 10, Max Interval: 34
AssociateProfessor(ID1896) => Min Interval: 12, Max Interval: 47
AssociateProfessor(ID1911) => Min Interval: 12, Max Interval: 49
AssociateProfessor(ID1916) => Min Interval: 25, Max Interval: 48
AssociateProfessor(ID1924) => Min Interval: 11, Max Interval: 42
AssociateProfessor(ID1925) => Min Interval: 16, Max Interval: 43
AssociateProfessor(ID1968) => Min Interval: 28, Max Interval: 35
AssociateProfessor(ID1974) => Min Interval: 27, Max Interval: 48
AssociateProfessor(ID1980) => Min Interval: 15, Max Interval: 47
AssociateProfessor(ID1984) => Min Interval: 22, Max Interval: 36
AssociateProfessor(ID2007) => Min Interval: 16, Max Interval: 51
