Stored fact information:
Employee(ID0) => Min Interval: 0, Max Interval: 99
Employee(ID732) => Min Interval: 8, Max Interval: 47
Employee(ID736) => Min Interval: 11, Max Interval: 23
Employee(ID743) => Min Interval: 18, Max Interval: 45
Employee(ID745) => Min Interval: 38, Max Interval: 50
Employee(ID747) => Min Interval: 11, Max Interval: 50
Employee(ID748) => Min Interval: 13, Max Interval: 44
Employee(ID753) => Min Interval: 8, Max Interval: 33
Employee(ID763) => Min Interval: 24, Max Interval: 51
Employee(ID764) => Min Interval: 17, Max Interval: 50
Employee(ID766) => Min Interval: 9, Max Interval: 48
Employee(ID768) => Min Interval: 8, Max Interval: 21
Employee(ID771) => Min Interval: 28, Max Interval: 44
Employee(ID775) => Min Interval: 36, Max Interval: 47
Employee(ID780) => Min Interval: 15, Max Interval: 29
Employee(ID793) => Min Interval: 8, Max Interval: 49
Employee(ID804) => Min Interval: 4, Max Interval: 52
Employee(ID811) => Min Interval: 28, Max Interval: 29
Employee(ID816) => Min Interval: 36, Max Interval: 47
Employee(ID817) => Min Interval: 18, Max Interval: 31
Employee(ID819) => Min Interval: 21, Max Interval: 51
Employee(ID821) => Min Interval: 24, Max Interval: 49
Employee(ID827) => Min Interval: 17, Max Interval: 40
Employee(ID832) => Min Interval: 19, Max Interval: 40
Employee(ID842) => Min Interval: 29, Max Interval: 50
Employee(ID852) => Min Interval: 15, Max Interval: 50
Employee(ID859) => Min Interval: 13, Max Interval: 28
Employee(ID867) => Min Interval: 23, Max Interval: 38
Employee(ID870) => Min Interval: 31, Max Interval: 49
Employee(ID871) => Min Interval: 29, Max Interval: 48
Employee(ID874) => Min Interval: 3, Max Interval: 26
Employee(ID877) => Min Interval: 23, Max Interval: 38
Employee(ID884) => Min Interval: 26, Max Interval: 51
Employee(ID890) => Min Interval: 3, Max Interval: 33
Employee(ID891) => Min Interval: 11, Max Interval: 32
Employee(ID893) => Min Interval: 18, Max Interval: 36
Employee(ID898) => Min Interval: 3, Max Interval: 49
Employee(ID901) => Min Interval: 6, Max Interval: 44
Employee(ID908) => Min Interval: 17, Max Interval: 47
Employee(ID911) => Min Interval: 5, Max Interval: 48
Employee(ID913) => Min Interval: 19, Max Interval: 36
Employee(ID923) => Min Interval: 10, Max Interval: 19
Employee(ID928) => Min Interval: 8, Max Interval: 35
Employee(ID930) => Min Interval: 3, Max Interval: 48
Employee(ID940) => Min Interval: 8, Max Interval: 8
Employee(ID946) => Min Interval: 26, Max Interval: 42
Employee(ID955) => Min Interval: 11, Max Interval: 38
Employee(ID959) => Min Interval: 18, Max Interval: 51
Employee(ID963) => Min Interval: 13, Max Interval: 51
Employee(ID978) => Min Interval: 9, Max Interval: 19
Employee(ID979) => Min Interval: 17, Max Interval: 51
Employee(ID980) => Min Interval: 10, Max Interval: 42
Employee(ID983) => Min Interval: 8, Max Interval: 9
Employee(ID986) => Min Interval: 8, Max Interval: 50
Employee(ID991) => Min Interval: 9, Max Interval: 26
Employee(ID999) => Min Interval: 6, Max Interval: 53
Employee(ID1002) => Min Interval: 10, Max Interval: 42
Employee(ID1004) => Min Interval: 35, Max Interval: 35
Employee(ID1008) => Min Interval: 8, Max Interval: 30
Employee(ID1013) => Min Interval: 11, Max Interval: 40
Employee(ID1014) => Min Interval: 14, Max Interval: 41
Employee(ID1024) => Min Interval: 16, Max Interval: 39
Employee(ID1030) => Min Interval: 11, Max Interval: 49
Employee(ID1038) => Min Interval: 6, Max Interval: 54
Employee(ID1041) => Min Interval: 9, Max Interval: 50
Employee(ID1044) => Min Interval: 16, Max Interval: 45
Employee(ID1056) => Min Interval: 8, Max Interval: 34
Employee(ID1062) => Min Interval: 3, Max Interval: 52
Employee(ID1063) => Min Interval: 20, Max Interval: 42
Employee(ID1070) => Min Interval: 8, Max Interval: 21
Employee(ID1080) => Min Interval: 8, Max Interval: 30
Employee(ID1082) => Min Interval: 19, Max Interval: 43
Employee(ID1086) => Min Interval: 8, Max Interval: 54
Employee(ID1091) => Min Interval: 14, Max Interval: 30
Employee(ID1093) => Min Interval: 4, Max Interval: 49
Employee(ID1104) => Min Interval: 17, Max Interval: 26
Employee(ID1126) => Min Interval: 14, Max Interval: 27
Employee(ID1137) => Min Interval: 12, Max Interval: 33
Employee(ID1145) => Min Interval: 11, Max Interval: 53
Employee(ID1150) => Min Interval: 12, Max Interval: 41
Employee(ID1155) => Min Interval: 25, Max Interval: 42
Employee(ID1187) => Min Interval: 16, Max Interval: 30
Employee(ID1211) => Min Interval: 20, Max Interval: 51
Employee(ID1228) => Min Interval: 27, Max Interval: 49
Employee(ID1233) => Min Interval: 26, Max Interval: 49
Employee(ID1251) => Min Interval: 11, Max Interval: 45
Employee(ID1281) => Min Interval: 17, Max Interval: 42
Employee(ID1293) => Min Interval: 17, Max Interval: 40
Employee(ID1306) => Min Interval: 24, Max Interval: 47
Employee(ID1324) => Min Interval: 10, Max Interval: 48
Employee(ID1351) => Min Interval: 15, Max Interval: 43
Employee(ID1353) => Min Interval: 42, Max Interval: 51
Employee(ID1363) => Min Interval: 9, Max Interval: 33
Employee(ID1633) => Min Interval: 22, Max Interval: 46
Employee(ID1638) => Min Interval: 5, Max Interval: 99
Employee(ID1640) => Min Interval: 8, Max Interval: 34
Employee(ID1641) => Min Interval: 3, Max Interval: 47
Employee(ID1647) => Min Interval: 3, Max Interval: 29
Employee(ID1650) => Min Interval: 2, Max Interval: 49
Employee(ID1652) => Min Interval: 11, Max Interval: 99
Employee(ID1655) => Min Interval: 12, Max Interval: 44
Employee(ID1656) => Min Interval: 38, Max Interval: 48
Employee(ID1667) => Min Interval: 2, Max Interval: 46
Employee(ID1680) => Min Interval: 8, Max Interval: 26
Employee(ID1681) => Min Interval: 8, Max Interval: 99
Employee(ID1691) => Min Interval: 5, Max Interval: 33
Employee(ID1692) => Min Interval: 26, Max Interval: 48
Employee(ID1696) => Min Interval: 9, Max Interval: 31
Employee(ID1703) => Min Interval: 1, Max Interval: 46
Employee(ID1704) => Min Interval: 0, Max Interval: 34
Employee(ID1712) => Min Interval: 28, Max Interval: 51
Employee(ID1714) => Min Interval: 8, Max Interval: 99
Employee(ID1720) => Min Interval: 9, Max Interval: 34
Employee(ID1721) => Min Interval: 41, Max Interval: 50
Employee(ID1724) => Min Interval: 11, Max Interval: 43
Employee(ID1735) => Min Interval: 17, Max Interval: 99
Employee(ID1748) => Min Interval: 11, Max Interval: 30
Employee(ID1779) => Min Interval: 4, Max Interval: 47
Employee(ID1790) => Min Interval: 35, Max Interval: 49
Employee(ID1791) => Min Interval: 21, Max Interval: 49
Employee(ID1804) => Min Interval: 4, Max Interval: 49
Employee(ID1812) => Min Interval: 11, Max Interval: 25
Employee(ID1833) => Min Interval: 2, Max Interval: 44
Employee(ID1858) => Min Interval: 15, Max Interval: 43
Employee(ID1863) => Min Interval: 9, Max Interval: 48
Employee(ID1891) => Min Interval: 3, Max Interval: 34
Employee(ID1896) => Min Interval: 5, Max Interval: 47
Employee(ID1907) => Min Interval: 0, Max Interval: 36
Employee(ID1911) => Min Interval: 5, Max Interval: 49
Employee(ID1916) => Min Interval: 18, Max Interval: 48
Employee(ID1924) => Min Interval: 4, Max Interval: 42
Employee(ID1925) => Min Interval: 9, Max Interval: 43
Employee(ID1968) => Min Interval: 21, Max Interval: 35
Employee(ID1974) => Min Interval: 20, Max Interval: 48
Employee(ID1980) => Min Interval: 8, Max Interval: 47
Employee(ID1984) => Min Interval: 15, Max Interval: 36
Employee(ID2007) => Min Interval: 9, Max Interval: 51
Employee(ID2019) => Min Interval: 8, Max Interval: 35
