Stored fact information:
Faculty(ID0) => Min Interval: 30, Max Interval: 41
Faculty(ID165) => Min Interval: 5, Max Interval: 33
Faculty(ID168) => Min Interval: 28, Max Interval: 36
Faculty(ID170) => Min Interval: 0, Max Interval: 99
Faculty(ID173) => Min Interval: 11, Max Interval: 48
Faculty(ID177) => Min Interval: 1, Max Interval: 51
Faculty(ID178) => Min Interval: 0, Max Interval: 99
Faculty(ID182) => Min Interval: 11, Max Interval: 25
Faculty(ID187) => Min Interval: 8, Max Interval: 39
Faculty(ID188) => Min Interval: 1, Max Interval: 99
Faculty(ID190) => Min Interval: 17, Max Interval: 28
Faculty(ID193) => Min Interval: 29, Max Interval: 44
Faculty(ID194) => Min Interval: 17, Max Interval: 27
Faculty(ID196) => Min Interval: 9, Max Interval: 50
Faculty(ID198) => Min Interval: 7, Max Interval: 51
Faculty(ID203) => Min Interval: 1, Max Interval: 54
Faculty(ID204) => Min Interval: 3, Max Interval: 99
Faculty(ID207) => Min Interval: 14, Max Interval: 48
Faculty(ID209) => Min Interval: 15, Max Interval: 24
Faculty(ID211) => Min Interval: 19, Max Interval: 34
Faculty(ID213) => Min Interval: 2, Max Interval: 99
Faculty(ID215) => Min Interval: 1, Max Interval: 99
Faculty(ID218) => Min Interval: 34, Max Interval: 34
Faculty(ID219) => Min Interval: 6, Max Interval: 30
Faculty(ID222) => Min Interval: 35, Max Interval: 35
Faculty(ID224) => Min Interval: 29, Max Interval: 42
Faculty(ID226) => Min Interval: 2, Max Interval: 99
Faculty(ID228) => Min Interval: 10, Max Interval: 42
Faculty(ID229) => Min Interval: 10, Max Interval: 43
Faculty(ID232) => Min Interval: 25, Max Interval: 49
Faculty(ID233) => Min Interval: 34, Max Interval: 43
Faculty(ID235) => Min Interval: 1, Max Interval: 99
Faculty(ID237) => Min Interval: 2, Max Interval: 55
Faculty(ID242) => Min Interval: 14, Max Interval: 50
Faculty(ID245) => Min Interval: 4, Max Interval: 53
Faculty(ID247) => Min Interval: 41, Max Interval: 41
Faculty(ID249) => Min Interval: 3, Max Interval: 44
Faculty(ID251) => Min Interval: 13, Max Interval: 48
Faculty(ID253) => Min Interval: 20, Max Interval: 33
Faculty(ID259) => Min Interval: 21, Max Interval: 49
Faculty(ID261) => Min Interval: 3, Max Interval: 32
Faculty(ID267) => Min Interval: 12, Max Interval: 49
Faculty(ID270) => Min Interval: 0, Max Interval: 99
Faculty(ID271) => Min Interval: 14, Max Interval: 42
Faculty(ID275) => Min Interval: 2, Max Interval: 47
Faculty(ID276) => Min Interval: 35, Max Interval: 49
Faculty(ID277) => Min Interval: 29, Max Interval: 51
Faculty(ID280) => Min Interval: 25, Max Interval: 36
Faculty(ID282) => Min Interval: 18, Max Interval: 38
Faculty(ID288) => Min Interval: 22, Max Interval: 45
Faculty(ID289) => Min Interval: 7, Max Interval: 30
Faculty(ID291) => Min Interval: 0, Max Interval: 99
Faculty(ID292) => Min Interval: 12, Max Interval: 51
Faculty(ID294) => Min Interval: 45, Max Interval: 45
Faculty(ID295) => Min Interval: 28, Max Interval: 49
Faculty(ID296) => Min Interval: 18, Max Interval: 33
Faculty(ID298) => Min Interval: 15, Max Interval: 49
Faculty(ID299) => Min Interval: 25, Max Interval: 26
Faculty(ID301) => Min Interval: 13, Max Interval: 49
Faculty(ID303) => Min Interval: 15, Max Interval: 51
Faculty(ID306) => Min Interval: 26, Max Interval: 49
Faculty(ID312) => Min Interval: 11, Max Interval: 30
Faculty(ID315) => Min Interval: 8, Max Interval: 37
Faculty(ID320) => Min Interval: 0, Max Interval: 99
Faculty(ID321) => Min Interval: 21, Max Interval: 43
Faculty(ID331) => Min Interval: 0, Max Interval: 99
Faculty(ID333) => Min Interval: 28, Max Interval: 47
Faculty(ID334) => Min Interval: 14, Max Interval: 49
Faculty(ID341) => Min Interval: 6, Max Interval: 48
Faculty(ID346) => Min Interval: 8, Max Interval: 48
Faculty(ID348) => Min Interval: 4, Max Interval: 50
Faculty(ID349) => Min Interval: 3, Max Interval: 39
Faculty(ID350) => Min Interval: 8, Max Interval: 35
Faculty(ID352) => Min Interval: 9, Max Interval: 35
Faculty(ID359) => Min Interval: 20, Max Interval: 46
Faculty(ID364) => Min Interval: 21, Max Interval: 29
Faculty(ID367) => Min Interval: 14, Max Interval: 14
Faculty(ID369) => Min Interval: 6, Max Interval: 43
Faculty(ID371) => Min Interval: 1, Max Interval: 99
Faculty(ID373) => Min Interval: 32, Max Interval: 45
Faculty(ID375) => Min Interval: 16, Max Interval: 50
Faculty(ID377) => Min Interval: 12, Max Interval: 48
Faculty(ID380) => Min Interval: 0, Max Interval: 99
Faculty(ID382) => Min Interval: 24, Max Interval: 43
Faculty(ID387) => Min Interval: 4, Max Interval: 40
Faculty(ID389) => Min Interval: 25, Max Interval: 35
Faculty(ID390) => Min Interval: 5, Max Interval: 49
Faculty(ID393) => Min Interval: 0, Max Interval: 31
Faculty(ID395) => Min Interval: 27, Max Interval: 51
Faculty(ID396) => Min Interval: 22, Max Interval: 49
Faculty(ID398) => Min Interval: 9, Max Interval: 51
Faculty(ID401) => Min Interval: 16, Max Interval: 50
Faculty(ID402) => Min Interval: 16, Max Interval: 53
Faculty(ID404) => Min Interval: 26, Max Interval: 43
Faculty(ID407) => Min Interval: 25, Max Interval: 45
Faculty(ID410) => Min Interval: 1, Max Interval: 53
Faculty(ID411) => Min Interval: 3, Max Interval: 50
Faculty(ID414) => Min Interval: 23, Max Interval: 44
Faculty(ID418) => Min Interval: 12, Max Interval: 43
Faculty(ID419) => Min Interval: 9, Max Interval: 42
Faculty(ID422) => Min Interval: 17, Max Interval: 52
Faculty(ID428) => Min Interval: 8, Max Interval: 53
Faculty(ID434) => Min Interval: 4, Max Interval: 48
Faculty(ID436) => Min Interval: 10, Max Interval: 47
Faculty(ID437) => Min Interval: 4, Max Interval: 51
Faculty(ID439) => Min Interval: 15, Max Interval: 31
Faculty(ID441) => Min Interval: 14, Max Interval: 37
Faculty(ID446) => Min Interval: 14, Max Interval: 43
Faculty(ID447) => Min Interval: 14, Max Interval: 51
Faculty(ID448) => Min Interval: 13, Max Interval: 13
Faculty(ID450) => Min Interval: 14, Max Interval: 35
Faculty(ID455) => Min Interval: 17, Max Interval: 42
Faculty(ID456) => Min Interval: 10, Max Interval: 30
Faculty(ID458) => Min Interval: 4, Max Interval: 48
Faculty(ID459) => Min Interval: 38, Max Interval: 49
Faculty(ID461) => Min Interval: 16, Max Interval: 31
Faculty(ID462) => Min Interval: 23, Max Interval: 46
Faculty(ID466) => Min Interval: 3, Max Interval: 50
Faculty(ID468) => Min Interval: 34, Max Interval: 47
Faculty(ID469) => Min Interval: 21, Max Interval: 35
Faculty(ID470) => Min Interval: 32, Max Interval: 49
Faculty(ID473) => Min Interval: 1, Max Interval: 54
Faculty(ID478) => Min Interval: 6, Max Interval: 48
Faculty(ID479) => Min Interval: 26, Max Interval: 50
Faculty(ID482) => Min Interval: 1, Max Interval: 99
Faculty(ID490) => Min Interval: 10, Max Interval: 51
Faculty(ID491) => Min Interval: 9, Max Interval: 37
Faculty(ID502) => Min Interval: 8, Max Interval: 30
Faculty(ID504) => Min Interval: 10, Max Interval: 49
Faculty(ID505) => Min Interval: 2, Max Interval: 99
Faculty(ID509) => Min Interval: 4, Max Interval: 50
Faculty(ID511) => Min Interval: 14, Max Interval: 51
Faculty(ID512) => Min Interval: 10, Max Interval: 53
Faculty(ID513) => Min Interval: 44, Max Interval: 45
Faculty(ID515) => Min Interval: 18, Max Interval: 50
Faculty(ID516) => Min Interval: 12, Max Interval: 45
Faculty(ID518) => Min Interval: 0, Max Interval: 99
Faculty(ID519) => Min Interval: 11, Max Interval: 32
Faculty(ID520) => Min Interval: 5, Max Interval: 46
Faculty(ID521) => Min Interval: 20, Max Interval: 43
Faculty(ID523) => Min Interval: 15, Max Interval: 50
Faculty(ID524) => Min Interval: 17, Max Interval: 45
Faculty(ID527) => Min Interval: 13, Max Interval: 46
Faculty(ID531) => Min Interval: 25, Max Interval: 49
Faculty(ID534) => Min Interval: 30, Max Interval: 30
Faculty(ID537) => Min Interval: 14, Max Interval: 36
Faculty(ID539) => Min Interval: 6, Max Interval: 42
Faculty(ID541) => Min Interval: 13, Max Interval: 45
Faculty(ID544) => Min Interval: 12, Max Interval: 31
Faculty(ID549) => Min Interval: 38, Max Interval: 46
Faculty(ID552) => Min Interval: 16, Max Interval: 54
Faculty(ID553) => Min Interval: 13, Max Interval: 21
Faculty(ID557) => Min Interval: 31, Max Interval: 50
Faculty(ID559) => Min Interval: 4, Max Interval: 54
Faculty(ID562) => Min Interval: 10, Max Interval: 49
Faculty(ID566) => Min Interval: 9, Max Interval: 29
Faculty(ID567) => Min Interval: 8, Max Interval: 48
Faculty(ID569) => Min Interval: 7, Max Interval: 42
Faculty(ID570) => Min Interval: 19, Max Interval: 46
Faculty(ID574) => Min Interval: 1, Max Interval: 54
Faculty(ID578) => Min Interval: 15, Max Interval: 31
Faculty(ID579) => Min Interval: 14, Max Interval: 43
Faculty(ID580) => Min Interval: 9, Max Interval: 49
Faculty(ID583) => Min Interval: 32, Max Interval: 51
Faculty(ID584) => Min Interval: 21, Max Interval: 50
Faculty(ID587) => Min Interval: 8, Max Interval: 28
Faculty(ID589) => Min Interval: 34, Max Interval: 44
Faculty(ID590) => Min Interval: 2, Max Interval: 48
Faculty(ID593) => Min Interval: 10, Max Interval: 20
Faculty(ID597) => Min Interval: 10, Max Interval: 29
Faculty(ID599) => Min Interval: 23, Max Interval: 34
Faculty(ID600) => Min Interval: 8, Max Interval: 44
Faculty(ID607) => Min Interval: 20, Max Interval: 46
Faculty(ID610) => Min Interval: 13, Max Interval: 23
Faculty(ID611) => Min Interval: 9, Max Interval: 21
Faculty(ID612) => Min Interval: 26, Max Interval: 48
Faculty(ID614) => Min Interval: 18, Max Interval: 34
Faculty(ID615) => Min Interval: 19, Max Interval: 32
Faculty(ID616) => Min Interval: 8, Max Interval: 18
Faculty(ID617) => Min Interval: 26, Max Interval: 26
Faculty(ID619) => Min Interval: 8, Max Interval: 53
Faculty(ID620) => Min Interval: 12, Max Interval: 40
Faculty(ID626) => Min Interval: 17, Max Interval: 40
Faculty(ID628) => Min Interval: 32, Max Interval: 46
Faculty(ID629) => Min Interval: 16, Max Interval: 50
Faculty(ID633) => Min Interval: 28, Max Interval: 28
Faculty(ID634) => Min Interval: 28, Max Interval: 49
Faculty(ID635) => Min Interval: 28, Max Interval: 50
Faculty(ID640) => Min Interval: 0, Max Interval: 99
Faculty(ID643) => Min Interval: 11, Max Interval: 43
Faculty(ID645) => Min Interval: 20, Max Interval: 42
Faculty(ID647) => Min Interval: 1, Max Interval: 99
Faculty(ID648) => Min Interval: 12, Max Interval: 33
Faculty(ID649) => Min Interval: 14, Max Interval: 39
Faculty(ID652) => Min Interval: 9, Max Interval: 33
Faculty(ID655) => Min Interval: 22, Max Interval: 53
Faculty(ID658) => Min Interval: 8, Max Interval: 50
Faculty(ID659) => Min Interval: 12, Max Interval: 43
Faculty(ID661) => Min Interval: 24, Max Interval: 25
Faculty(ID665) => Min Interval: 18, Max Interval: 41
Faculty(ID666) => Min Interval: 19, Max Interval: 54
Faculty(ID671) => Min Interval: 15, Max Interval: 45
Faculty(ID676) => Min Interval: 10, Max Interval: 32
Faculty(ID679) => Min Interval: 24, Max Interval: 35
Faculty(ID684) => Min Interval: 5, Max Interval: 52
Faculty(ID686) => Min Interval: 10, Max Interval: 53
Faculty(ID697) => Min Interval: 9, Max Interval: 41
Faculty(ID703) => Min Interval: 10, Max Interval: 20
Faculty(ID704) => Min Interval: 26, Max Interval: 47
Faculty(ID711) => Min Interval: 3, Max Interval: 53
Faculty(ID717) => Min Interval: 11, Max Interval: 29
Faculty(ID727) => Min Interval: 22, Max Interval: 47
Faculty(ID729) => Min Interval: 14, Max Interval: 49
Faculty(ID734) => Min Interval: 5, Max Interval: 50
Faculty(ID740) => Min Interval: 7, Max Interval: 45
Faculty(ID742) => Min Interval: 25, Max Interval: 40
Faculty(ID745) => Min Interval: 28, Max Interval: 40
Faculty(ID749) => Min Interval: 23, Max Interval: 33
Faculty(ID751) => Min Interval: 33, Max Interval: 33
Faculty(ID753) => Min Interval: 19, Max Interval: 44
Faculty(ID754) => Min Interval: 7, Max Interval: 41
Faculty(ID762) => Min Interval: 33, Max Interval: 42
Faculty(ID764) => Min Interval: 22, Max Interval: 51
Faculty(ID765) => Min Interval: 9, Max Interval: 31
Faculty(ID767) => Min Interval: 20, Max Interval: 47
Faculty(ID775) => Min Interval: 1, Max Interval: 53
Faculty(ID779) => Min Interval: 22, Max Interval: 47
Faculty(ID780) => Min Interval: 34, Max Interval: 50
Faculty(ID786) => Min Interval: 10, Max Interval: 28
Faculty(ID796) => Min Interval: 12, Max Interval: 51
Faculty(ID809) => Min Interval: 21, Max Interval: 43
Faculty(ID814) => Min Interval: 10, Max Interval: 52
Faculty(ID816) => Min Interval: 16, Max Interval: 17
Faculty(ID821) => Min Interval: 12, Max Interval: 40
Faculty(ID822) => Min Interval: 13, Max Interval: 42
Faculty(ID825) => Min Interval: 36, Max Interval: 47
Faculty(ID828) => Min Interval: 13, Max Interval: 45
Faculty(ID831) => Min Interval: 40, Max Interval: 52
Faculty(ID832) => Min Interval: 2, Max Interval: 99
Faculty(ID840) => Min Interval: 4, Max Interval: 41
Faculty(ID847) => Min Interval: 3, Max Interval: 46
Faculty(ID853) => Min Interval: 30, Max Interval: 38
Faculty(ID854) => Min Interval: 25, Max Interval: 51
Faculty(ID856) => Min Interval: 13, Max Interval: 39
Faculty(ID860) => Min Interval: 24, Max Interval: 51
Faculty(ID864) => Min Interval: 17, Max Interval: 18
Faculty(ID865) => Min Interval: 38, Max Interval: 46
Faculty(ID870) => Min Interval: 8, Max Interval: 34
Faculty(ID876) => Min Interval: 10, Max Interval: 37
Faculty(ID877) => Min Interval: 19, Max Interval: 28
Faculty(ID886) => Min Interval: 10, Max Interval: 51
Faculty(ID888) => Min Interval: 20, Max Interval: 50
Faculty(ID890) => Min Interval: 18, Max Interval: 51
Faculty(ID901) => Min Interval: 9, Max Interval: 47
Faculty(ID908) => Min Interval: 8, Max Interval: 28
Faculty(ID910) => Min Interval: 26, Max Interval: 45
Faculty(ID916) => Min Interval: 3, Max Interval: 50
Faculty(ID917) => Min Interval: 12, Max Interval: 41
Faculty(ID918) => Min Interval: 12, Max Interval: 47
Faculty(ID921) => Min Interval: 0, Max Interval: 35
Faculty(ID923) => Min Interval: 27, Max Interval: 43
Faculty(ID928) => Min Interval: 19, Max Interval: 27
Faculty(ID932) => Min Interval: 16, Max Interval: 50
Faculty(ID934) => Min Interval: 33, Max Interval: 50
Faculty(ID938) => Min Interval: 22, Max Interval: 33
Faculty(ID939) => Min Interval: 11, Max Interval: 38
Faculty(ID941) => Min Interval: 4, Max Interval: 47
Faculty(ID946) => Min Interval: 8, Max Interval: 40
Faculty(ID947) => Min Interval: 23, Max Interval: 43
Faculty(ID949) => Min Interval: 11, Max Interval: 21
Faculty(ID953) => Min Interval: 10, Max Interval: 32
Faculty(ID955) => Min Interval: 18, Max Interval: 19
Faculty(ID956) => Min Interval: 25, Max Interval: 46
Faculty(ID961) => Min Interval: 11, Max Interval: 54
Faculty(ID962) => Min Interval: 8, Max Interval: 50
Faculty(ID963) => Min Interval: 3, Max Interval: 54
Faculty(ID968) => Min Interval: 24, Max Interval: 45
Faculty(ID969) => Min Interval: 39, Max Interval: 51
Faculty(ID973) => Min Interval: 14, Max Interval: 33
Faculty(ID974) => Min Interval: 21, Max Interval: 46
Faculty(ID986) => Min Interval: 23, Max Interval: 50
Faculty(ID993) => Min Interval: 7, Max Interval: 54
Faculty(ID996) => Min Interval: 15, Max Interval: 50
Faculty(ID1001) => Min Interval: 19, Max Interval: 27
Faculty(ID1009) => Min Interval: 9, Max Interval: 50
Faculty(ID1014) => Min Interval: 20, Max Interval: 37
Faculty(ID1019) => Min Interval: 10, Max Interval: 42
Faculty(ID1023) => Min Interval: 38, Max Interval: 38
Faculty(ID1037) => Min Interval: 12, Max Interval: 31
Faculty(ID1038) => Min Interval: 9, Max Interval: 36
Faculty(ID1048) => Min Interval: 8, Max Interval: 37
Faculty(ID1051) => Min Interval: 22, Max Interval: 45
Faculty(ID1053) => Min Interval: 11, Max Interval: 49
Faculty(ID1056) => Min Interval: 18, Max Interval: 41
Faculty(ID1067) => Min Interval: 10, Max Interval: 39
Faculty(ID1070) => Min Interval: 18, Max Interval: 39
Faculty(ID1082) => Min Interval: 12, Max Interval: 38
Faculty(ID1084) => Min Interval: 5, Max Interval: 44
Faculty(ID1087) => Min Interval: 12, Max Interval: 42
Faculty(ID1088) => Min Interval: 8, Max Interval: 26
Faculty(ID1094) => Min Interval: 13, Max Interval: 45
Faculty(ID1114) => Min Interval: 2, Max Interval: 51
Faculty(ID1116) => Min Interval: 10, Max Interval: 42
Faculty(ID1145) => Min Interval: 10, Max Interval: 34
Faculty(ID1153) => Min Interval: 16, Max Interval: 48
Faculty(ID1156) => Min Interval: 22, Max Interval: 50
Faculty(ID1159) => Min Interval: 32, Max Interval: 49
Faculty(ID1161) => Min Interval: 19, Max Interval: 41
Faculty(ID1166) => Min Interval: 29, Max Interval: 39
Faculty(ID1168) => Min Interval: 11, Max Interval: 41
Faculty(ID1176) => Min Interval: 19, Max Interval: 44
Faculty(ID1180) => Min Interval: 19, Max Interval: 46
Faculty(ID1181) => Min Interval: 12, Max Interval: 49
Faculty(ID1186) => Min Interval: 37, Max Interval: 49
Faculty(ID1189) => Min Interval: 14, Max Interval: 29
Faculty(ID1199) => Min Interval: 11, Max Interval: 49
Faculty(ID1202) => Min Interval: 3, Max Interval: 50
Faculty(ID1213) => Min Interval: 18, Max Interval: 50
Faculty(ID1245) => Min Interval: 29, Max Interval: 41
Faculty(ID1254) => Min Interval: 16, Max Interval: 44
Faculty(ID1274) => Min Interval: 27, Max Interval: 47
Faculty(ID1289) => Min Interval: 24, Max Interval: 36
Faculty(ID1298) => Min Interval: 15, Max Interval: 47
Faculty(ID1304) => Min Interval: 19, Max Interval: 51
Faculty(ID1306) => Min Interval: 22, Max Interval: 41
Faculty(ID1335) => Min Interval: 10, Max Interval: 38
Faculty(ID1340) => Min Interval: 17, Max Interval: 45
Faculty(ID1346) => Min Interval: 26, Max Interval: 37
Faculty(ID1355) => Min Interval: 2, Max Interval: 99
Faculty(ID1384) => Min Interval: 12, Max Interval: 44
Faculty(ID1402) => Min Interval: 23, Max Interval: 49
Faculty(ID1404) => Min Interval: 17, Max Interval: 41
Faculty(ID1408) => Min Interval: 12, Max Interval: 12
Faculty(ID1410) => Min Interval: 12, Max Interval: 35
Faculty(ID1412) => Min Interval: 15, Max Interval: 46
Faculty(ID1442) => Min Interval: 15, Max Interval: 50
Faculty(ID1447) => Min Interval: 12, Max Interval: 52
Faculty(ID1512) => Min Interval: 25, Max Interval: 40
Faculty(ID1514) => Min Interval: 20, Max Interval: 31
Faculty(ID1580) => Min Interval: 23, Max Interval: 24
Faculty(ID1665) => Min Interval: 13, Max Interval: 50
Faculty(ID1857) => Min Interval: 20, Max Interval: 38
Faculty(ID1860) => Min Interval: 1, Max Interval: 51
Faculty(ID1861) => Min Interval: 3, Max Interval: 35
Faculty(ID1862) => Min Interval: 19, Max Interval: 44
Faculty(ID1865) => Min Interval: 5, Max Interval: 51
Faculty(ID1869) => Min Interval: 0, Max Interval: 99
Faculty(ID1870) => Min Interval: 8, Max Interval: 49
Faculty(ID1871) => Min Interval: 9, Max Interval: 26
Faculty(ID1873) => Min Interval: 8, Max Interval: 17
Faculty(ID1874) => Min Interval: 42, Max Interval: 51
Faculty(ID1876) => Min Interval: 19, Max Interval: 37
Faculty(ID1878) => Min Interval: 39, Max Interval: 50
Faculty(ID1881) => Min Interval: 13, Max Interval: 37
Faculty(ID1883) => Min Interval: 12, Max Interval: 53
Faculty(ID1886) => Min Interval: 1, Max Interval: 99
Faculty(ID1889) => Min Interval: 8, Max Interval: 99
Faculty(ID1891) => Min Interval: 0, Max Interval: 99
Faculty(ID1892) => Min Interval: 15, Max Interval: 29
Faculty(ID1894) => Min Interval: 7, Max Interval: 42
Faculty(ID1896) => Min Interval: 31, Max Interval: 50
Faculty(ID1897) => Min Interval: 29, Max Interval: 39
Faculty(ID1900) => Min Interval: 18, Max Interval: 43
Faculty(ID1903) => Min Interval: 2, Max Interval: 99
Faculty(ID1904) => Min Interval: 25, Max Interval: 43
Faculty(ID1905) => Min Interval: 3, Max Interval: 99
Faculty(ID1908) => Min Interval: 9, Max Interval: 41
Faculty(ID1909) => Min Interval: 8, Max Interval: 54
Faculty(ID1911) => Min Interval: 16, Max Interval: 47
Faculty(ID1916) => Min Interval: 5, Max Interval: 45
Faculty(ID1918) => Min Interval: 3, Max Interval: 51
Faculty(ID1920) => Min Interval: 11, Max Interval: 41
Faculty(ID1922) => Min Interval: 3, Max Interval: 51
Faculty(ID1923) => Min Interval: 16, Max Interval: 42
Faculty(ID1925) => Min Interval: 14, Max Interval: 48
Faculty(ID1929) => Min Interval: 8, Max Interval: 50
Faculty(ID1931) => Min Interval: 8, Max Interval: 43
Faculty(ID1941) => Min Interval: 25, Max Interval: 46
Faculty(ID1942) => Min Interval: 16, Max Interval: 48
Faculty(ID1943) => Min Interval: 19, Max Interval: 51
Faculty(ID1944) => Min Interval: 12, Max Interval: 47
Faculty(ID1946) => Min Interval: 8, Max Interval: 51
Faculty(ID1947) => Min Interval: 6, Max Interval: 48
Faculty(ID1950) => Min Interval: 1, Max Interval: 99
Faculty(ID1953) => Min Interval: 11, Max Interval: 45
Faculty(ID1954) => Min Interval: 8, Max Interval: 53
Faculty(ID1955) => Min Interval: 14, Max Interval: 45
Faculty(ID1957) => Min Interval: 8, Max Interval: 51
Faculty(ID1958) => Min Interval: 39, Max Interval: 40
Faculty(ID1960) => Min Interval: 11, Max Interval: 44
Faculty(ID1962) => Min Interval: 0, Max Interval: 99
Faculty(ID1964) => Min Interval: 0, Max Interval: 99
Faculty(ID1965) => Min Interval: 7, Max Interval: 46
Faculty(ID1966) => Min Interval: 9, Max Interval: 24
Faculty(ID1970) => Min Interval: 13, Max Interval: 51
Faculty(ID1975) => Min Interval: 9, Max Interval: 45
Faculty(ID1980) => Min Interval: 15, Max Interval: 50
Faculty(ID1982) => Min Interval: 0, Max Interval: 99
Faculty(ID1983) => Min Interval: 24, Max Interval: 50
Faculty(ID1985) => Min Interval: 13, Max Interval: 43
Faculty(ID1986) => Min Interval: 0, Max Interval: 99
Faculty(ID1988) => Min Interval: 32, Max Interval: 50
Faculty(ID1990) => Min Interval: 2, Max Interval: 99
Faculty(ID1992) => Min Interval: 0, Max Interval: 99
Faculty(ID1993) => Min Interval: 26, Max Interval: 50
Faculty(ID1994) => Min Interval: 10, Max Interval: 49
Faculty(ID1996) => Min Interval: 0, Max Interval: 99
Faculty(ID1997) => Min Interval: 8, Max Interval: 51
Faculty(ID1999) => Min Interval: 8, Max Interval: 40
Faculty(ID2001) => Min Interval: 15, Max Interval: 32
Faculty(ID2002) => Min Interval: 15, Max Interval: 51
Faculty(ID2003) => Min Interval: 44, Max Interval: 44
Faculty(ID2005) => Min Interval: 4, Max Interval: 99
Faculty(ID2009) => Min Interval: 4, Max Interval: 54
Faculty(ID2010) => Min Interval: 10, Max Interval: 39
Faculty(ID2012) => Min Interval: 9, Max Interval: 34
Faculty(ID2013) => Min Interval: 11, Max Interval: 40
Faculty(ID2017) => Min Interval: 14, Max Interval: 42
Faculty(ID2022) => Min Interval: 3, Max Interval: 53
Faculty(ID2025) => Min Interval: 9, Max Interval: 28
Faculty(ID2028) => Min Interval: 9, Max Interval: 54
Faculty(ID2030) => Min Interval: 1, Max Interval: 99
Faculty(ID2033) => Min Interval: 1, Max Interval: 99
Faculty(ID2036) => Min Interval: 2, Max Interval: 99
Faculty(ID2039) => Min Interval: 2, Max Interval: 99
