Stored fact information:
Work(ID1) => Min Interval: 4, Max Interval: 48
Work(ID1634) => Min Interval: 15, Max Interval: 31
Work(ID1642) => Min Interval: 3, Max Interval: 44
Work(ID1668) => Min Interval: 2, Max Interval: 27
Work(ID1672) => Min Interval: 8, Max Interval: 47
Work(ID1708) => Min Interval: 8, Max Interval: 19
Work(ID1727) => Min Interval: 15, Max Interval: 44
Work(ID1732) => Min Interval: 2, Max Interval: 49
Work(ID1738) => Min Interval: 6, Max Interval: 31
Work(ID1750) => Min Interval: 6, Max Interval: 28
Work(ID1766) => Min Interval: 18, Max Interval: 41
Work(ID1817) => Min Interval: 4, Max Interval: 42
Work(ID1847) => Min Interval: 2, Max Interval: 48
Work(ID1855) => Min Interval: 0, Max Interval: 44
Work(ID1932) => Min Interval: 3, Max Interval: 46
Work(ID1945) => Min Interval: 6, Max Interval: 39
Work(ID1952) => Min Interval: 31, Max Interval: 36
Work(ID1985) => Min Interval: 30, Max Interval: 50
Work(ID2020) => Min Interval: 8, Max Interval: 35
