Stored fact information:
ResearchAssistantCandidate(ID0) => Min Interval: 27, Max Interval: 40
ResearchAssistantCandidate(ID233) => Min Interval: 31, Max Interval: 42
ResearchAssistantCandidate(ID237) => Min Interval: 2, Max Interval: 50
ResearchAssistantCandidate(ID242) => Min Interval: 11, Max Interval: 49
ResearchAssistantCandidate(ID245) => Min Interval: 5, Max Interval: 48
ResearchAssistantCandidate(ID247) => Min Interval: 23, Max Interval: 46
ResearchAssistantCandidate(ID249) => Min Interval: 4, Max Interval: 39
ResearchAssistantCandidate(ID251) => Min Interval: 13, Max Interval: 43
ResearchAssistantCandidate(ID253) => Min Interval: 6, Max Interval: 32
ResearchAssistantCandidate(ID254) => Min Interval: 24, Max Interval: 31
ResearchAssistantCandidate(ID259) => Min Interval: 18, Max Interval: 48
ResearchAssistantCandidate(ID261) => Min Interval: 0, Max Interval: 41
ResearchAssistantCandidate(ID267) => Min Interval: 9, Max Interval: 48
ResearchAssistantCandidate(ID271) => Min Interval: 11, Max Interval: 41
ResearchAssistantCandidate(ID275) => Min Interval: 3, Max Interval: 46
ResearchAssistantCandidate(ID276) => Min Interval: 32, Max Interval: 48
ResearchAssistantCandidate(ID277) => Min Interval: 26, Max Interval: 50
ResearchAssistantCandidate(ID280) => Min Interval: 22, Max Interval: 50
ResearchAssistantCandidate(ID282) => Min Interval: 15, Max Interval: 37
ResearchAssistantCandidate(ID288) => Min Interval: 19, Max Interval: 44
ResearchAssistantCandidate(ID289) => Min Interval: 4, Max Interval: 29
ResearchAssistantCandidate(ID292) => Min Interval: 9, Max Interval: 50
ResearchAssistantCandidate(ID294) => Min Interval: 42, Max Interval: 50
ResearchAssistantCandidate(ID295) => Min Interval: 25, Max Interval: 48
ResearchAssistantCandidate(ID296) => Min Interval: 15, Max Interval: 32
ResearchAssistantCandidate(ID298) => Min Interval: 12, Max Interval: 48
ResearchAssistantCandidate(ID299) => Min Interval: 22, Max Interval: 31
ResearchAssistantCandidate(ID301) => Min Interval: 14, Max Interval: 44
ResearchAssistantCandidate(ID303) => Min Interval: 12, Max Interval: 50
ResearchAssistantCandidate(ID306) => Min Interval: 23, Max Interval: 48
ResearchAssistantCandidate(ID312) => Min Interval: 8, Max Interval: 29
ResearchAssistantCandidate(ID315) => Min Interval: 9, Max Interval: 32
ResearchAssistantCandidate(ID321) => Min Interval: 18, Max Interval: 42
ResearchAssistantCandidate(ID327) => Min Interval: 37, Max Interval: 41
ResearchAssistantCandidate(ID333) => Min Interval: 25, Max Interval: 46
ResearchAssistantCandidate(ID334) => Min Interval: 11, Max Interval: 44
ResearchAssistantCandidate(ID339) => Min Interval: 7, Max Interval: 9
ResearchAssistantCandidate(ID341) => Min Interval: 3, Max Interval: 47
ResearchAssistantCandidate(ID346) => Min Interval: 5, Max Interval: 47
ResearchAssistantCandidate(ID348) => Min Interval: 3, Max Interval: 45
ResearchAssistantCandidate(ID349) => Min Interval: 0, Max Interval: 34
ResearchAssistantCandidate(ID350) => Min Interval: 5, Max Interval: 34
ResearchAssistantCandidate(ID352) => Min Interval: 6, Max Interval: 34
ResearchAssistantCandidate(ID355) => Min Interval: 44, Max Interval: 50
ResearchAssistantCandidate(ID359) => Min Interval: 17, Max Interval: 45
ResearchAssistantCandidate(ID364) => Min Interval: 18, Max Interval: 28
ResearchAssistantCandidate(ID367) => Min Interval: 11, Max Interval: 19
ResearchAssistantCandidate(ID369) => Min Interval: 10, Max Interval: 38
ResearchAssistantCandidate(ID373) => Min Interval: 29, Max Interval: 44
ResearchAssistantCandidate(ID375) => Min Interval: 13, Max Interval: 49
ResearchAssistantCandidate(ID377) => Min Interval: 9, Max Interval: 47
ResearchAssistantCandidate(ID382) => Min Interval: 22, Max Interval: 52
ResearchAssistantCandidate(ID387) => Min Interval: 5, Max Interval: 35
ResearchAssistantCandidate(ID389) => Min Interval: 22, Max Interval: 34
ResearchAssistantCandidate(ID390) => Min Interval: 15, Max Interval: 39
ResearchAssistantCandidate(ID393) => Min Interval: 0, Max Interval: 26
ResearchAssistantCandidate(ID395) => Min Interval: 24, Max Interval: 50
ResearchAssistantCandidate(ID396) => Min Interval: 19, Max Interval: 48
ResearchAssistantCandidate(ID398) => Min Interval: 6, Max Interval: 50
ResearchAssistantCandidate(ID401) => Min Interval: 13, Max Interval: 49
ResearchAssistantCandidate(ID402) => Min Interval: 17, Max Interval: 52
ResearchAssistantCandidate(ID404) => Min Interval: 27, Max Interval: 38
ResearchAssistantCandidate(ID407) => Min Interval: 22, Max Interval: 50
ResearchAssistantCandidate(ID410) => Min Interval: 1, Max Interval: 42
ResearchAssistantCandidate(ID411) => Min Interval: 2, Max Interval: 49
ResearchAssistantCandidate(ID414) => Min Interval: 20, Max Interval: 43
ResearchAssistantCandidate(ID418) => Min Interval: 9, Max Interval: 42
ResearchAssistantCandidate(ID419) => Min Interval: 10, Max Interval: 37
ResearchAssistantCandidate(ID422) => Min Interval: 18, Max Interval: 51
ResearchAssistantCandidate(ID428) => Min Interval: 5, Max Interval: 52
ResearchAssistantCandidate(ID434) => Min Interval: 1, Max Interval: 44
ResearchAssistantCandidate(ID436) => Min Interval: 7, Max Interval: 46
ResearchAssistantCandidate(ID437) => Min Interval: 7, Max Interval: 46
ResearchAssistantCandidate(ID439) => Min Interval: 12, Max Interval: 30
ResearchAssistantCandidate(ID441) => Min Interval: 11, Max Interval: 36
ResearchAssistantCandidate(ID446) => Min Interval: 11, Max Interval: 42
ResearchAssistantCandidate(ID447) => Min Interval: 11, Max Interval: 50
ResearchAssistantCandidate(ID448) => Min Interval: 10, Max Interval: 18
ResearchAssistantCandidate(ID450) => Min Interval: 11, Max Interval: 47
ResearchAssistantCandidate(ID455) => Min Interval: 18, Max Interval: 37
ResearchAssistantCandidate(ID456) => Min Interval: 7, Max Interval: 29
ResearchAssistantCandidate(ID458) => Min Interval: 4, Max Interval: 43
ResearchAssistantCandidate(ID459) => Min Interval: 35, Max Interval: 48
ResearchAssistantCandidate(ID461) => Min Interval: 13, Max Interval: 40
ResearchAssistantCandidate(ID462) => Min Interval: 20, Max Interval: 45
ResearchAssistantCandidate(ID466) => Min Interval: 4, Max Interval: 22
ResearchAssistantCandidate(ID468) => Min Interval: 31, Max Interval: 46
ResearchAssistantCandidate(ID469) => Min Interval: 18, Max Interval: 34
ResearchAssistantCandidate(ID470) => Min Interval: 29, Max Interval: 48
ResearchAssistantCandidate(ID471) => Min Interval: 8, Max Interval: 13
ResearchAssistantCandidate(ID473) => Min Interval: 0, Max Interval: 49
ResearchAssistantCandidate(ID478) => Min Interval: 7, Max Interval: 43
ResearchAssistantCandidate(ID479) => Min Interval: 23, Max Interval: 49
ResearchAssistantCandidate(ID490) => Min Interval: 7, Max Interval: 50
ResearchAssistantCandidate(ID491) => Min Interval: 6, Max Interval: 36
ResearchAssistantCandidate(ID502) => Min Interval: 5, Max Interval: 29
ResearchAssistantCandidate(ID504) => Min Interval: 7, Max Interval: 48
ResearchAssistantCandidate(ID509) => Min Interval: 2, Max Interval: 48
ResearchAssistantCandidate(ID511) => Min Interval: 11, Max Interval: 50
ResearchAssistantCandidate(ID512) => Min Interval: 32, Max Interval: 52
ResearchAssistantCandidate(ID513) => Min Interval: 15, Max Interval: 50
ResearchAssistantCandidate(ID515) => Min Interval: 15, Max Interval: 49
ResearchAssistantCandidate(ID516) => Min Interval: 9, Max Interval: 44
ResearchAssistantCandidate(ID519) => Min Interval: 8, Max Interval: 31
ResearchAssistantCandidate(ID520) => Min Interval: 2, Max Interval: 45
ResearchAssistantCandidate(ID521) => Min Interval: 17, Max Interval: 42
ResearchAssistantCandidate(ID523) => Min Interval: 16, Max Interval: 49
ResearchAssistantCandidate(ID524) => Min Interval: 14, Max Interval: 44
ResearchAssistantCandidate(ID527) => Min Interval: 14, Max Interval: 41
ResearchAssistantCandidate(ID531) => Min Interval: 22, Max Interval: 48
ResearchAssistantCandidate(ID532) => Min Interval: 39, Max Interval: 42
ResearchAssistantCandidate(ID534) => Min Interval: 27, Max Interval: 35
ResearchAssistantCandidate(ID537) => Min Interval: 11, Max Interval: 35
ResearchAssistantCandidate(ID538) => Min Interval: 35, Max Interval: 46
ResearchAssistantCandidate(ID539) => Min Interval: 7, Max Interval: 37
ResearchAssistantCandidate(ID541) => Min Interval: 10, Max Interval: 44
ResearchAssistantCandidate(ID544) => Min Interval: 9, Max Interval: 30
ResearchAssistantCandidate(ID549) => Min Interval: 14, Max Interval: 45
ResearchAssistantCandidate(ID552) => Min Interval: 17, Max Interval: 50
ResearchAssistantCandidate(ID553) => Min Interval: 10, Max Interval: 20
ResearchAssistantCandidate(ID557) => Min Interval: 14, Max Interval: 49
ResearchAssistantCandidate(ID559) => Min Interval: 19, Max Interval: 52
ResearchAssistantCandidate(ID562) => Min Interval: 7, Max Interval: 48
ResearchAssistantCandidate(ID566) => Min Interval: 6, Max Interval: 35
ResearchAssistantCandidate(ID567) => Min Interval: 12, Max Interval: 44
ResearchAssistantCandidate(ID569) => Min Interval: 8, Max Interval: 19
ResearchAssistantCandidate(ID570) => Min Interval: 16, Max Interval: 48
ResearchAssistantCandidate(ID574) => Min Interval: 36, Max Interval: 49
ResearchAssistantCandidate(ID575) => Min Interval: 14, Max Interval: 14
ResearchAssistantCandidate(ID578) => Min Interval: 12, Max Interval: 30
ResearchAssistantCandidate(ID579) => Min Interval: 11, Max Interval: 42
ResearchAssistantCandidate(ID580) => Min Interval: 6, Max Interval: 48
ResearchAssistantCandidate(ID583) => Min Interval: 29, Max Interval: 50
ResearchAssistantCandidate(ID584) => Min Interval: 18, Max Interval: 49
ResearchAssistantCandidate(ID587) => Min Interval: 5, Max Interval: 27
ResearchAssistantCandidate(ID589) => Min Interval: 31, Max Interval: 43
ResearchAssistantCandidate(ID590) => Min Interval: 3, Max Interval: 43
ResearchAssistantCandidate(ID593) => Min Interval: 7, Max Interval: 19
ResearchAssistantCandidate(ID596) => Min Interval: 48, Max Interval: 50
ResearchAssistantCandidate(ID597) => Min Interval: 7, Max Interval: 28
ResearchAssistantCandidate(ID599) => Min Interval: 20, Max Interval: 39
ResearchAssistantCandidate(ID600) => Min Interval: 5, Max Interval: 43
ResearchAssistantCandidate(ID607) => Min Interval: 17, Max Interval: 45
ResearchAssistantCandidate(ID610) => Min Interval: 10, Max Interval: 22
ResearchAssistantCandidate(ID611) => Min Interval: 6, Max Interval: 20
ResearchAssistantCandidate(ID612) => Min Interval: 5, Max Interval: 47
ResearchAssistantCandidate(ID614) => Min Interval: 15, Max Interval: 33
ResearchAssistantCandidate(ID615) => Min Interval: 16, Max Interval: 31
ResearchAssistantCandidate(ID616) => Min Interval: 5, Max Interval: 44
ResearchAssistantCandidate(ID617) => Min Interval: 10, Max Interval: 31
ResearchAssistantCandidate(ID619) => Min Interval: 9, Max Interval: 43
ResearchAssistantCandidate(ID620) => Min Interval: 9, Max Interval: 39
ResearchAssistantCandidate(ID626) => Min Interval: 17, Max Interval: 39
ResearchAssistantCandidate(ID628) => Min Interval: 29, Max Interval: 45
ResearchAssistantCandidate(ID629) => Min Interval: 13, Max Interval: 49
ResearchAssistantCandidate(ID633) => Min Interval: 25, Max Interval: 33
ResearchAssistantCandidate(ID634) => Min Interval: 16, Max Interval: 48
ResearchAssistantCandidate(ID635) => Min Interval: 25, Max Interval: 49
ResearchAssistantCandidate(ID643) => Min Interval: 8, Max Interval: 42
ResearchAssistantCandidate(ID645) => Min Interval: 17, Max Interval: 41
ResearchAssistantCandidate(ID648) => Min Interval: 9, Max Interval: 32
ResearchAssistantCandidate(ID649) => Min Interval: 11, Max Interval: 38
ResearchAssistantCandidate(ID652) => Min Interval: 10, Max Interval: 28
ResearchAssistantCandidate(ID654) => Min Interval: 39, Max Interval: 41
ResearchAssistantCandidate(ID655) => Min Interval: 23, Max Interval: 50
ResearchAssistantCandidate(ID658) => Min Interval: 5, Max Interval: 49
ResearchAssistantCandidate(ID659) => Min Interval: 13, Max Interval: 38
ResearchAssistantCandidate(ID661) => Min Interval: 21, Max Interval: 30
ResearchAssistantCandidate(ID664) => Min Interval: 33, Max Interval: 40
ResearchAssistantCandidate(ID665) => Min Interval: 15, Max Interval: 40
ResearchAssistantCandidate(ID666) => Min Interval: 20, Max Interval: 49
ResearchAssistantCandidate(ID671) => Min Interval: 12, Max Interval: 44
ResearchAssistantCandidate(ID676) => Min Interval: 7, Max Interval: 43
ResearchAssistantCandidate(ID679) => Min Interval: 21, Max Interval: 34
ResearchAssistantCandidate(ID684) => Min Interval: 17, Max Interval: 51
ResearchAssistantCandidate(ID686) => Min Interval: 11, Max Interval: 48
ResearchAssistantCandidate(ID697) => Min Interval: 6, Max Interval: 40
ResearchAssistantCandidate(ID703) => Min Interval: 7, Max Interval: 19
ResearchAssistantCandidate(ID704) => Min Interval: 23, Max Interval: 46
ResearchAssistantCandidate(ID705) => Min Interval: 11, Max Interval: 16
ResearchAssistantCandidate(ID711) => Min Interval: 0, Max Interval: 48
ResearchAssistantCandidate(ID717) => Min Interval: 12, Max Interval: 52
ResearchAssistantCandidate(ID725) => Min Interval: 20, Max Interval: 44
ResearchAssistantCandidate(ID727) => Min Interval: 19, Max Interval: 46
ResearchAssistantCandidate(ID729) => Min Interval: 3, Max Interval: 48
ResearchAssistantCandidate(ID734) => Min Interval: 4, Max Interval: 45
ResearchAssistantCandidate(ID740) => Min Interval: 8, Max Interval: 40
ResearchAssistantCandidate(ID742) => Min Interval: 22, Max Interval: 39
ResearchAssistantCandidate(ID745) => Min Interval: 25, Max Interval: 39
ResearchAssistantCandidate(ID749) => Min Interval: 20, Max Interval: 32
ResearchAssistantCandidate(ID751) => Min Interval: 30, Max Interval: 38
ResearchAssistantCandidate(ID753) => Min Interval: 16, Max Interval: 43
ResearchAssistantCandidate(ID754) => Min Interval: 8, Max Interval: 36
ResearchAssistantCandidate(ID762) => Min Interval: 30, Max Interval: 41
ResearchAssistantCandidate(ID764) => Min Interval: 23, Max Interval: 50
ResearchAssistantCandidate(ID765) => Min Interval: 6, Max Interval: 30
ResearchAssistantCandidate(ID767) => Min Interval: 17, Max Interval: 46
ResearchAssistantCandidate(ID775) => Min Interval: 4, Max Interval: 50
ResearchAssistantCandidate(ID778) => Min Interval: 23, Max Interval: 49
ResearchAssistantCandidate(ID779) => Min Interval: 19, Max Interval: 46
ResearchAssistantCandidate(ID780) => Min Interval: 31, Max Interval: 49
ResearchAssistantCandidate(ID783) => Min Interval: 31, Max Interval: 46
ResearchAssistantCandidate(ID786) => Min Interval: 7, Max Interval: 27
ResearchAssistantCandidate(ID788) => Min Interval: 23, Max Interval: 27
ResearchAssistantCandidate(ID796) => Min Interval: 4, Max Interval: 50
ResearchAssistantCandidate(ID798) => Min Interval: 10, Max Interval: 10
ResearchAssistantCandidate(ID809) => Min Interval: 18, Max Interval: 42
ResearchAssistantCandidate(ID814) => Min Interval: 1, Max Interval: 47
ResearchAssistantCandidate(ID816) => Min Interval: 13, Max Interval: 37
ResearchAssistantCandidate(ID821) => Min Interval: 9, Max Interval: 39
ResearchAssistantCandidate(ID822) => Min Interval: 10, Max Interval: 41
ResearchAssistantCandidate(ID823) => Min Interval: 7, Max Interval: 35
ResearchAssistantCandidate(ID825) => Min Interval: 20, Max Interval: 46
ResearchAssistantCandidate(ID828) => Min Interval: 10, Max Interval: 44
ResearchAssistantCandidate(ID831) => Min Interval: 37, Max Interval: 51
ResearchAssistantCandidate(ID840) => Min Interval: 3, Max Interval: 36
ResearchAssistantCandidate(ID847) => Min Interval: 4, Max Interval: 33
ResearchAssistantCandidate(ID853) => Min Interval: 27, Max Interval: 37
ResearchAssistantCandidate(ID854) => Min Interval: 22, Max Interval: 50
ResearchAssistantCandidate(ID856) => Min Interval: 10, Max Interval: 38
ResearchAssistantCandidate(ID860) => Min Interval: 21, Max Interval: 50
ResearchAssistantCandidate(ID864) => Min Interval: 5, Max Interval: 23
ResearchAssistantCandidate(ID865) => Min Interval: 35, Max Interval: 45
ResearchAssistantCandidate(ID870) => Min Interval: 5, Max Interval: 33
ResearchAssistantCandidate(ID876) => Min Interval: 7, Max Interval: 36
ResearchAssistantCandidate(ID877) => Min Interval: 5, Max Interval: 27
ResearchAssistantCandidate(ID886) => Min Interval: 7, Max Interval: 50
ResearchAssistantCandidate(ID888) => Min Interval: 17, Max Interval: 49
ResearchAssistantCandidate(ID890) => Min Interval: 15, Max Interval: 50
ResearchAssistantCandidate(ID898) => Min Interval: 37, Max Interval: 43
ResearchAssistantCandidate(ID901) => Min Interval: 6, Max Interval: 46
ResearchAssistantCandidate(ID908) => Min Interval: 5, Max Interval: 27
ResearchAssistantCandidate(ID910) => Min Interval: 23, Max Interval: 44
ResearchAssistantCandidate(ID916) => Min Interval: 0, Max Interval: 45
ResearchAssistantCandidate(ID917) => Min Interval: 9, Max Interval: 46
ResearchAssistantCandidate(ID918) => Min Interval: 9, Max Interval: 46
ResearchAssistantCandidate(ID921) => Min Interval: 0, Max Interval: 30
ResearchAssistantCandidate(ID923) => Min Interval: 24, Max Interval: 42
ResearchAssistantCandidate(ID928) => Min Interval: 16, Max Interval: 26
ResearchAssistantCandidate(ID932) => Min Interval: 13, Max Interval: 49
ResearchAssistantCandidate(ID934) => Min Interval: 34, Max Interval: 48
ResearchAssistantCandidate(ID938) => Min Interval: 19, Max Interval: 32
ResearchAssistantCandidate(ID939) => Min Interval: 8, Max Interval: 37
ResearchAssistantCandidate(ID941) => Min Interval: 2, Max Interval: 42
ResearchAssistantCandidate(ID946) => Min Interval: 5, Max Interval: 39
ResearchAssistantCandidate(ID947) => Min Interval: 20, Max Interval: 42
ResearchAssistantCandidate(ID949) => Min Interval: 8, Max Interval: 20
ResearchAssistantCandidate(ID953) => Min Interval: 7, Max Interval: 31
ResearchAssistantCandidate(ID955) => Min Interval: 15, Max Interval: 24
ResearchAssistantCandidate(ID956) => Min Interval: 22, Max Interval: 45
ResearchAssistantCandidate(ID961) => Min Interval: 12, Max Interval: 49
ResearchAssistantCandidate(ID962) => Min Interval: 5, Max Interval: 49
ResearchAssistantCandidate(ID963) => Min Interval: 24, Max Interval: 51
ResearchAssistantCandidate(ID968) => Min Interval: 21, Max Interval: 44
ResearchAssistantCandidate(ID969) => Min Interval: 36, Max Interval: 50
ResearchAssistantCandidate(ID973) => Min Interval: 11, Max Interval: 32
ResearchAssistantCandidate(ID974) => Min Interval: 18, Max Interval: 45
ResearchAssistantCandidate(ID986) => Min Interval: 20, Max Interval: 49
ResearchAssistantCandidate(ID989) => Min Interval: 17, Max Interval: 21
ResearchAssistantCandidate(ID993) => Min Interval: 5, Max Interval: 49
ResearchAssistantCandidate(ID996) => Min Interval: 12, Max Interval: 49
ResearchAssistantCandidate(ID1001) => Min Interval: 16, Max Interval: 47
ResearchAssistantCandidate(ID1009) => Min Interval: 6, Max Interval: 49
ResearchAssistantCandidate(ID1011) => Min Interval: 29, Max Interval: 36
ResearchAssistantCandidate(ID1014) => Min Interval: 17, Max Interval: 36
ResearchAssistantCandidate(ID1019) => Min Interval: 7, Max Interval: 41
ResearchAssistantCandidate(ID1023) => Min Interval: 35, Max Interval: 43
ResearchAssistantCandidate(ID1029) => Min Interval: 10, Max Interval: 49
ResearchAssistantCandidate(ID1035) => Min Interval: 21, Max Interval: 24
ResearchAssistantCandidate(ID1037) => Min Interval: 9, Max Interval: 30
ResearchAssistantCandidate(ID1038) => Min Interval: 6, Max Interval: 35
ResearchAssistantCandidate(ID1048) => Min Interval: 5, Max Interval: 36
ResearchAssistantCandidate(ID1051) => Min Interval: 19, Max Interval: 44
ResearchAssistantCandidate(ID1053) => Min Interval: 8, Max Interval: 48
ResearchAssistantCandidate(ID1056) => Min Interval: 15, Max Interval: 40
ResearchAssistantCandidate(ID1057) => Min Interval: 20, Max Interval: 24
ResearchAssistantCandidate(ID1067) => Min Interval: 7, Max Interval: 38
ResearchAssistantCandidate(ID1070) => Min Interval: 15, Max Interval: 38
ResearchAssistantCandidate(ID1080) => Min Interval: 20, Max Interval: 43
ResearchAssistantCandidate(ID1082) => Min Interval: 9, Max Interval: 37
ResearchAssistantCandidate(ID1084) => Min Interval: 2, Max Interval: 43
ResearchAssistantCandidate(ID1087) => Min Interval: 9, Max Interval: 41
ResearchAssistantCandidate(ID1088) => Min Interval: 5, Max Interval: 25
ResearchAssistantCandidate(ID1094) => Min Interval: 10, Max Interval: 44
ResearchAssistantCandidate(ID1097) => Min Interval: 30, Max Interval: 33
ResearchAssistantCandidate(ID1114) => Min Interval: 0, Max Interval: 50
ResearchAssistantCandidate(ID1116) => Min Interval: 7, Max Interval: 41
ResearchAssistantCandidate(ID1145) => Min Interval: 7, Max Interval: 33
ResearchAssistantCandidate(ID1153) => Min Interval: 13, Max Interval: 47
ResearchAssistantCandidate(ID1156) => Min Interval: 19, Max Interval: 49
ResearchAssistantCandidate(ID1158) => Min Interval: 41, Max Interval: 47
ResearchAssistantCandidate(ID1159) => Min Interval: 29, Max Interval: 48
ResearchAssistantCandidate(ID1161) => Min Interval: 16, Max Interval: 40
ResearchAssistantCandidate(ID1166) => Min Interval: 15, Max Interval: 38
ResearchAssistantCandidate(ID1168) => Min Interval: 8, Max Interval: 40
ResearchAssistantCandidate(ID1176) => Min Interval: 16, Max Interval: 43
ResearchAssistantCandidate(ID1180) => Min Interval: 16, Max Interval: 45
ResearchAssistantCandidate(ID1181) => Min Interval: 9, Max Interval: 48
ResearchAssistantCandidate(ID1186) => Min Interval: 34, Max Interval: 48
ResearchAssistantCandidate(ID1189) => Min Interval: 11, Max Interval: 28
ResearchAssistantCandidate(ID1199) => Min Interval: 8, Max Interval: 48
ResearchAssistantCandidate(ID1202) => Min Interval: 2, Max Interval: 45
