Stored fact information:
ResearchAssistant(ID0) => Min Interval: 32, Max Interval: 40
ResearchAssistant(ID165) => Min Interval: 7, Max Interval: 28
ResearchAssistant(ID168) => Min Interval: 30, Max Interval: 35
ResearchAssistant(ID173) => Min Interval: 13, Max Interval: 47
ResearchAssistant(ID174) => Min Interval: 25, Max Interval: 27
ResearchAssistant(ID177) => Min Interval: 3, Max Interval: 46
ResearchAssistant(ID182) => Min Interval: 13, Max Interval: 24
ResearchAssistant(ID187) => Min Interval: 10, Max Interval: 38
ResearchAssistant(ID190) => Min Interval: 19, Max Interval: 27
ResearchAssistant(ID193) => Min Interval: 31, Max Interval: 43
ResearchAssistant(ID194) => Min Interval: 19, Max Interval: 44
ResearchAssistant(ID196) => Min Interval: 11, Max Interval: 49
ResearchAssistant(ID198) => Min Interval: 6, Max Interval: 50
ResearchAssistant(ID203) => Min Interval: 2, Max Interval: 52
ResearchAssistant(ID207) => Min Interval: 16, Max Interval: 47
ResearchAssistant(ID209) => Min Interval: 17, Max Interval: 36
ResearchAssistant(ID211) => Min Interval: 21, Max Interval: 33
ResearchAssistant(ID218) => Min Interval: 36, Max Interval: 39
ResearchAssistant(ID219) => Min Interval: 8, Max Interval: 25
ResearchAssistant(ID222) => Min Interval: 37, Max Interval: 40
ResearchAssistant(ID224) => Min Interval: 31, Max Interval: 41
ResearchAssistant(ID228) => Min Interval: 12, Max Interval: 41
ResearchAssistant(ID229) => Min Interval: 9, Max Interval: 42
ResearchAssistant(ID232) => Min Interval: 25, Max Interval: 44
ResearchAssistant(ID233) => Min Interval: 36, Max Interval: 42
ResearchAssistant(ID237) => Min Interval: 3, Max Interval: 50
ResearchAssistant(ID242) => Min Interval: 16, Max Interval: 49
ResearchAssistant(ID245) => Min Interval: 6, Max Interval: 48
ResearchAssistant(ID247) => Min Interval: 43, Max Interval: 46
ResearchAssistant(ID249) => Min Interval: 5, Max Interval: 39
ResearchAssistant(ID251) => Min Interval: 14, Max Interval: 43
ResearchAssistant(ID253) => Min Interval: 22, Max Interval: 32
ResearchAssistant(ID254) => Min Interval: 29, Max Interval: 31
ResearchAssistant(ID259) => Min Interval: 23, Max Interval: 48
ResearchAssistant(ID261) => Min Interval: 5, Max Interval: 31
ResearchAssistant(ID267) => Min Interval: 14, Max Interval: 48
ResearchAssistant(ID271) => Min Interval: 16, Max Interval: 41
ResearchAssistant(ID275) => Min Interval: 4, Max Interval: 46
ResearchAssistant(ID276) => Min Interval: 37, Max Interval: 48
ResearchAssistant(ID277) => Min Interval: 31, Max Interval: 50
ResearchAssistant(ID280) => Min Interval: 27, Max Interval: 35
ResearchAssistant(ID282) => Min Interval: 20, Max Interval: 37
ResearchAssistant(ID288) => Min Interval: 24, Max Interval: 44
ResearchAssistant(ID289) => Min Interval: 9, Max Interval: 29
ResearchAssistant(ID292) => Min Interval: 14, Max Interval: 50
ResearchAssistant(ID294) => Min Interval: 47, Max Interval: 50
ResearchAssistant(ID295) => Min Interval: 30, Max Interval: 48
ResearchAssistant(ID296) => Min Interval: 20, Max Interval: 32
ResearchAssistant(ID298) => Min Interval: 17, Max Interval: 48
ResearchAssistant(ID299) => Min Interval: 27, Max Interval: 31
ResearchAssistant(ID301) => Min Interval: 15, Max Interval: 44
ResearchAssistant(ID303) => Min Interval: 17, Max Interval: 50
ResearchAssistant(ID306) => Min Interval: 28, Max Interval: 48
ResearchAssistant(ID312) => Min Interval: 13, Max Interval: 29
ResearchAssistant(ID315) => Min Interval: 10, Max Interval: 32
ResearchAssistant(ID321) => Min Interval: 23, Max Interval: 42
ResearchAssistant(ID333) => Min Interval: 30, Max Interval: 46
ResearchAssistant(ID334) => Min Interval: 16, Max Interval: 44
ResearchAssistant(ID341) => Min Interval: 6, Max Interval: 47
ResearchAssistant(ID346) => Min Interval: 10, Max Interval: 47
ResearchAssistant(ID348) => Min Interval: 4, Max Interval: 45
ResearchAssistant(ID349) => Min Interval: 5, Max Interval: 34
ResearchAssistant(ID350) => Min Interval: 10, Max Interval: 34
ResearchAssistant(ID352) => Min Interval: 11, Max Interval: 34
ResearchAssistant(ID355) => Min Interval: 49, Max Interval: 50
ResearchAssistant(ID359) => Min Interval: 22, Max Interval: 45
ResearchAssistant(ID364) => Min Interval: 23, Max Interval: 28
ResearchAssistant(ID367) => Min Interval: 16, Max Interval: 19
ResearchAssistant(ID369) => Min Interval: 6, Max Interval: 38
ResearchAssistant(ID373) => Min Interval: 34, Max Interval: 44
ResearchAssistant(ID375) => Min Interval: 18, Max Interval: 49
ResearchAssistant(ID377) => Min Interval: 14, Max Interval: 47
ResearchAssistant(ID382) => Min Interval: 23, Max Interval: 46
ResearchAssistant(ID387) => Min Interval: 6, Max Interval: 35
ResearchAssistant(ID389) => Min Interval: 27, Max Interval: 34
ResearchAssistant(ID390) => Min Interval: 5, Max Interval: 44
ResearchAssistant(ID393) => Min Interval: 1, Max Interval: 26
ResearchAssistant(ID395) => Min Interval: 29, Max Interval: 50
ResearchAssistant(ID396) => Min Interval: 24, Max Interval: 48
ResearchAssistant(ID398) => Min Interval: 11, Max Interval: 50
ResearchAssistant(ID401) => Min Interval: 18, Max Interval: 49
ResearchAssistant(ID402) => Min Interval: 18, Max Interval: 52
ResearchAssistant(ID404) => Min Interval: 28, Max Interval: 38
ResearchAssistant(ID407) => Min Interval: 27, Max Interval: 50
ResearchAssistant(ID410) => Min Interval: 2, Max Interval: 48
ResearchAssistant(ID411) => Min Interval: 3, Max Interval: 49
ResearchAssistant(ID414) => Min Interval: 25, Max Interval: 43
ResearchAssistant(ID418) => Min Interval: 14, Max Interval: 42
ResearchAssistant(ID419) => Min Interval: 11, Max Interval: 37
ResearchAssistant(ID422) => Min Interval: 19, Max Interval: 51
ResearchAssistant(ID428) => Min Interval: 10, Max Interval: 52
ResearchAssistant(ID434) => Min Interval: 4, Max Interval: 44
ResearchAssistant(ID436) => Min Interval: 12, Max Interval: 46
ResearchAssistant(ID437) => Min Interval: 4, Max Interval: 46
ResearchAssistant(ID439) => Min Interval: 17, Max Interval: 30
ResearchAssistant(ID441) => Min Interval: 16, Max Interval: 36
ResearchAssistant(ID446) => Min Interval: 16, Max Interval: 42
ResearchAssistant(ID447) => Min Interval: 16, Max Interval: 50
ResearchAssistant(ID448) => Min Interval: 15, Max Interval: 18
ResearchAssistant(ID450) => Min Interval: 16, Max Interval: 47
ResearchAssistant(ID455) => Min Interval: 19, Max Interval: 37
ResearchAssistant(ID456) => Min Interval: 12, Max Interval: 29
ResearchAssistant(ID458) => Min Interval: 5, Max Interval: 43
ResearchAssistant(ID459) => Min Interval: 40, Max Interval: 48
ResearchAssistant(ID461) => Min Interval: 18, Max Interval: 30
ResearchAssistant(ID462) => Min Interval: 25, Max Interval: 45
ResearchAssistant(ID466) => Min Interval: 5, Max Interval: 46
ResearchAssistant(ID468) => Min Interval: 36, Max Interval: 46
ResearchAssistant(ID469) => Min Interval: 23, Max Interval: 34
ResearchAssistant(ID470) => Min Interval: 34, Max Interval: 48
ResearchAssistant(ID471) => Min Interval: 13, Max Interval: 13
ResearchAssistant(ID473) => Min Interval: 1, Max Interval: 49
ResearchAssistant(ID478) => Min Interval: 8, Max Interval: 43
ResearchAssistant(ID479) => Min Interval: 28, Max Interval: 49
ResearchAssistant(ID490) => Min Interval: 12, Max Interval: 50
ResearchAssistant(ID491) => Min Interval: 11, Max Interval: 36
ResearchAssistant(ID502) => Min Interval: 10, Max Interval: 29
ResearchAssistant(ID504) => Min Interval: 12, Max Interval: 48
ResearchAssistant(ID509) => Min Interval: 4, Max Interval: 48
ResearchAssistant(ID511) => Min Interval: 16, Max Interval: 50
ResearchAssistant(ID512) => Min Interval: 10, Max Interval: 52
ResearchAssistant(ID513) => Min Interval: 46, Max Interval: 50
ResearchAssistant(ID515) => Min Interval: 20, Max Interval: 49
ResearchAssistant(ID516) => Min Interval: 14, Max Interval: 44
ResearchAssistant(ID519) => Min Interval: 13, Max Interval: 31
ResearchAssistant(ID520) => Min Interval: 6, Max Interval: 45
ResearchAssistant(ID521) => Min Interval: 22, Max Interval: 42
ResearchAssistant(ID523) => Min Interval: 17, Max Interval: 49
ResearchAssistant(ID524) => Min Interval: 19, Max Interval: 44
ResearchAssistant(ID527) => Min Interval: 15, Max Interval: 41
ResearchAssistant(ID531) => Min Interval: 27, Max Interval: 48
ResearchAssistant(ID534) => Min Interval: 32, Max Interval: 35
ResearchAssistant(ID537) => Min Interval: 16, Max Interval: 35
ResearchAssistant(ID539) => Min Interval: 7, Max Interval: 37
ResearchAssistant(ID541) => Min Interval: 15, Max Interval: 44
ResearchAssistant(ID544) => Min Interval: 14, Max Interval: 30
ResearchAssistant(ID549) => Min Interval: 40, Max Interval: 45
ResearchAssistant(ID552) => Min Interval: 18, Max Interval: 50
ResearchAssistant(ID553) => Min Interval: 15, Max Interval: 20
ResearchAssistant(ID557) => Min Interval: 33, Max Interval: 49
ResearchAssistant(ID559) => Min Interval: 4, Max Interval: 52
ResearchAssistant(ID562) => Min Interval: 12, Max Interval: 48
ResearchAssistant(ID566) => Min Interval: 11, Max Interval: 28
ResearchAssistant(ID567) => Min Interval: 8, Max Interval: 44
ResearchAssistant(ID569) => Min Interval: 9, Max Interval: 37
ResearchAssistant(ID570) => Min Interval: 21, Max Interval: 45
ResearchAssistant(ID574) => Min Interval: 1, Max Interval: 49
ResearchAssistant(ID578) => Min Interval: 17, Max Interval: 30
ResearchAssistant(ID579) => Min Interval: 16, Max Interval: 42
ResearchAssistant(ID580) => Min Interval: 11, Max Interval: 48
ResearchAssistant(ID583) => Min Interval: 34, Max Interval: 50
ResearchAssistant(ID584) => Min Interval: 23, Max Interval: 49
ResearchAssistant(ID587) => Min Interval: 10, Max Interval: 27
ResearchAssistant(ID589) => Min Interval: 36, Max Interval: 43
ResearchAssistant(ID590) => Min Interval: 4, Max Interval: 43
ResearchAssistant(ID593) => Min Interval: 12, Max Interval: 19
ResearchAssistant(ID597) => Min Interval: 12, Max Interval: 28
ResearchAssistant(ID599) => Min Interval: 25, Max Interval: 33
ResearchAssistant(ID600) => Min Interval: 10, Max Interval: 43
ResearchAssistant(ID607) => Min Interval: 22, Max Interval: 45
ResearchAssistant(ID610) => Min Interval: 15, Max Interval: 22
ResearchAssistant(ID611) => Min Interval: 11, Max Interval: 20
ResearchAssistant(ID612) => Min Interval: 28, Max Interval: 47
ResearchAssistant(ID614) => Min Interval: 20, Max Interval: 33
ResearchAssistant(ID615) => Min Interval: 21, Max Interval: 31
ResearchAssistant(ID616) => Min Interval: 10, Max Interval: 17
ResearchAssistant(ID617) => Min Interval: 15, Max Interval: 31
ResearchAssistant(ID619) => Min Interval: 0, Max Interval: 48
ResearchAssistant(ID620) => Min Interval: 14, Max Interval: 39
ResearchAssistant(ID626) => Min Interval: 18, Max Interval: 39
ResearchAssistant(ID628) => Min Interval: 34, Max Interval: 45
ResearchAssistant(ID629) => Min Interval: 18, Max Interval: 49
ResearchAssistant(ID633) => Min Interval: 30, Max Interval: 33
ResearchAssistant(ID634) => Min Interval: 30, Max Interval: 48
ResearchAssistant(ID635) => Min Interval: 30, Max Interval: 49
ResearchAssistant(ID643) => Min Interval: 13, Max Interval: 42
ResearchAssistant(ID645) => Min Interval: 22, Max Interval: 41
ResearchAssistant(ID648) => Min Interval: 14, Max Interval: 32
ResearchAssistant(ID649) => Min Interval: 16, Max Interval: 38
ResearchAssistant(ID652) => Min Interval: 11, Max Interval: 28
ResearchAssistant(ID655) => Min Interval: 24, Max Interval: 50
ResearchAssistant(ID658) => Min Interval: 10, Max Interval: 49
ResearchAssistant(ID659) => Min Interval: 14, Max Interval: 38
ResearchAssistant(ID661) => Min Interval: 26, Max Interval: 30
ResearchAssistant(ID664) => Min Interval: 38, Max Interval: 40
ResearchAssistant(ID665) => Min Interval: 20, Max Interval: 40
ResearchAssistant(ID666) => Min Interval: 21, Max Interval: 49
ResearchAssistant(ID671) => Min Interval: 17, Max Interval: 44
ResearchAssistant(ID676) => Min Interval: 12, Max Interval: 43
ResearchAssistant(ID679) => Min Interval: 26, Max Interval: 34
ResearchAssistant(ID684) => Min Interval: 4, Max Interval: 51
ResearchAssistant(ID686) => Min Interval: 12, Max Interval: 48
ResearchAssistant(ID697) => Min Interval: 11, Max Interval: 40
ResearchAssistant(ID703) => Min Interval: 12, Max Interval: 19
ResearchAssistant(ID704) => Min Interval: 28, Max Interval: 46
ResearchAssistant(ID705) => Min Interval: 16, Max Interval: 16
ResearchAssistant(ID711) => Min Interval: 3, Max Interval: 48
ResearchAssistant(ID717) => Min Interval: 13, Max Interval: 24
ResearchAssistant(ID725) => Min Interval: 25, Max Interval: 27
ResearchAssistant(ID727) => Min Interval: 24, Max Interval: 46
ResearchAssistant(ID729) => Min Interval: 8, Max Interval: 48
ResearchAssistant(ID734) => Min Interval: 5, Max Interval: 45
ResearchAssistant(ID740) => Min Interval: 9, Max Interval: 40
ResearchAssistant(ID742) => Min Interval: 27, Max Interval: 39
ResearchAssistant(ID745) => Min Interval: 30, Max Interval: 39
ResearchAssistant(ID749) => Min Interval: 25, Max Interval: 32
ResearchAssistant(ID751) => Min Interval: 35, Max Interval: 38
ResearchAssistant(ID753) => Min Interval: 21, Max Interval: 43
ResearchAssistant(ID754) => Min Interval: 9, Max Interval: 36
ResearchAssistant(ID762) => Min Interval: 35, Max Interval: 41
ResearchAssistant(ID764) => Min Interval: 24, Max Interval: 50
ResearchAssistant(ID765) => Min Interval: 11, Max Interval: 30
ResearchAssistant(ID767) => Min Interval: 22, Max Interval: 46
ResearchAssistant(ID775) => Min Interval: 1, Max Interval: 50
ResearchAssistant(ID778) => Min Interval: 28, Max Interval: 49
ResearchAssistant(ID779) => Min Interval: 24, Max Interval: 46
ResearchAssistant(ID780) => Min Interval: 36, Max Interval: 49
ResearchAssistant(ID786) => Min Interval: 12, Max Interval: 27
ResearchAssistant(ID796) => Min Interval: 14, Max Interval: 50
ResearchAssistant(ID809) => Min Interval: 23, Max Interval: 42
ResearchAssistant(ID814) => Min Interval: 6, Max Interval: 47
ResearchAssistant(ID816) => Min Interval: 18, Max Interval: 37
ResearchAssistant(ID821) => Min Interval: 14, Max Interval: 39
ResearchAssistant(ID822) => Min Interval: 15, Max Interval: 41
ResearchAssistant(ID823) => Min Interval: 12, Max Interval: 35
ResearchAssistant(ID825) => Min Interval: 38, Max Interval: 46
ResearchAssistant(ID828) => Min Interval: 15, Max Interval: 44
ResearchAssistant(ID831) => Min Interval: 42, Max Interval: 51
ResearchAssistant(ID840) => Min Interval: 4, Max Interval: 36
ResearchAssistant(ID847) => Min Interval: 5, Max Interval: 41
ResearchAssistant(ID853) => Min Interval: 32, Max Interval: 37
ResearchAssistant(ID854) => Min Interval: 27, Max Interval: 50
ResearchAssistant(ID856) => Min Interval: 15, Max Interval: 38
ResearchAssistant(ID860) => Min Interval: 26, Max Interval: 50
ResearchAssistant(ID864) => Min Interval: 19, Max Interval: 23
ResearchAssistant(ID865) => Min Interval: 40, Max Interval: 45
ResearchAssistant(ID870) => Min Interval: 10, Max Interval: 33
ResearchAssistant(ID876) => Min Interval: 12, Max Interval: 36
ResearchAssistant(ID877) => Min Interval: 10, Max Interval: 27
ResearchAssistant(ID886) => Min Interval: 12, Max Interval: 50
ResearchAssistant(ID888) => Min Interval: 22, Max Interval: 49
ResearchAssistant(ID890) => Min Interval: 20, Max Interval: 50
ResearchAssistant(ID898) => Min Interval: 42, Max Interval: 43
ResearchAssistant(ID901) => Min Interval: 11, Max Interval: 46
ResearchAssistant(ID908) => Min Interval: 10, Max Interval: 27
ResearchAssistant(ID910) => Min Interval: 28, Max Interval: 44
ResearchAssistant(ID916) => Min Interval: 5, Max Interval: 45
ResearchAssistant(ID917) => Min Interval: 14, Max Interval: 46
ResearchAssistant(ID918) => Min Interval: 14, Max Interval: 46
ResearchAssistant(ID921) => Min Interval: 1, Max Interval: 30
ResearchAssistant(ID923) => Min Interval: 29, Max Interval: 42
ResearchAssistant(ID928) => Min Interval: 21, Max Interval: 26
ResearchAssistant(ID932) => Min Interval: 18, Max Interval: 49
ResearchAssistant(ID934) => Min Interval: 35, Max Interval: 48
ResearchAssistant(ID938) => Min Interval: 24, Max Interval: 32
ResearchAssistant(ID939) => Min Interval: 13, Max Interval: 37
ResearchAssistant(ID941) => Min Interval: 4, Max Interval: 42
ResearchAssistant(ID946) => Min Interval: 10, Max Interval: 39
ResearchAssistant(ID947) => Min Interval: 25, Max Interval: 42
ResearchAssistant(ID949) => Min Interval: 13, Max Interval: 20
ResearchAssistant(ID953) => Min Interval: 12, Max Interval: 31
ResearchAssistant(ID955) => Min Interval: 20, Max Interval: 24
ResearchAssistant(ID956) => Min Interval: 27, Max Interval: 45
ResearchAssistant(ID961) => Min Interval: 13, Max Interval: 49
ResearchAssistant(ID962) => Min Interval: 10, Max Interval: 49
ResearchAssistant(ID963) => Min Interval: 3, Max Interval: 51
ResearchAssistant(ID968) => Min Interval: 26, Max Interval: 44
ResearchAssistant(ID969) => Min Interval: 41, Max Interval: 50
ResearchAssistant(ID973) => Min Interval: 16, Max Interval: 32
ResearchAssistant(ID974) => Min Interval: 23, Max Interval: 45
ResearchAssistant(ID986) => Min Interval: 25, Max Interval: 49
ResearchAssistant(ID993) => Min Interval: 7, Max Interval: 49
ResearchAssistant(ID996) => Min Interval: 17, Max Interval: 49
ResearchAssistant(ID1001) => Min Interval: 21, Max Interval: 47
ResearchAssistant(ID1009) => Min Interval: 11, Max Interval: 49
ResearchAssistant(ID1011) => Min Interval: 34, Max Interval: 36
ResearchAssistant(ID1014) => Min Interval: 22, Max Interval: 36
ResearchAssistant(ID1019) => Min Interval: 12, Max Interval: 41
ResearchAssistant(ID1023) => Min Interval: 40, Max Interval: 43
ResearchAssistant(ID1029) => Min Interval: 48, Max Interval: 49
ResearchAssistant(ID1037) => Min Interval: 14, Max Interval: 30
ResearchAssistant(ID1038) => Min Interval: 11, Max Interval: 35
ResearchAssistant(ID1048) => Min Interval: 10, Max Interval: 36
ResearchAssistant(ID1051) => Min Interval: 24, Max Interval: 44
ResearchAssistant(ID1053) => Min Interval: 13, Max Interval: 48
ResearchAssistant(ID1056) => Min Interval: 20, Max Interval: 40
ResearchAssistant(ID1067) => Min Interval: 12, Max Interval: 38
ResearchAssistant(ID1070) => Min Interval: 20, Max Interval: 38
ResearchAssistant(ID1080) => Min Interval: 43, Max Interval: 43
ResearchAssistant(ID1082) => Min Interval: 14, Max Interval: 37
ResearchAssistant(ID1084) => Min Interval: 7, Max Interval: 48
ResearchAssistant(ID1087) => Min Interval: 14, Max Interval: 41
ResearchAssistant(ID1088) => Min Interval: 10, Max Interval: 25
ResearchAssistant(ID1094) => Min Interval: 15, Max Interval: 44
ResearchAssistant(ID1114) => Min Interval: 2, Max Interval: 50
ResearchAssistant(ID1116) => Min Interval: 12, Max Interval: 41
ResearchAssistant(ID1145) => Min Interval: 12, Max Interval: 33
ResearchAssistant(ID1153) => Min Interval: 18, Max Interval: 47
ResearchAssistant(ID1156) => Min Interval: 24, Max Interval: 49
ResearchAssistant(ID1158) => Min Interval: 46, Max Interval: 47
ResearchAssistant(ID1159) => Min Interval: 34, Max Interval: 48
ResearchAssistant(ID1161) => Min Interval: 21, Max Interval: 40
ResearchAssistant(ID1166) => Min Interval: 31, Max Interval: 38
ResearchAssistant(ID1168) => Min Interval: 13, Max Interval: 40
ResearchAssistant(ID1176) => Min Interval: 21, Max Interval: 43
ResearchAssistant(ID1180) => Min Interval: 21, Max Interval: 45
ResearchAssistant(ID1181) => Min Interval: 14, Max Interval: 48
ResearchAssistant(ID1186) => Min Interval: 39, Max Interval: 48
ResearchAssistant(ID1189) => Min Interval: 16, Max Interval: 28
ResearchAssistant(ID1199) => Min Interval: 13, Max Interval: 48
ResearchAssistant(ID1202) => Min Interval: 3, Max Interval: 45
ResearchAssistant(ID1213) => Min Interval: 20, Max Interval: 49
ResearchAssistant(ID1245) => Min Interval: 31, Max Interval: 40
ResearchAssistant(ID1254) => Min Interval: 18, Max Interval: 43
ResearchAssistant(ID1274) => Min Interval: 29, Max Interval: 46
ResearchAssistant(ID1289) => Min Interval: 26, Max Interval: 35
ResearchAssistant(ID1298) => Min Interval: 17, Max Interval: 46
ResearchAssistant(ID1302) => Min Interval: 47, Max Interval: 47
ResearchAssistant(ID1304) => Min Interval: 21, Max Interval: 50
ResearchAssistant(ID1306) => Min Interval: 24, Max Interval: 46
ResearchAssistant(ID1335) => Min Interval: 12, Max Interval: 37
ResearchAssistant(ID1340) => Min Interval: 19, Max Interval: 44
ResearchAssistant(ID1346) => Min Interval: 28, Max Interval: 36
ResearchAssistant(ID1384) => Min Interval: 14, Max Interval: 43
ResearchAssistant(ID1399) => Min Interval: 11, Max Interval: 11
ResearchAssistant(ID1402) => Min Interval: 25, Max Interval: 48
ResearchAssistant(ID1404) => Min Interval: 19, Max Interval: 40
ResearchAssistant(ID1408) => Min Interval: 14, Max Interval: 17
ResearchAssistant(ID1410) => Min Interval: 14, Max Interval: 34
ResearchAssistant(ID1412) => Min Interval: 17, Max Interval: 45
ResearchAssistant(ID1442) => Min Interval: 17, Max Interval: 49
ResearchAssistant(ID1447) => Min Interval: 14, Max Interval: 47
ResearchAssistant(ID1512) => Min Interval: 27, Max Interval: 39
ResearchAssistant(ID1514) => Min Interval: 22, Max Interval: 30
ResearchAssistant(ID1580) => Min Interval: 25, Max Interval: 29
ResearchAssistant(ID1665) => Min Interval: 15, Max Interval: 49
ResearchAssistant(ID1857) => Min Interval: 22, Max Interval: 37
ResearchAssistant(ID1860) => Min Interval: 0, Max Interval: 46
ResearchAssistant(ID1861) => Min Interval: 5, Max Interval: 34
ResearchAssistant(ID1862) => Min Interval: 21, Max Interval: 43
ResearchAssistant(ID1865) => Min Interval: 5, Max Interval: 49
ResearchAssistant(ID1870) => Min Interval: 10, Max Interval: 48
ResearchAssistant(ID1871) => Min Interval: 11, Max Interval: 25
ResearchAssistant(ID1873) => Min Interval: 9, Max Interval: 16
ResearchAssistant(ID1874) => Min Interval: 44, Max Interval: 50
ResearchAssistant(ID1876) => Min Interval: 21, Max Interval: 36
ResearchAssistant(ID1878) => Min Interval: 41, Max Interval: 49
ResearchAssistant(ID1881) => Min Interval: 15, Max Interval: 36
ResearchAssistant(ID1883) => Min Interval: 14, Max Interval: 48
ResearchAssistant(ID1892) => Min Interval: 17, Max Interval: 28
ResearchAssistant(ID1894) => Min Interval: 6, Max Interval: 37
ResearchAssistant(ID1896) => Min Interval: 33, Max Interval: 49
ResearchAssistant(ID1897) => Min Interval: 31, Max Interval: 38
ResearchAssistant(ID1900) => Min Interval: 20, Max Interval: 38
ResearchAssistant(ID1904) => Min Interval: 27, Max Interval: 42
ResearchAssistant(ID1908) => Min Interval: 11, Max Interval: 36
ResearchAssistant(ID1909) => Min Interval: 10, Max Interval: 49
ResearchAssistant(ID1911) => Min Interval: 18, Max Interval: 46
ResearchAssistant(ID1914) => Min Interval: 46, Max Interval: 47
ResearchAssistant(ID1916) => Min Interval: 7, Max Interval: 40
ResearchAssistant(ID1918) => Min Interval: 5, Max Interval: 46
ResearchAssistant(ID1920) => Min Interval: 13, Max Interval: 40
ResearchAssistant(ID1922) => Min Interval: 3, Max Interval: 50
ResearchAssistant(ID1923) => Min Interval: 18, Max Interval: 41
ResearchAssistant(ID1925) => Min Interval: 16, Max Interval: 47
ResearchAssistant(ID1929) => Min Interval: 10, Max Interval: 49
ResearchAssistant(ID1931) => Min Interval: 10, Max Interval: 42
ResearchAssistant(ID1936) => Min Interval: 16, Max Interval: 29
ResearchAssistant(ID1937) => Min Interval: 46, Max Interval: 46
ResearchAssistant(ID1941) => Min Interval: 27, Max Interval: 45
ResearchAssistant(ID1942) => Min Interval: 18, Max Interval: 47
ResearchAssistant(ID1943) => Min Interval: 21, Max Interval: 50
ResearchAssistant(ID1944) => Min Interval: 14, Max Interval: 46
ResearchAssistant(ID1946) => Min Interval: 10, Max Interval: 47
ResearchAssistant(ID1947) => Min Interval: 8, Max Interval: 44
ResearchAssistant(ID1953) => Min Interval: 13, Max Interval: 44
ResearchAssistant(ID1954) => Min Interval: 8, Max Interval: 51
ResearchAssistant(ID1955) => Min Interval: 16, Max Interval: 40
