Stored fact information:
Employee(ID0) => Min Interval: 30, Max Interval: 41
Employee(ID229) => Min Interval: 10, Max Interval: 43
Employee(ID232) => Min Interval: 25, Max Interval: 49
Employee(ID233) => Min Interval: 34, Max Interval: 43
Employee(ID235) => Min Interval: 1, Max Interval: 99
Employee(ID237) => Min Interval: 2, Max Interval: 55
Employee(ID242) => Min Interval: 14, Max Interval: 50
Employee(ID245) => Min Interval: 4, Max Interval: 53
Employee(ID247) => Min Interval: 41, Max Interval: 41
Employee(ID249) => Min Interval: 3, Max Interval: 44
Employee(ID251) => Min Interval: 13, Max Interval: 48
Employee(ID253) => Min Interval: 20, Max Interval: 33
Employee(ID259) => Min Interval: 21, Max Interval: 49
Employee(ID261) => Min Interval: 3, Max Interval: 32
Employee(ID267) => Min Interval: 12, Max Interval: 49
Employee(ID270) => Min Interval: 0, Max Interval: 99
Employee(ID271) => Min Interval: 14, Max Interval: 42
Employee(ID275) => Min Interval: 2, Max Interval: 47
Employee(ID276) => Min Interval: 35, Max Interval: 49
Employee(ID277) => Min Interval: 29, Max Interval: 51
Employee(ID280) => Min Interval: 25, Max Interval: 36
Employee(ID282) => Min Interval: 18, Max Interval: 38
Employee(ID288) => Min Interval: 22, Max Interval: 45
Employee(ID289) => Min Interval: 7, Max Interval: 30
Employee(ID291) => Min Interval: 0, Max Interval: 99
Employee(ID292) => Min Interval: 12, Max Interval: 51
Employee(ID294) => Min Interval: 45, Max Interval: 45
Employee(ID295) => Min Interval: 28, Max Interval: 49
Employee(ID296) => Min Interval: 18, Max Interval: 33
Employee(ID298) => Min Interval: 15, Max Interval: 49
Employee(ID299) => Min Interval: 25, Max Interval: 26
Employee(ID301) => Min Interval: 13, Max Interval: 49
Employee(ID303) => Min Interval: 15, Max Interval: 51
Employee(ID306) => Min Interval: 26, Max Interval: 49
Employee(ID312) => Min Interval: 11, Max Interval: 30
Employee(ID315) => Min Interval: 8, Max Interval: 37
Employee(ID320) => Min Interval: 0, Max Interval: 99
Employee(ID321) => Min Interval: 21, Max Interval: 43
Employee(ID331) => Min Interval: 0, Max Interval: 99
Employee(ID333) => Min Interval: 28, Max Interval: 47
Employee(ID334) => Min Interval: 14, Max Interval: 49
Employee(ID341) => Min Interval: 6, Max Interval: 48
Employee(ID346) => Min Interval: 8, Max Interval: 48
Employee(ID348) => Min Interval: 4, Max Interval: 50
Employee(ID349) => Min Interval: 3, Max Interval: 39
Employee(ID350) => Min Interval: 8, Max Interval: 35
Employee(ID352) => Min Interval: 9, Max Interval: 35
Employee(ID359) => Min Interval: 20, Max Interval: 46
Employee(ID364) => Min Interval: 21, Max Interval: 29
Employee(ID367) => Min Interval: 14, Max Interval: 14
Employee(ID369) => Min Interval: 6, Max Interval: 43
Employee(ID371) => Min Interval: 1, Max Interval: 99
Employee(ID373) => Min Interval: 32, Max Interval: 45
Employee(ID375) => Min Interval: 16, Max Interval: 50
Employee(ID377) => Min Interval: 12, Max Interval: 48
Employee(ID380) => Min Interval: 0, Max Interval: 99
Employee(ID382) => Min Interval: 24, Max Interval: 43
Employee(ID387) => Min Interval: 4, Max Interval: 40
Employee(ID389) => Min Interval: 25, Max Interval: 35
Employee(ID390) => Min Interval: 5, Max Interval: 49
Employee(ID393) => Min Interval: 0, Max Interval: 31
Employee(ID395) => Min Interval: 27, Max Interval: 51
Employee(ID396) => Min Interval: 22, Max Interval: 49
Employee(ID398) => Min Interval: 9, Max Interval: 51
Employee(ID401) => Min Interval: 16, Max Interval: 50
Employee(ID402) => Min Interval: 16, Max Interval: 53
Employee(ID404) => Min Interval: 26, Max Interval: 43
Employee(ID407) => Min Interval: 25, Max Interval: 45
Employee(ID410) => Min Interval: 1, Max Interval: 53
Employee(ID411) => Min Interval: 3, Max Interval: 50
Employee(ID414) => Min Interval: 23, Max Interval: 44
Employee(ID418) => Min Interval: 12, Max Interval: 43
Employee(ID419) => Min Interval: 9, Max Interval: 42
Employee(ID422) => Min Interval: 17, Max Interval: 52
Employee(ID428) => Min Interval: 8, Max Interval: 53
Employee(ID434) => Min Interval: 4, Max Interval: 48
Employee(ID436) => Min Interval: 10, Max Interval: 47
Employee(ID437) => Min Interval: 4, Max Interval: 51
Employee(ID439) => Min Interval: 15, Max Interval: 31
Employee(ID441) => Min Interval: 14, Max Interval: 37
Employee(ID446) => Min Interval: 14, Max Interval: 43
Employee(ID447) => Min Interval: 14, Max Interval: 51
Employee(ID448) => Min Interval: 13, Max Interval: 13
Employee(ID450) => Min Interval: 14, Max Interval: 35
Employee(ID455) => Min Interval: 17, Max Interval: 42
Employee(ID456) => Min Interval: 10, Max Interval: 30
Employee(ID458) => Min Interval: 4, Max Interval: 48
Employee(ID459) => Min Interval: 38, Max Interval: 49
Employee(ID461) => Min Interval: 16, Max Interval: 31
Employee(ID462) => Min Interval: 23, Max Interval: 46
Employee(ID466) => Min Interval: 3, Max Interval: 50
Employee(ID468) => Min Interval: 34, Max Interval: 47
Employee(ID469) => Min Interval: 21, Max Interval: 35
Employee(ID470) => Min Interval: 32, Max Interval: 49
Employee(ID473) => Min Interval: 1, Max Interval: 54
Employee(ID478) => Min Interval: 6, Max Interval: 48
Employee(ID479) => Min Interval: 26, Max Interval: 50
Employee(ID482) => Min Interval: 1, Max Interval: 99
Employee(ID490) => Min Interval: 10, Max Interval: 51
Employee(ID491) => Min Interval: 9, Max Interval: 37
Employee(ID502) => Min Interval: 8, Max Interval: 30
Employee(ID504) => Min Interval: 10, Max Interval: 49
Employee(ID505) => Min Interval: 2, Max Interval: 99
Employee(ID509) => Min Interval: 4, Max Interval: 50
Employee(ID511) => Min Interval: 14, Max Interval: 51
Employee(ID512) => Min Interval: 10, Max Interval: 53
Employee(ID513) => Min Interval: 44, Max Interval: 45
Employee(ID515) => Min Interval: 18, Max Interval: 50
Employee(ID516) => Min Interval: 12, Max Interval: 45
Employee(ID518) => Min Interval: 0, Max Interval: 99
Employee(ID519) => Min Interval: 11, Max Interval: 32
Employee(ID520) => Min Interval: 5, Max Interval: 46
Employee(ID521) => Min Interval: 20, Max Interval: 43
Employee(ID523) => Min Interval: 15, Max Interval: 50
Employee(ID524) => Min Interval: 17, Max Interval: 45
Employee(ID527) => Min Interval: 13, Max Interval: 46
Employee(ID531) => Min Interval: 25, Max Interval: 49
Employee(ID534) => Min Interval: 30, Max Interval: 30
Employee(ID537) => Min Interval: 14, Max Interval: 36
Employee(ID539) => Min Interval: 6, Max Interval: 42
Employee(ID541) => Min Interval: 13, Max Interval: 45
Employee(ID544) => Min Interval: 12, Max Interval: 31
Employee(ID549) => Min Interval: 38, Max Interval: 46
Employee(ID552) => Min Interval: 16, Max Interval: 54
Employee(ID553) => Min Interval: 13, Max Interval: 21
Employee(ID557) => Min Interval: 31, Max Interval: 50
Employee(ID559) => Min Interval: 4, Max Interval: 54
Employee(ID562) => Min Interval: 10, Max Interval: 49
Employee(ID566) => Min Interval: 9, Max Interval: 29
Employee(ID567) => Min Interval: 8, Max Interval: 48
Employee(ID569) => Min Interval: 7, Max Interval: 42
Employee(ID570) => Min Interval: 19, Max Interval: 46
Employee(ID574) => Min Interval: 1, Max Interval: 54
Employee(ID578) => Min Interval: 15, Max Interval: 31
Employee(ID579) => Min Interval: 14, Max Interval: 43
Employee(ID580) => Min Interval: 9, Max Interval: 49
Employee(ID583) => Min Interval: 32, Max Interval: 51
Employee(ID584) => Min Interval: 21, Max Interval: 50
Employee(ID587) => Min Interval: 8, Max Interval: 28
Employee(ID589) => Min Interval: 34, Max Interval: 44
Employee(ID590) => Min Interval: 2, Max Interval: 48
Employee(ID593) => Min Interval: 10, Max Interval: 20
Employee(ID597) => Min Interval: 10, Max Interval: 29
Employee(ID599) => Min Interval: 23, Max Interval: 34
Employee(ID600) => Min Interval: 8, Max Interval: 44
Employee(ID607) => Min Interval: 20, Max Interval: 46
Employee(ID610) => Min Interval: 13, Max Interval: 23
Employee(ID611) => Min Interval: 9, Max Interval: 21
Employee(ID612) => Min Interval: 26, Max Interval: 48
Employee(ID614) => Min Interval: 18, Max Interval: 34
Employee(ID615) => Min Interval: 19, Max Interval: 32
Employee(ID616) => Min Interval: 8, Max Interval: 18
Employee(ID617) => Min Interval: 26, Max Interval: 26
Employee(ID619) => Min Interval: 8, Max Interval: 53
Employee(ID620) => Min Interval: 12, Max Interval: 40
Employee(ID626) => Min Interval: 17, Max Interval: 40
Employee(ID628) => Min Interval: 32, Max Interval: 46
Employee(ID629) => Min Interval: 16, Max Interval: 50
Employee(ID633) => Min Interval: 28, Max Interval: 28
Employee(ID634) => Min Interval: 28, Max Interval: 49
Employee(ID635) => Min Interval: 28, Max Interval: 50
Employee(ID640) => Min Interval: 0, Max Interval: 99
Employee(ID643) => Min Interval: 11, Max Interval: 43
Employee(ID645) => Min Interval: 20, Max Interval: 42
Employee(ID647) => Min Interval: 1, Max Interval: 99
Employee(ID648) => Min Interval: 12, Max Interval: 33
Employee(ID649) => Min Interval: 14, Max Interval: 39
Employee(ID652) => Min Interval: 9, Max Interval: 33
Employee(ID655) => Min Interval: 22, Max Interval: 53
Employee(ID658) => Min Interval: 8, Max Interval: 50
Employee(ID659) => Min Interval: 12, Max Interval: 43
Employee(ID661) => Min Interval: 24, Max Interval: 25
Employee(ID665) => Min Interval: 18, Max Interval: 41
Employee(ID666) => Min Interval: 19, Max Interval: 54
Employee(ID671) => Min Interval: 15, Max Interval: 45
Employee(ID676) => Min Interval: 10, Max Interval: 32
Employee(ID679) => Min Interval: 24, Max Interval: 35
Employee(ID684) => Min Interval: 5, Max Interval: 52
Employee(ID686) => Min Interval: 10, Max Interval: 53
Employee(ID697) => Min Interval: 9, Max Interval: 41
Employee(ID703) => Min Interval: 10, Max Interval: 20
Employee(ID704) => Min Interval: 26, Max Interval: 47
Employee(ID711) => Min Interval: 3, Max Interval: 53
Employee(ID717) => Min Interval: 11, Max Interval: 29
Employee(ID727) => Min Interval: 22, Max Interval: 47
Employee(ID729) => Min Interval: 14, Max Interval: 49
Employee(ID734) => Min Interval: 5, Max Interval: 50
Employee(ID740) => Min Interval: 7, Max Interval: 45
Employee(ID742) => Min Interval: 25, Max Interval: 40
Employee(ID745) => Min Interval: 28, Max Interval: 40
Employee(ID749) => Min Interval: 23, Max Interval: 33
Employee(ID751) => Min Interval: 33, Max Interval: 33
Employee(ID753) => Min Interval: 19, Max Interval: 44
Employee(ID754) => Min Interval: 7, Max Interval: 41
Employee(ID762) => Min Interval: 33, Max Interval: 42
Employee(ID764) => Min Interval: 22, Max Interval: 51
Employee(ID765) => Min Interval: 9, Max Interval: 31
Employee(ID767) => Min Interval: 20, Max Interval: 47
Employee(ID775) => Min Interval: 1, Max Interval: 53
Employee(ID779) => Min Interval: 22, Max Interval: 47
Employee(ID780) => Min Interval: 34, Max Interval: 50
Employee(ID786) => Min Interval: 10, Max Interval: 28
Employee(ID796) => Min Interval: 12, Max Interval: 51
Employee(ID809) => Min Interval: 21, Max Interval: 43
Employee(ID814) => Min Interval: 10, Max Interval: 52
Employee(ID816) => Min Interval: 16, Max Interval: 17
Employee(ID821) => Min Interval: 12, Max Interval: 40
Employee(ID822) => Min Interval: 13, Max Interval: 42
Employee(ID825) => Min Interval: 36, Max Interval: 47
Employee(ID828) => Min Interval: 13, Max Interval: 45
Employee(ID831) => Min Interval: 40, Max Interval: 52
Employee(ID832) => Min Interval: 2, Max Interval: 99
Employee(ID840) => Min Interval: 4, Max Interval: 41
Employee(ID847) => Min Interval: 3, Max Interval: 46
Employee(ID853) => Min Interval: 30, Max Interval: 38
Employee(ID854) => Min Interval: 25, Max Interval: 51
Employee(ID856) => Min Interval: 13, Max Interval: 39
Employee(ID860) => Min Interval: 24, Max Interval: 51
Employee(ID864) => Min Interval: 17, Max Interval: 18
Employee(ID865) => Min Interval: 38, Max Interval: 46
Employee(ID870) => Min Interval: 8, Max Interval: 34
Employee(ID876) => Min Interval: 10, Max Interval: 37
Employee(ID877) => Min Interval: 19, Max Interval: 28
Employee(ID886) => Min Interval: 10, Max Interval: 51
Employee(ID888) => Min Interval: 20, Max Interval: 50
Employee(ID890) => Min Interval: 18, Max Interval: 51
Employee(ID901) => Min Interval: 9, Max Interval: 47
Employee(ID908) => Min Interval: 8, Max Interval: 28
Employee(ID910) => Min Interval: 26, Max Interval: 45
Employee(ID916) => Min Interval: 3, Max Interval: 50
Employee(ID917) => Min Interval: 12, Max Interval: 41
Employee(ID918) => Min Interval: 12, Max Interval: 47
Employee(ID921) => Min Interval: 0, Max Interval: 35
Employee(ID923) => Min Interval: 27, Max Interval: 43
Employee(ID928) => Min Interval: 19, Max Interval: 27
Employee(ID932) => Min Interval: 16, Max Interval: 50
Employee(ID934) => Min Interval: 33, Max Interval: 50
Employee(ID938) => Min Interval: 22, Max Interval: 33
Employee(ID939) => Min Interval: 11, Max Interval: 38
Employee(ID941) => Min Interval: 4, Max Interval: 47
Employee(ID946) => Min Interval: 8, Max Interval: 40
Employee(ID947) => Min Interval: 23, Max Interval: 43
Employee(ID949) => Min Interval: 11, Max Interval: 21
Employee(ID953) => Min Interval: 10, Max Interval: 32
Employee(ID955) => Min Interval: 18, Max Interval: 19
Employee(ID956) => Min Interval: 25, Max Interval: 46
Employee(ID961) => Min Interval: 11, Max Interval: 54
Employee(ID962) => Min Interval: 8, Max Interval: 50
Employee(ID963) => Min Interval: 3, Max Interval: 54
Employee(ID968) => Min Interval: 24, Max Interval: 45
Employee(ID969) => Min Interval: 39, Max Interval: 51
Employee(ID973) => Min Interval: 14, Max Interval: 33
Employee(ID974) => Min Interval: 21, Max Interval: 46
Employee(ID986) => Min Interval: 23, Max Interval: 50
Employee(ID993) => Min Interval: 7, Max Interval: 54
Employee(ID996) => Min Interval: 15, Max Interval: 50
Employee(ID1001) => Min Interval: 19, Max Interval: 27
Employee(ID1009) => Min Interval: 9, Max Interval: 50
Employee(ID1014) => Min Interval: 20, Max Interval: 37
Employee(ID1019) => Min Interval: 10, Max Interval: 42
Employee(ID1023) => Min Interval: 38, Max Interval: 38
Employee(ID1037) => Min Interval: 12, Max Interval: 31
Employee(ID1038) => Min Interval: 9, Max Interval: 36
Employee(ID1048) => Min Interval: 8, Max Interval: 37
Employee(ID1051) => Min Interval: 22, Max Interval: 45
Employee(ID1053) => Min Interval: 11, Max Interval: 49
Employee(ID1056) => Min Interval: 18, Max Interval: 41
Employee(ID1067) => Min Interval: 10, Max Interval: 39
Employee(ID1070) => Min Interval: 18, Max Interval: 39
Employee(ID1082) => Min Interval: 12, Max Interval: 38
Employee(ID1084) => Min Interval: 5, Max Interval: 44
Employee(ID1087) => Min Interval: 12, Max Interval: 42
Employee(ID1088) => Min Interval: 8, Max Interval: 26
Employee(ID1094) => Min Interval: 13, Max Interval: 45
Employee(ID1114) => Min Interval: 2, Max Interval: 51
Employee(ID1116) => Min Interval: 10, Max Interval: 42
Employee(ID1145) => Min Interval: 10, Max Interval: 34
Employee(ID1153) => Min Interval: 16, Max Interval: 48
Employee(ID1156) => Min Interval: 22, Max Interval: 50
Employee(ID1159) => Min Interval: 32, Max Interval: 49
Employee(ID1161) => Min Interval: 19, Max Interval: 41
Employee(ID1166) => Min Interval: 29, Max Interval: 39
Employee(ID1168) => Min Interval: 11, Max Interval: 41
Employee(ID1176) => Min Interval: 19, Max Interval: 44
Employee(ID1180) => Min Interval: 19, Max Interval: 46
Employee(ID1181) => Min Interval: 12, Max Interval: 49
Employee(ID1186) => Min Interval: 37, Max Interval: 49
Employee(ID1189) => Min Interval: 14, Max Interval: 29
Employee(ID1199) => Min Interval: 11, Max Interval: 49
Employee(ID1202) => Min Interval: 3, Max Interval: 50
Employee(ID1213) => Min Interval: 18, Max Interval: 50
Employee(ID1245) => Min Interval: 29, Max Interval: 41
Employee(ID1254) => Min Interval: 16, Max Interval: 44
Employee(ID1274) => Min Interval: 27, Max Interval: 47
Employee(ID1289) => Min Interval: 24, Max Interval: 36
Employee(ID1298) => Min Interval: 15, Max Interval: 47
Employee(ID1304) => Min Interval: 19, Max Interval: 51
Employee(ID1306) => Min Interval: 22, Max Interval: 41
Employee(ID1335) => Min Interval: 10, Max Interval: 38
Employee(ID1340) => Min Interval: 17, Max Interval: 45
Employee(ID1346) => Min Interval: 26, Max Interval: 37
Employee(ID1355) => Min Interval: 2, Max Interval: 99
Employee(ID1384) => Min Interval: 12, Max Interval: 44
Employee(ID1402) => Min Interval: 23, Max Interval: 49
Employee(ID1404) => Min Interval: 17, Max Interval: 41
Employee(ID1408) => Min Interval: 12, Max Interval: 12
Employee(ID1410) => Min Interval: 12, Max Interval: 35
Employee(ID1412) => Min Interval: 15, Max Interval: 46
Employee(ID1442) => Min Interval: 15, Max Interval: 50
Employee(ID1447) => Min Interval: 12, Max Interval: 52
Employee(ID1512) => Min Interval: 25, Max Interval: 40
Employee(ID1514) => Min Interval: 20, Max Interval: 31
Employee(ID1580) => Min Interval: 23, Max Interval: 24
Employee(ID1665) => Min Interval: 13, Max Interval: 50
Employee(ID1857) => Min Interval: 20, Max Interval: 38
Employee(ID1860) => Min Interval: 1, Max Interval: 51
Employee(ID1861) => Min Interval: 3, Max Interval: 35
Employee(ID1862) => Min Interval: 19, Max Interval: 44
Employee(ID1865) => Min Interval: 5, Max Interval: 51
Employee(ID1869) => Min Interval: 0, Max Interval: 99
Employee(ID1870) => Min Interval: 8, Max Interval: 49
Employee(ID1871) => Min Interval: 9, Max Interval: 26
Employee(ID1873) => Min Interval: 8, Max Interval: 17
Employee(ID1874) => Min Interval: 42, Max Interval: 51
Employee(ID1876) => Min Interval: 19, Max Interval: 37
Employee(ID1878) => Min Interval: 39, Max Interval: 50
Employee(ID1881) => Min Interval: 13, Max Interval: 37
Employee(ID1883) => Min Interval: 12, Max Interval: 53
Employee(ID1886) => Min Interval: 1, Max Interval: 99
Employee(ID1889) => Min Interval: 8, Max Interval: 99
Employee(ID1891) => Min Interval: 0, Max Interval: 99
Employee(ID1892) => Min Interval: 15, Max Interval: 29
Employee(ID1894) => Min Interval: 7, Max Interval: 42
Employee(ID1896) => Min Interval: 31, Max Interval: 50
Employee(ID1897) => Min Interval: 29, Max Interval: 39
Employee(ID1900) => Min Interval: 18, Max Interval: 43
Employee(ID1903) => Min Interval: 0, Max Interval: 99
Employee(ID1904) => Min Interval: 25, Max Interval: 43
Employee(ID1905) => Min Interval: 3, Max Interval: 99
Employee(ID1908) => Min Interval: 9, Max Interval: 41
Employee(ID1909) => Min Interval: 8, Max Interval: 54
Employee(ID1911) => Min Interval: 16, Max Interval: 47
Employee(ID1916) => Min Interval: 5, Max Interval: 45
Employee(ID1918) => Min Interval: 3, Max Interval: 51
Employee(ID1920) => Min Interval: 11, Max Interval: 41
Employee(ID1922) => Min Interval: 3, Max Interval: 51
Employee(ID1923) => Min Interval: 16, Max Interval: 42
Employee(ID1925) => Min Interval: 14, Max Interval: 48
Employee(ID1929) => Min Interval: 8, Max Interval: 50
Employee(ID1931) => Min Interval: 8, Max Interval: 43
Employee(ID1941) => Min Interval: 25, Max Interval: 46
Employee(ID1942) => Min Interval: 16, Max Interval: 48
Employee(ID1943) => Min Interval: 19, Max Interval: 51
Employee(ID1944) => Min Interval: 12, Max Interval: 47
Employee(ID1946) => Min Interval: 8, Max Interval: 51
Employee(ID1947) => Min Interval: 6, Max Interval: 48
Employee(ID1950) => Min Interval: 1, Max Interval: 99
Employee(ID1953) => Min Interval: 11, Max Interval: 45
Employee(ID1954) => Min Interval: 8, Max Interval: 53
Employee(ID1955) => Min Interval: 14, Max Interval: 45
Employee(ID1957) => Min Interval: 8, Max Interval: 51
Employee(ID1958) => Min Interval: 39, Max Interval: 40
Employee(ID1960) => Min Interval: 11, Max Interval: 44
Employee(ID1962) => Min Interval: 0, Max Interval: 99
Employee(ID1964) => Min Interval: 0, Max Interval: 99
Employee(ID1965) => Min Interval: 7, Max Interval: 46
Employee(ID1966) => Min Interval: 9, Max Interval: 24
Employee(ID1970) => Min Interval: 13, Max Interval: 51
Employee(ID1975) => Min Interval: 9, Max Interval: 45
Employee(ID1980) => Min Interval: 15, Max Interval: 50
Employee(ID1982) => Min Interval: 0, Max Interval: 99
Employee(ID1983) => Min Interval: 24, Max Interval: 50
Employee(ID1985) => Min Interval: 13, Max Interval: 43
Employee(ID1986) => Min Interval: 0, Max Interval: 99
Employee(ID1988) => Min Interval: 32, Max Interval: 50
Employee(ID1990) => Min Interval: 0, Max Interval: 99
Employee(ID1992) => Min Interval: 0, Max Interval: 99
Employee(ID1993) => Min Interval: 26, Max Interval: 50
Employee(ID1994) => Min Interval: 10, Max Interval: 49
Employee(ID1996) => Min Interval: 0, Max Interval: 99
Employee(ID1997) => Min Interval: 8, Max Interval: 51
Employee(ID1999) => Min Interval: 8, Max Interval: 40
Employee(ID2001) => Min Interval: 15, Max Interval: 32
Employee(ID2002) => Min Interval: 15, Max Interval: 51
Employee(ID2003) => Min Interval: 44, Max Interval: 44
Employee(ID2005) => Min Interval: 4, Max Interval: 99
Employee(ID2009) => Min Interval: 4, Max Interval: 54
Employee(ID2010) => Min Interval: 10, Max Interval: 39
Employee(ID2012) => Min Interval: 9, Max Interval: 34
Employee(ID2013) => Min Interval: 11, Max Interval: 40
Employee(ID2017) => Min Interval: 14, Max Interval: 42
Employee(ID2022) => Min Interval: 3, Max Interval: 53
Employee(ID2025) => Min Interval: 9, Max Interval: 28
Employee(ID2028) => Min Interval: 9, Max Interval: 54
Employee(ID2030) => Min Interval: 1, Max Interval: 99
Employee(ID2033) => Min Interval: 1, Max Interval: 99
Employee(ID2036) => Min Interval: 2, Max Interval: 99
Employee(ID2039) => Min Interval: 2, Max Interval: 99
Employee(ID2041) => Min Interval: 21, Max Interval: 36
Employee(ID2042) => Min Interval: 11, Max Interval: 52
Employee(ID2043) => Min Interval: 8, Max Interval: 51
Employee(ID2044) => Min Interval: 4, Max Interval: 49
Employee(ID2047) => Min Interval: 34, Max Interval: 48
Employee(ID2048) => Min Interval: 6, Max Interval: 53
Employee(ID2051) => Min Interval: 11, Max Interval: 47
Employee(ID2055) => Min Interval: 5, Max Interval: 34
Employee(ID2056) => Min Interval: 26, Max Interval: 51
Employee(ID2059) => Min Interval: 18, Max Interval: 46
Employee(ID2060) => Min Interval: 32, Max Interval: 44
Employee(ID2061) => Min Interval: 44, Max Interval: 44
Employee(ID2063) => Min Interval: 14, Max Interval: 44
Employee(ID2065) => Min Interval: 20, Max Interval: 40
Employee(ID2066) => Min Interval: 11, Max Interval: 51
Employee(ID2068) => Min Interval: 2, Max Interval: 99
Employee(ID2070) => Min Interval: 0, Max Interval: 99
Employee(ID2072) => Min Interval: 20, Max Interval: 52
