Stored fact information:
University(ID9) => Min Interval: 1, Max Interval: 48
University(ID846) => Min Interval: 1, Max Interval: 49
University(ID848) => Min Interval: 2, Max Interval: 49
University(ID883) => Min Interval: 0, Max Interval: 48
University(ID893) => Min Interval: 1, Max Interval: 49
University(ID900) => Min Interval: 0, Max Interval: 50
University(ID906) => Min Interval: 1, Max Interval: 50
University(ID922) => Min Interval: 3, Max Interval: 50
University(ID929) => Min Interval: 0, Max Interval: 50
University(ID930) => Min Interval: 6, Max Interval: 48
University(ID931) => Min Interval: 1, Max Interval: 50
University(ID935) => Min Interval: 2, Max Interval: 44
University(ID936) => Min Interval: 0, Max Interval: 49
University(ID942) => Min Interval: 1, Max Interval: 49
University(ID959) => Min Interval: 0, Max Interval: 45
University(ID967) => Min Interval: 1, Max Interval: 49
University(ID970) => Min Interval: 3, Max Interval: 46
University(ID971) => Min Interval: 0, Max Interval: 47
University(ID987) => Min Interval: 0, Max Interval: 50
University(ID990) => Min Interval: 0, Max Interval: 50
University(ID999) => Min Interval: 1, Max Interval: 46
University(ID1000) => Min Interval: 0, Max Interval: 50
University(ID1010) => Min Interval: 4, Max Interval: 29
University(ID1015) => Min Interval: 0, Max Interval: 49
University(ID1031) => Min Interval: 1, Max Interval: 44
University(ID1034) => Min Interval: 0, Max Interval: 50
University(ID1040) => Min Interval: 1, Max Interval: 49
University(ID1041) => Min Interval: 2, Max Interval: 47
University(ID1045) => Min Interval: 1, Max Interval: 45
University(ID1058) => Min Interval: 0, Max Interval: 50
University(ID1059) => Min Interval: 2, Max Interval: 49
University(ID1074) => Min Interval: 4, Max Interval: 49
University(ID1076) => Min Interval: 1, Max Interval: 44
University(ID1077) => Min Interval: 1, Max Interval: 49
University(ID1090) => Min Interval: 0, Max Interval: 47
University(ID1091) => Min Interval: 6, Max Interval: 49
University(ID1100) => Min Interval: 0, Max Interval: 48
University(ID1106) => Min Interval: 1, Max Interval: 37
University(ID1107) => Min Interval: 16, Max Interval: 48
University(ID1110) => Min Interval: 4, Max Interval: 49
University(ID1111) => Min Interval: 0, Max Interval: 49
University(ID1112) => Min Interval: 2, Max Interval: 49
University(ID1117) => Min Interval: 4, Max Interval: 50
University(ID1123) => Min Interval: 1, Max Interval: 50
University(ID1135) => Min Interval: 0, Max Interval: 50
University(ID1139) => Min Interval: 3, Max Interval: 49
University(ID1149) => Min Interval: 2, Max Interval: 40
University(ID1150) => Min Interval: 5, Max Interval: 50
University(ID1183) => Min Interval: 1, Max Interval: 49
University(ID1193) => Min Interval: 1, Max Interval: 50
University(ID1203) => Min Interval: 0, Max Interval: 45
University(ID1211) => Min Interval: 0, Max Interval: 43
University(ID1212) => Min Interval: 4, Max Interval: 50
University(ID1221) => Min Interval: 1, Max Interval: 50
University(ID1229) => Min Interval: 1, Max Interval: 50
University(ID1232) => Min Interval: 0, Max Interval: 40
University(ID1243) => Min Interval: 7, Max Interval: 44
University(ID1244) => Min Interval: 4, Max Interval: 48
University(ID1256) => Min Interval: 0, Max Interval: 49
University(ID1257) => Min Interval: 2, Max Interval: 50
University(ID1263) => Min Interval: 0, Max Interval: 46
University(ID1264) => Min Interval: 4, Max Interval: 50
University(ID1266) => Min Interval: 1, Max Interval: 50
University(ID1268) => Min Interval: 1, Max Interval: 49
University(ID1270) => Min Interval: 0, Max Interval: 50
University(ID1276) => Min Interval: 0, Max Interval: 49
University(ID1281) => Min Interval: 1, Max Interval: 43
University(ID1294) => Min Interval: 3, Max Interval: 48
University(ID1301) => Min Interval: 3, Max Interval: 31
University(ID1312) => Min Interval: 4, Max Interval: 50
University(ID1314) => Min Interval: 1, Max Interval: 49
University(ID1333) => Min Interval: 0, Max Interval: 49
University(ID1349) => Min Interval: 8, Max Interval: 46
University(ID1356) => Min Interval: 3, Max Interval: 48
University(ID1358) => Min Interval: 0, Max Interval: 50
University(ID1360) => Min Interval: 1, Max Interval: 50
University(ID1361) => Min Interval: 6, Max Interval: 49
University(ID1364) => Min Interval: 5, Max Interval: 46
University(ID1365) => Min Interval: 0, Max Interval: 50
University(ID1369) => Min Interval: 4, Max Interval: 47
University(ID1370) => Min Interval: 6, Max Interval: 50
University(ID1373) => Min Interval: 0, Max Interval: 42
University(ID1374) => Min Interval: 0, Max Interval: 49
University(ID1376) => Min Interval: 1, Max Interval: 44
University(ID1385) => Min Interval: 2, Max Interval: 49
University(ID1388) => Min Interval: 0, Max Interval: 48
University(ID1391) => Min Interval: 1, Max Interval: 50
University(ID1395) => Min Interval: 1, Max Interval: 50
University(ID1401) => Min Interval: 0, Max Interval: 50
University(ID1407) => Min Interval: 0, Max Interval: 50
University(ID1420) => Min Interval: 3, Max Interval: 48
University(ID1421) => Min Interval: 4, Max Interval: 50
University(ID1429) => Min Interval: 2, Max Interval: 50
University(ID1431) => Min Interval: 0, Max Interval: 50
University(ID1432) => Min Interval: 1, Max Interval: 40
University(ID1435) => Min Interval: 4, Max Interval: 49
University(ID1437) => Min Interval: 1, Max Interval: 49
University(ID1443) => Min Interval: 2, Max Interval: 50
University(ID1444) => Min Interval: 2, Max Interval: 48
University(ID1445) => Min Interval: 0, Max Interval: 49
University(ID1451) => Min Interval: 3, Max Interval: 48
University(ID1457) => Min Interval: 0, Max Interval: 48
University(ID1458) => Min Interval: 0, Max Interval: 48
University(ID1462) => Min Interval: 3, Max Interval: 48
University(ID1473) => Min Interval: 1, Max Interval: 50
University(ID1474) => Min Interval: 1, Max Interval: 50
University(ID1475) => Min Interval: 0, Max Interval: 50
University(ID1478) => Min Interval: 0, Max Interval: 49
University(ID1483) => Min Interval: 5, Max Interval: 43
University(ID1486) => Min Interval: 1, Max Interval: 50
University(ID1493) => Min Interval: 1, Max Interval: 50
University(ID1503) => Min Interval: 0, Max Interval: 48
University(ID1536) => Min Interval: 1, Max Interval: 50
University(ID1539) => Min Interval: 2, Max Interval: 46
University(ID1540) => Min Interval: 1, Max Interval: 50
University(ID1546) => Min Interval: 0, Max Interval: 48
University(ID1548) => Min Interval: 0, Max Interval: 44
University(ID1552) => Min Interval: 0, Max Interval: 48
University(ID1559) => Min Interval: 7, Max Interval: 50
University(ID1560) => Min Interval: 1, Max Interval: 48
University(ID1564) => Min Interval: 0, Max Interval: 49
University(ID1565) => Min Interval: 0, Max Interval: 47
University(ID1576) => Min Interval: 2, Max Interval: 50
University(ID1577) => Min Interval: 17, Max Interval: 47
University(ID1584) => Min Interval: 2, Max Interval: 46
University(ID1586) => Min Interval: 0, Max Interval: 48
University(ID1595) => Min Interval: 1, Max Interval: 50
University(ID1607) => Min Interval: 8, Max Interval: 46
University(ID1610) => Min Interval: 0, Max Interval: 49
University(ID1614) => Min Interval: 1, Max Interval: 50
University(ID1623) => Min Interval: 5, Max Interval: 45
University(ID1626) => Min Interval: 2, Max Interval: 50
University(ID1628) => Min Interval: 10, Max Interval: 49
University(ID1650) => Min Interval: 3, Max Interval: 50
University(ID1667) => Min Interval: 6, Max Interval: 48
University(ID1668) => Min Interval: 5, Max Interval: 50
University(ID1674) => Min Interval: 0, Max Interval: 49
University(ID1675) => Min Interval: 1, Max Interval: 49
University(ID1676) => Min Interval: 2, Max Interval: 46
University(ID1703) => Min Interval: 0, Max Interval: 50
University(ID1711) => Min Interval: 8, Max Interval: 49
University(ID1712) => Min Interval: 1, Max Interval: 50
University(ID1714) => Min Interval: 0, Max Interval: 50
University(ID1724) => Min Interval: 1, Max Interval: 50
University(ID1732) => Min Interval: 1, Max Interval: 47
University(ID1759) => Min Interval: 0, Max Interval: 46
University(ID1762) => Min Interval: 3, Max Interval: 40
University(ID1785) => Min Interval: 7, Max Interval: 49
University(ID1804) => Min Interval: 11, Max Interval: 48
University(ID1805) => Min Interval: 4, Max Interval: 48
University(ID1810) => Min Interval: 5, Max Interval: 46
University(ID1887) => Min Interval: 1, Max Interval: 44
University(ID1901) => Min Interval: 1, Max Interval: 46
University(ID1940) => Min Interval: 1, Max Interval: 47
University(ID2019) => Min Interval: 0, Max Interval: 46
University(ID2024) => Min Interval: 0, Max Interval: 50
University(ID2049) => Min Interval: 0, Max Interval: 49
University(ID2058) => Min Interval: 6, Max Interval: 50
University(ID2087) => Min Interval: 2, Max Interval: 46
University(ID2107) => Min Interval: 5, Max Interval: 50
University(ID2110) => Min Interval: 1, Max Interval: 49
University(ID2129) => Min Interval: 1, Max Interval: 48
University(ID2137) => Min Interval: 0, Max Interval: 48
University(ID2177) => Min Interval: 0, Max Interval: 50
University(ID2185) => Min Interval: 4, Max Interval: 41
University(ID2186) => Min Interval: 0, Max Interval: 50
University(ID2189) => Min Interval: 3, Max Interval: 49
University(ID2195) => Min Interval: 0, Max Interval: 50
University(ID2209) => Min Interval: 5, Max Interval: 43
University(ID2233) => Min Interval: 5, Max Interval: 47
University(ID2242) => Min Interval: 1, Max Interval: 45
University(ID2246) => Min Interval: 1, Max Interval: 50
University(ID2258) => Min Interval: 3, Max Interval: 50
University(ID2260) => Min Interval: 1, Max Interval: 42
University(ID2266) => Min Interval: 1, Max Interval: 44
University(ID2280) => Min Interval: 1, Max Interval: 46
University(ID2288) => Min Interval: 14, Max Interval: 33
University(ID2308) => Min Interval: 1, Max Interval: 50
University(ID2318) => Min Interval: 0, Max Interval: 50
University(ID2333) => Min Interval: 0, Max Interval: 50
University(ID2337) => Min Interval: 7, Max Interval: 49
University(ID2364) => Min Interval: 2, Max Interval: 48
University(ID2369) => Min Interval: 0, Max Interval: 35
University(ID2382) => Min Interval: 1, Max Interval: 37
University(ID2385) => Min Interval: 0, Max Interval: 50
University(ID2389) => Min Interval: 2, Max Interval: 49
University(ID2397) => Min Interval: 0, Max Interval: 50
University(ID2414) => Min Interval: 1, Max Interval: 50
University(ID2424) => Min Interval: 6, Max Interval: 50
University(ID2426) => Min Interval: 0, Max Interval: 50
University(ID2431) => Min Interval: 1, Max Interval: 48
University(ID2442) => Min Interval: 0, Max Interval: 49
University(ID2453) => Min Interval: 4, Max Interval: 49
University(ID2456) => Min Interval: 4, Max Interval: 49
University(ID2457) => Min Interval: 0, Max Interval: 49
University(ID2472) => Min Interval: 1, Max Interval: 43
University(ID2478) => Min Interval: 0, Max Interval: 50
University(ID2479) => Min Interval: 6, Max Interval: 50
University(ID2482) => Min Interval: 1, Max Interval: 50
University(ID2493) => Min Interval: 2, Max Interval: 44
University(ID2494) => Min Interval: 1, Max Interval: 48
University(ID2495) => Min Interval: 0, Max Interval: 50
University(ID2496) => Min Interval: 0, Max Interval: 37
University(ID2497) => Min Interval: 2, Max Interval: 46
University(ID2508) => Min Interval: 1, Max Interval: 50
University(ID2517) => Min Interval: 0, Max Interval: 50
University(ID2521) => Min Interval: 3, Max Interval: 50
University(ID2538) => Min Interval: 1, Max Interval: 50
University(ID2539) => Min Interval: 1, Max Interval: 48
University(ID2541) => Min Interval: 1, Max Interval: 49
University(ID2552) => Min Interval: 6, Max Interval: 50
University(ID2565) => Min Interval: 7, Max Interval: 50
University(ID2570) => Min Interval: 0, Max Interval: 49
University(ID2582) => Min Interval: 3, Max Interval: 46
University(ID2589) => Min Interval: 0, Max Interval: 46
University(ID2594) => Min Interval: 0, Max Interval: 47
University(ID2595) => Min Interval: 5, Max Interval: 50
University(ID2597) => Min Interval: 0, Max Interval: 49
University(ID2603) => Min Interval: 8, Max Interval: 50
University(ID2607) => Min Interval: 8, Max Interval: 47
University(ID2609) => Min Interval: 0, Max Interval: 50
University(ID2610) => Min Interval: 4, Max Interval: 43
University(ID2616) => Min Interval: 1, Max Interval: 36
University(ID2622) => Min Interval: 3, Max Interval: 47
University(ID2623) => Min Interval: 4, Max Interval: 50
University(ID2636) => Min Interval: 0, Max Interval: 44
University(ID2642) => Min Interval: 5, Max Interval: 50
University(ID2657) => Min Interval: 0, Max Interval: 50
University(ID2661) => Min Interval: 0, Max Interval: 50
University(ID2668) => Min Interval: 1, Max Interval: 50
University(ID2670) => Min Interval: 9, Max Interval: 45
University(ID2673) => Min Interval: 0, Max Interval: 50
University(ID2675) => Min Interval: 5, Max Interval: 49
University(ID2678) => Min Interval: 1, Max Interval: 49
University(ID2684) => Min Interval: 1, Max Interval: 50
University(ID2690) => Min Interval: 2, Max Interval: 46
University(ID2696) => Min Interval: 1, Max Interval: 49
University(ID2700) => Min Interval: 4, Max Interval: 49
University(ID2705) => Min Interval: 0, Max Interval: 41
University(ID2708) => Min Interval: 0, Max Interval: 50
University(ID2709) => Min Interval: 1, Max Interval: 49
University(ID2713) => Min Interval: 3, Max Interval: 50
University(ID2718) => Min Interval: 1, Max Interval: 49
University(ID2719) => Min Interval: 1, Max Interval: 49
University(ID2720) => Min Interval: 1, Max Interval: 49
University(ID2721) => Min Interval: 1, Max Interval: 47
University(ID2724) => Min Interval: 19, Max Interval: 44
University(ID2732) => Min Interval: 2, Max Interval: 50
University(ID2734) => Min Interval: 0, Max Interval: 50
University(ID2735) => Min Interval: 0, Max Interval: 50
University(ID2736) => Min Interval: 6, Max Interval: 50
University(ID2737) => Min Interval: 0, Max Interval: 48
University(ID2738) => Min Interval: 4, Max Interval: 50
University(ID2739) => Min Interval: 0, Max Interval: 49
University(ID2740) => Min Interval: 0, Max Interval: 49
University(ID2747) => Min Interval: 0, Max Interval: 49
University(ID2748) => Min Interval: 4, Max Interval: 45
University(ID2749) => Min Interval: 1, Max Interval: 43
University(ID2750) => Min Interval: 2, Max Interval: 50
University(ID2757) => Min Interval: 1, Max Interval: 41
University(ID2758) => Min Interval: 1, Max Interval: 50
University(ID2760) => Min Interval: 14, Max Interval: 50
University(ID2763) => Min Interval: 0, Max Interval: 50
University(ID2765) => Min Interval: 0, Max Interval: 50
University(ID2767) => Min Interval: 1, Max Interval: 49
University(ID2768) => Min Interval: 0, Max Interval: 46
University(ID2769) => Min Interval: 0, Max Interval: 50
University(ID2771) => Min Interval: 1, Max Interval: 50
University(ID2772) => Min Interval: 5, Max Interval: 48
University(ID2776) => Min Interval: 4, Max Interval: 47
University(ID2780) => Min Interval: 1, Max Interval: 50
University(ID2785) => Min Interval: 4, Max Interval: 49
University(ID2786) => Min Interval: 0, Max Interval: 50
University(ID2787) => Min Interval: 0, Max Interval: 50
University(ID2788) => Min Interval: 3, Max Interval: 38
University(ID2790) => Min Interval: 2, Max Interval: 48
University(ID2791) => Min Interval: 0, Max Interval: 50
University(ID2793) => Min Interval: 5, Max Interval: 50
University(ID2795) => Min Interval: 2, Max Interval: 49
University(ID2797) => Min Interval: 0, Max Interval: 46
University(ID2803) => Min Interval: 1, Max Interval: 42
University(ID2804) => Min Interval: 1, Max Interval: 40
University(ID2805) => Min Interval: 2, Max Interval: 49
University(ID2808) => Min Interval: 8, Max Interval: 36
University(ID2809) => Min Interval: 0, Max Interval: 50
University(ID2810) => Min Interval: 1, Max Interval: 49
University(ID2812) => Min Interval: 0, Max Interval: 49
University(ID2813) => Min Interval: 0, Max Interval: 39
University(ID2814) => Min Interval: 6, Max Interval: 50
University(ID2816) => Min Interval: 5, Max Interval: 50
University(ID2819) => Min Interval: 2, Max Interval: 45
University(ID2821) => Min Interval: 2, Max Interval: 49
University(ID2823) => Min Interval: 0, Max Interval: 50
University(ID2826) => Min Interval: 0, Max Interval: 50
University(ID2827) => Min Interval: 0, Max Interval: 48
University(ID2828) => Min Interval: 0, Max Interval: 49
University(ID2878) => Min Interval: 3, Max Interval: 50
University(ID2898) => Min Interval: 2, Max Interval: 50
University(ID2911) => Min Interval: 3, Max Interval: 50
University(ID2917) => Min Interval: 9, Max Interval: 45
University(ID2935) => Min Interval: 0, Max Interval: 50
University(ID2957) => Min Interval: 1, Max Interval: 49
University(ID3010) => Min Interval: 1, Max Interval: 48
University(ID3019) => Min Interval: 1, Max Interval: 50
University(ID3054) => Min Interval: 2, Max Interval: 48
University(ID3068) => Min Interval: 0, Max Interval: 50
University(ID3070) => Min Interval: 3, Max Interval: 49
University(ID3080) => Min Interval: 3, Max Interval: 44
University(ID3089) => Min Interval: 0, Max Interval: 47
University(ID3119) => Min Interval: 3, Max Interval: 47
University(ID3126) => Min Interval: 2, Max Interval: 50
University(ID3136) => Min Interval: 1, Max Interval: 49
University(ID3170) => Min Interval: 3, Max Interval: 50
University(ID3200) => Min Interval: 5, Max Interval: 48
University(ID3214) => Min Interval: 6, Max Interval: 50
University(ID3216) => Min Interval: 8, Max Interval: 46
University(ID3245) => Min Interval: 4, Max Interval: 49
University(ID3254) => Min Interval: 3, Max Interval: 49
University(ID3255) => Min Interval: 1, Max Interval: 49
University(ID3268) => Min Interval: 4, Max Interval: 49
University(ID3288) => Min Interval: 1, Max Interval: 49
University(ID3299) => Min Interval: 1, Max Interval: 43
University(ID3301) => Min Interval: 0, Max Interval: 50
University(ID3306) => Min Interval: 2, Max Interval: 49
University(ID3322) => Min Interval: 14, Max Interval: 47
University(ID3326) => Min Interval: 0, Max Interval: 50
University(ID3332) => Min Interval: 2, Max Interval: 48
University(ID3342) => Min Interval: 3, Max Interval: 48
University(ID3345) => Min Interval: 1, Max Interval: 50
University(ID3348) => Min Interval: 1, Max Interval: 50
University(ID3359) => Min Interval: 1, Max Interval: 43
University(ID3360) => Min Interval: 2, Max Interval: 50
University(ID3366) => Min Interval: 1, Max Interval: 49
University(ID3378) => Min Interval: 1, Max Interval: 50
University(ID3380) => Min Interval: 3, Max Interval: 48
University(ID3385) => Min Interval: 1, Max Interval: 49
University(ID3386) => Min Interval: 0, Max Interval: 49
University(ID3387) => Min Interval: 1, Max Interval: 48
University(ID3408) => Min Interval: 6, Max Interval: 45
University(ID3413) => Min Interval: 5, Max Interval: 50
University(ID3419) => Min Interval: 1, Max Interval: 49
University(ID3435) => Min Interval: 0, Max Interval: 50
University(ID3446) => Min Interval: 1, Max Interval: 50
University(ID3466) => Min Interval: 4, Max Interval: 47
University(ID3469) => Min Interval: 5, Max Interval: 49
University(ID3470) => Min Interval: 1, Max Interval: 50
University(ID3484) => Min Interval: 6, Max Interval: 46
University(ID3485) => Min Interval: 0, Max Interval: 50
University(ID3491) => Min Interval: 3, Max Interval: 48
University(ID3498) => Min Interval: 0, Max Interval: 46
University(ID3501) => Min Interval: 0, Max Interval: 49
University(ID3503) => Min Interval: 3, Max Interval: 50
University(ID3515) => Min Interval: 3, Max Interval: 48
University(ID3524) => Min Interval: 3, Max Interval: 50
University(ID3536) => Min Interval: 4, Max Interval: 49
University(ID3538) => Min Interval: 2, Max Interval: 40
University(ID3548) => Min Interval: 2, Max Interval: 48
University(ID3561) => Min Interval: 3, Max Interval: 48
University(ID3574) => Min Interval: 12, Max Interval: 48
University(ID3589) => Min Interval: 3, Max Interval: 48
University(ID3591) => Min Interval: 2, Max Interval: 49
University(ID3606) => Min Interval: 0, Max Interval: 47
University(ID3608) => Min Interval: 0, Max Interval: 45
University(ID3614) => Min Interval: 0, Max Interval: 47
University(ID3625) => Min Interval: 1, Max Interval: 49
University(ID3637) => Min Interval: 9, Max Interval: 48
University(ID3647) => Min Interval: 2, Max Interval: 47
University(ID3648) => Min Interval: 3, Max Interval: 50
University(ID3655) => Min Interval: 7, Max Interval: 40
University(ID3660) => Min Interval: 3, Max Interval: 48
University(ID3663) => Min Interval: 0, Max Interval: 48
University(ID3665) => Min Interval: 1, Max Interval: 50
University(ID3679) => Min Interval: 3, Max Interval: 36
University(ID3681) => Min Interval: 1, Max Interval: 50
University(ID3687) => Min Interval: 1, Max Interval: 44
University(ID3688) => Min Interval: 1, Max Interval: 47
University(ID3693) => Min Interval: 9, Max Interval: 48
University(ID3694) => Min Interval: 5, Max Interval: 44
University(ID3705) => Min Interval: 0, Max Interval: 45
University(ID3713) => Min Interval: 0, Max Interval: 48
University(ID3718) => Min Interval: 2, Max Interval: 45
University(ID3719) => Min Interval: 0, Max Interval: 50
University(ID3723) => Min Interval: 0, Max Interval: 50
University(ID3737) => Min Interval: 2, Max Interval: 47
University(ID3740) => Min Interval: 0, Max Interval: 46
University(ID3754) => Min Interval: 1, Max Interval: 48
University(ID3757) => Min Interval: 0, Max Interval: 48
University(ID3760) => Min Interval: 1, Max Interval: 48
University(ID3763) => Min Interval: 0, Max Interval: 50
University(ID3773) => Min Interval: 9, Max Interval: 50
University(ID3775) => Min Interval: 4, Max Interval: 50
University(ID3777) => Min Interval: 0, Max Interval: 48
University(ID3779) => Min Interval: 7, Max Interval: 48
University(ID3780) => Min Interval: 0, Max Interval: 50
University(ID3787) => Min Interval: 0, Max Interval: 46
University(ID3790) => Min Interval: 1, Max Interval: 49
University(ID3793) => Min Interval: 0, Max Interval: 48
University(ID3795) => Min Interval: 1, Max Interval: 42
University(ID3796) => Min Interval: 2, Max Interval: 50
University(ID3797) => Min Interval: 4, Max Interval: 50
University(ID3798) => Min Interval: 4, Max Interval: 50
University(ID3801) => Min Interval: 7, Max Interval: 50
University(ID3804) => Min Interval: 5, Max Interval: 43
University(ID3810) => Min Interval: 0, Max Interval: 49
University(ID3814) => Min Interval: 0, Max Interval: 48
University(ID3815) => Min Interval: 0, Max Interval: 46
University(ID3816) => Min Interval: 0, Max Interval: 50
University(ID3817) => Min Interval: 2, Max Interval: 50
University(ID3819) => Min Interval: 1, Max Interval: 48
University(ID3821) => Min Interval: 2, Max Interval: 50
University(ID3822) => Min Interval: 1, Max Interval: 45
University(ID3826) => Min Interval: 2, Max Interval: 48
University(ID3828) => Min Interval: 4, Max Interval: 50
University(ID3829) => Min Interval: 0, Max Interval: 42
University(ID3832) => Min Interval: 3, Max Interval: 48
University(ID3834) => Min Interval: 2, Max Interval: 40
University(ID3835) => Min Interval: 2, Max Interval: 48
University(ID3837) => Min Interval: 1, Max Interval: 50
University(ID3838) => Min Interval: 2, Max Interval: 47
University(ID3841) => Min Interval: 0, Max Interval: 50
University(ID3842) => Min Interval: 3, Max Interval: 50
University(ID3843) => Min Interval: 4, Max Interval: 48
University(ID3847) => Min Interval: 0, Max Interval: 49
University(ID3848) => Min Interval: 1, Max Interval: 50
University(ID3849) => Min Interval: 10, Max Interval: 50
University(ID3850) => Min Interval: 2, Max Interval: 47
University(ID3901) => Min Interval: 4, Max Interval: 50
University(ID3909) => Min Interval: 2, Max Interval: 48
University(ID4017) => Min Interval: 2, Max Interval: 50
University(ID4021) => Min Interval: 4, Max Interval: 50
University(ID4024) => Min Interval: 1, Max Interval: 50
University(ID4155) => Min Interval: 0, Max Interval: 50
University(ID4166) => Min Interval: 4, Max Interval: 48
University(ID4173) => Min Interval: 3, Max Interval: 50
University(ID4192) => Min Interval: 0, Max Interval: 48
University(ID4203) => Min Interval: 5, Max Interval: 50
University(ID4235) => Min Interval: 1, Max Interval: 50
University(ID4273) => Min Interval: 1, Max Interval: 49
University(ID4280) => Min Interval: 2, Max Interval: 50
University(ID4287) => Min Interval: 1, Max Interval: 50
University(ID4290) => Min Interval: 1, Max Interval: 37
University(ID4330) => Min Interval: 2, Max Interval: 49
University(ID4348) => Min Interval: 7, Max Interval: 41
University(ID4361) => Min Interval: 3, Max Interval: 50
University(ID4365) => Min Interval: 0, Max Interval: 49
University(ID4415) => Min Interval: 0, Max Interval: 48
University(ID4456) => Min Interval: 3, Max Interval: 46
University(ID4488) => Min Interval: 0, Max Interval: 49
University(ID4497) => Min Interval: 0, Max Interval: 50
University(ID4503) => Min Interval: 2, Max Interval: 44
University(ID4506) => Min Interval: 4, Max Interval: 43
University(ID4538) => Min Interval: 12, Max Interval: 48
University(ID4552) => Min Interval: 4, Max Interval: 50
University(ID4561) => Min Interval: 0, Max Interval: 50
University(ID4568) => Min Interval: 0, Max Interval: 49
University(ID4581) => Min Interval: 2, Max Interval: 45
University(ID4582) => Min Interval: 8, Max Interval: 47
University(ID4604) => Min Interval: 5, Max Interval: 49
University(ID4607) => Min Interval: 2, Max Interval: 50
University(ID4612) => Min Interval: 0, Max Interval: 49
University(ID4616) => Min Interval: 0, Max Interval: 46
University(ID4627) => Min Interval: 0, Max Interval: 46
University(ID4634) => Min Interval: 1, Max Interval: 50
University(ID4644) => Min Interval: 1, Max Interval: 49
University(ID4645) => Min Interval: 8, Max Interval: 37
University(ID4657) => Min Interval: 1, Max Interval: 49
University(ID4659) => Min Interval: 0, Max Interval: 50
University(ID4667) => Min Interval: 3, Max Interval: 45
University(ID4698) => Min Interval: 0, Max Interval: 48
University(ID4710) => Min Interval: 0, Max Interval: 42
University(ID4717) => Min Interval: 0, Max Interval: 49
University(ID4736) => Min Interval: 18, Max Interval: 46
University(ID4738) => Min Interval: 2, Max Interval: 49
University(ID4741) => Min Interval: 0, Max Interval: 48
University(ID4744) => Min Interval: 5, Max Interval: 50
University(ID4749) => Min Interval: 0, Max Interval: 41
University(ID4755) => Min Interval: 1, Max Interval: 49
University(ID4761) => Min Interval: 1, Max Interval: 50
University(ID4774) => Min Interval: 0, Max Interval: 43
University(ID4776) => Min Interval: 0, Max Interval: 50
University(ID4777) => Min Interval: 6, Max Interval: 50
University(ID4785) => Min Interval: 4, Max Interval: 48
