Stored fact information:
AssociateProfessorCandidate(ID0) => Min Interval: 36, Max Interval: 39
AssociateProfessorCandidate(ID119) => Min Interval: 17, Max Interval: 20
AssociateProfessorCandidate(ID120) => Min Interval: 35, Max Interval: 38
AssociateProfessorCandidate(ID123) => Min Interval: 31, Max Interval: 46
AssociateProfessorCandidate(ID125) => Min Interval: 9, Max Interval: 51
AssociateProfessorCandidate(ID131) => Min Interval: 8, Max Interval: 50
AssociateProfessorCandidate(ID133) => Min Interval: 15, Max Interval: 49
AssociateProfessorCandidate(ID135) => Min Interval: 26, Max Interval: 39
AssociateProfessorCandidate(ID138) => Min Interval: 15, Max Interval: 47
AssociateProfessorCandidate(ID140) => Min Interval: 20, Max Interval: 36
AssociateProfessorCandidate(ID144) => Min Interval: 29, Max Interval: 29
AssociateProfessorCandidate(ID148) => Min Interval: 13, Max Interval: 38
AssociateProfessorCandidate(ID150) => Min Interval: 13, Max Interval: 50
AssociateProfessorCandidate(ID153) => Min Interval: 11, Max Interval: 50
AssociateProfessorCandidate(ID154) => Min Interval: 2, Max Interval: 27
AssociateProfessorCandidate(ID156) => Min Interval: 15, Max Interval: 32
AssociateProfessorCandidate(ID161) => Min Interval: 31, Max Interval: 41
AssociateProfessorCandidate(ID165) => Min Interval: 11, Max Interval: 31
AssociateProfessorCandidate(ID168) => Min Interval: 34, Max Interval: 34
AssociateProfessorCandidate(ID173) => Min Interval: 17, Max Interval: 46
AssociateProfessorCandidate(ID177) => Min Interval: 7, Max Interval: 49
AssociateProfessorCandidate(ID182) => Min Interval: 17, Max Interval: 23
AssociateProfessorCandidate(ID187) => Min Interval: 14, Max Interval: 37
AssociateProfessorCandidate(ID190) => Min Interval: 23, Max Interval: 26
AssociateProfessorCandidate(ID193) => Min Interval: 35, Max Interval: 42
AssociateProfessorCandidate(ID194) => Min Interval: 23, Max Interval: 25
AssociateProfessorCandidate(ID196) => Min Interval: 15, Max Interval: 48
AssociateProfessorCandidate(ID198) => Min Interval: 13, Max Interval: 49
AssociateProfessorCandidate(ID203) => Min Interval: 7, Max Interval: 52
AssociateProfessorCandidate(ID207) => Min Interval: 20, Max Interval: 46
AssociateProfessorCandidate(ID209) => Min Interval: 21, Max Interval: 22
AssociateProfessorCandidate(ID211) => Min Interval: 25, Max Interval: 32
AssociateProfessorCandidate(ID213) => Min Interval: 5, Max Interval: 43
AssociateProfessorCandidate(ID219) => Min Interval: 12, Max Interval: 28
AssociateProfessorCandidate(ID224) => Min Interval: 35, Max Interval: 40
AssociateProfessorCandidate(ID228) => Min Interval: 16, Max Interval: 40
AssociateProfessorCandidate(ID229) => Min Interval: 16, Max Interval: 41
AssociateProfessorCandidate(ID232) => Min Interval: 31, Max Interval: 47
AssociateProfessorCandidate(ID233) => Min Interval: 40, Max Interval: 41
AssociateProfessorCandidate(ID235) => Min Interval: 9, Max Interval: 40
AssociateProfessorCandidate(ID237) => Min Interval: 8, Max Interval: 53
AssociateProfessorCandidate(ID242) => Min Interval: 20, Max Interval: 48
AssociateProfessorCandidate(ID245) => Min Interval: 10, Max Interval: 51
AssociateProfessorCandidate(ID249) => Min Interval: 9, Max Interval: 42
AssociateProfessorCandidate(ID251) => Min Interval: 19, Max Interval: 46
AssociateProfessorCandidate(ID253) => Min Interval: 26, Max Interval: 31
AssociateProfessorCandidate(ID259) => Min Interval: 27, Max Interval: 47
AssociateProfessorCandidate(ID261) => Min Interval: 9, Max Interval: 30
AssociateProfessorCandidate(ID267) => Min Interval: 18, Max Interval: 47
AssociateProfessorCandidate(ID271) => Min Interval: 20, Max Interval: 40
AssociateProfessorCandidate(ID275) => Min Interval: 8, Max Interval: 45
AssociateProfessorCandidate(ID276) => Min Interval: 41, Max Interval: 47
AssociateProfessorCandidate(ID277) => Min Interval: 35, Max Interval: 49
AssociateProfessorCandidate(ID280) => Min Interval: 31, Max Interval: 34
AssociateProfessorCandidate(ID282) => Min Interval: 24, Max Interval: 36
AssociateProfessorCandidate(ID288) => Min Interval: 28, Max Interval: 43
AssociateProfessorCandidate(ID289) => Min Interval: 13, Max Interval: 28
AssociateProfessorCandidate(ID292) => Min Interval: 18, Max Interval: 49
AssociateProfessorCandidate(ID295) => Min Interval: 34, Max Interval: 47
AssociateProfessorCandidate(ID296) => Min Interval: 24, Max Interval: 31
AssociateProfessorCandidate(ID298) => Min Interval: 21, Max Interval: 47
AssociateProfessorCandidate(ID301) => Min Interval: 19, Max Interval: 47
AssociateProfessorCandidate(ID303) => Min Interval: 21, Max Interval: 49
AssociateProfessorCandidate(ID306) => Min Interval: 32, Max Interval: 47
AssociateProfessorCandidate(ID312) => Min Interval: 17, Max Interval: 28
AssociateProfessorCandidate(ID315) => Min Interval: 14, Max Interval: 35
AssociateProfessorCandidate(ID321) => Min Interval: 27, Max Interval: 41
AssociateProfessorCandidate(ID331) => Min Interval: 18, Max Interval: 24
AssociateProfessorCandidate(ID333) => Min Interval: 34, Max Interval: 45
AssociateProfessorCandidate(ID334) => Min Interval: 20, Max Interval: 47
AssociateProfessorCandidate(ID341) => Min Interval: 12, Max Interval: 46
AssociateProfessorCandidate(ID346) => Min Interval: 14, Max Interval: 46
AssociateProfessorCandidate(ID348) => Min Interval: 10, Max Interval: 48
AssociateProfessorCandidate(ID349) => Min Interval: 9, Max Interval: 37
AssociateProfessorCandidate(ID350) => Min Interval: 14, Max Interval: 33
AssociateProfessorCandidate(ID352) => Min Interval: 15, Max Interval: 33
AssociateProfessorCandidate(ID359) => Min Interval: 26, Max Interval: 44
AssociateProfessorCandidate(ID364) => Min Interval: 27, Max Interval: 27
AssociateProfessorCandidate(ID369) => Min Interval: 12, Max Interval: 41
AssociateProfessorCandidate(ID371) => Min Interval: 12, Max Interval: 49
AssociateProfessorCandidate(ID373) => Min Interval: 38, Max Interval: 43
AssociateProfessorCandidate(ID375) => Min Interval: 22, Max Interval: 48
AssociateProfessorCandidate(ID377) => Min Interval: 18, Max Interval: 46
AssociateProfessorCandidate(ID382) => Min Interval: 30, Max Interval: 41
AssociateProfessorCandidate(ID387) => Min Interval: 10, Max Interval: 38
AssociateProfessorCandidate(ID389) => Min Interval: 31, Max Interval: 33
AssociateProfessorCandidate(ID390) => Min Interval: 11, Max Interval: 47
AssociateProfessorCandidate(ID393) => Min Interval: 6, Max Interval: 29
AssociateProfessorCandidate(ID395) => Min Interval: 33, Max Interval: 49
AssociateProfessorCandidate(ID396) => Min Interval: 28, Max Interval: 47
AssociateProfessorCandidate(ID398) => Min Interval: 15, Max Interval: 49
AssociateProfessorCandidate(ID401) => Min Interval: 22, Max Interval: 48
AssociateProfessorCandidate(ID402) => Min Interval: 22, Max Interval: 51
AssociateProfessorCandidate(ID404) => Min Interval: 32, Max Interval: 41
AssociateProfessorCandidate(ID410) => Min Interval: 7, Max Interval: 51
AssociateProfessorCandidate(ID411) => Min Interval: 9, Max Interval: 48
AssociateProfessorCandidate(ID414) => Min Interval: 29, Max Interval: 42
AssociateProfessorCandidate(ID418) => Min Interval: 18, Max Interval: 41
AssociateProfessorCandidate(ID419) => Min Interval: 15, Max Interval: 40
AssociateProfessorCandidate(ID422) => Min Interval: 23, Max Interval: 50
AssociateProfessorCandidate(ID428) => Min Interval: 14, Max Interval: 51
AssociateProfessorCandidate(ID434) => Min Interval: 10, Max Interval: 46
AssociateProfessorCandidate(ID436) => Min Interval: 16, Max Interval: 45
AssociateProfessorCandidate(ID437) => Min Interval: 10, Max Interval: 49
AssociateProfessorCandidate(ID439) => Min Interval: 21, Max Interval: 29
AssociateProfessorCandidate(ID441) => Min Interval: 20, Max Interval: 35
AssociateProfessorCandidate(ID446) => Min Interval: 20, Max Interval: 41
AssociateProfessorCandidate(ID447) => Min Interval: 20, Max Interval: 49
AssociateProfessorCandidate(ID450) => Min Interval: 20, Max Interval: 33
AssociateProfessorCandidate(ID455) => Min Interval: 23, Max Interval: 40
AssociateProfessorCandidate(ID456) => Min Interval: 16, Max Interval: 28
AssociateProfessorCandidate(ID458) => Min Interval: 10, Max Interval: 46
AssociateProfessorCandidate(ID459) => Min Interval: 44, Max Interval: 47
AssociateProfessorCandidate(ID461) => Min Interval: 22, Max Interval: 29
AssociateProfessorCandidate(ID462) => Min Interval: 29, Max Interval: 44
AssociateProfessorCandidate(ID466) => Min Interval: 9, Max Interval: 48
AssociateProfessorCandidate(ID468) => Min Interval: 40, Max Interval: 45
AssociateProfessorCandidate(ID469) => Min Interval: 27, Max Interval: 33
AssociateProfessorCandidate(ID470) => Min Interval: 38, Max Interval: 47
AssociateProfessorCandidate(ID473) => Min Interval: 7, Max Interval: 52
AssociateProfessorCandidate(ID478) => Min Interval: 12, Max Interval: 46
AssociateProfessorCandidate(ID479) => Min Interval: 32, Max Interval: 48
AssociateProfessorCandidate(ID482) => Min Interval: 2, Max Interval: 36
AssociateProfessorCandidate(ID490) => Min Interval: 16, Max Interval: 49
AssociateProfessorCandidate(ID491) => Min Interval: 15, Max Interval: 35
AssociateProfessorCandidate(ID502) => Min Interval: 14, Max Interval: 28
AssociateProfessorCandidate(ID504) => Min Interval: 16, Max Interval: 47
AssociateProfessorCandidate(ID505) => Min Interval: 6, Max Interval: 35
AssociateProfessorCandidate(ID509) => Min Interval: 10, Max Interval: 48
AssociateProfessorCandidate(ID511) => Min Interval: 20, Max Interval: 49
AssociateProfessorCandidate(ID512) => Min Interval: 16, Max Interval: 51
AssociateProfessorCandidate(ID515) => Min Interval: 24, Max Interval: 48
AssociateProfessorCandidate(ID516) => Min Interval: 18, Max Interval: 43
AssociateProfessorCandidate(ID518) => Min Interval: 6, Max Interval: 41
AssociateProfessorCandidate(ID519) => Min Interval: 17, Max Interval: 30
AssociateProfessorCandidate(ID520) => Min Interval: 11, Max Interval: 44
AssociateProfessorCandidate(ID521) => Min Interval: 26, Max Interval: 41
AssociateProfessorCandidate(ID523) => Min Interval: 21, Max Interval: 48
AssociateProfessorCandidate(ID524) => Min Interval: 23, Max Interval: 43
AssociateProfessorCandidate(ID527) => Min Interval: 19, Max Interval: 44
AssociateProfessorCandidate(ID531) => Min Interval: 31, Max Interval: 47
AssociateProfessorCandidate(ID537) => Min Interval: 20, Max Interval: 34
AssociateProfessorCandidate(ID539) => Min Interval: 12, Max Interval: 40
AssociateProfessorCandidate(ID541) => Min Interval: 19, Max Interval: 43
AssociateProfessorCandidate(ID544) => Min Interval: 18, Max Interval: 29
AssociateProfessorCandidate(ID549) => Min Interval: 44, Max Interval: 44
AssociateProfessorCandidate(ID552) => Min Interval: 22, Max Interval: 52
AssociateProfessorCandidate(ID553) => Min Interval: 19, Max Interval: 19
AssociateProfessorCandidate(ID557) => Min Interval: 37, Max Interval: 48
AssociateProfessorCandidate(ID559) => Min Interval: 10, Max Interval: 52
AssociateProfessorCandidate(ID562) => Min Interval: 16, Max Interval: 47
AssociateProfessorCandidate(ID566) => Min Interval: 15, Max Interval: 27
AssociateProfessorCandidate(ID567) => Min Interval: 14, Max Interval: 46
AssociateProfessorCandidate(ID569) => Min Interval: 13, Max Interval: 40
AssociateProfessorCandidate(ID570) => Min Interval: 25, Max Interval: 44
AssociateProfessorCandidate(ID574) => Min Interval: 7, Max Interval: 52
AssociateProfessorCandidate(ID578) => Min Interval: 21, Max Interval: 29
AssociateProfessorCandidate(ID579) => Min Interval: 20, Max Interval: 41
AssociateProfessorCandidate(ID580) => Min Interval: 15, Max Interval: 47
AssociateProfessorCandidate(ID583) => Min Interval: 38, Max Interval: 49
AssociateProfessorCandidate(ID584) => Min Interval: 27, Max Interval: 48
AssociateProfessorCandidate(ID587) => Min Interval: 14, Max Interval: 26
AssociateProfessorCandidate(ID589) => Min Interval: 40, Max Interval: 42
AssociateProfessorCandidate(ID590) => Min Interval: 8, Max Interval: 46
AssociateProfessorCandidate(ID593) => Min Interval: 16, Max Interval: 18
AssociateProfessorCandidate(ID597) => Min Interval: 16, Max Interval: 27
AssociateProfessorCandidate(ID599) => Min Interval: 29, Max Interval: 32
AssociateProfessorCandidate(ID600) => Min Interval: 14, Max Interval: 42
AssociateProfessorCandidate(ID607) => Min Interval: 26, Max Interval: 44
AssociateProfessorCandidate(ID610) => Min Interval: 19, Max Interval: 21
AssociateProfessorCandidate(ID611) => Min Interval: 15, Max Interval: 19
AssociateProfessorCandidate(ID612) => Min Interval: 32, Max Interval: 46
AssociateProfessorCandidate(ID614) => Min Interval: 24, Max Interval: 32
AssociateProfessorCandidate(ID615) => Min Interval: 25, Max Interval: 30
AssociateProfessorCandidate(ID616) => Min Interval: 14, Max Interval: 16
AssociateProfessorCandidate(ID619) => Min Interval: 14, Max Interval: 51
AssociateProfessorCandidate(ID620) => Min Interval: 18, Max Interval: 38
AssociateProfessorCandidate(ID626) => Min Interval: 23, Max Interval: 38
AssociateProfessorCandidate(ID628) => Min Interval: 38, Max Interval: 44
AssociateProfessorCandidate(ID629) => Min Interval: 22, Max Interval: 48
AssociateProfessorCandidate(ID634) => Min Interval: 34, Max Interval: 47
AssociateProfessorCandidate(ID635) => Min Interval: 34, Max Interval: 48
AssociateProfessorCandidate(ID643) => Min Interval: 17, Max Interval: 41
AssociateProfessorCandidate(ID645) => Min Interval: 26, Max Interval: 40
AssociateProfessorCandidate(ID647) => Min Interval: 0, Max Interval: 40
AssociateProfessorCandidate(ID648) => Min Interval: 18, Max Interval: 31
AssociateProfessorCandidate(ID649) => Min Interval: 20, Max Interval: 37
AssociateProfessorCandidate(ID652) => Min Interval: 15, Max Interval: 31
AssociateProfessorCandidate(ID655) => Min Interval: 28, Max Interval: 51
AssociateProfessorCandidate(ID658) => Min Interval: 14, Max Interval: 48
AssociateProfessorCandidate(ID659) => Min Interval: 18, Max Interval: 41
AssociateProfessorCandidate(ID665) => Min Interval: 24, Max Interval: 39
AssociateProfessorCandidate(ID666) => Min Interval: 25, Max Interval: 52
AssociateProfessorCandidate(ID671) => Min Interval: 21, Max Interval: 43
AssociateProfessorCandidate(ID676) => Min Interval: 16, Max Interval: 30
AssociateProfessorCandidate(ID679) => Min Interval: 30, Max Interval: 33
AssociateProfessorCandidate(ID684) => Min Interval: 11, Max Interval: 50
AssociateProfessorCandidate(ID686) => Min Interval: 16, Max Interval: 51
AssociateProfessorCandidate(ID697) => Min Interval: 15, Max Interval: 39
AssociateProfessorCandidate(ID703) => Min Interval: 16, Max Interval: 18
AssociateProfessorCandidate(ID704) => Min Interval: 32, Max Interval: 45
AssociateProfessorCandidate(ID711) => Min Interval: 9, Max Interval: 51
AssociateProfessorCandidate(ID717) => Min Interval: 17, Max Interval: 27
AssociateProfessorCandidate(ID727) => Min Interval: 28, Max Interval: 45
AssociateProfessorCandidate(ID729) => Min Interval: 20, Max Interval: 47
AssociateProfessorCandidate(ID734) => Min Interval: 11, Max Interval: 48
AssociateProfessorCandidate(ID740) => Min Interval: 13, Max Interval: 43
AssociateProfessorCandidate(ID742) => Min Interval: 31, Max Interval: 38
AssociateProfessorCandidate(ID745) => Min Interval: 34, Max Interval: 38
AssociateProfessorCandidate(ID749) => Min Interval: 29, Max Interval: 31
AssociateProfessorCandidate(ID753) => Min Interval: 25, Max Interval: 42
AssociateProfessorCandidate(ID754) => Min Interval: 13, Max Interval: 39
AssociateProfessorCandidate(ID762) => Min Interval: 39, Max Interval: 40
AssociateProfessorCandidate(ID764) => Min Interval: 28, Max Interval: 49
AssociateProfessorCandidate(ID765) => Min Interval: 15, Max Interval: 29
AssociateProfessorCandidate(ID767) => Min Interval: 26, Max Interval: 45
AssociateProfessorCandidate(ID775) => Min Interval: 7, Max Interval: 51
AssociateProfessorCandidate(ID779) => Min Interval: 28, Max Interval: 45
AssociateProfessorCandidate(ID780) => Min Interval: 40, Max Interval: 48
AssociateProfessorCandidate(ID786) => Min Interval: 16, Max Interval: 26
AssociateProfessorCandidate(ID796) => Min Interval: 18, Max Interval: 49
AssociateProfessorCandidate(ID809) => Min Interval: 27, Max Interval: 41
AssociateProfessorCandidate(ID814) => Min Interval: 16, Max Interval: 50
AssociateProfessorCandidate(ID821) => Min Interval: 18, Max Interval: 38
AssociateProfessorCandidate(ID822) => Min Interval: 19, Max Interval: 40
AssociateProfessorCandidate(ID825) => Min Interval: 42, Max Interval: 45
AssociateProfessorCandidate(ID828) => Min Interval: 19, Max Interval: 43
AssociateProfessorCandidate(ID831) => Min Interval: 46, Max Interval: 50
AssociateProfessorCandidate(ID832) => Min Interval: 17, Max Interval: 50
AssociateProfessorCandidate(ID840) => Min Interval: 10, Max Interval: 39
AssociateProfessorCandidate(ID847) => Min Interval: 9, Max Interval: 44
AssociateProfessorCandidate(ID853) => Min Interval: 36, Max Interval: 36
AssociateProfessorCandidate(ID854) => Min Interval: 31, Max Interval: 49
AssociateProfessorCandidate(ID856) => Min Interval: 19, Max Interval: 37
AssociateProfessorCandidate(ID860) => Min Interval: 30, Max Interval: 49
AssociateProfessorCandidate(ID865) => Min Interval: 44, Max Interval: 44
AssociateProfessorCandidate(ID870) => Min Interval: 14, Max Interval: 32
AssociateProfessorCandidate(ID876) => Min Interval: 16, Max Interval: 35
AssociateProfessorCandidate(ID877) => Min Interval: 25, Max Interval: 26
AssociateProfessorCandidate(ID886) => Min Interval: 16, Max Interval: 49
AssociateProfessorCandidate(ID888) => Min Interval: 26, Max Interval: 48
AssociateProfessorCandidate(ID890) => Min Interval: 24, Max Interval: 49
AssociateProfessorCandidate(ID901) => Min Interval: 15, Max Interval: 45
AssociateProfessorCandidate(ID908) => Min Interval: 14, Max Interval: 26
AssociateProfessorCandidate(ID910) => Min Interval: 32, Max Interval: 43
AssociateProfessorCandidate(ID916) => Min Interval: 9, Max Interval: 48
AssociateProfessorCandidate(ID917) => Min Interval: 18, Max Interval: 23
AssociateProfessorCandidate(ID918) => Min Interval: 18, Max Interval: 45
AssociateProfessorCandidate(ID921) => Min Interval: 6, Max Interval: 33
AssociateProfessorCandidate(ID923) => Min Interval: 33, Max Interval: 41
AssociateProfessorCandidate(ID928) => Min Interval: 25, Max Interval: 25
AssociateProfessorCandidate(ID932) => Min Interval: 22, Max Interval: 48
AssociateProfessorCandidate(ID934) => Min Interval: 39, Max Interval: 48
AssociateProfessorCandidate(ID938) => Min Interval: 28, Max Interval: 31
AssociateProfessorCandidate(ID939) => Min Interval: 17, Max Interval: 36
AssociateProfessorCandidate(ID941) => Min Interval: 10, Max Interval: 45
AssociateProfessorCandidate(ID946) => Min Interval: 14, Max Interval: 38
AssociateProfessorCandidate(ID947) => Min Interval: 29, Max Interval: 41
AssociateProfessorCandidate(ID949) => Min Interval: 17, Max Interval: 19
AssociateProfessorCandidate(ID953) => Min Interval: 16, Max Interval: 30
AssociateProfessorCandidate(ID956) => Min Interval: 31, Max Interval: 44
AssociateProfessorCandidate(ID961) => Min Interval: 17, Max Interval: 52
AssociateProfessorCandidate(ID962) => Min Interval: 14, Max Interval: 48
AssociateProfessorCandidate(ID963) => Min Interval: 9, Max Interval: 52
AssociateProfessorCandidate(ID968) => Min Interval: 30, Max Interval: 43
AssociateProfessorCandidate(ID969) => Min Interval: 45, Max Interval: 49
AssociateProfessorCandidate(ID973) => Min Interval: 20, Max Interval: 31
AssociateProfessorCandidate(ID974) => Min Interval: 27, Max Interval: 44
AssociateProfessorCandidate(ID986) => Min Interval: 29, Max Interval: 48
AssociateProfessorCandidate(ID993) => Min Interval: 13, Max Interval: 52
AssociateProfessorCandidate(ID996) => Min Interval: 21, Max Interval: 48
AssociateProfessorCandidate(ID1001) => Min Interval: 25, Max Interval: 25
AssociateProfessorCandidate(ID1009) => Min Interval: 15, Max Interval: 48
AssociateProfessorCandidate(ID1014) => Min Interval: 26, Max Interval: 35
AssociateProfessorCandidate(ID1019) => Min Interval: 16, Max Interval: 40
AssociateProfessorCandidate(ID1037) => Min Interval: 18, Max Interval: 29
AssociateProfessorCandidate(ID1038) => Min Interval: 15, Max Interval: 34
AssociateProfessorCandidate(ID1048) => Min Interval: 14, Max Interval: 35
AssociateProfessorCandidate(ID1051) => Min Interval: 28, Max Interval: 43
AssociateProfessorCandidate(ID1053) => Min Interval: 17, Max Interval: 47
AssociateProfessorCandidate(ID1056) => Min Interval: 24, Max Interval: 39
AssociateProfessorCandidate(ID1067) => Min Interval: 16, Max Interval: 37
AssociateProfessorCandidate(ID1070) => Min Interval: 24, Max Interval: 37
AssociateProfessorCandidate(ID1082) => Min Interval: 18, Max Interval: 36
AssociateProfessorCandidate(ID1084) => Min Interval: 11, Max Interval: 42
AssociateProfessorCandidate(ID1087) => Min Interval: 18, Max Interval: 40
AssociateProfessorCandidate(ID1088) => Min Interval: 14, Max Interval: 24
AssociateProfessorCandidate(ID1094) => Min Interval: 19, Max Interval: 43
AssociateProfessorCandidate(ID1114) => Min Interval: 8, Max Interval: 49
AssociateProfessorCandidate(ID1116) => Min Interval: 16, Max Interval: 40
AssociateProfessorCandidate(ID1145) => Min Interval: 16, Max Interval: 32
AssociateProfessorCandidate(ID1153) => Min Interval: 22, Max Interval: 46
AssociateProfessorCandidate(ID1156) => Min Interval: 28, Max Interval: 48
AssociateProfessorCandidate(ID1159) => Min Interval: 38, Max Interval: 47
AssociateProfessorCandidate(ID1161) => Min Interval: 25, Max Interval: 39
AssociateProfessorCandidate(ID1166) => Min Interval: 35, Max Interval: 37
AssociateProfessorCandidate(ID1168) => Min Interval: 17, Max Interval: 39
AssociateProfessorCandidate(ID1176) => Min Interval: 25, Max Interval: 42
AssociateProfessorCandidate(ID1180) => Min Interval: 25, Max Interval: 44
AssociateProfessorCandidate(ID1181) => Min Interval: 47, Max Interval: 47
AssociateProfessorCandidate(ID1186) => Min Interval: 43, Max Interval: 47
AssociateProfessorCandidate(ID1189) => Min Interval: 20, Max Interval: 27
AssociateProfessorCandidate(ID1199) => Min Interval: 17, Max Interval: 47
AssociateProfessorCandidate(ID1202) => Min Interval: 9, Max Interval: 48
AssociateProfessorCandidate(ID1213) => Min Interval: 24, Max Interval: 48
AssociateProfessorCandidate(ID1245) => Min Interval: 35, Max Interval: 39
AssociateProfessorCandidate(ID1254) => Min Interval: 22, Max Interval: 42
AssociateProfessorCandidate(ID1274) => Min Interval: 33, Max Interval: 45
AssociateProfessorCandidate(ID1289) => Min Interval: 30, Max Interval: 34
AssociateProfessorCandidate(ID1298) => Min Interval: 21, Max Interval: 45
AssociateProfessorCandidate(ID1304) => Min Interval: 25, Max Interval: 49
AssociateProfessorCandidate(ID1306) => Min Interval: 28, Max Interval: 31
AssociateProfessorCandidate(ID1335) => Min Interval: 16, Max Interval: 36
AssociateProfessorCandidate(ID1340) => Min Interval: 23, Max Interval: 43
AssociateProfessorCandidate(ID1346) => Min Interval: 32, Max Interval: 35
AssociateProfessorCandidate(ID1355) => Min Interval: 14, Max Interval: 50
AssociateProfessorCandidate(ID1384) => Min Interval: 18, Max Interval: 42
AssociateProfessorCandidate(ID1402) => Min Interval: 29, Max Interval: 47
AssociateProfessorCandidate(ID1404) => Min Interval: 23, Max Interval: 39
AssociateProfessorCandidate(ID1410) => Min Interval: 18, Max Interval: 33
AssociateProfessorCandidate(ID1412) => Min Interval: 21, Max Interval: 44
AssociateProfessorCandidate(ID1442) => Min Interval: 21, Max Interval: 48
AssociateProfessorCandidate(ID1447) => Min Interval: 18, Max Interval: 50
AssociateProfessorCandidate(ID1512) => Min Interval: 31, Max Interval: 38
AssociateProfessorCandidate(ID1514) => Min Interval: 26, Max Interval: 29
AssociateProfessorCandidate(ID1665) => Min Interval: 19, Max Interval: 48
AssociateProfessorCandidate(ID1857) => Min Interval: 26, Max Interval: 36
AssociateProfessorCandidate(ID1860) => Min Interval: 7, Max Interval: 49
AssociateProfessorCandidate(ID1861) => Min Interval: 9, Max Interval: 33
AssociateProfessorCandidate(ID1862) => Min Interval: 25, Max Interval: 42
AssociateProfessorCandidate(ID1865) => Min Interval: 11, Max Interval: 49
AssociateProfessorCandidate(ID1869) => Min Interval: -1, Max Interval: 50
AssociateProfessorCandidate(ID1870) => Min Interval: 41, Max Interval: 47
AssociateProfessorCandidate(ID1871) => Min Interval: 15, Max Interval: 24
AssociateProfessorCandidate(ID1873) => Min Interval: 14, Max Interval: 15
AssociateProfessorCandidate(ID1874) => Min Interval: 48, Max Interval: 49
AssociateProfessorCandidate(ID1876) => Min Interval: 25, Max Interval: 35
AssociateProfessorCandidate(ID1878) => Min Interval: 45, Max Interval: 48
AssociateProfessorCandidate(ID1881) => Min Interval: 19, Max Interval: 35
AssociateProfessorCandidate(ID1883) => Min Interval: 18, Max Interval: 51
AssociateProfessorCandidate(ID1889) => Min Interval: 16, Max Interval: 46
AssociateProfessorCandidate(ID1891) => Min Interval: 25, Max Interval: 41
AssociateProfessorCandidate(ID1892) => Min Interval: 21, Max Interval: 27
AssociateProfessorCandidate(ID1894) => Min Interval: 13, Max Interval: 40
AssociateProfessorCandidate(ID1896) => Min Interval: 37, Max Interval: 48
