Stored fact information:
AssistantProfessorCandidate(ID0) => Min Interval: 31, Max Interval: 38
AssistantProfessorCandidate(ID120) => Min Interval: 30, Max Interval: 37
AssistantProfessorCandidate(ID123) => Min Interval: 26, Max Interval: 45
AssistantProfessorCandidate(ID125) => Min Interval: 4, Max Interval: 50
AssistantProfessorCandidate(ID131) => Min Interval: 3, Max Interval: 49
AssistantProfessorCandidate(ID133) => Min Interval: 10, Max Interval: 48
AssistantProfessorCandidate(ID135) => Min Interval: 21, Max Interval: 38
AssistantProfessorCandidate(ID138) => Min Interval: 10, Max Interval: 46
AssistantProfessorCandidate(ID140) => Min Interval: 15, Max Interval: 35
AssistantProfessorCandidate(ID144) => Min Interval: 24, Max Interval: 28
AssistantProfessorCandidate(ID148) => Min Interval: 8, Max Interval: 37
AssistantProfessorCandidate(ID150) => Min Interval: 8, Max Interval: 49
AssistantProfessorCandidate(ID153) => Min Interval: 6, Max Interval: 49
AssistantProfessorCandidate(ID156) => Min Interval: 10, Max Interval: 31
AssistantProfessorCandidate(ID161) => Min Interval: 26, Max Interval: 40
AssistantProfessorCandidate(ID165) => Min Interval: 6, Max Interval: 30
AssistantProfessorCandidate(ID168) => Min Interval: 29, Max Interval: 33
AssistantProfessorCandidate(ID173) => Min Interval: 12, Max Interval: 45
AssistantProfessorCandidate(ID177) => Min Interval: 2, Max Interval: 48
AssistantProfessorCandidate(ID182) => Min Interval: 12, Max Interval: 22
AssistantProfessorCandidate(ID187) => Min Interval: 9, Max Interval: 36
AssistantProfessorCandidate(ID190) => Min Interval: 18, Max Interval: 25
AssistantProfessorCandidate(ID193) => Min Interval: 30, Max Interval: 41
AssistantProfessorCandidate(ID194) => Min Interval: 18, Max Interval: 24
AssistantProfessorCandidate(ID196) => Min Interval: 10, Max Interval: 47
AssistantProfessorCandidate(ID198) => Min Interval: 8, Max Interval: 48
AssistantProfessorCandidate(ID203) => Min Interval: 2, Max Interval: 51
AssistantProfessorCandidate(ID207) => Min Interval: 15, Max Interval: 45
AssistantProfessorCandidate(ID209) => Min Interval: 16, Max Interval: 21
AssistantProfessorCandidate(ID211) => Min Interval: 20, Max Interval: 31
AssistantProfessorCandidate(ID218) => Min Interval: 35, Max Interval: 37
AssistantProfessorCandidate(ID219) => Min Interval: 7, Max Interval: 27
AssistantProfessorCandidate(ID222) => Min Interval: 36, Max Interval: 38
AssistantProfessorCandidate(ID224) => Min Interval: 30, Max Interval: 39
AssistantProfessorCandidate(ID228) => Min Interval: 11, Max Interval: 39
AssistantProfessorCandidate(ID229) => Min Interval: 11, Max Interval: 40
AssistantProfessorCandidate(ID232) => Min Interval: 26, Max Interval: 46
AssistantProfessorCandidate(ID233) => Min Interval: 35, Max Interval: 40
AssistantProfessorCandidate(ID235) => Min Interval: 7, Max Interval: 39
AssistantProfessorCandidate(ID237) => Min Interval: 3, Max Interval: 52
AssistantProfessorCandidate(ID242) => Min Interval: 15, Max Interval: 47
AssistantProfessorCandidate(ID245) => Min Interval: 5, Max Interval: 50
AssistantProfessorCandidate(ID247) => Min Interval: 42, Max Interval: 44
AssistantProfessorCandidate(ID249) => Min Interval: 4, Max Interval: 41
AssistantProfessorCandidate(ID251) => Min Interval: 14, Max Interval: 45
AssistantProfessorCandidate(ID253) => Min Interval: 21, Max Interval: 30
AssistantProfessorCandidate(ID259) => Min Interval: 22, Max Interval: 46
AssistantProfessorCandidate(ID261) => Min Interval: 4, Max Interval: 29
AssistantProfessorCandidate(ID267) => Min Interval: 13, Max Interval: 46
AssistantProfessorCandidate(ID271) => Min Interval: 15, Max Interval: 39
AssistantProfessorCandidate(ID275) => Min Interval: 3, Max Interval: 44
AssistantProfessorCandidate(ID276) => Min Interval: 36, Max Interval: 46
AssistantProfessorCandidate(ID277) => Min Interval: 30, Max Interval: 48
AssistantProfessorCandidate(ID280) => Min Interval: 26, Max Interval: 33
AssistantProfessorCandidate(ID282) => Min Interval: 19, Max Interval: 35
AssistantProfessorCandidate(ID288) => Min Interval: 23, Max Interval: 42
AssistantProfessorCandidate(ID289) => Min Interval: 8, Max Interval: 27
AssistantProfessorCandidate(ID292) => Min Interval: 13, Max Interval: 48
AssistantProfessorCandidate(ID294) => Min Interval: 46, Max Interval: 48
AssistantProfessorCandidate(ID295) => Min Interval: 29, Max Interval: 46
AssistantProfessorCandidate(ID296) => Min Interval: 19, Max Interval: 30
AssistantProfessorCandidate(ID298) => Min Interval: 16, Max Interval: 46
AssistantProfessorCandidate(ID299) => Min Interval: 26, Max Interval: 29
AssistantProfessorCandidate(ID301) => Min Interval: 14, Max Interval: 46
AssistantProfessorCandidate(ID303) => Min Interval: 16, Max Interval: 48
AssistantProfessorCandidate(ID306) => Min Interval: 27, Max Interval: 46
AssistantProfessorCandidate(ID312) => Min Interval: 12, Max Interval: 27
AssistantProfessorCandidate(ID315) => Min Interval: 9, Max Interval: 34
AssistantProfessorCandidate(ID321) => Min Interval: 22, Max Interval: 40
AssistantProfessorCandidate(ID333) => Min Interval: 29, Max Interval: 44
AssistantProfessorCandidate(ID334) => Min Interval: 15, Max Interval: 46
AssistantProfessorCandidate(ID341) => Min Interval: 7, Max Interval: 45
AssistantProfessorCandidate(ID346) => Min Interval: 9, Max Interval: 45
AssistantProfessorCandidate(ID348) => Min Interval: 5, Max Interval: 47
AssistantProfessorCandidate(ID349) => Min Interval: 4, Max Interval: 36
AssistantProfessorCandidate(ID350) => Min Interval: 9, Max Interval: 32
AssistantProfessorCandidate(ID352) => Min Interval: 10, Max Interval: 32
AssistantProfessorCandidate(ID359) => Min Interval: 21, Max Interval: 43
AssistantProfessorCandidate(ID364) => Min Interval: 22, Max Interval: 26
AssistantProfessorCandidate(ID367) => Min Interval: 15, Max Interval: 17
AssistantProfessorCandidate(ID369) => Min Interval: 7, Max Interval: 40
AssistantProfessorCandidate(ID371) => Min Interval: 7, Max Interval: 48
AssistantProfessorCandidate(ID373) => Min Interval: 33, Max Interval: 42
AssistantProfessorCandidate(ID375) => Min Interval: 17, Max Interval: 47
AssistantProfessorCandidate(ID377) => Min Interval: 13, Max Interval: 45
AssistantProfessorCandidate(ID382) => Min Interval: 25, Max Interval: 40
AssistantProfessorCandidate(ID387) => Min Interval: 5, Max Interval: 37
AssistantProfessorCandidate(ID389) => Min Interval: 26, Max Interval: 32
AssistantProfessorCandidate(ID390) => Min Interval: 6, Max Interval: 46
AssistantProfessorCandidate(ID393) => Min Interval: 1, Max Interval: 28
AssistantProfessorCandidate(ID395) => Min Interval: 28, Max Interval: 48
AssistantProfessorCandidate(ID396) => Min Interval: 23, Max Interval: 46
AssistantProfessorCandidate(ID398) => Min Interval: 10, Max Interval: 48
AssistantProfessorCandidate(ID401) => Min Interval: 17, Max Interval: 47
AssistantProfessorCandidate(ID402) => Min Interval: 17, Max Interval: 50
AssistantProfessorCandidate(ID404) => Min Interval: 27, Max Interval: 40
AssistantProfessorCandidate(ID407) => Min Interval: 26, Max Interval: 48
AssistantProfessorCandidate(ID410) => Min Interval: 2, Max Interval: 50
AssistantProfessorCandidate(ID411) => Min Interval: 4, Max Interval: 47
AssistantProfessorCandidate(ID414) => Min Interval: 24, Max Interval: 41
AssistantProfessorCandidate(ID418) => Min Interval: 13, Max Interval: 40
AssistantProfessorCandidate(ID419) => Min Interval: 10, Max Interval: 39
AssistantProfessorCandidate(ID422) => Min Interval: 18, Max Interval: 49
AssistantProfessorCandidate(ID428) => Min Interval: 9, Max Interval: 50
AssistantProfessorCandidate(ID434) => Min Interval: 5, Max Interval: 45
AssistantProfessorCandidate(ID436) => Min Interval: 11, Max Interval: 44
AssistantProfessorCandidate(ID437) => Min Interval: 5, Max Interval: 48
AssistantProfessorCandidate(ID439) => Min Interval: 16, Max Interval: 28
AssistantProfessorCandidate(ID441) => Min Interval: 15, Max Interval: 34
AssistantProfessorCandidate(ID446) => Min Interval: 15, Max Interval: 40
AssistantProfessorCandidate(ID447) => Min Interval: 15, Max Interval: 48
AssistantProfessorCandidate(ID448) => Min Interval: 14, Max Interval: 16
AssistantProfessorCandidate(ID450) => Min Interval: 15, Max Interval: 32
AssistantProfessorCandidate(ID455) => Min Interval: 18, Max Interval: 39
AssistantProfessorCandidate(ID456) => Min Interval: 11, Max Interval: 27
AssistantProfessorCandidate(ID458) => Min Interval: 5, Max Interval: 45
AssistantProfessorCandidate(ID459) => Min Interval: 39, Max Interval: 46
AssistantProfessorCandidate(ID461) => Min Interval: 17, Max Interval: 28
AssistantProfessorCandidate(ID462) => Min Interval: 24, Max Interval: 43
AssistantProfessorCandidate(ID466) => Min Interval: 4, Max Interval: 47
AssistantProfessorCandidate(ID468) => Min Interval: 35, Max Interval: 44
AssistantProfessorCandidate(ID469) => Min Interval: 22, Max Interval: 32
AssistantProfessorCandidate(ID470) => Min Interval: 33, Max Interval: 46
AssistantProfessorCandidate(ID473) => Min Interval: 2, Max Interval: 51
AssistantProfessorCandidate(ID478) => Min Interval: 7, Max Interval: 45
AssistantProfessorCandidate(ID479) => Min Interval: 27, Max Interval: 47
AssistantProfessorCandidate(ID490) => Min Interval: 11, Max Interval: 48
AssistantProfessorCandidate(ID491) => Min Interval: 10, Max Interval: 34
AssistantProfessorCandidate(ID502) => Min Interval: 9, Max Interval: 27
AssistantProfessorCandidate(ID504) => Min Interval: 11, Max Interval: 46
AssistantProfessorCandidate(ID509) => Min Interval: 5, Max Interval: 47
AssistantProfessorCandidate(ID511) => Min Interval: 15, Max Interval: 48
AssistantProfessorCandidate(ID512) => Min Interval: 11, Max Interval: 50
AssistantProfessorCandidate(ID513) => Min Interval: 45, Max Interval: 48
AssistantProfessorCandidate(ID515) => Min Interval: 19, Max Interval: 47
AssistantProfessorCandidate(ID516) => Min Interval: 13, Max Interval: 42
AssistantProfessorCandidate(ID519) => Min Interval: 12, Max Interval: 29
AssistantProfessorCandidate(ID520) => Min Interval: 6, Max Interval: 43
AssistantProfessorCandidate(ID521) => Min Interval: 21, Max Interval: 40
AssistantProfessorCandidate(ID523) => Min Interval: 16, Max Interval: 47
AssistantProfessorCandidate(ID524) => Min Interval: 18, Max Interval: 42
AssistantProfessorCandidate(ID527) => Min Interval: 14, Max Interval: 43
AssistantProfessorCandidate(ID531) => Min Interval: 26, Max Interval: 46
AssistantProfessorCandidate(ID534) => Min Interval: 31, Max Interval: 33
AssistantProfessorCandidate(ID537) => Min Interval: 15, Max Interval: 33
AssistantProfessorCandidate(ID539) => Min Interval: 7, Max Interval: 39
AssistantProfessorCandidate(ID541) => Min Interval: 14, Max Interval: 42
AssistantProfessorCandidate(ID544) => Min Interval: 13, Max Interval: 28
AssistantProfessorCandidate(ID549) => Min Interval: 39, Max Interval: 43
AssistantProfessorCandidate(ID552) => Min Interval: 17, Max Interval: 51
AssistantProfessorCandidate(ID553) => Min Interval: 14, Max Interval: 18
AssistantProfessorCandidate(ID557) => Min Interval: 32, Max Interval: 47
AssistantProfessorCandidate(ID559) => Min Interval: 5, Max Interval: 51
AssistantProfessorCandidate(ID562) => Min Interval: 11, Max Interval: 46
AssistantProfessorCandidate(ID566) => Min Interval: 10, Max Interval: 26
AssistantProfessorCandidate(ID567) => Min Interval: 9, Max Interval: 45
AssistantProfessorCandidate(ID569) => Min Interval: 8, Max Interval: 39
AssistantProfessorCandidate(ID570) => Min Interval: 20, Max Interval: 43
AssistantProfessorCandidate(ID574) => Min Interval: 2, Max Interval: 51
AssistantProfessorCandidate(ID578) => Min Interval: 16, Max Interval: 28
AssistantProfessorCandidate(ID579) => Min Interval: 15, Max Interval: 40
AssistantProfessorCandidate(ID580) => Min Interval: 10, Max Interval: 46
AssistantProfessorCandidate(ID583) => Min Interval: 33, Max Interval: 48
AssistantProfessorCandidate(ID584) => Min Interval: 22, Max Interval: 47
AssistantProfessorCandidate(ID587) => Min Interval: 9, Max Interval: 25
AssistantProfessorCandidate(ID589) => Min Interval: 35, Max Interval: 41
AssistantProfessorCandidate(ID590) => Min Interval: 3, Max Interval: 45
AssistantProfessorCandidate(ID593) => Min Interval: 11, Max Interval: 17
AssistantProfessorCandidate(ID597) => Min Interval: 11, Max Interval: 26
AssistantProfessorCandidate(ID599) => Min Interval: 24, Max Interval: 31
AssistantProfessorCandidate(ID600) => Min Interval: 9, Max Interval: 41
AssistantProfessorCandidate(ID607) => Min Interval: 21, Max Interval: 43
AssistantProfessorCandidate(ID610) => Min Interval: 14, Max Interval: 20
AssistantProfessorCandidate(ID611) => Min Interval: 10, Max Interval: 18
AssistantProfessorCandidate(ID612) => Min Interval: 27, Max Interval: 45
AssistantProfessorCandidate(ID614) => Min Interval: 19, Max Interval: 31
AssistantProfessorCandidate(ID615) => Min Interval: 20, Max Interval: 29
AssistantProfessorCandidate(ID616) => Min Interval: 9, Max Interval: 15
AssistantProfessorCandidate(ID617) => Min Interval: 27, Max Interval: 29
AssistantProfessorCandidate(ID619) => Min Interval: 5, Max Interval: 50
AssistantProfessorCandidate(ID620) => Min Interval: 13, Max Interval: 37
AssistantProfessorCandidate(ID626) => Min Interval: 18, Max Interval: 37
AssistantProfessorCandidate(ID628) => Min Interval: 33, Max Interval: 43
AssistantProfessorCandidate(ID629) => Min Interval: 17, Max Interval: 47
AssistantProfessorCandidate(ID633) => Min Interval: 29, Max Interval: 31
AssistantProfessorCandidate(ID634) => Min Interval: 29, Max Interval: 46
AssistantProfessorCandidate(ID635) => Min Interval: 29, Max Interval: 47
AssistantProfessorCandidate(ID643) => Min Interval: 12, Max Interval: 40
AssistantProfessorCandidate(ID645) => Min Interval: 21, Max Interval: 39
AssistantProfessorCandidate(ID648) => Min Interval: 13, Max Interval: 30
AssistantProfessorCandidate(ID649) => Min Interval: 15, Max Interval: 36
AssistantProfessorCandidate(ID652) => Min Interval: 10, Max Interval: 30
AssistantProfessorCandidate(ID655) => Min Interval: 23, Max Interval: 50
AssistantProfessorCandidate(ID658) => Min Interval: 9, Max Interval: 47
AssistantProfessorCandidate(ID659) => Min Interval: 13, Max Interval: 40
AssistantProfessorCandidate(ID661) => Min Interval: 25, Max Interval: 28
AssistantProfessorCandidate(ID665) => Min Interval: 19, Max Interval: 38
AssistantProfessorCandidate(ID666) => Min Interval: 20, Max Interval: 51
AssistantProfessorCandidate(ID671) => Min Interval: 16, Max Interval: 42
AssistantProfessorCandidate(ID676) => Min Interval: 11, Max Interval: 29
AssistantProfessorCandidate(ID679) => Min Interval: 25, Max Interval: 32
AssistantProfessorCandidate(ID684) => Min Interval: 6, Max Interval: 49
AssistantProfessorCandidate(ID686) => Min Interval: 11, Max Interval: 50
AssistantProfessorCandidate(ID697) => Min Interval: 10, Max Interval: 38
AssistantProfessorCandidate(ID703) => Min Interval: 11, Max Interval: 17
AssistantProfessorCandidate(ID704) => Min Interval: 27, Max Interval: 44
AssistantProfessorCandidate(ID711) => Min Interval: 4, Max Interval: 50
AssistantProfessorCandidate(ID717) => Min Interval: 12, Max Interval: 26
AssistantProfessorCandidate(ID727) => Min Interval: 23, Max Interval: 44
AssistantProfessorCandidate(ID729) => Min Interval: 15, Max Interval: 46
AssistantProfessorCandidate(ID734) => Min Interval: 6, Max Interval: 47
AssistantProfessorCandidate(ID740) => Min Interval: 8, Max Interval: 42
AssistantProfessorCandidate(ID742) => Min Interval: 26, Max Interval: 37
AssistantProfessorCandidate(ID745) => Min Interval: 29, Max Interval: 37
AssistantProfessorCandidate(ID749) => Min Interval: 24, Max Interval: 30
AssistantProfessorCandidate(ID751) => Min Interval: 34, Max Interval: 36
AssistantProfessorCandidate(ID753) => Min Interval: 20, Max Interval: 41
AssistantProfessorCandidate(ID754) => Min Interval: 8, Max Interval: 38
AssistantProfessorCandidate(ID762) => Min Interval: 34, Max Interval: 39
AssistantProfessorCandidate(ID764) => Min Interval: 23, Max Interval: 48
AssistantProfessorCandidate(ID765) => Min Interval: 10, Max Interval: 28
AssistantProfessorCandidate(ID767) => Min Interval: 21, Max Interval: 44
AssistantProfessorCandidate(ID775) => Min Interval: 2, Max Interval: 50
AssistantProfessorCandidate(ID779) => Min Interval: 23, Max Interval: 44
AssistantProfessorCandidate(ID780) => Min Interval: 35, Max Interval: 47
AssistantProfessorCandidate(ID786) => Min Interval: 11, Max Interval: 25
AssistantProfessorCandidate(ID796) => Min Interval: 13, Max Interval: 48
AssistantProfessorCandidate(ID809) => Min Interval: 22, Max Interval: 40
AssistantProfessorCandidate(ID814) => Min Interval: 7, Max Interval: 49
AssistantProfessorCandidate(ID816) => Min Interval: 17, Max Interval: 20
AssistantProfessorCandidate(ID821) => Min Interval: 13, Max Interval: 37
AssistantProfessorCandidate(ID822) => Min Interval: 14, Max Interval: 39
AssistantProfessorCandidate(ID825) => Min Interval: 37, Max Interval: 44
AssistantProfessorCandidate(ID828) => Min Interval: 14, Max Interval: 42
AssistantProfessorCandidate(ID831) => Min Interval: 41, Max Interval: 49
AssistantProfessorCandidate(ID840) => Min Interval: 5, Max Interval: 38
AssistantProfessorCandidate(ID847) => Min Interval: 4, Max Interval: 43
AssistantProfessorCandidate(ID853) => Min Interval: 31, Max Interval: 35
AssistantProfessorCandidate(ID854) => Min Interval: 26, Max Interval: 48
AssistantProfessorCandidate(ID856) => Min Interval: 14, Max Interval: 36
AssistantProfessorCandidate(ID860) => Min Interval: 25, Max Interval: 48
AssistantProfessorCandidate(ID864) => Min Interval: 18, Max Interval: 21
AssistantProfessorCandidate(ID865) => Min Interval: 39, Max Interval: 43
AssistantProfessorCandidate(ID870) => Min Interval: 9, Max Interval: 31
AssistantProfessorCandidate(ID876) => Min Interval: 11, Max Interval: 34
AssistantProfessorCandidate(ID877) => Min Interval: 20, Max Interval: 25
AssistantProfessorCandidate(ID886) => Min Interval: 11, Max Interval: 48
AssistantProfessorCandidate(ID888) => Min Interval: 21, Max Interval: 47
AssistantProfessorCandidate(ID890) => Min Interval: 19, Max Interval: 48
AssistantProfessorCandidate(ID901) => Min Interval: 10, Max Interval: 44
AssistantProfessorCandidate(ID908) => Min Interval: 9, Max Interval: 25
AssistantProfessorCandidate(ID910) => Min Interval: 27, Max Interval: 42
AssistantProfessorCandidate(ID916) => Min Interval: 4, Max Interval: 47
AssistantProfessorCandidate(ID917) => Min Interval: 13, Max Interval: 44
AssistantProfessorCandidate(ID918) => Min Interval: 13, Max Interval: 44
AssistantProfessorCandidate(ID921) => Min Interval: 1, Max Interval: 32
AssistantProfessorCandidate(ID923) => Min Interval: 28, Max Interval: 40
AssistantProfessorCandidate(ID928) => Min Interval: 20, Max Interval: 24
AssistantProfessorCandidate(ID932) => Min Interval: 17, Max Interval: 47
AssistantProfessorCandidate(ID934) => Min Interval: 34, Max Interval: 47
AssistantProfessorCandidate(ID938) => Min Interval: 23, Max Interval: 30
AssistantProfessorCandidate(ID939) => Min Interval: 12, Max Interval: 35
AssistantProfessorCandidate(ID941) => Min Interval: 5, Max Interval: 44
AssistantProfessorCandidate(ID946) => Min Interval: 9, Max Interval: 37
AssistantProfessorCandidate(ID947) => Min Interval: 24, Max Interval: 40
AssistantProfessorCandidate(ID949) => Min Interval: 12, Max Interval: 18
AssistantProfessorCandidate(ID953) => Min Interval: 11, Max Interval: 29
AssistantProfessorCandidate(ID955) => Min Interval: 19, Max Interval: 22
AssistantProfessorCandidate(ID956) => Min Interval: 26, Max Interval: 43
AssistantProfessorCandidate(ID961) => Min Interval: 12, Max Interval: 51
AssistantProfessorCandidate(ID962) => Min Interval: 9, Max Interval: 47
AssistantProfessorCandidate(ID963) => Min Interval: 4, Max Interval: 51
AssistantProfessorCandidate(ID968) => Min Interval: 25, Max Interval: 42
AssistantProfessorCandidate(ID969) => Min Interval: 40, Max Interval: 48
AssistantProfessorCandidate(ID973) => Min Interval: 15, Max Interval: 30
AssistantProfessorCandidate(ID974) => Min Interval: 22, Max Interval: 43
AssistantProfessorCandidate(ID986) => Min Interval: 24, Max Interval: 47
AssistantProfessorCandidate(ID993) => Min Interval: 8, Max Interval: 51
AssistantProfessorCandidate(ID996) => Min Interval: 16, Max Interval: 47
AssistantProfessorCandidate(ID1001) => Min Interval: 20, Max Interval: 24
AssistantProfessorCandidate(ID1009) => Min Interval: 10, Max Interval: 47
AssistantProfessorCandidate(ID1014) => Min Interval: 21, Max Interval: 34
AssistantProfessorCandidate(ID1019) => Min Interval: 11, Max Interval: 39
AssistantProfessorCandidate(ID1023) => Min Interval: 39, Max Interval: 41
AssistantProfessorCandidate(ID1037) => Min Interval: 13, Max Interval: 28
AssistantProfessorCandidate(ID1038) => Min Interval: 10, Max Interval: 33
AssistantProfessorCandidate(ID1048) => Min Interval: 9, Max Interval: 34
AssistantProfessorCandidate(ID1051) => Min Interval: 23, Max Interval: 42
AssistantProfessorCandidate(ID1053) => Min Interval: 12, Max Interval: 46
AssistantProfessorCandidate(ID1056) => Min Interval: 19, Max Interval: 38
AssistantProfessorCandidate(ID1067) => Min Interval: 11, Max Interval: 36
AssistantProfessorCandidate(ID1070) => Min Interval: 19, Max Interval: 36
AssistantProfessorCandidate(ID1082) => Min Interval: 13, Max Interval: 35
AssistantProfessorCandidate(ID1084) => Min Interval: 6, Max Interval: 41
AssistantProfessorCandidate(ID1087) => Min Interval: 13, Max Interval: 39
AssistantProfessorCandidate(ID1088) => Min Interval: 9, Max Interval: 23
AssistantProfessorCandidate(ID1094) => Min Interval: 14, Max Interval: 42
AssistantProfessorCandidate(ID1114) => Min Interval: 3, Max Interval: 48
AssistantProfessorCandidate(ID1116) => Min Interval: 11, Max Interval: 39
AssistantProfessorCandidate(ID1145) => Min Interval: 11, Max Interval: 31
AssistantProfessorCandidate(ID1153) => Min Interval: 17, Max Interval: 45
AssistantProfessorCandidate(ID1156) => Min Interval: 23, Max Interval: 47
AssistantProfessorCandidate(ID1159) => Min Interval: 33, Max Interval: 46
AssistantProfessorCandidate(ID1161) => Min Interval: 20, Max Interval: 38
AssistantProfessorCandidate(ID1166) => Min Interval: 30, Max Interval: 36
AssistantProfessorCandidate(ID1168) => Min Interval: 12, Max Interval: 38
AssistantProfessorCandidate(ID1176) => Min Interval: 20, Max Interval: 41
AssistantProfessorCandidate(ID1180) => Min Interval: 20, Max Interval: 43
AssistantProfessorCandidate(ID1181) => Min Interval: 13, Max Interval: 46
AssistantProfessorCandidate(ID1186) => Min Interval: 38, Max Interval: 46
AssistantProfessorCandidate(ID1189) => Min Interval: 15, Max Interval: 26
AssistantProfessorCandidate(ID1199) => Min Interval: 12, Max Interval: 46
AssistantProfessorCandidate(ID1202) => Min Interval: 4, Max Interval: 47
AssistantProfessorCandidate(ID1213) => Min Interval: 19, Max Interval: 47
AssistantProfessorCandidate(ID1245) => Min Interval: 30, Max Interval: 38
AssistantProfessorCandidate(ID1254) => Min Interval: 17, Max Interval: 41
AssistantProfessorCandidate(ID1274) => Min Interval: 28, Max Interval: 44
AssistantProfessorCandidate(ID1289) => Min Interval: 25, Max Interval: 33
AssistantProfessorCandidate(ID1298) => Min Interval: 16, Max Interval: 44
AssistantProfessorCandidate(ID1304) => Min Interval: 20, Max Interval: 48
AssistantProfessorCandidate(ID1306) => Min Interval: 23, Max Interval: 44
AssistantProfessorCandidate(ID1335) => Min Interval: 11, Max Interval: 35
AssistantProfessorCandidate(ID1340) => Min Interval: 18, Max Interval: 42
AssistantProfessorCandidate(ID1346) => Min Interval: 27, Max Interval: 34
AssistantProfessorCandidate(ID1355) => Min Interval: 9, Max Interval: 49
AssistantProfessorCandidate(ID1384) => Min Interval: 13, Max Interval: 41
AssistantProfessorCandidate(ID1402) => Min Interval: 24, Max Interval: 46
AssistantProfessorCandidate(ID1404) => Min Interval: 18, Max Interval: 38
AssistantProfessorCandidate(ID1408) => Min Interval: 13, Max Interval: 15
AssistantProfessorCandidate(ID1410) => Min Interval: 13, Max Interval: 32
AssistantProfessorCandidate(ID1412) => Min Interval: 16, Max Interval: 43
AssistantProfessorCandidate(ID1442) => Min Interval: 16, Max Interval: 47
AssistantProfessorCandidate(ID1447) => Min Interval: 13, Max Interval: 49
AssistantProfessorCandidate(ID1512) => Min Interval: 26, Max Interval: 37
AssistantProfessorCandidate(ID1514) => Min Interval: 21, Max Interval: 28
AssistantProfessorCandidate(ID1580) => Min Interval: 24, Max Interval: 27
AssistantProfessorCandidate(ID1665) => Min Interval: 14, Max Interval: 47
AssistantProfessorCandidate(ID1857) => Min Interval: 21, Max Interval: 35
AssistantProfessorCandidate(ID1860) => Min Interval: 2, Max Interval: 48
AssistantProfessorCandidate(ID1861) => Min Interval: 4, Max Interval: 32
AssistantProfessorCandidate(ID1862) => Min Interval: 20, Max Interval: 41
AssistantProfessorCandidate(ID1865) => Min Interval: 6, Max Interval: 48
AssistantProfessorCandidate(ID1870) => Min Interval: 9, Max Interval: 46
AssistantProfessorCandidate(ID1871) => Min Interval: 10, Max Interval: 23
AssistantProfessorCandidate(ID1873) => Min Interval: 9, Max Interval: 17
