Stored fact information:
Scientist(ID7) => Min Interval: 9, Max Interval: 99
Scientist(ID7908) => Min Interval: 5, Max Interval: 99
Scientist(ID7916) => Min Interval: 14, Max Interval: 99
Scientist(ID7938) => Min Interval: 31, Max Interval: 99
Scientist(ID7993) => Min Interval: 13, Max Interval: 99
Scientist(ID8019) => Min Interval: 13, Max Interval: 99
Scientist(ID8037) => Min Interval: 23, Max Interval: 99
Scientist(ID8061) => Min Interval: 5, Max Interval: 99
Scientist(ID8069) => Min Interval: 20, Max Interval: 99
Scientist(ID8084) => Min Interval: 27, Max Interval: 99
Scientist(ID8091) => Min Interval: 29, Max Interval: 99
Scientist(ID8112) => Min Interval: 5, Max Interval: 99
Scientist(ID8190) => Min Interval: 26, Max Interval: 99
Scientist(ID8217) => Min Interval: 14, Max Interval: 99
Scientist(ID8267) => Min Interval: 6, Max Interval: 99
Scientist(ID8282) => Min Interval: 6, Max Interval: 99
Scientist(ID8851) => Min Interval: 2, Max Interval: 99
Scientist(ID8863) => Min Interval: 10, Max Interval: 99
Scientist(ID8880) => Min Interval: 6, Max Interval: 99
Scientist(ID8888) => Min Interval: 3, Max Interval: 99
Scientist(ID8894) => Min Interval: 10, Max Interval: 99
Scientist(ID8895) => Min Interval: 27, Max Interval: 99
Scientist(ID8919) => Min Interval: 27, Max Interval: 99
Scientist(ID8922) => Min Interval: 8, Max Interval: 99
Scientist(ID8942) => Min Interval: 5, Max Interval: 99
Scientist(ID8944) => Min Interval: 25, Max Interval: 99
Scientist(ID8947) => Min Interval: 4, Max Interval: 99
Scientist(ID8960) => Min Interval: 18, Max Interval: 99
Scientist(ID8976) => Min Interval: 9, Max Interval: 99
Scientist(ID8990) => Min Interval: 17, Max Interval: 99
Scientist(ID8991) => Min Interval: 2, Max Interval: 99
Scientist(ID9007) => Min Interval: 6, Max Interval: 99
Scientist(ID9020) => Min Interval: 22, Max Interval: 99
Scientist(ID9031) => Min Interval: 23, Max Interval: 99
Scientist(ID9043) => Min Interval: 8, Max Interval: 99
Scientist(ID9091) => Min Interval: 7, Max Interval: 99
Scientist(ID9094) => Min Interval: 7, Max Interval: 99
Scientist(ID9106) => Min Interval: 5, Max Interval: 99
Scientist(ID9118) => Min Interval: 7, Max Interval: 99
Scientist(ID9125) => Min Interval: 1, Max Interval: 99
Scientist(ID9135) => Min Interval: 7, Max Interval: 99
Scientist(ID9150) => Min Interval: 29, Max Interval: 99
Scientist(ID9151) => Min Interval: 35, Max Interval: 99
Scientist(ID9153) => Min Interval: 27, Max Interval: 99
Scientist(ID9171) => Min Interval: 17, Max Interval: 99
Scientist(ID9201) => Min Interval: 17, Max Interval: 99
Scientist(ID9228) => Min Interval: 11, Max Interval: 99
Scientist(ID9243) => Min Interval: 23, Max Interval: 99
Scientist(ID9257) => Min Interval: 11, Max Interval: 99
Scientist(ID9276) => Min Interval: 9, Max Interval: 99
Scientist(ID9422) => Min Interval: 9, Max Interval: 99
Scientist(ID9484) => Min Interval: 11, Max Interval: 99
Scientist(ID9536) => Min Interval: 7, Max Interval: 99
Scientist(ID9947) => Min Interval: 17, Max Interval: 99
Scientist(ID9950) => Min Interval: 15, Max Interval: 99
Scientist(ID9962) => Min Interval: 4, Max Interval: 99
Scientist(ID9986) => Min Interval: 9, Max Interval: 99
Scientist(ID9997) => Min Interval: 10, Max Interval: 99
