Stored fact information:
Publication(ID12) => Min Interval: 5, Max Interval: 49
Publication(ID323) => Min Interval: 0, Max Interval: 49
Publication(ID330) => Min Interval: 2, Max Interval: 33
Publication(ID332) => Min Interval: 0, Max Interval: 48
Publication(ID338) => Min Interval: 1, Max Interval: 48
Publication(ID342) => Min Interval: 12, Max Interval: 48
Publication(ID344) => Min Interval: 2, Max Interval: 46
Publication(ID345) => Min Interval: 10, Max Interval: 45
Publication(ID354) => Min Interval: 3, Max Interval: 49
Publication(ID356) => Min Interval: 2, Max Interval: 42
Publication(ID358) => Min Interval: 7, Max Interval: 49
Publication(ID366) => Min Interval: 3, Max Interval: 41
Publication(ID378) => Min Interval: 4, Max Interval: 43
Publication(ID379) => Min Interval: 0, Max Interval: 47
Publication(ID385) => Min Interval: 2, Max Interval: 45
Publication(ID386) => Min Interval: 16, Max Interval: 49
Publication(ID397) => Min Interval: 32, Max Interval: 50
Publication(ID399) => Min Interval: 4, Max Interval: 40
Publication(ID403) => Min Interval: 12, Max Interval: 47
Publication(ID406) => Min Interval: 2, Max Interval: 44
Publication(ID409) => Min Interval: 4, Max Interval: 50
Publication(ID412) => Min Interval: 29, Max Interval: 44
Publication(ID413) => Min Interval: 6, Max Interval: 46
Publication(ID427) => Min Interval: 0, Max Interval: 50
Publication(ID433) => Min Interval: 0, Max Interval: 45
Publication(ID444) => Min Interval: 0, Max Interval: 48
Publication(ID445) => Min Interval: 3, Max Interval: 49
Publication(ID451) => Min Interval: 9, Max Interval: 49
Publication(ID460) => Min Interval: 8, Max Interval: 50
Publication(ID467) => Min Interval: 2, Max Interval: 39
Publication(ID475) => Min Interval: 3, Max Interval: 49
Publication(ID476) => Min Interval: 2, Max Interval: 42
Publication(ID477) => Min Interval: 2, Max Interval: 50
Publication(ID480) => Min Interval: 5, Max Interval: 45
Publication(ID481) => Min Interval: 7, Max Interval: 43
Publication(ID486) => Min Interval: 1, Max Interval: 50
Publication(ID487) => Min Interval: 3, Max Interval: 46
Publication(ID488) => Min Interval: 3, Max Interval: 45
Publication(ID492) => Min Interval: 2, Max Interval: 47
Publication(ID493) => Min Interval: 0, Max Interval: 38
Publication(ID494) => Min Interval: 3, Max Interval: 38
Publication(ID496) => Min Interval: 0, Max Interval: 42
Publication(ID497) => Min Interval: 8, Max Interval: 42
Publication(ID498) => Min Interval: 1, Max Interval: 47
Publication(ID500) => Min Interval: 2, Max Interval: 46
Publication(ID508) => Min Interval: 4, Max Interval: 48
Publication(ID510) => Min Interval: 10, Max Interval: 49
Publication(ID528) => Min Interval: 8, Max Interval: 45
Publication(ID529) => Min Interval: 2, Max Interval: 38
Publication(ID535) => Min Interval: 17, Max Interval: 44
Publication(ID542) => Min Interval: 1, Max Interval: 45
Publication(ID543) => Min Interval: 0, Max Interval: 50
Publication(ID547) => Min Interval: 0, Max Interval: 46
Publication(ID548) => Min Interval: 6, Max Interval: 43
Publication(ID555) => Min Interval: 7, Max Interval: 50
Publication(ID556) => Min Interval: 3, Max Interval: 43
Publication(ID560) => Min Interval: 0, Max Interval: 48
Publication(ID561) => Min Interval: 1, Max Interval: 50
Publication(ID563) => Min Interval: 4, Max Interval: 47
Publication(ID572) => Min Interval: 4, Max Interval: 41
Publication(ID573) => Min Interval: 2, Max Interval: 47
Publication(ID581) => Min Interval: 9, Max Interval: 49
Publication(ID582) => Min Interval: 0, Max Interval: 46
Publication(ID586) => Min Interval: 4, Max Interval: 49
Publication(ID588) => Min Interval: 2, Max Interval: 49
Publication(ID591) => Min Interval: 3, Max Interval: 36
Publication(ID594) => Min Interval: 1, Max Interval: 49
Publication(ID595) => Min Interval: 11, Max Interval: 47
Publication(ID601) => Min Interval: 1, Max Interval: 44
Publication(ID603) => Min Interval: 1, Max Interval: 40
Publication(ID604) => Min Interval: 1, Max Interval: 44
Publication(ID606) => Min Interval: 7, Max Interval: 40
Publication(ID609) => Min Interval: 16, Max Interval: 48
Publication(ID613) => Min Interval: 0, Max Interval: 40
Publication(ID618) => Min Interval: 3, Max Interval: 47
Publication(ID624) => Min Interval: 2, Max Interval: 40
Publication(ID625) => Min Interval: 1, Max Interval: 48
Publication(ID627) => Min Interval: 0, Max Interval: 41
Publication(ID637) => Min Interval: 16, Max Interval: 48
Publication(ID638) => Min Interval: 18, Max Interval: 43
Publication(ID639) => Min Interval: 3, Max Interval: 40
Publication(ID641) => Min Interval: 2, Max Interval: 49
Publication(ID642) => Min Interval: 0, Max Interval: 38
Publication(ID646) => Min Interval: 5, Max Interval: 50
Publication(ID651) => Min Interval: 0, Max Interval: 41
Publication(ID653) => Min Interval: 1, Max Interval: 48
Publication(ID656) => Min Interval: 2, Max Interval: 44
Publication(ID660) => Min Interval: 3, Max Interval: 47
Publication(ID662) => Min Interval: 1, Max Interval: 45
Publication(ID670) => Min Interval: 5, Max Interval: 39
Publication(ID673) => Min Interval: 31, Max Interval: 48
Publication(ID674) => Min Interval: 1, Max Interval: 48
Publication(ID675) => Min Interval: 1, Max Interval: 50
Publication(ID678) => Min Interval: 1, Max Interval: 50
Publication(ID681) => Min Interval: 5, Max Interval: 46
Publication(ID682) => Min Interval: 2, Max Interval: 50
Publication(ID685) => Min Interval: 1, Max Interval: 43
Publication(ID688) => Min Interval: 2, Max Interval: 46
Publication(ID692) => Min Interval: 11, Max Interval: 49
Publication(ID694) => Min Interval: 3, Max Interval: 45
Publication(ID695) => Min Interval: 0, Max Interval: 46
Publication(ID701) => Min Interval: 0, Max Interval: 49
Publication(ID707) => Min Interval: 14, Max Interval: 45
Publication(ID709) => Min Interval: 3, Max Interval: 50
Publication(ID710) => Min Interval: 0, Max Interval: 46
Publication(ID716) => Min Interval: 13, Max Interval: 47
Publication(ID719) => Min Interval: 1, Max Interval: 49
Publication(ID721) => Min Interval: 2, Max Interval: 48
Publication(ID722) => Min Interval: 2, Max Interval: 47
Publication(ID723) => Min Interval: 4, Max Interval: 49
Publication(ID726) => Min Interval: 5, Max Interval: 44
Publication(ID731) => Min Interval: 2, Max Interval: 49
Publication(ID732) => Min Interval: 0, Max Interval: 48
Publication(ID735) => Min Interval: 1, Max Interval: 46
Publication(ID736) => Min Interval: 3, Max Interval: 47
Publication(ID738) => Min Interval: 0, Max Interval: 38
Publication(ID743) => Min Interval: 2, Max Interval: 40
Publication(ID744) => Min Interval: 1, Max Interval: 34
Publication(ID746) => Min Interval: 0, Max Interval: 50
Publication(ID747) => Min Interval: 0, Max Interval: 46
Publication(ID756) => Min Interval: 2, Max Interval: 49
Publication(ID757) => Min Interval: 1, Max Interval: 41
Publication(ID760) => Min Interval: 5, Max Interval: 48
Publication(ID761) => Min Interval: 0, Max Interval: 45
Publication(ID769) => Min Interval: 10, Max Interval: 42
Publication(ID770) => Min Interval: 5, Max Interval: 48
Publication(ID771) => Min Interval: 1, Max Interval: 47
Publication(ID774) => Min Interval: 2, Max Interval: 42
Publication(ID776) => Min Interval: 4, Max Interval: 47
Publication(ID781) => Min Interval: 0, Max Interval: 48
Publication(ID782) => Min Interval: 4, Max Interval: 46
Publication(ID789) => Min Interval: 11, Max Interval: 50
Publication(ID790) => Min Interval: 7, Max Interval: 47
Publication(ID792) => Min Interval: 1, Max Interval: 48
Publication(ID793) => Min Interval: 4, Max Interval: 47
Publication(ID802) => Min Interval: 7, Max Interval: 45
Publication(ID804) => Min Interval: 5, Max Interval: 46
Publication(ID805) => Min Interval: 6, Max Interval: 47
Publication(ID806) => Min Interval: 1, Max Interval: 39
Publication(ID811) => Min Interval: 3, Max Interval: 36
Publication(ID812) => Min Interval: 9, Max Interval: 48
Publication(ID813) => Min Interval: 3, Max Interval: 49
Publication(ID815) => Min Interval: 10, Max Interval: 43
Publication(ID820) => Min Interval: 4, Max Interval: 43
Publication(ID824) => Min Interval: 8, Max Interval: 41
Publication(ID826) => Min Interval: 1, Max Interval: 48
Publication(ID827) => Min Interval: 2, Max Interval: 48
Publication(ID830) => Min Interval: 3, Max Interval: 46
Publication(ID835) => Min Interval: 2, Max Interval: 46
Publication(ID836) => Min Interval: 2, Max Interval: 50
Publication(ID837) => Min Interval: 6, Max Interval: 49
Publication(ID838) => Min Interval: 9, Max Interval: 48
Publication(ID839) => Min Interval: 1, Max Interval: 43
Publication(ID842) => Min Interval: 1, Max Interval: 30
Publication(ID843) => Min Interval: 16, Max Interval: 49
Publication(ID844) => Min Interval: 2, Max Interval: 49
Publication(ID851) => Min Interval: 4, Max Interval: 48
Publication(ID852) => Min Interval: 3, Max Interval: 47
Publication(ID855) => Min Interval: 1, Max Interval: 46
Publication(ID857) => Min Interval: 2, Max Interval: 47
Publication(ID858) => Min Interval: 5, Max Interval: 46
Publication(ID859) => Min Interval: 7, Max Interval: 46
Publication(ID867) => Min Interval: 20, Max Interval: 45
Publication(ID869) => Min Interval: 6, Max Interval: 50
Publication(ID872) => Min Interval: 7, Max Interval: 41
Publication(ID873) => Min Interval: 10, Max Interval: 44
Publication(ID874) => Min Interval: 0, Max Interval: 49
Publication(ID875) => Min Interval: 2, Max Interval: 49
Publication(ID881) => Min Interval: 5, Max Interval: 50
Publication(ID882) => Min Interval: 13, Max Interval: 39
Publication(ID884) => Min Interval: 13, Max Interval: 45
Publication(ID889) => Min Interval: 4, Max Interval: 47
Publication(ID891) => Min Interval: 1, Max Interval: 50
Publication(ID892) => Min Interval: 17, Max Interval: 49
Publication(ID894) => Min Interval: 9, Max Interval: 41
Publication(ID897) => Min Interval: 2, Max Interval: 49
Publication(ID902) => Min Interval: 5, Max Interval: 48
Publication(ID903) => Min Interval: 1, Max Interval: 49
Publication(ID904) => Min Interval: 7, Max Interval: 49
Publication(ID905) => Min Interval: 23, Max Interval: 50
Publication(ID907) => Min Interval: 4, Max Interval: 35
Publication(ID909) => Min Interval: 1, Max Interval: 48
Publication(ID911) => Min Interval: 0, Max Interval: 47
Publication(ID915) => Min Interval: 1, Max Interval: 46
Publication(ID919) => Min Interval: 4, Max Interval: 47
Publication(ID925) => Min Interval: 27, Max Interval: 49
Publication(ID926) => Min Interval: 13, Max Interval: 50
Publication(ID927) => Min Interval: 9, Max Interval: 48
Publication(ID943) => Min Interval: 5, Max Interval: 46
Publication(ID950) => Min Interval: 10, Max Interval: 43
Publication(ID951) => Min Interval: 1, Max Interval: 41
Publication(ID952) => Min Interval: 1, Max Interval: 42
Publication(ID957) => Min Interval: 6, Max Interval: 47
Publication(ID958) => Min Interval: 10, Max Interval: 49
Publication(ID960) => Min Interval: 2, Max Interval: 49
Publication(ID965) => Min Interval: 10, Max Interval: 48
Publication(ID966) => Min Interval: 2, Max Interval: 48
Publication(ID972) => Min Interval: 0, Max Interval: 49
Publication(ID975) => Min Interval: 1, Max Interval: 45
Publication(ID976) => Min Interval: 29, Max Interval: 50
Publication(ID977) => Min Interval: 0, Max Interval: 50
Publication(ID979) => Min Interval: 2, Max Interval: 42
Publication(ID980) => Min Interval: 0, Max Interval: 49
Publication(ID981) => Min Interval: 1, Max Interval: 37
Publication(ID983) => Min Interval: 9, Max Interval: 44
Publication(ID984) => Min Interval: 4, Max Interval: 49
Publication(ID985) => Min Interval: 4, Max Interval: 46
Publication(ID988) => Min Interval: 1, Max Interval: 50
Publication(ID991) => Min Interval: 8, Max Interval: 50
Publication(ID992) => Min Interval: 3, Max Interval: 49
Publication(ID994) => Min Interval: 8, Max Interval: 47
Publication(ID995) => Min Interval: 8, Max Interval: 44
Publication(ID998) => Min Interval: 7, Max Interval: 46
Publication(ID1002) => Min Interval: 6, Max Interval: 49
Publication(ID1004) => Min Interval: 3, Max Interval: 50
Publication(ID1007) => Min Interval: 0, Max Interval: 50
Publication(ID1008) => Min Interval: 4, Max Interval: 49
Publication(ID1016) => Min Interval: 2, Max Interval: 48
Publication(ID1017) => Min Interval: 6, Max Interval: 50
Publication(ID1020) => Min Interval: 3, Max Interval: 50
Publication(ID1021) => Min Interval: 1, Max Interval: 40
Publication(ID1022) => Min Interval: 2, Max Interval: 45
Publication(ID1024) => Min Interval: 0, Max Interval: 48
Publication(ID1025) => Min Interval: 3, Max Interval: 39
Publication(ID1026) => Min Interval: 15, Max Interval: 49
Publication(ID1027) => Min Interval: 0, Max Interval: 48
Publication(ID1032) => Min Interval: 8, Max Interval: 49
Publication(ID1036) => Min Interval: 3, Max Interval: 49
Publication(ID1039) => Min Interval: 4, Max Interval: 48
Publication(ID1042) => Min Interval: 9, Max Interval: 44
Publication(ID1046) => Min Interval: 3, Max Interval: 49
Publication(ID1052) => Min Interval: 9, Max Interval: 48
Publication(ID1054) => Min Interval: 2, Max Interval: 40
Publication(ID1055) => Min Interval: 0, Max Interval: 50
Publication(ID1060) => Min Interval: 0, Max Interval: 49
Publication(ID1062) => Min Interval: 2, Max Interval: 31
Publication(ID1063) => Min Interval: 1, Max Interval: 50
Publication(ID1065) => Min Interval: 14, Max Interval: 50
Publication(ID1069) => Min Interval: 0, Max Interval: 46
Publication(ID1073) => Min Interval: 0, Max Interval: 50
Publication(ID1075) => Min Interval: 4, Max Interval: 45
Publication(ID1079) => Min Interval: 13, Max Interval: 37
Publication(ID1083) => Min Interval: 11, Max Interval: 36
Publication(ID1085) => Min Interval: 2, Max Interval: 44
Publication(ID1086) => Min Interval: 8, Max Interval: 49
Publication(ID1093) => Min Interval: 0, Max Interval: 48
Publication(ID1098) => Min Interval: 3, Max Interval: 50
Publication(ID1102) => Min Interval: 7, Max Interval: 41
Publication(ID1103) => Min Interval: 2, Max Interval: 47
Publication(ID1104) => Min Interval: 3, Max Interval: 47
Publication(ID1105) => Min Interval: 11, Max Interval: 50
Publication(ID1108) => Min Interval: 3, Max Interval: 47
Publication(ID1109) => Min Interval: 14, Max Interval: 44
Publication(ID1113) => Min Interval: 2, Max Interval: 43
Publication(ID1115) => Min Interval: 0, Max Interval: 47
Publication(ID1118) => Min Interval: 1, Max Interval: 46
Publication(ID1122) => Min Interval: 0, Max Interval: 46
Publication(ID1124) => Min Interval: 10, Max Interval: 49
Publication(ID1127) => Min Interval: 0, Max Interval: 45
Publication(ID1130) => Min Interval: 0, Max Interval: 49
Publication(ID1132) => Min Interval: 2, Max Interval: 48
Publication(ID1133) => Min Interval: 5, Max Interval: 45
Publication(ID1134) => Min Interval: 0, Max Interval: 44
Publication(ID1138) => Min Interval: 6, Max Interval: 46
Publication(ID1141) => Min Interval: 5, Max Interval: 48
Publication(ID1143) => Min Interval: 6, Max Interval: 49
Publication(ID1144) => Min Interval: 3, Max Interval: 49
Publication(ID1146) => Min Interval: 5, Max Interval: 45
Publication(ID1147) => Min Interval: 10, Max Interval: 48
Publication(ID1155) => Min Interval: 0, Max Interval: 32
Publication(ID1164) => Min Interval: 2, Max Interval: 47
Publication(ID1167) => Min Interval: 13, Max Interval: 48
Publication(ID1169) => Min Interval: 1, Max Interval: 46
Publication(ID1171) => Min Interval: 3, Max Interval: 45
Publication(ID1172) => Min Interval: 5, Max Interval: 41
Publication(ID1174) => Min Interval: 0, Max Interval: 44
Publication(ID1175) => Min Interval: 4, Max Interval: 46
Publication(ID1178) => Min Interval: 5, Max Interval: 50
Publication(ID1179) => Min Interval: 0, Max Interval: 29
Publication(ID1182) => Min Interval: 1, Max Interval: 50
Publication(ID1184) => Min Interval: 0, Max Interval: 48
Publication(ID1185) => Min Interval: 6, Max Interval: 45
Publication(ID1188) => Min Interval: 3, Max Interval: 42
Publication(ID1190) => Min Interval: 0, Max Interval: 50
Publication(ID1191) => Min Interval: 0, Max Interval: 49
Publication(ID1204) => Min Interval: 4, Max Interval: 45
Publication(ID1205) => Min Interval: 2, Max Interval: 49
Publication(ID1206) => Min Interval: 3, Max Interval: 47
Publication(ID1209) => Min Interval: 9, Max Interval: 36
Publication(ID1217) => Min Interval: 5, Max Interval: 47
Publication(ID1220) => Min Interval: 2, Max Interval: 39
Publication(ID1222) => Min Interval: 9, Max Interval: 50
Publication(ID1223) => Min Interval: 1, Max Interval: 46
Publication(ID1227) => Min Interval: 5, Max Interval: 43
Publication(ID1228) => Min Interval: 0, Max Interval: 39
Publication(ID1230) => Min Interval: 0, Max Interval: 50
Publication(ID1233) => Min Interval: 0, Max Interval: 48
Publication(ID1238) => Min Interval: 6, Max Interval: 41
Publication(ID1247) => Min Interval: 2, Max Interval: 43
Publication(ID1249) => Min Interval: 2, Max Interval: 50
Publication(ID1253) => Min Interval: 3, Max Interval: 50
Publication(ID1258) => Min Interval: 9, Max Interval: 48
Publication(ID1259) => Min Interval: 2, Max Interval: 48
Publication(ID1260) => Min Interval: 3, Max Interval: 46
Publication(ID1261) => Min Interval: 4, Max Interval: 49
Publication(ID1265) => Min Interval: 2, Max Interval: 48
Publication(ID1269) => Min Interval: 2, Max Interval: 48
Publication(ID1272) => Min Interval: 4, Max Interval: 45
Publication(ID1273) => Min Interval: 2, Max Interval: 45
Publication(ID1275) => Min Interval: 5, Max Interval: 49
Publication(ID1278) => Min Interval: 1, Max Interval: 49
Publication(ID1280) => Min Interval: 7, Max Interval: 41
Publication(ID1282) => Min Interval: 1, Max Interval: 47
Publication(ID1283) => Min Interval: 3, Max Interval: 45
Publication(ID1284) => Min Interval: 4, Max Interval: 46
Publication(ID1286) => Min Interval: 10, Max Interval: 50
Publication(ID1290) => Min Interval: 1, Max Interval: 50
Publication(ID1292) => Min Interval: 11, Max Interval: 48
Publication(ID1293) => Min Interval: 15, Max Interval: 48
Publication(ID1305) => Min Interval: 4, Max Interval: 42
Publication(ID1307) => Min Interval: 9, Max Interval: 38
Publication(ID1310) => Min Interval: 2, Max Interval: 49
Publication(ID1311) => Min Interval: 5, Max Interval: 46
Publication(ID1313) => Min Interval: 5, Max Interval: 47
Publication(ID1322) => Min Interval: 1, Max Interval: 49
Publication(ID1323) => Min Interval: 2, Max Interval: 46
Publication(ID1325) => Min Interval: 2, Max Interval: 50
Publication(ID1326) => Min Interval: 0, Max Interval: 49
Publication(ID1327) => Min Interval: 13, Max Interval: 44
Publication(ID1329) => Min Interval: 7, Max Interval: 42
Publication(ID1332) => Min Interval: 4, Max Interval: 44
Publication(ID1338) => Min Interval: 9, Max Interval: 49
Publication(ID1341) => Min Interval: 9, Max Interval: 46
Publication(ID1342) => Min Interval: 0, Max Interval: 33
Publication(ID1345) => Min Interval: 10, Max Interval: 50
Publication(ID1352) => Min Interval: 3, Max Interval: 47
Publication(ID1354) => Min Interval: 1, Max Interval: 46
Publication(ID1357) => Min Interval: 1, Max Interval: 42
Publication(ID1362) => Min Interval: 14, Max Interval: 45
Publication(ID1363) => Min Interval: 2, Max Interval: 50
Publication(ID1366) => Min Interval: 5, Max Interval: 44
Publication(ID1368) => Min Interval: 0, Max Interval: 43
Publication(ID1377) => Min Interval: 7, Max Interval: 47
Publication(ID1386) => Min Interval: 1, Max Interval: 38
Publication(ID1389) => Min Interval: 1, Max Interval: 44
Publication(ID1396) => Min Interval: 0, Max Interval: 50
Publication(ID1397) => Min Interval: 3, Max Interval: 47
Publication(ID1400) => Min Interval: 1, Max Interval: 47
Publication(ID1406) => Min Interval: 0, Max Interval: 44
Publication(ID1415) => Min Interval: 4, Max Interval: 35
Publication(ID1416) => Min Interval: 0, Max Interval: 50
Publication(ID1417) => Min Interval: 6, Max Interval: 46
Publication(ID1422) => Min Interval: 14, Max Interval: 47
Publication(ID1423) => Min Interval: 5, Max Interval: 46
Publication(ID1424) => Min Interval: 0, Max Interval: 48
Publication(ID1425) => Min Interval: 12, Max Interval: 42
Publication(ID1427) => Min Interval: 13, Max Interval: 47
Publication(ID1430) => Min Interval: 14, Max Interval: 44
Publication(ID1434) => Min Interval: 8, Max Interval: 47
Publication(ID1436) => Min Interval: 3, Max Interval: 48
Publication(ID1438) => Min Interval: 3, Max Interval: 46
Publication(ID1446) => Min Interval: 0, Max Interval: 40
Publication(ID1448) => Min Interval: 0, Max Interval: 49
Publication(ID1452) => Min Interval: 1, Max Interval: 40
Publication(ID1453) => Min Interval: 30, Max Interval: 50
Publication(ID1460) => Min Interval: 14, Max Interval: 48
Publication(ID1476) => Min Interval: 4, Max Interval: 49
Publication(ID1479) => Min Interval: 4, Max Interval: 46
Publication(ID1498) => Min Interval: 9, Max Interval: 47
Publication(ID1509) => Min Interval: 1, Max Interval: 50
Publication(ID1511) => Min Interval: 9, Max Interval: 39
Publication(ID1518) => Min Interval: 6, Max Interval: 41
Publication(ID1519) => Min Interval: 5, Max Interval: 48
Publication(ID1526) => Min Interval: 6, Max Interval: 40
Publication(ID1527) => Min Interval: 0, Max Interval: 45
Publication(ID1530) => Min Interval: 0, Max Interval: 48
Publication(ID1533) => Min Interval: 6, Max Interval: 50
Publication(ID1538) => Min Interval: 0, Max Interval: 49
Publication(ID1541) => Min Interval: 1, Max Interval: 49
Publication(ID1543) => Min Interval: 0, Max Interval: 41
Publication(ID1545) => Min Interval: 6, Max Interval: 50
Publication(ID1549) => Min Interval: 4, Max Interval: 40
Publication(ID1550) => Min Interval: 2, Max Interval: 43
Publication(ID1555) => Min Interval: 9, Max Interval: 47
Publication(ID1557) => Min Interval: 11, Max Interval: 49
Publication(ID1558) => Min Interval: 0, Max Interval: 43
Publication(ID1561) => Min Interval: 1, Max Interval: 49
Publication(ID1563) => Min Interval: 4, Max Interval: 38
Publication(ID1572) => Min Interval: 5, Max Interval: 49
Publication(ID1574) => Min Interval: 1, Max Interval: 46
Publication(ID1583) => Min Interval: 3, Max Interval: 48
Publication(ID1587) => Min Interval: 4, Max Interval: 42
Publication(ID1593) => Min Interval: 1, Max Interval: 47
Publication(ID1596) => Min Interval: 0, Max Interval: 49
Publication(ID1605) => Min Interval: 0, Max Interval: 42
Publication(ID1606) => Min Interval: 3, Max Interval: 46
Publication(ID1618) => Min Interval: 10, Max Interval: 47
Publication(ID1622) => Min Interval: 3, Max Interval: 41
Publication(ID1629) => Min Interval: 2, Max Interval: 50
Publication(ID1637) => Min Interval: 10, Max Interval: 47
Publication(ID1654) => Min Interval: 5, Max Interval: 34
Publication(ID1658) => Min Interval: 11, Max Interval: 50
Publication(ID1662) => Min Interval: 2, Max Interval: 41
Publication(ID1672) => Min Interval: 2, Max Interval: 50
Publication(ID1688) => Min Interval: 11, Max Interval: 40
Publication(ID1722) => Min Interval: 3, Max Interval: 43
Publication(ID1771) => Min Interval: 13, Max Interval: 42
Publication(ID1776) => Min Interval: 3, Max Interval: 44
Publication(ID1859) => Min Interval: 0, Max Interval: 49
Publication(ID1864) => Min Interval: 1, Max Interval: 48
Publication(ID1867) => Min Interval: 3, Max Interval: 35
Publication(ID1868) => Min Interval: 4, Max Interval: 50
Publication(ID1880) => Min Interval: 0, Max Interval: 49
Publication(ID1885) => Min Interval: 2, Max Interval: 48
Publication(ID1888) => Min Interval: 0, Max Interval: 44
Publication(ID1890) => Min Interval: 0, Max Interval: 34
Publication(ID1893) => Min Interval: 0, Max Interval: 50
Publication(ID1902) => Min Interval: 3, Max Interval: 46
Publication(ID1907) => Min Interval: 2, Max Interval: 43
Publication(ID1912) => Min Interval: 7, Max Interval: 47
Publication(ID1913) => Min Interval: 9, Max Interval: 45
Publication(ID1930) => Min Interval: 0, Max Interval: 47
Publication(ID1933) => Min Interval: 0, Max Interval: 50
Publication(ID1934) => Min Interval: 4, Max Interval: 49
Publication(ID1939) => Min Interval: 5, Max Interval: 48
Publication(ID1945) => Min Interval: 3, Max Interval: 50
Publication(ID1948) => Min Interval: 12, Max Interval: 50
Publication(ID1949) => Min Interval: 4, Max Interval: 47
Publication(ID1952) => Min Interval: 5, Max Interval: 41
Publication(ID1956) => Min Interval: 3, Max Interval: 46
Publication(ID1963) => Min Interval: 3, Max Interval: 48
Publication(ID1976) => Min Interval: 0, Max Interval: 44
Publication(ID1977) => Min Interval: 2, Max Interval: 49
Publication(ID1978) => Min Interval: 0, Max Interval: 50
Publication(ID1979) => Min Interval: 0, Max Interval: 39
Publication(ID1981) => Min Interval: 3, Max Interval: 50
Publication(ID1984) => Min Interval: 1, Max Interval: 37
Publication(ID1989) => Min Interval: 8, Max Interval: 44
Publication(ID1991) => Min Interval: 1, Max Interval: 48
Publication(ID1995) => Min Interval: 5, Max Interval: 49
Publication(ID1998) => Min Interval: 0, Max Interval: 50
Publication(ID2000) => Min Interval: 5, Max Interval: 49
Publication(ID2004) => Min Interval: 13, Max Interval: 40
Publication(ID2008) => Min Interval: 1, Max Interval: 49
Publication(ID2011) => Min Interval: 0, Max Interval: 49
Publication(ID2015) => Min Interval: 16, Max Interval: 48
Publication(ID2020) => Min Interval: 3, Max Interval: 41
Publication(ID2021) => Min Interval: 13, Max Interval: 47
Publication(ID2026) => Min Interval: 3, Max Interval: 48
