Stored fact information:
University(ID31) => Min Interval: 6, Max Interval: 50
University(ID493) => Min Interval: 15, Max Interval: 48
University(ID510) => Min Interval: 2, Max Interval: 49
University(ID517) => Min Interval: 2, Max Interval: 47
University(ID522) => Min Interval: 3, Max Interval: 45
University(ID528) => Min Interval: 8, Max Interval: 50
University(ID556) => Min Interval: 2, Max Interval: 49
University(ID559) => Min Interval: 1, Max Interval: 46
University(ID560) => Min Interval: 4, Max Interval: 48
University(ID582) => Min Interval: 4, Max Interval: 48
University(ID593) => Min Interval: 14, Max Interval: 49
University(ID614) => Min Interval: 1, Max Interval: 48
University(ID615) => Min Interval: 2, Max Interval: 42
University(ID616) => Min Interval: 12, Max Interval: 45
University(ID617) => Min Interval: 4, Max Interval: 40
University(ID623) => Min Interval: 0, Max Interval: 43
University(ID625) => Min Interval: 0, Max Interval: 48
University(ID650) => Min Interval: 0, Max Interval: 44
University(ID666) => Min Interval: 0, Max Interval: 22
University(ID667) => Min Interval: 2, Max Interval: 40
University(ID685) => Min Interval: 1, Max Interval: 50
University(ID698) => Min Interval: 0, Max Interval: 44
University(ID725) => Min Interval: 4, Max Interval: 41
University(ID729) => Min Interval: 1, Max Interval: 50
University(ID741) => Min Interval: 9, Max Interval: 43
University(ID742) => Min Interval: 6, Max Interval: 43
University(ID751) => Min Interval: 16, Max Interval: 40
University(ID759) => Min Interval: 0, Max Interval: 46
University(ID773) => Min Interval: 6, Max Interval: 47
University(ID782) => Min Interval: 7, Max Interval: 48
University(ID785) => Min Interval: 5, Max Interval: 50
University(ID803) => Min Interval: 6, Max Interval: 42
University(ID815) => Min Interval: 0, Max Interval: 45
University(ID826) => Min Interval: 5, Max Interval: 46
University(ID829) => Min Interval: 3, Max Interval: 50
University(ID836) => Min Interval: 8, Max Interval: 39
University(ID837) => Min Interval: 5, Max Interval: 48
University(ID845) => Min Interval: 4, Max Interval: 48
University(ID875) => Min Interval: 2, Max Interval: 50
University(ID879) => Min Interval: 8, Max Interval: 49
University(ID894) => Min Interval: 11, Max Interval: 47
University(ID896) => Min Interval: 9, Max Interval: 49
University(ID897) => Min Interval: 0, Max Interval: 48
University(ID902) => Min Interval: 13, Max Interval: 50
University(ID905) => Min Interval: 10, Max Interval: 43
University(ID906) => Min Interval: 11, Max Interval: 47
University(ID909) => Min Interval: 11, Max Interval: 49
University(ID929) => Min Interval: 2, Max Interval: 27
University(ID941) => Min Interval: 17, Max Interval: 45
University(ID954) => Min Interval: 1, Max Interval: 46
University(ID960) => Min Interval: 10, Max Interval: 46
University(ID970) => Min Interval: 2, Max Interval: 32
University(ID971) => Min Interval: 5, Max Interval: 47
University(ID977) => Min Interval: 10, Max Interval: 39
University(ID981) => Min Interval: 7, Max Interval: 49
University(ID982) => Min Interval: 0, Max Interval: 50
University(ID990) => Min Interval: 2, Max Interval: 43
University(ID997) => Min Interval: 0, Max Interval: 41
University(ID1010) => Min Interval: 1, Max Interval: 49
University(ID1022) => Min Interval: 8, Max Interval: 50
University(ID1023) => Min Interval: 0, Max Interval: 42
University(ID1026) => Min Interval: 12, Max Interval: 45
University(ID1031) => Min Interval: 1, Max Interval: 46
University(ID1036) => Min Interval: 6, Max Interval: 44
University(ID1045) => Min Interval: 0, Max Interval: 48
University(ID1047) => Min Interval: 1, Max Interval: 33
University(ID1057) => Min Interval: 14, Max Interval: 48
University(ID1064) => Min Interval: 1, Max Interval: 38
University(ID1076) => Min Interval: 0, Max Interval: 48
University(ID1089) => Min Interval: 10, Max Interval: 50
University(ID1106) => Min Interval: 1, Max Interval: 34
University(ID1113) => Min Interval: 12, Max Interval: 48
University(ID1114) => Min Interval: 7, Max Interval: 44
University(ID1124) => Min Interval: 3, Max Interval: 46
University(ID1128) => Min Interval: 4, Max Interval: 41
University(ID1130) => Min Interval: 15, Max Interval: 47
University(ID1132) => Min Interval: 5, Max Interval: 45
University(ID1134) => Min Interval: 14, Max Interval: 50
University(ID1136) => Min Interval: 0, Max Interval: 42
University(ID1139) => Min Interval: 1, Max Interval: 37
University(ID1140) => Min Interval: 0, Max Interval: 33
University(ID1154) => Min Interval: 6, Max Interval: 48
University(ID1166) => Min Interval: 12, Max Interval: 46
University(ID1168) => Min Interval: 0, Max Interval: 43
University(ID1179) => Min Interval: 5, Max Interval: 49
University(ID1183) => Min Interval: 20, Max Interval: 47
University(ID1190) => Min Interval: 1, Max Interval: 37
University(ID1203) => Min Interval: 14, Max Interval: 49
University(ID1210) => Min Interval: 12, Max Interval: 45
University(ID1214) => Min Interval: 5, Max Interval: 37
University(ID1225) => Min Interval: 16, Max Interval: 37
University(ID1230) => Min Interval: 2, Max Interval: 49
University(ID1231) => Min Interval: 1, Max Interval: 50
University(ID1236) => Min Interval: 1, Max Interval: 47
University(ID1237) => Min Interval: 2, Max Interval: 46
University(ID1242) => Min Interval: 2, Max Interval: 41
University(ID1244) => Min Interval: 3, Max Interval: 48
University(ID1250) => Min Interval: 1, Max Interval: 41
University(ID1256) => Min Interval: 2, Max Interval: 45
University(ID1257) => Min Interval: 11, Max Interval: 50
University(ID1260) => Min Interval: 16, Max Interval: 45
University(ID1264) => Min Interval: 4, Max Interval: 49
University(ID1265) => Min Interval: 4, Max Interval: 37
University(ID1267) => Min Interval: 13, Max Interval: 49
University(ID1272) => Min Interval: 3, Max Interval: 48
University(ID1273) => Min Interval: 1, Max Interval: 45
University(ID1274) => Min Interval: 7, Max Interval: 50
University(ID1289) => Min Interval: 3, Max Interval: 37
University(ID1290) => Min Interval: 1, Max Interval: 50
University(ID1291) => Min Interval: 7, Max Interval: 49
University(ID1296) => Min Interval: 11, Max Interval: 42
University(ID1297) => Min Interval: 1, Max Interval: 47
University(ID1298) => Min Interval: 4, Max Interval: 42
University(ID1299) => Min Interval: 0, Max Interval: 49
University(ID1304) => Min Interval: 0, Max Interval: 42
University(ID1305) => Min Interval: 0, Max Interval: 43
University(ID1314) => Min Interval: 4, Max Interval: 49
University(ID1315) => Min Interval: 3, Max Interval: 49
University(ID1316) => Min Interval: 0, Max Interval: 46
University(ID1317) => Min Interval: 0, Max Interval: 47
University(ID1336) => Min Interval: 2, Max Interval: 48
University(ID1339) => Min Interval: 0, Max Interval: 48
University(ID1347) => Min Interval: 1, Max Interval: 48
University(ID1349) => Min Interval: 4, Max Interval: 39
University(ID1358) => Min Interval: 3, Max Interval: 32
University(ID1361) => Min Interval: 5, Max Interval: 50
University(ID1367) => Min Interval: 23, Max Interval: 50
University(ID1370) => Min Interval: 2, Max Interval: 46
University(ID1374) => Min Interval: 9, Max Interval: 46
University(ID1379) => Min Interval: 6, Max Interval: 45
University(ID1385) => Min Interval: 1, Max Interval: 50
University(ID1391) => Min Interval: 5, Max Interval: 34
University(ID1402) => Min Interval: 4, Max Interval: 50
University(ID1409) => Min Interval: 1, Max Interval: 48
University(ID1414) => Min Interval: 2, Max Interval: 45
University(ID1421) => Min Interval: 4, Max Interval: 49
University(ID1426) => Min Interval: 2, Max Interval: 47
University(ID1431) => Min Interval: 2, Max Interval: 45
University(ID1433) => Min Interval: 8, Max Interval: 43
University(ID1454) => Min Interval: 18, Max Interval: 48
University(ID1464) => Min Interval: 8, Max Interval: 47
University(ID1485) => Min Interval: 3, Max Interval: 41
University(ID1491) => Min Interval: 4, Max Interval: 44
University(ID1494) => Min Interval: 6, Max Interval: 50
University(ID1511) => Min Interval: 5, Max Interval: 49
University(ID1514) => Min Interval: 5, Max Interval: 42
University(ID1516) => Min Interval: 2, Max Interval: 50
University(ID1518) => Min Interval: 2, Max Interval: 42
University(ID1522) => Min Interval: 1, Max Interval: 34
University(ID1529) => Min Interval: 1, Max Interval: 39
University(ID1534) => Min Interval: 2, Max Interval: 45
University(ID1538) => Min Interval: 4, Max Interval: 43
University(ID1543) => Min Interval: 7, Max Interval: 42
University(ID1551) => Min Interval: 5, Max Interval: 46
University(ID1556) => Min Interval: 0, Max Interval: 50
University(ID1561) => Min Interval: 5, Max Interval: 47
University(ID1571) => Min Interval: 2, Max Interval: 49
University(ID1573) => Min Interval: 3, Max Interval: 50
University(ID1644) => Min Interval: 13, Max Interval: 48
University(ID1682) => Min Interval: 2, Max Interval: 45
University(ID1705) => Min Interval: 17, Max Interval: 32
University(ID1725) => Min Interval: 2, Max Interval: 32
University(ID1753) => Min Interval: 16, Max Interval: 45
University(ID1756) => Min Interval: 1, Max Interval: 45
University(ID1825) => Min Interval: 3, Max Interval: 36
University(ID1881) => Min Interval: 6, Max Interval: 34
University(ID1900) => Min Interval: 1, Max Interval: 43
University(ID1908) => Min Interval: 0, Max Interval: 40
University(ID1912) => Min Interval: 25, Max Interval: 36
University(ID1914) => Min Interval: 4, Max Interval: 27
University(ID1927) => Min Interval: 11, Max Interval: 41
University(ID1947) => Min Interval: 5, Max Interval: 30
University(ID1970) => Min Interval: 14, Max Interval: 49
University(ID1973) => Min Interval: 11, Max Interval: 42
University(ID1986) => Min Interval: 1, Max Interval: 40
University(ID2014) => Min Interval: 3, Max Interval: 36
University(ID2017) => Min Interval: 1, Max Interval: 46
