Stored fact information:
Organization(ID9) => Min Interval: 1, Max Interval: 48
Organization(ID706) => Min Interval: 4, Max Interval: 43
Organization(ID728) => Min Interval: 3, Max Interval: 47
Organization(ID730) => Min Interval: 4, Max Interval: 48
Organization(ID739) => Min Interval: 5, Max Interval: 49
Organization(ID748) => Min Interval: 2, Max Interval: 48
Organization(ID750) => Min Interval: 6, Max Interval: 49
Organization(ID758) => Min Interval: 1, Max Interval: 50
Organization(ID763) => Min Interval: 12, Max Interval: 45
Organization(ID787) => Min Interval: 1, Max Interval: 48
Organization(ID801) => Min Interval: 3, Max Interval: 47
Organization(ID807) => Min Interval: 0, Max Interval: 48
Organization(ID808) => Min Interval: 1, Max Interval: 43
Organization(ID818) => Min Interval: 0, Max Interval: 40
Organization(ID846) => Min Interval: 1, Max Interval: 49
Organization(ID848) => Min Interval: 2, Max Interval: 49
Organization(ID883) => Min Interval: 0, Max Interval: 48
Organization(ID893) => Min Interval: 1, Max Interval: 49
Organization(ID900) => Min Interval: 0, Max Interval: 50
Organization(ID906) => Min Interval: 1, Max Interval: 50
Organization(ID922) => Min Interval: 3, Max Interval: 50
Organization(ID929) => Min Interval: 0, Max Interval: 50
Organization(ID930) => Min Interval: 6, Max Interval: 48
Organization(ID931) => Min Interval: 1, Max Interval: 50
Organization(ID935) => Min Interval: 2, Max Interval: 44
Organization(ID936) => Min Interval: 0, Max Interval: 49
Organization(ID942) => Min Interval: 1, Max Interval: 49
Organization(ID959) => Min Interval: 0, Max Interval: 45
Organization(ID967) => Min Interval: 1, Max Interval: 49
Organization(ID970) => Min Interval: 3, Max Interval: 46
Organization(ID971) => Min Interval: 0, Max Interval: 47
Organization(ID987) => Min Interval: 0, Max Interval: 50
Organization(ID990) => Min Interval: 0, Max Interval: 50
Organization(ID999) => Min Interval: 1, Max Interval: 46
Organization(ID1000) => Min Interval: 0, Max Interval: 50
Organization(ID1010) => Min Interval: 4, Max Interval: 29
Organization(ID1015) => Min Interval: 0, Max Interval: 49
Organization(ID1030) => Min Interval: 9, Max Interval: 32
Organization(ID1031) => Min Interval: 1, Max Interval: 44
Organization(ID1034) => Min Interval: 0, Max Interval: 50
Organization(ID1040) => Min Interval: 1, Max Interval: 49
Organization(ID1041) => Min Interval: 2, Max Interval: 47
Organization(ID1045) => Min Interval: 1, Max Interval: 45
Organization(ID1058) => Min Interval: 0, Max Interval: 50
Organization(ID1059) => Min Interval: 2, Max Interval: 49
Organization(ID1074) => Min Interval: 4, Max Interval: 49
Organization(ID1076) => Min Interval: 1, Max Interval: 44
Organization(ID1077) => Min Interval: 1, Max Interval: 49
Organization(ID1090) => Min Interval: 0, Max Interval: 47
Organization(ID1091) => Min Interval: 6, Max Interval: 49
Organization(ID1100) => Min Interval: 0, Max Interval: 48
Organization(ID1106) => Min Interval: 1, Max Interval: 37
Organization(ID1107) => Min Interval: 16, Max Interval: 48
Organization(ID1110) => Min Interval: 4, Max Interval: 49
Organization(ID1111) => Min Interval: 0, Max Interval: 49
Organization(ID1112) => Min Interval: 2, Max Interval: 49
Organization(ID1117) => Min Interval: 4, Max Interval: 50
Organization(ID1123) => Min Interval: 1, Max Interval: 50
Organization(ID1135) => Min Interval: 0, Max Interval: 50
Organization(ID1139) => Min Interval: 3, Max Interval: 49
Organization(ID1149) => Min Interval: 2, Max Interval: 40
Organization(ID1150) => Min Interval: 5, Max Interval: 50
Organization(ID1183) => Min Interval: 1, Max Interval: 49
Organization(ID1193) => Min Interval: 1, Max Interval: 50
Organization(ID1203) => Min Interval: 0, Max Interval: 45
Organization(ID1211) => Min Interval: 0, Max Interval: 43
Organization(ID1212) => Min Interval: 4, Max Interval: 50
Organization(ID1221) => Min Interval: 1, Max Interval: 50
Organization(ID1229) => Min Interval: 1, Max Interval: 50
Organization(ID1232) => Min Interval: 0, Max Interval: 40
Organization(ID1243) => Min Interval: 7, Max Interval: 44
Organization(ID1244) => Min Interval: 4, Max Interval: 48
Organization(ID1248) => Min Interval: 6, Max Interval: 50
Organization(ID1256) => Min Interval: 0, Max Interval: 49
Organization(ID1257) => Min Interval: 2, Max Interval: 50
Organization(ID1263) => Min Interval: 0, Max Interval: 46
Organization(ID1264) => Min Interval: 4, Max Interval: 50
Organization(ID1266) => Min Interval: 1, Max Interval: 50
Organization(ID1268) => Min Interval: 1, Max Interval: 49
Organization(ID1270) => Min Interval: 0, Max Interval: 50
Organization(ID1276) => Min Interval: 0, Max Interval: 49
Organization(ID1281) => Min Interval: 1, Max Interval: 43
Organization(ID1294) => Min Interval: 3, Max Interval: 48
Organization(ID1301) => Min Interval: 3, Max Interval: 31
Organization(ID1312) => Min Interval: 4, Max Interval: 50
Organization(ID1314) => Min Interval: 1, Max Interval: 49
Organization(ID1333) => Min Interval: 0, Max Interval: 49
Organization(ID1349) => Min Interval: 8, Max Interval: 46
Organization(ID1350) => Min Interval: 3, Max Interval: 43
Organization(ID1356) => Min Interval: 3, Max Interval: 48
Organization(ID1358) => Min Interval: 0, Max Interval: 50
Organization(ID1360) => Min Interval: 1, Max Interval: 50
Organization(ID1361) => Min Interval: 6, Max Interval: 49
Organization(ID1364) => Min Interval: 5, Max Interval: 46
Organization(ID1365) => Min Interval: 0, Max Interval: 50
Organization(ID1369) => Min Interval: 4, Max Interval: 47
Organization(ID1370) => Min Interval: 6, Max Interval: 50
Organization(ID1373) => Min Interval: 0, Max Interval: 42
Organization(ID1374) => Min Interval: 0, Max Interval: 49
Organization(ID1376) => Min Interval: 1, Max Interval: 44
Organization(ID1385) => Min Interval: 2, Max Interval: 49
Organization(ID1388) => Min Interval: 0, Max Interval: 48
Organization(ID1391) => Min Interval: 1, Max Interval: 50
Organization(ID1395) => Min Interval: 1, Max Interval: 50
Organization(ID1401) => Min Interval: 0, Max Interval: 50
Organization(ID1407) => Min Interval: 0, Max Interval: 50
Organization(ID1420) => Min Interval: 3, Max Interval: 48
Organization(ID1421) => Min Interval: 4, Max Interval: 50
Organization(ID1429) => Min Interval: 2, Max Interval: 50
Organization(ID1431) => Min Interval: 0, Max Interval: 50
Organization(ID1432) => Min Interval: 1, Max Interval: 40
Organization(ID1435) => Min Interval: 4, Max Interval: 49
Organization(ID1437) => Min Interval: 1, Max Interval: 49
Organization(ID1443) => Min Interval: 2, Max Interval: 50
Organization(ID1444) => Min Interval: 2, Max Interval: 48
Organization(ID1445) => Min Interval: 0, Max Interval: 49
Organization(ID1451) => Min Interval: 3, Max Interval: 48
Organization(ID1457) => Min Interval: 0, Max Interval: 48
Organization(ID1458) => Min Interval: 0, Max Interval: 48
Organization(ID1462) => Min Interval: 3, Max Interval: 48
Organization(ID1468) => Min Interval: 9, Max Interval: 50
Organization(ID1472) => Min Interval: 2, Max Interval: 45
Organization(ID1473) => Min Interval: 1, Max Interval: 50
Organization(ID1474) => Min Interval: 1, Max Interval: 50
Organization(ID1475) => Min Interval: 0, Max Interval: 50
Organization(ID1477) => Min Interval: 4, Max Interval: 47
Organization(ID1478) => Min Interval: 0, Max Interval: 49
Organization(ID1483) => Min Interval: 5, Max Interval: 43
Organization(ID1486) => Min Interval: 1, Max Interval: 50
Organization(ID1493) => Min Interval: 1, Max Interval: 50
Organization(ID1503) => Min Interval: 0, Max Interval: 48
Organization(ID1510) => Min Interval: 17, Max Interval: 50
Organization(ID1536) => Min Interval: 1, Max Interval: 50
Organization(ID1539) => Min Interval: 2, Max Interval: 46
Organization(ID1540) => Min Interval: 1, Max Interval: 50
Organization(ID1546) => Min Interval: 0, Max Interval: 48
Organization(ID1548) => Min Interval: 0, Max Interval: 44
Organization(ID1552) => Min Interval: 0, Max Interval: 48
Organization(ID1554) => Min Interval: 0, Max Interval: 47
Organization(ID1559) => Min Interval: 7, Max Interval: 50
Organization(ID1560) => Min Interval: 1, Max Interval: 48
Organization(ID1564) => Min Interval: 0, Max Interval: 49
Organization(ID1565) => Min Interval: 0, Max Interval: 47
Organization(ID1576) => Min Interval: 2, Max Interval: 50
Organization(ID1577) => Min Interval: 17, Max Interval: 47
Organization(ID1584) => Min Interval: 2, Max Interval: 46
Organization(ID1586) => Min Interval: 0, Max Interval: 48
Organization(ID1595) => Min Interval: 1, Max Interval: 50
Organization(ID1607) => Min Interval: 8, Max Interval: 46
Organization(ID1610) => Min Interval: 0, Max Interval: 49
Organization(ID1614) => Min Interval: 1, Max Interval: 50
Organization(ID1623) => Min Interval: 5, Max Interval: 45
Organization(ID1626) => Min Interval: 2, Max Interval: 50
Organization(ID1628) => Min Interval: 10, Max Interval: 49
Organization(ID1650) => Min Interval: 3, Max Interval: 50
Organization(ID1667) => Min Interval: 6, Max Interval: 48
Organization(ID1668) => Min Interval: 5, Max Interval: 50
Organization(ID1674) => Min Interval: 0, Max Interval: 49
Organization(ID1675) => Min Interval: 1, Max Interval: 49
Organization(ID1676) => Min Interval: 2, Max Interval: 46
Organization(ID1703) => Min Interval: 0, Max Interval: 50
Organization(ID1711) => Min Interval: 8, Max Interval: 49
Organization(ID1712) => Min Interval: 1, Max Interval: 50
Organization(ID1714) => Min Interval: 0, Max Interval: 50
Organization(ID1724) => Min Interval: 1, Max Interval: 50
Organization(ID1725) => Min Interval: 4, Max Interval: 46
Organization(ID1732) => Min Interval: 1, Max Interval: 47
Organization(ID1759) => Min Interval: 0, Max Interval: 46
Organization(ID1762) => Min Interval: 3, Max Interval: 40
Organization(ID1785) => Min Interval: 7, Max Interval: 49
Organization(ID1804) => Min Interval: 11, Max Interval: 48
Organization(ID1805) => Min Interval: 4, Max Interval: 48
Organization(ID1810) => Min Interval: 5, Max Interval: 46
Organization(ID1887) => Min Interval: 1, Max Interval: 44
Organization(ID1899) => Min Interval: 6, Max Interval: 50
Organization(ID1901) => Min Interval: 1, Max Interval: 46
Organization(ID1928) => Min Interval: 0, Max Interval: 50
Organization(ID1940) => Min Interval: 1, Max Interval: 47
Organization(ID2019) => Min Interval: 0, Max Interval: 46
Organization(ID2024) => Min Interval: 0, Max Interval: 50
Organization(ID2037) => Min Interval: 12, Max Interval: 49
Organization(ID2049) => Min Interval: 0, Max Interval: 49
Organization(ID2058) => Min Interval: 6, Max Interval: 50
Organization(ID2083) => Min Interval: 10, Max Interval: 45
Organization(ID2087) => Min Interval: 2, Max Interval: 46
Organization(ID2107) => Min Interval: 5, Max Interval: 50
Organization(ID2110) => Min Interval: 1, Max Interval: 49
Organization(ID2129) => Min Interval: 1, Max Interval: 48
Organization(ID2137) => Min Interval: 0, Max Interval: 48
Organization(ID2177) => Min Interval: 0, Max Interval: 50
Organization(ID2185) => Min Interval: 4, Max Interval: 41
Organization(ID2186) => Min Interval: 0, Max Interval: 50
Organization(ID2189) => Min Interval: 3, Max Interval: 49
Organization(ID2195) => Min Interval: 0, Max Interval: 50
Organization(ID2209) => Min Interval: 5, Max Interval: 43
Organization(ID2233) => Min Interval: 5, Max Interval: 47
Organization(ID2242) => Min Interval: 1, Max Interval: 45
Organization(ID2246) => Min Interval: 1, Max Interval: 50
Organization(ID2258) => Min Interval: 3, Max Interval: 50
Organization(ID2260) => Min Interval: 1, Max Interval: 42
Organization(ID2266) => Min Interval: 1, Max Interval: 44
Organization(ID2280) => Min Interval: 1, Max Interval: 46
Organization(ID2288) => Min Interval: 14, Max Interval: 33
Organization(ID2289) => Min Interval: 2, Max Interval: 48
Organization(ID2308) => Min Interval: 1, Max Interval: 50
Organization(ID2309) => Min Interval: 1, Max Interval: 40
Organization(ID2318) => Min Interval: 0, Max Interval: 50
Organization(ID2329) => Min Interval: 12, Max Interval: 50
Organization(ID2333) => Min Interval: 0, Max Interval: 50
Organization(ID2337) => Min Interval: 7, Max Interval: 49
Organization(ID2349) => Min Interval: 4, Max Interval: 46
Organization(ID2364) => Min Interval: 2, Max Interval: 48
Organization(ID2369) => Min Interval: 0, Max Interval: 35
Organization(ID2382) => Min Interval: 1, Max Interval: 37
Organization(ID2385) => Min Interval: 0, Max Interval: 50
Organization(ID2389) => Min Interval: 2, Max Interval: 49
Organization(ID2397) => Min Interval: 0, Max Interval: 50
Organization(ID2414) => Min Interval: 1, Max Interval: 50
Organization(ID2424) => Min Interval: 6, Max Interval: 50
Organization(ID2426) => Min Interval: 0, Max Interval: 50
Organization(ID2431) => Min Interval: 1, Max Interval: 48
Organization(ID2442) => Min Interval: 0, Max Interval: 49
Organization(ID2453) => Min Interval: 4, Max Interval: 49
Organization(ID2456) => Min Interval: 4, Max Interval: 49
Organization(ID2457) => Min Interval: 0, Max Interval: 49
Organization(ID2472) => Min Interval: 1, Max Interval: 43
Organization(ID2478) => Min Interval: 0, Max Interval: 50
Organization(ID2479) => Min Interval: 6, Max Interval: 50
Organization(ID2482) => Min Interval: 1, Max Interval: 50
Organization(ID2493) => Min Interval: 2, Max Interval: 44
Organization(ID2494) => Min Interval: 1, Max Interval: 48
Organization(ID2495) => Min Interval: 0, Max Interval: 50
Organization(ID2496) => Min Interval: 0, Max Interval: 37
Organization(ID2497) => Min Interval: 2, Max Interval: 46
Organization(ID2508) => Min Interval: 1, Max Interval: 50
Organization(ID2517) => Min Interval: 0, Max Interval: 50
Organization(ID2521) => Min Interval: 3, Max Interval: 50
Organization(ID2533) => Min Interval: 1, Max Interval: 47
Organization(ID2538) => Min Interval: 1, Max Interval: 50
Organization(ID2539) => Min Interval: 1, Max Interval: 48
Organization(ID2541) => Min Interval: 1, Max Interval: 49
Organization(ID2552) => Min Interval: 6, Max Interval: 50
Organization(ID2555) => Min Interval: 3, Max Interval: 50
Organization(ID2565) => Min Interval: 7, Max Interval: 50
Organization(ID2570) => Min Interval: 0, Max Interval: 49
Organization(ID2582) => Min Interval: 3, Max Interval: 46
Organization(ID2589) => Min Interval: 0, Max Interval: 46
Organization(ID2594) => Min Interval: 0, Max Interval: 47
Organization(ID2595) => Min Interval: 5, Max Interval: 50
Organization(ID2597) => Min Interval: 0, Max Interval: 49
Organization(ID2603) => Min Interval: 8, Max Interval: 50
Organization(ID2607) => Min Interval: 8, Max Interval: 47
Organization(ID2609) => Min Interval: 0, Max Interval: 50
Organization(ID2610) => Min Interval: 4, Max Interval: 43
Organization(ID2616) => Min Interval: 1, Max Interval: 36
Organization(ID2622) => Min Interval: 3, Max Interval: 47
Organization(ID2623) => Min Interval: 4, Max Interval: 50
Organization(ID2636) => Min Interval: 0, Max Interval: 44
Organization(ID2642) => Min Interval: 5, Max Interval: 50
Organization(ID2657) => Min Interval: 0, Max Interval: 50
Organization(ID2658) => Min Interval: 2, Max Interval: 32
Organization(ID2661) => Min Interval: 0, Max Interval: 50
Organization(ID2668) => Min Interval: 1, Max Interval: 50
Organization(ID2670) => Min Interval: 9, Max Interval: 45
Organization(ID2673) => Min Interval: 0, Max Interval: 50
Organization(ID2675) => Min Interval: 5, Max Interval: 49
Organization(ID2677) => Min Interval: 0, Max Interval: 42
Organization(ID2678) => Min Interval: 1, Max Interval: 49
Organization(ID2684) => Min Interval: 1, Max Interval: 50
Organization(ID2690) => Min Interval: 2, Max Interval: 46
Organization(ID2694) => Min Interval: 0, Max Interval: 43
Organization(ID2696) => Min Interval: 1, Max Interval: 49
Organization(ID2700) => Min Interval: 4, Max Interval: 49
Organization(ID2705) => Min Interval: 0, Max Interval: 41
Organization(ID2708) => Min Interval: 0, Max Interval: 50
Organization(ID2709) => Min Interval: 1, Max Interval: 49
Organization(ID2713) => Min Interval: 3, Max Interval: 50
Organization(ID2718) => Min Interval: 1, Max Interval: 49
Organization(ID2719) => Min Interval: 1, Max Interval: 49
Organization(ID2720) => Min Interval: 1, Max Interval: 49
Organization(ID2721) => Min Interval: 1, Max Interval: 47
Organization(ID2724) => Min Interval: 19, Max Interval: 44
Organization(ID2729) => Min Interval: 1, Max Interval: 39
Organization(ID2732) => Min Interval: 2, Max Interval: 50
Organization(ID2734) => Min Interval: 0, Max Interval: 50
Organization(ID2735) => Min Interval: 0, Max Interval: 50
Organization(ID2736) => Min Interval: 6, Max Interval: 50
Organization(ID2737) => Min Interval: 0, Max Interval: 48
Organization(ID2738) => Min Interval: 4, Max Interval: 50
Organization(ID2739) => Min Interval: 0, Max Interval: 49
Organization(ID2740) => Min Interval: 0, Max Interval: 49
Organization(ID2747) => Min Interval: 0, Max Interval: 49
Organization(ID2748) => Min Interval: 4, Max Interval: 45
Organization(ID2749) => Min Interval: 1, Max Interval: 43
Organization(ID2750) => Min Interval: 2, Max Interval: 50
Organization(ID2757) => Min Interval: 1, Max Interval: 41
Organization(ID2758) => Min Interval: 1, Max Interval: 50
Organization(ID2760) => Min Interval: 14, Max Interval: 50
Organization(ID2763) => Min Interval: 0, Max Interval: 50
Organization(ID2765) => Min Interval: 0, Max Interval: 50
Organization(ID2767) => Min Interval: 1, Max Interval: 49
Organization(ID2768) => Min Interval: 0, Max Interval: 46
Organization(ID2769) => Min Interval: 0, Max Interval: 50
Organization(ID2771) => Min Interval: 1, Max Interval: 50
Organization(ID2772) => Min Interval: 5, Max Interval: 48
Organization(ID2776) => Min Interval: 4, Max Interval: 47
Organization(ID2780) => Min Interval: 1, Max Interval: 50
Organization(ID2782) => Min Interval: 1, Max Interval: 45
Organization(ID2785) => Min Interval: 4, Max Interval: 49
Organization(ID2786) => Min Interval: 0, Max Interval: 50
Organization(ID2787) => Min Interval: 0, Max Interval: 50
Organization(ID2788) => Min Interval: 3, Max Interval: 38
Organization(ID2789) => Min Interval: 1, Max Interval: 48
Organization(ID2790) => Min Interval: 2, Max Interval: 48
Organization(ID2791) => Min Interval: 0, Max Interval: 50
Organization(ID2793) => Min Interval: 5, Max Interval: 50
Organization(ID2795) => Min Interval: 2, Max Interval: 49
Organization(ID2797) => Min Interval: 0, Max Interval: 46
Organization(ID2803) => Min Interval: 1, Max Interval: 42
Organization(ID2804) => Min Interval: 1, Max Interval: 40
Organization(ID2805) => Min Interval: 2, Max Interval: 49
Organization(ID2808) => Min Interval: 8, Max Interval: 36
Organization(ID2809) => Min Interval: 0, Max Interval: 50
Organization(ID2810) => Min Interval: 1, Max Interval: 49
Organization(ID2812) => Min Interval: 0, Max Interval: 49
Organization(ID2813) => Min Interval: 0, Max Interval: 39
Organization(ID2814) => Min Interval: 6, Max Interval: 50
Organization(ID2816) => Min Interval: 5, Max Interval: 50
Organization(ID2817) => Min Interval: 10, Max Interval: 47
Organization(ID2819) => Min Interval: 2, Max Interval: 45
Organization(ID2821) => Min Interval: 2, Max Interval: 49
Organization(ID2823) => Min Interval: 0, Max Interval: 50
Organization(ID2825) => Min Interval: 2, Max Interval: 40
Organization(ID2826) => Min Interval: 0, Max Interval: 50
Organization(ID2827) => Min Interval: 0, Max Interval: 48
Organization(ID2828) => Min Interval: 0, Max Interval: 49
Organization(ID2858) => Min Interval: 0, Max Interval: 50
Organization(ID2878) => Min Interval: 3, Max Interval: 50
Organization(ID2898) => Min Interval: 2, Max Interval: 50
Organization(ID2911) => Min Interval: 3, Max Interval: 50
Organization(ID2917) => Min Interval: 9, Max Interval: 45
Organization(ID2935) => Min Interval: 0, Max Interval: 50
Organization(ID2957) => Min Interval: 1, Max Interval: 49
Organization(ID3010) => Min Interval: 1, Max Interval: 48
Organization(ID3019) => Min Interval: 1, Max Interval: 50
Organization(ID3054) => Min Interval: 2, Max Interval: 48
Organization(ID3068) => Min Interval: 0, Max Interval: 50
Organization(ID3070) => Min Interval: 3, Max Interval: 49
Organization(ID3080) => Min Interval: 3, Max Interval: 44
Organization(ID3089) => Min Interval: 0, Max Interval: 47
Organization(ID3119) => Min Interval: 3, Max Interval: 47
Organization(ID3126) => Min Interval: 2, Max Interval: 50
Organization(ID3136) => Min Interval: 1, Max Interval: 49
Organization(ID3170) => Min Interval: 3, Max Interval: 50
Organization(ID3200) => Min Interval: 5, Max Interval: 48
Organization(ID3214) => Min Interval: 6, Max Interval: 50
Organization(ID3216) => Min Interval: 8, Max Interval: 46
Organization(ID3218) => Min Interval: 5, Max Interval: 49
Organization(ID3245) => Min Interval: 4, Max Interval: 49
Organization(ID3254) => Min Interval: 3, Max Interval: 49
Organization(ID3255) => Min Interval: 1, Max Interval: 49
Organization(ID3268) => Min Interval: 4, Max Interval: 49
Organization(ID3288) => Min Interval: 1, Max Interval: 49
Organization(ID3299) => Min Interval: 1, Max Interval: 43
Organization(ID3301) => Min Interval: 0, Max Interval: 50
Organization(ID3306) => Min Interval: 2, Max Interval: 49
Organization(ID3322) => Min Interval: 14, Max Interval: 47
Organization(ID3326) => Min Interval: 0, Max Interval: 50
Organization(ID3328) => Min Interval: 7, Max Interval: 44
Organization(ID3332) => Min Interval: 2, Max Interval: 48
Organization(ID3342) => Min Interval: 3, Max Interval: 48
Organization(ID3345) => Min Interval: 1, Max Interval: 50
Organization(ID3348) => Min Interval: 1, Max Interval: 50
Organization(ID3359) => Min Interval: 1, Max Interval: 43
Organization(ID3360) => Min Interval: 2, Max Interval: 50
Organization(ID3366) => Min Interval: 1, Max Interval: 49
Organization(ID3378) => Min Interval: 1, Max Interval: 50
Organization(ID3380) => Min Interval: 3, Max Interval: 48
Organization(ID3385) => Min Interval: 1, Max Interval: 49
Organization(ID3386) => Min Interval: 0, Max Interval: 49
Organization(ID3387) => Min Interval: 1, Max Interval: 48
Organization(ID3399) => Min Interval: 3, Max Interval: 47
Organization(ID3408) => Min Interval: 6, Max Interval: 45
Organization(ID3413) => Min Interval: 5, Max Interval: 50
Organization(ID3419) => Min Interval: 1, Max Interval: 49
Organization(ID3435) => Min Interval: 0, Max Interval: 50
Organization(ID3446) => Min Interval: 1, Max Interval: 50
Organization(ID3463) => Min Interval: 0, Max Interval: 42
Organization(ID3466) => Min Interval: 4, Max Interval: 47
Organization(ID3469) => Min Interval: 5, Max Interval: 49
Organization(ID3470) => Min Interval: 1, Max Interval: 50
Organization(ID3484) => Min Interval: 6, Max Interval: 46
Organization(ID3485) => Min Interval: 0, Max Interval: 50
Organization(ID3491) => Min Interval: 3, Max Interval: 48
Organization(ID3498) => Min Interval: 0, Max Interval: 46
Organization(ID3501) => Min Interval: 0, Max Interval: 49
Organization(ID3503) => Min Interval: 3, Max Interval: 50
Organization(ID3515) => Min Interval: 3, Max Interval: 48
Organization(ID3524) => Min Interval: 3, Max Interval: 50
Organization(ID3536) => Min Interval: 4, Max Interval: 49
Organization(ID3538) => Min Interval: 2, Max Interval: 40
Organization(ID3548) => Min Interval: 2, Max Interval: 48
Organization(ID3549) => Min Interval: 8, Max Interval: 42
Organization(ID3561) => Min Interval: 3, Max Interval: 48
Organization(ID3574) => Min Interval: 12, Max Interval: 48
Organization(ID3589) => Min Interval: 3, Max Interval: 48
Organization(ID3591) => Min Interval: 2, Max Interval: 49
Organization(ID3606) => Min Interval: 0, Max Interval: 47
Organization(ID3608) => Min Interval: 0, Max Interval: 45
Organization(ID3614) => Min Interval: 0, Max Interval: 47
Organization(ID3622) => Min Interval: 3, Max Interval: 37
Organization(ID3625) => Min Interval: 1, Max Interval: 49
Organization(ID3637) => Min Interval: 9, Max Interval: 48
Organization(ID3638) => Min Interval: 3, Max Interval: 47
Organization(ID3647) => Min Interval: 2, Max Interval: 47
Organization(ID3648) => Min Interval: 3, Max Interval: 50
Organization(ID3655) => Min Interval: 7, Max Interval: 40
Organization(ID3660) => Min Interval: 3, Max Interval: 48
Organization(ID3663) => Min Interval: 0, Max Interval: 48
Organization(ID3665) => Min Interval: 1, Max Interval: 50
Organization(ID3670) => Min Interval: 3, Max Interval: 47
Organization(ID3679) => Min Interval: 3, Max Interval: 36
Organization(ID3681) => Min Interval: 1, Max Interval: 50
Organization(ID3687) => Min Interval: 1, Max Interval: 44
Organization(ID3688) => Min Interval: 1, Max Interval: 47
Organization(ID3693) => Min Interval: 9, Max Interval: 48
Organization(ID3694) => Min Interval: 5, Max Interval: 44
Organization(ID3700) => Min Interval: 1, Max Interval: 41
Organization(ID3705) => Min Interval: 0, Max Interval: 45
Organization(ID3713) => Min Interval: 0, Max Interval: 48
Organization(ID3718) => Min Interval: 2, Max Interval: 45
Organization(ID3719) => Min Interval: 0, Max Interval: 50
Organization(ID3723) => Min Interval: 0, Max Interval: 50
Organization(ID3737) => Min Interval: 2, Max Interval: 47
Organization(ID3740) => Min Interval: 0, Max Interval: 46
Organization(ID3754) => Min Interval: 1, Max Interval: 48
Organization(ID3757) => Min Interval: 0, Max Interval: 48
Organization(ID3760) => Min Interval: 1, Max Interval: 48
Organization(ID3763) => Min Interval: 0, Max Interval: 50
Organization(ID3773) => Min Interval: 9, Max Interval: 50
Organization(ID3775) => Min Interval: 4, Max Interval: 50
Organization(ID3777) => Min Interval: 0, Max Interval: 48
Organization(ID3779) => Min Interval: 7, Max Interval: 48
Organization(ID3780) => Min Interval: 0, Max Interval: 50
Organization(ID3787) => Min Interval: 0, Max Interval: 46
Organization(ID3790) => Min Interval: 1, Max Interval: 49
Organization(ID3793) => Min Interval: 0, Max Interval: 48
Organization(ID3795) => Min Interval: 1, Max Interval: 42
Organization(ID3796) => Min Interval: 2, Max Interval: 50
Organization(ID3797) => Min Interval: 4, Max Interval: 50
