Stored fact information:
ResearchAssistant(ID4) => Min Interval: 18, Max Interval: 50
ResearchAssistant(ID531) => Min Interval: 9, Max Interval: 39
ResearchAssistant(ID533) => Min Interval: 18, Max Interval: 44
ResearchAssistant(ID536) => Min Interval: 22, Max Interval: 50
ResearchAssistant(ID542) => Min Interval: 25, Max Interval: 37
ResearchAssistant(ID544) => Min Interval: 22, Max Interval: 33
ResearchAssistant(ID545) => Min Interval: 11, Max Interval: 47
ResearchAssistant(ID546) => Min Interval: 20, Max Interval: 50
ResearchAssistant(ID547) => Min Interval: 11, Max Interval: 48
ResearchAssistant(ID551) => Min Interval: 34, Max Interval: 39
ResearchAssistant(ID552) => Min Interval: 26, Max Interval: 35
ResearchAssistant(ID554) => Min Interval: 34, Max Interval: 47
ResearchAssistant(ID555) => Min Interval: 5, Max Interval: 47
ResearchAssistant(ID558) => Min Interval: 7, Max Interval: 46
ResearchAssistant(ID564) => Min Interval: 20, Max Interval: 49
ResearchAssistant(ID576) => Min Interval: 7, Max Interval: 51
ResearchAssistant(ID578) => Min Interval: 1, Max Interval: 46
ResearchAssistant(ID580) => Min Interval: 12, Max Interval: 47
ResearchAssistant(ID584) => Min Interval: 43, Max Interval: 44
ResearchAssistant(ID587) => Min Interval: 28, Max Interval: 47
ResearchAssistant(ID588) => Min Interval: 15, Max Interval: 37
ResearchAssistant(ID594) => Min Interval: 6, Max Interval: 29
ResearchAssistant(ID601) => Min Interval: 12, Max Interval: 15
ResearchAssistant(ID604) => Min Interval: 41, Max Interval: 43
ResearchAssistant(ID605) => Min Interval: 25, Max Interval: 47
ResearchAssistant(ID608) => Min Interval: 14, Max Interval: 48
ResearchAssistant(ID609) => Min Interval: 17, Max Interval: 50
ResearchAssistant(ID611) => Min Interval: 16, Max Interval: 25
ResearchAssistant(ID618) => Min Interval: 21, Max Interval: 27
ResearchAssistant(ID624) => Min Interval: 45, Max Interval: 47
ResearchAssistant(ID630) => Min Interval: 19, Max Interval: 41
ResearchAssistant(ID635) => Min Interval: 15, Max Interval: 50
ResearchAssistant(ID638) => Min Interval: 16, Max Interval: 45
ResearchAssistant(ID640) => Min Interval: 21, Max Interval: 29
ResearchAssistant(ID644) => Min Interval: 20, Max Interval: 48
ResearchAssistant(ID647) => Min Interval: 10, Max Interval: 37
ResearchAssistant(ID648) => Min Interval: 10, Max Interval: 22
ResearchAssistant(ID649) => Min Interval: 18, Max Interval: 36
ResearchAssistant(ID651) => Min Interval: 29, Max Interval: 38
ResearchAssistant(ID653) => Min Interval: 21, Max Interval: 47
ResearchAssistant(ID660) => Min Interval: 24, Max Interval: 40
ResearchAssistant(ID664) => Min Interval: 33, Max Interval: 44
ResearchAssistant(ID668) => Min Interval: 11, Max Interval: 49
ResearchAssistant(ID674) => Min Interval: 33, Max Interval: 48
ResearchAssistant(ID676) => Min Interval: 35, Max Interval: 49
ResearchAssistant(ID679) => Min Interval: 32, Max Interval: 40
ResearchAssistant(ID681) => Min Interval: 15, Max Interval: 29
ResearchAssistant(ID682) => Min Interval: 19, Max Interval: 44
ResearchAssistant(ID684) => Min Interval: 15, Max Interval: 41
ResearchAssistant(ID686) => Min Interval: 22, Max Interval: 42
ResearchAssistant(ID688) => Min Interval: 12, Max Interval: 30
ResearchAssistant(ID692) => Min Interval: 15, Max Interval: 30
ResearchAssistant(ID695) => Min Interval: 10, Max Interval: 48
ResearchAssistant(ID697) => Min Interval: 10, Max Interval: 48
ResearchAssistant(ID699) => Min Interval: 7, Max Interval: 44
ResearchAssistant(ID701) => Min Interval: 28, Max Interval: 47
ResearchAssistant(ID707) => Min Interval: 31, Max Interval: 49
ResearchAssistant(ID712) => Min Interval: 14, Max Interval: 36
ResearchAssistant(ID723) => Min Interval: 18, Max Interval: 47
ResearchAssistant(ID726) => Min Interval: 20, Max Interval: 43
ResearchAssistant(ID732) => Min Interval: 10, Max Interval: 46
ResearchAssistant(ID736) => Min Interval: 13, Max Interval: 22
ResearchAssistant(ID743) => Min Interval: 20, Max Interval: 44
ResearchAssistant(ID745) => Min Interval: 40, Max Interval: 49
ResearchAssistant(ID747) => Min Interval: 13, Max Interval: 49
ResearchAssistant(ID748) => Min Interval: 15, Max Interval: 43
ResearchAssistant(ID753) => Min Interval: 10, Max Interval: 32
ResearchAssistant(ID758) => Min Interval: 27, Max Interval: 29
ResearchAssistant(ID763) => Min Interval: 26, Max Interval: 50
ResearchAssistant(ID764) => Min Interval: 19, Max Interval: 49
ResearchAssistant(ID766) => Min Interval: 11, Max Interval: 47
ResearchAssistant(ID768) => Min Interval: 10, Max Interval: 20
ResearchAssistant(ID771) => Min Interval: 30, Max Interval: 43
ResearchAssistant(ID775) => Min Interval: 38, Max Interval: 46
ResearchAssistant(ID780) => Min Interval: 17, Max Interval: 28
ResearchAssistant(ID793) => Min Interval: 10, Max Interval: 48
ResearchAssistant(ID804) => Min Interval: 6, Max Interval: 51
ResearchAssistant(ID811) => Min Interval: 30, Max Interval: 34
ResearchAssistant(ID816) => Min Interval: 38, Max Interval: 46
ResearchAssistant(ID817) => Min Interval: 20, Max Interval: 30
ResearchAssistant(ID819) => Min Interval: 23, Max Interval: 50
ResearchAssistant(ID821) => Min Interval: 26, Max Interval: 48
ResearchAssistant(ID827) => Min Interval: 19, Max Interval: 39
ResearchAssistant(ID832) => Min Interval: 21, Max Interval: 39
ResearchAssistant(ID841) => Min Interval: 29, Max Interval: 31
ResearchAssistant(ID842) => Min Interval: 31, Max Interval: 49
ResearchAssistant(ID852) => Min Interval: 17, Max Interval: 49
ResearchAssistant(ID859) => Min Interval: 15, Max Interval: 27
ResearchAssistant(ID865) => Min Interval: 43, Max Interval: 45
ResearchAssistant(ID867) => Min Interval: 25, Max Interval: 37
ResearchAssistant(ID870) => Min Interval: 33, Max Interval: 48
ResearchAssistant(ID871) => Min Interval: 31, Max Interval: 47
ResearchAssistant(ID874) => Min Interval: 5, Max Interval: 21
ResearchAssistant(ID877) => Min Interval: 25, Max Interval: 37
ResearchAssistant(ID884) => Min Interval: 28, Max Interval: 50
ResearchAssistant(ID888) => Min Interval: 17, Max Interval: 41
ResearchAssistant(ID890) => Min Interval: 2, Max Interval: 32
ResearchAssistant(ID891) => Min Interval: 13, Max Interval: 37
ResearchAssistant(ID893) => Min Interval: 20, Max Interval: 35
ResearchAssistant(ID898) => Min Interval: 3, Max Interval: 48
ResearchAssistant(ID899) => Min Interval: 17, Max Interval: 17
ResearchAssistant(ID901) => Min Interval: 8, Max Interval: 39
ResearchAssistant(ID908) => Min Interval: 19, Max Interval: 46
ResearchAssistant(ID911) => Min Interval: 7, Max Interval: 47
ResearchAssistant(ID913) => Min Interval: 21, Max Interval: 35
ResearchAssistant(ID923) => Min Interval: 12, Max Interval: 18
ResearchAssistant(ID928) => Min Interval: 10, Max Interval: 34
ResearchAssistant(ID930) => Min Interval: 5, Max Interval: 47
ResearchAssistant(ID940) => Min Interval: 10, Max Interval: 51
ResearchAssistant(ID946) => Min Interval: 28, Max Interval: 41
ResearchAssistant(ID949) => Min Interval: 16, Max Interval: 33
ResearchAssistant(ID955) => Min Interval: 13, Max Interval: 37
ResearchAssistant(ID959) => Min Interval: 19, Max Interval: 50
ResearchAssistant(ID963) => Min Interval: 15, Max Interval: 50
ResearchAssistant(ID978) => Min Interval: 11, Max Interval: 18
ResearchAssistant(ID979) => Min Interval: 19, Max Interval: 50
ResearchAssistant(ID980) => Min Interval: 12, Max Interval: 41
ResearchAssistant(ID983) => Min Interval: 10, Max Interval: 14
ResearchAssistant(ID986) => Min Interval: 10, Max Interval: 49
ResearchAssistant(ID991) => Min Interval: 11, Max Interval: 25
ResearchAssistant(ID999) => Min Interval: 6, Max Interval: 52
ResearchAssistant(ID1002) => Min Interval: 12, Max Interval: 41
ResearchAssistant(ID1004) => Min Interval: 21, Max Interval: 40
ResearchAssistant(ID1007) => Min Interval: 11, Max Interval: 13
ResearchAssistant(ID1008) => Min Interval: 10, Max Interval: 29
ResearchAssistant(ID1013) => Min Interval: 13, Max Interval: 35
ResearchAssistant(ID1014) => Min Interval: 16, Max Interval: 40
ResearchAssistant(ID1024) => Min Interval: 18, Max Interval: 38
ResearchAssistant(ID1030) => Min Interval: 13, Max Interval: 48
ResearchAssistant(ID1038) => Min Interval: 6, Max Interval: 52
ResearchAssistant(ID1041) => Min Interval: 11, Max Interval: 49
ResearchAssistant(ID1044) => Min Interval: 18, Max Interval: 44
ResearchAssistant(ID1056) => Min Interval: 10, Max Interval: 33
ResearchAssistant(ID1062) => Min Interval: 4, Max Interval: 51
ResearchAssistant(ID1063) => Min Interval: 22, Max Interval: 41
ResearchAssistant(ID1070) => Min Interval: 10, Max Interval: 20
ResearchAssistant(ID1080) => Min Interval: 10, Max Interval: 29
ResearchAssistant(ID1082) => Min Interval: 21, Max Interval: 42
ResearchAssistant(ID1086) => Min Interval: 8, Max Interval: 51
ResearchAssistant(ID1088) => Min Interval: 23, Max Interval: 25
ResearchAssistant(ID1091) => Min Interval: 16, Max Interval: 29
ResearchAssistant(ID1093) => Min Interval: 6, Max Interval: 44
ResearchAssistant(ID1098) => Min Interval: 22, Max Interval: 24
ResearchAssistant(ID1104) => Min Interval: 19, Max Interval: 25
ResearchAssistant(ID1110) => Min Interval: 35, Max Interval: 36
ResearchAssistant(ID1111) => Min Interval: 12, Max Interval: 13
ResearchAssistant(ID1126) => Min Interval: 16, Max Interval: 26
ResearchAssistant(ID1137) => Min Interval: 14, Max Interval: 32
ResearchAssistant(ID1145) => Min Interval: 13, Max Interval: 48
ResearchAssistant(ID1150) => Min Interval: 14, Max Interval: 49
ResearchAssistant(ID1155) => Min Interval: 27, Max Interval: 41
ResearchAssistant(ID1187) => Min Interval: 18, Max Interval: 29
ResearchAssistant(ID1192) => Min Interval: 34, Max Interval: 36
ResearchAssistant(ID1211) => Min Interval: 22, Max Interval: 50
ResearchAssistant(ID1228) => Min Interval: 29, Max Interval: 48
ResearchAssistant(ID1233) => Min Interval: 28, Max Interval: 48
ResearchAssistant(ID1251) => Min Interval: 13, Max Interval: 44
ResearchAssistant(ID1281) => Min Interval: 19, Max Interval: 41
ResearchAssistant(ID1293) => Min Interval: 19, Max Interval: 39
ResearchAssistant(ID1306) => Min Interval: 26, Max Interval: 46
ResearchAssistant(ID1324) => Min Interval: 12, Max Interval: 47
ResearchAssistant(ID1351) => Min Interval: 17, Max Interval: 42
ResearchAssistant(ID1353) => Min Interval: 44, Max Interval: 50
ResearchAssistant(ID1363) => Min Interval: 11, Max Interval: 32
ResearchAssistant(ID1633) => Min Interval: 24, Max Interval: 45
ResearchAssistant(ID1640) => Min Interval: 7, Max Interval: 29
ResearchAssistant(ID1655) => Min Interval: 14, Max Interval: 43
ResearchAssistant(ID1656) => Min Interval: 40, Max Interval: 47
ResearchAssistant(ID1680) => Min Interval: 10, Max Interval: 25
ResearchAssistant(ID1692) => Min Interval: 28, Max Interval: 47
ResearchAssistant(ID1696) => Min Interval: 11, Max Interval: 30
ResearchAssistant(ID1712) => Min Interval: 16, Max Interval: 50
ResearchAssistant(ID1716) => Min Interval: 34, Max Interval: 35
ResearchAssistant(ID1721) => Min Interval: 43, Max Interval: 49
ResearchAssistant(ID1748) => Min Interval: 13, Max Interval: 29
ResearchAssistant(ID1791) => Min Interval: 23, Max Interval: 48
ResearchAssistant(ID1798) => Min Interval: 13, Max Interval: 14
ResearchAssistant(ID1812) => Min Interval: 13, Max Interval: 24
ResearchAssistant(ID1858) => Min Interval: 17, Max Interval: 42
ResearchAssistant(ID1891) => Min Interval: 5, Max Interval: 33
ResearchAssistant(ID1896) => Min Interval: 7, Max Interval: 46
ResearchAssistant(ID1911) => Min Interval: 7, Max Interval: 48
ResearchAssistant(ID1916) => Min Interval: 20, Max Interval: 47
ResearchAssistant(ID1924) => Min Interval: 6, Max Interval: 41
ResearchAssistant(ID1925) => Min Interval: 11, Max Interval: 42
ResearchAssistant(ID1968) => Min Interval: 23, Max Interval: 34
ResearchAssistant(ID1974) => Min Interval: 22, Max Interval: 47
ResearchAssistant(ID1980) => Min Interval: 10, Max Interval: 46
ResearchAssistant(ID1984) => Min Interval: 17, Max Interval: 48
ResearchAssistant(ID2007) => Min Interval: 11, Max Interval: 50
