Stored fact information:
Lecturer(ID0) => Min Interval: 30, Max Interval: 35
Lecturer(ID138) => Min Interval: 9, Max Interval: 43
Lecturer(ID140) => Min Interval: 14, Max Interval: 32
Lecturer(ID144) => Min Interval: 23, Max Interval: 25
Lecturer(ID148) => Min Interval: 7, Max Interval: 34
Lecturer(ID150) => Min Interval: 7, Max Interval: 46
Lecturer(ID153) => Min Interval: 5, Max Interval: 46
Lecturer(ID156) => Min Interval: 9, Max Interval: 28
Lecturer(ID161) => Min Interval: 25, Max Interval: 37
Lecturer(ID165) => Min Interval: 5, Max Interval: 27
Lecturer(ID168) => Min Interval: 28, Max Interval: 30
Lecturer(ID173) => Min Interval: 11, Max Interval: 42
Lecturer(ID177) => Min Interval: 1, Max Interval: 45
Lecturer(ID182) => Min Interval: 11, Max Interval: 19
Lecturer(ID187) => Min Interval: 8, Max Interval: 33
Lecturer(ID190) => Min Interval: 17, Max Interval: 22
Lecturer(ID193) => Min Interval: 29, Max Interval: 38
Lecturer(ID194) => Min Interval: 17, Max Interval: 21
Lecturer(ID196) => Min Interval: 9, Max Interval: 44
Lecturer(ID198) => Min Interval: 7, Max Interval: 45
Lecturer(ID203) => Min Interval: 1, Max Interval: 48
Lecturer(ID207) => Min Interval: 14, Max Interval: 42
Lecturer(ID209) => Min Interval: 15, Max Interval: 18
Lecturer(ID211) => Min Interval: 19, Max Interval: 28
Lecturer(ID218) => Min Interval: 34, Max Interval: 34
Lecturer(ID219) => Min Interval: 6, Max Interval: 24
Lecturer(ID222) => Min Interval: 35, Max Interval: 35
Lecturer(ID224) => Min Interval: 29, Max Interval: 36
Lecturer(ID228) => Min Interval: 10, Max Interval: 36
Lecturer(ID229) => Min Interval: 10, Max Interval: 37
Lecturer(ID232) => Min Interval: 25, Max Interval: 43
Lecturer(ID233) => Min Interval: 34, Max Interval: 37
Lecturer(ID235) => Min Interval: 6, Max Interval: 36
Lecturer(ID237) => Min Interval: 2, Max Interval: 49
Lecturer(ID242) => Min Interval: 14, Max Interval: 44
Lecturer(ID245) => Min Interval: 4, Max Interval: 47
Lecturer(ID247) => Min Interval: 41, Max Interval: 41
Lecturer(ID249) => Min Interval: 3, Max Interval: 38
Lecturer(ID251) => Min Interval: 13, Max Interval: 42
Lecturer(ID253) => Min Interval: 20, Max Interval: 27
Lecturer(ID259) => Min Interval: 21, Max Interval: 43
Lecturer(ID261) => Min Interval: 3, Max Interval: 26
Lecturer(ID267) => Min Interval: 12, Max Interval: 43
Lecturer(ID271) => Min Interval: 14, Max Interval: 36
Lecturer(ID275) => Min Interval: 2, Max Interval: 41
Lecturer(ID276) => Min Interval: 35, Max Interval: 43
Lecturer(ID277) => Min Interval: 29, Max Interval: 45
Lecturer(ID280) => Min Interval: 25, Max Interval: 30
Lecturer(ID282) => Min Interval: 18, Max Interval: 32
Lecturer(ID288) => Min Interval: 22, Max Interval: 39
Lecturer(ID289) => Min Interval: 7, Max Interval: 24
Lecturer(ID292) => Min Interval: 12, Max Interval: 45
Lecturer(ID294) => Min Interval: 45, Max Interval: 45
Lecturer(ID295) => Min Interval: 28, Max Interval: 43
Lecturer(ID296) => Min Interval: 18, Max Interval: 27
Lecturer(ID298) => Min Interval: 15, Max Interval: 43
Lecturer(ID299) => Min Interval: 25, Max Interval: 26
Lecturer(ID301) => Min Interval: 13, Max Interval: 43
Lecturer(ID303) => Min Interval: 15, Max Interval: 45
Lecturer(ID306) => Min Interval: 26, Max Interval: 43
Lecturer(ID312) => Min Interval: 11, Max Interval: 24
Lecturer(ID315) => Min Interval: 8, Max Interval: 31
Lecturer(ID321) => Min Interval: 21, Max Interval: 37
Lecturer(ID333) => Min Interval: 28, Max Interval: 41
Lecturer(ID334) => Min Interval: 14, Max Interval: 43
Lecturer(ID341) => Min Interval: 6, Max Interval: 42
Lecturer(ID346) => Min Interval: 8, Max Interval: 42
Lecturer(ID348) => Min Interval: 4, Max Interval: 44
Lecturer(ID349) => Min Interval: 3, Max Interval: 33
Lecturer(ID350) => Min Interval: 8, Max Interval: 29
Lecturer(ID352) => Min Interval: 9, Max Interval: 29
Lecturer(ID359) => Min Interval: 20, Max Interval: 40
Lecturer(ID364) => Min Interval: 21, Max Interval: 23
Lecturer(ID367) => Min Interval: 14, Max Interval: 14
Lecturer(ID369) => Min Interval: 6, Max Interval: 37
Lecturer(ID371) => Min Interval: 6, Max Interval: 45
Lecturer(ID373) => Min Interval: 32, Max Interval: 39
Lecturer(ID375) => Min Interval: 16, Max Interval: 44
Lecturer(ID377) => Min Interval: 12, Max Interval: 42
Lecturer(ID382) => Min Interval: 24, Max Interval: 37
Lecturer(ID387) => Min Interval: 4, Max Interval: 34
Lecturer(ID389) => Min Interval: 25, Max Interval: 29
Lecturer(ID390) => Min Interval: 5, Max Interval: 43
Lecturer(ID393) => Min Interval: 0, Max Interval: 25
Lecturer(ID395) => Min Interval: 27, Max Interval: 45
Lecturer(ID396) => Min Interval: 22, Max Interval: 43
Lecturer(ID398) => Min Interval: 9, Max Interval: 45
Lecturer(ID401) => Min Interval: 16, Max Interval: 44
Lecturer(ID402) => Min Interval: 16, Max Interval: 47
Lecturer(ID404) => Min Interval: 26, Max Interval: 37
Lecturer(ID407) => Min Interval: 25, Max Interval: 45
Lecturer(ID410) => Min Interval: 1, Max Interval: 47
Lecturer(ID411) => Min Interval: 3, Max Interval: 44
Lecturer(ID414) => Min Interval: 23, Max Interval: 38
Lecturer(ID418) => Min Interval: 12, Max Interval: 37
Lecturer(ID419) => Min Interval: 9, Max Interval: 36
Lecturer(ID422) => Min Interval: 17, Max Interval: 46
Lecturer(ID428) => Min Interval: 8, Max Interval: 47
Lecturer(ID434) => Min Interval: 4, Max Interval: 42
Lecturer(ID436) => Min Interval: 10, Max Interval: 41
Lecturer(ID437) => Min Interval: 4, Max Interval: 45
Lecturer(ID439) => Min Interval: 15, Max Interval: 25
Lecturer(ID441) => Min Interval: 14, Max Interval: 31
Lecturer(ID446) => Min Interval: 14, Max Interval: 37
Lecturer(ID447) => Min Interval: 14, Max Interval: 45
Lecturer(ID448) => Min Interval: 13, Max Interval: 13
Lecturer(ID450) => Min Interval: 14, Max Interval: 29
Lecturer(ID455) => Min Interval: 17, Max Interval: 36
Lecturer(ID456) => Min Interval: 10, Max Interval: 24
Lecturer(ID458) => Min Interval: 4, Max Interval: 42
Lecturer(ID459) => Min Interval: 38, Max Interval: 43
Lecturer(ID461) => Min Interval: 16, Max Interval: 25
Lecturer(ID462) => Min Interval: 23, Max Interval: 40
Lecturer(ID466) => Min Interval: 3, Max Interval: 44
Lecturer(ID468) => Min Interval: 34, Max Interval: 41
Lecturer(ID469) => Min Interval: 21, Max Interval: 29
Lecturer(ID470) => Min Interval: 32, Max Interval: 43
Lecturer(ID473) => Min Interval: 1, Max Interval: 48
Lecturer(ID478) => Min Interval: 6, Max Interval: 42
Lecturer(ID479) => Min Interval: 26, Max Interval: 44
Lecturer(ID490) => Min Interval: 10, Max Interval: 45
Lecturer(ID491) => Min Interval: 9, Max Interval: 31
Lecturer(ID502) => Min Interval: 8, Max Interval: 24
Lecturer(ID504) => Min Interval: 10, Max Interval: 43
Lecturer(ID509) => Min Interval: 4, Max Interval: 44
Lecturer(ID511) => Min Interval: 14, Max Interval: 45
Lecturer(ID512) => Min Interval: 10, Max Interval: 47
Lecturer(ID513) => Min Interval: 44, Max Interval: 45
Lecturer(ID515) => Min Interval: 18, Max Interval: 44
Lecturer(ID516) => Min Interval: 12, Max Interval: 39
Lecturer(ID519) => Min Interval: 11, Max Interval: 26
Lecturer(ID520) => Min Interval: 5, Max Interval: 40
Lecturer(ID521) => Min Interval: 20, Max Interval: 37
Lecturer(ID523) => Min Interval: 15, Max Interval: 44
Lecturer(ID524) => Min Interval: 17, Max Interval: 39
Lecturer(ID527) => Min Interval: 13, Max Interval: 40
Lecturer(ID531) => Min Interval: 25, Max Interval: 43
Lecturer(ID534) => Min Interval: 30, Max Interval: 30
Lecturer(ID537) => Min Interval: 14, Max Interval: 30
Lecturer(ID539) => Min Interval: 6, Max Interval: 36
Lecturer(ID541) => Min Interval: 13, Max Interval: 39
Lecturer(ID544) => Min Interval: 12, Max Interval: 25
Lecturer(ID549) => Min Interval: 38, Max Interval: 40
Lecturer(ID552) => Min Interval: 16, Max Interval: 48
Lecturer(ID553) => Min Interval: 13, Max Interval: 15
Lecturer(ID557) => Min Interval: 31, Max Interval: 44
Lecturer(ID559) => Min Interval: 4, Max Interval: 48
Lecturer(ID562) => Min Interval: 10, Max Interval: 43
Lecturer(ID566) => Min Interval: 9, Max Interval: 23
Lecturer(ID567) => Min Interval: 8, Max Interval: 42
Lecturer(ID569) => Min Interval: 7, Max Interval: 36
Lecturer(ID570) => Min Interval: 19, Max Interval: 40
Lecturer(ID574) => Min Interval: 1, Max Interval: 48
Lecturer(ID578) => Min Interval: 15, Max Interval: 25
Lecturer(ID579) => Min Interval: 14, Max Interval: 37
Lecturer(ID580) => Min Interval: 9, Max Interval: 43
Lecturer(ID583) => Min Interval: 32, Max Interval: 45
Lecturer(ID584) => Min Interval: 21, Max Interval: 44
Lecturer(ID587) => Min Interval: 8, Max Interval: 22
Lecturer(ID589) => Min Interval: 34, Max Interval: 38
Lecturer(ID590) => Min Interval: 2, Max Interval: 42
Lecturer(ID593) => Min Interval: 10, Max Interval: 14
Lecturer(ID597) => Min Interval: 10, Max Interval: 23
Lecturer(ID599) => Min Interval: 23, Max Interval: 28
Lecturer(ID600) => Min Interval: 8, Max Interval: 38
Lecturer(ID607) => Min Interval: 20, Max Interval: 40
Lecturer(ID610) => Min Interval: 13, Max Interval: 17
Lecturer(ID611) => Min Interval: 9, Max Interval: 15
Lecturer(ID612) => Min Interval: 26, Max Interval: 42
Lecturer(ID614) => Min Interval: 18, Max Interval: 28
Lecturer(ID615) => Min Interval: 19, Max Interval: 26
Lecturer(ID616) => Min Interval: 8, Max Interval: 12
Lecturer(ID617) => Min Interval: 26, Max Interval: 26
Lecturer(ID619) => Min Interval: 8, Max Interval: 47
Lecturer(ID620) => Min Interval: 12, Max Interval: 34
Lecturer(ID626) => Min Interval: 17, Max Interval: 34
Lecturer(ID628) => Min Interval: 32, Max Interval: 40
Lecturer(ID629) => Min Interval: 16, Max Interval: 44
Lecturer(ID633) => Min Interval: 28, Max Interval: 28
Lecturer(ID634) => Min Interval: 28, Max Interval: 43
Lecturer(ID635) => Min Interval: 28, Max Interval: 44
Lecturer(ID643) => Min Interval: 11, Max Interval: 37
Lecturer(ID645) => Min Interval: 20, Max Interval: 36
Lecturer(ID648) => Min Interval: 12, Max Interval: 27
Lecturer(ID649) => Min Interval: 14, Max Interval: 33
Lecturer(ID652) => Min Interval: 9, Max Interval: 27
Lecturer(ID655) => Min Interval: 22, Max Interval: 47
Lecturer(ID658) => Min Interval: 8, Max Interval: 44
Lecturer(ID659) => Min Interval: 12, Max Interval: 37
Lecturer(ID661) => Min Interval: 24, Max Interval: 25
Lecturer(ID665) => Min Interval: 18, Max Interval: 35
Lecturer(ID666) => Min Interval: 19, Max Interval: 48
Lecturer(ID671) => Min Interval: 15, Max Interval: 39
Lecturer(ID676) => Min Interval: 10, Max Interval: 26
Lecturer(ID679) => Min Interval: 24, Max Interval: 29
Lecturer(ID684) => Min Interval: 5, Max Interval: 46
Lecturer(ID686) => Min Interval: 10, Max Interval: 47
Lecturer(ID697) => Min Interval: 9, Max Interval: 35
Lecturer(ID703) => Min Interval: 10, Max Interval: 14
Lecturer(ID704) => Min Interval: 26, Max Interval: 41
Lecturer(ID711) => Min Interval: 3, Max Interval: 47
Lecturer(ID717) => Min Interval: 11, Max Interval: 23
Lecturer(ID727) => Min Interval: 22, Max Interval: 41
Lecturer(ID729) => Min Interval: 14, Max Interval: 43
Lecturer(ID734) => Min Interval: 5, Max Interval: 44
Lecturer(ID740) => Min Interval: 7, Max Interval: 39
Lecturer(ID742) => Min Interval: 25, Max Interval: 34
Lecturer(ID745) => Min Interval: 28, Max Interval: 34
Lecturer(ID749) => Min Interval: 23, Max Interval: 27
Lecturer(ID751) => Min Interval: 33, Max Interval: 33
Lecturer(ID753) => Min Interval: 19, Max Interval: 38
Lecturer(ID754) => Min Interval: 7, Max Interval: 35
Lecturer(ID762) => Min Interval: 33, Max Interval: 36
Lecturer(ID764) => Min Interval: 22, Max Interval: 45
Lecturer(ID765) => Min Interval: 9, Max Interval: 25
Lecturer(ID767) => Min Interval: 20, Max Interval: 41
Lecturer(ID775) => Min Interval: 1, Max Interval: 47
Lecturer(ID779) => Min Interval: 22, Max Interval: 41
Lecturer(ID780) => Min Interval: 34, Max Interval: 44
Lecturer(ID786) => Min Interval: 10, Max Interval: 22
Lecturer(ID796) => Min Interval: 12, Max Interval: 45
Lecturer(ID809) => Min Interval: 21, Max Interval: 37
Lecturer(ID814) => Min Interval: 10, Max Interval: 46
Lecturer(ID816) => Min Interval: 16, Max Interval: 17
Lecturer(ID821) => Min Interval: 12, Max Interval: 34
Lecturer(ID822) => Min Interval: 13, Max Interval: 36
Lecturer(ID825) => Min Interval: 36, Max Interval: 41
Lecturer(ID828) => Min Interval: 13, Max Interval: 39
Lecturer(ID831) => Min Interval: 40, Max Interval: 46
Lecturer(ID840) => Min Interval: 4, Max Interval: 35
Lecturer(ID847) => Min Interval: 3, Max Interval: 40
Lecturer(ID853) => Min Interval: 30, Max Interval: 32
Lecturer(ID854) => Min Interval: 25, Max Interval: 45
Lecturer(ID856) => Min Interval: 13, Max Interval: 33
Lecturer(ID860) => Min Interval: 24, Max Interval: 45
Lecturer(ID864) => Min Interval: 17, Max Interval: 18
Lecturer(ID865) => Min Interval: 38, Max Interval: 40
Lecturer(ID870) => Min Interval: 8, Max Interval: 28
Lecturer(ID876) => Min Interval: 10, Max Interval: 31
Lecturer(ID877) => Min Interval: 19, Max Interval: 22
Lecturer(ID886) => Min Interval: 10, Max Interval: 45
Lecturer(ID888) => Min Interval: 20, Max Interval: 44
Lecturer(ID890) => Min Interval: 18, Max Interval: 45
Lecturer(ID901) => Min Interval: 9, Max Interval: 41
Lecturer(ID908) => Min Interval: 8, Max Interval: 22
Lecturer(ID910) => Min Interval: 26, Max Interval: 39
Lecturer(ID916) => Min Interval: 3, Max Interval: 44
Lecturer(ID917) => Min Interval: 12, Max Interval: 41
Lecturer(ID918) => Min Interval: 12, Max Interval: 41
Lecturer(ID921) => Min Interval: 0, Max Interval: 29
Lecturer(ID923) => Min Interval: 27, Max Interval: 37
Lecturer(ID928) => Min Interval: 19, Max Interval: 21
Lecturer(ID932) => Min Interval: 16, Max Interval: 44
Lecturer(ID934) => Min Interval: 33, Max Interval: 44
Lecturer(ID938) => Min Interval: 22, Max Interval: 27
Lecturer(ID939) => Min Interval: 11, Max Interval: 32
Lecturer(ID941) => Min Interval: 4, Max Interval: 41
Lecturer(ID946) => Min Interval: 8, Max Interval: 34
Lecturer(ID947) => Min Interval: 23, Max Interval: 37
Lecturer(ID949) => Min Interval: 11, Max Interval: 15
Lecturer(ID953) => Min Interval: 10, Max Interval: 26
Lecturer(ID955) => Min Interval: 18, Max Interval: 19
Lecturer(ID956) => Min Interval: 25, Max Interval: 40
Lecturer(ID961) => Min Interval: 11, Max Interval: 48
Lecturer(ID962) => Min Interval: 8, Max Interval: 44
Lecturer(ID963) => Min Interval: 3, Max Interval: 48
Lecturer(ID968) => Min Interval: 24, Max Interval: 39
Lecturer(ID969) => Min Interval: 39, Max Interval: 45
Lecturer(ID973) => Min Interval: 14, Max Interval: 27
Lecturer(ID974) => Min Interval: 21, Max Interval: 40
Lecturer(ID986) => Min Interval: 23, Max Interval: 44
Lecturer(ID993) => Min Interval: 7, Max Interval: 48
Lecturer(ID996) => Min Interval: 15, Max Interval: 44
Lecturer(ID1001) => Min Interval: 19, Max Interval: 21
Lecturer(ID1009) => Min Interval: 9, Max Interval: 44
Lecturer(ID1014) => Min Interval: 20, Max Interval: 31
Lecturer(ID1019) => Min Interval: 10, Max Interval: 36
Lecturer(ID1023) => Min Interval: 38, Max Interval: 38
Lecturer(ID1037) => Min Interval: 12, Max Interval: 25
Lecturer(ID1038) => Min Interval: 9, Max Interval: 30
Lecturer(ID1048) => Min Interval: 8, Max Interval: 31
Lecturer(ID1051) => Min Interval: 22, Max Interval: 39
Lecturer(ID1053) => Min Interval: 11, Max Interval: 43
Lecturer(ID1056) => Min Interval: 18, Max Interval: 35
Lecturer(ID1067) => Min Interval: 10, Max Interval: 33
Lecturer(ID1070) => Min Interval: 18, Max Interval: 33
Lecturer(ID1082) => Min Interval: 12, Max Interval: 32
Lecturer(ID1084) => Min Interval: 5, Max Interval: 38
Lecturer(ID1087) => Min Interval: 12, Max Interval: 36
Lecturer(ID1088) => Min Interval: 8, Max Interval: 20
Lecturer(ID1094) => Min Interval: 13, Max Interval: 39
Lecturer(ID1114) => Min Interval: 2, Max Interval: 45
Lecturer(ID1116) => Min Interval: 10, Max Interval: 36
Lecturer(ID1145) => Min Interval: 10, Max Interval: 28
Lecturer(ID1153) => Min Interval: 16, Max Interval: 42
Lecturer(ID1156) => Min Interval: 22, Max Interval: 44
Lecturer(ID1159) => Min Interval: 32, Max Interval: 43
Lecturer(ID1161) => Min Interval: 19, Max Interval: 35
Lecturer(ID1166) => Min Interval: 29, Max Interval: 33
Lecturer(ID1168) => Min Interval: 11, Max Interval: 35
Lecturer(ID1176) => Min Interval: 19, Max Interval: 38
Lecturer(ID1180) => Min Interval: 19, Max Interval: 40
Lecturer(ID1181) => Min Interval: 12, Max Interval: 43
Lecturer(ID1186) => Min Interval: 37, Max Interval: 43
Lecturer(ID1189) => Min Interval: 14, Max Interval: 23
Lecturer(ID1199) => Min Interval: 11, Max Interval: 43
Lecturer(ID1202) => Min Interval: 3, Max Interval: 44
Lecturer(ID1213) => Min Interval: 18, Max Interval: 44
Lecturer(ID1245) => Min Interval: 29, Max Interval: 35
Lecturer(ID1254) => Min Interval: 16, Max Interval: 38
Lecturer(ID1274) => Min Interval: 27, Max Interval: 41
Lecturer(ID1289) => Min Interval: 24, Max Interval: 30
Lecturer(ID1298) => Min Interval: 15, Max Interval: 41
Lecturer(ID1304) => Min Interval: 19, Max Interval: 45
Lecturer(ID1306) => Min Interval: 22, Max Interval: 41
Lecturer(ID1335) => Min Interval: 10, Max Interval: 32
Lecturer(ID1340) => Min Interval: 17, Max Interval: 39
Lecturer(ID1346) => Min Interval: 26, Max Interval: 31
Lecturer(ID1355) => Min Interval: 8, Max Interval: 46
Lecturer(ID1384) => Min Interval: 12, Max Interval: 38
Lecturer(ID1402) => Min Interval: 23, Max Interval: 43
Lecturer(ID1404) => Min Interval: 17, Max Interval: 35
Lecturer(ID1408) => Min Interval: 12, Max Interval: 12
Lecturer(ID1410) => Min Interval: 12, Max Interval: 29
Lecturer(ID1412) => Min Interval: 15, Max Interval: 40
Lecturer(ID1442) => Min Interval: 15, Max Interval: 44
Lecturer(ID1447) => Min Interval: 12, Max Interval: 46
Lecturer(ID1512) => Min Interval: 25, Max Interval: 34
Lecturer(ID1514) => Min Interval: 20, Max Interval: 25
Lecturer(ID1580) => Min Interval: 23, Max Interval: 24
Lecturer(ID1665) => Min Interval: 13, Max Interval: 44
Lecturer(ID1857) => Min Interval: 20, Max Interval: 32
Lecturer(ID1860) => Min Interval: 1, Max Interval: 45
Lecturer(ID1861) => Min Interval: 3, Max Interval: 29
Lecturer(ID1862) => Min Interval: 19, Max Interval: 38
Lecturer(ID1865) => Min Interval: 5, Max Interval: 45
Lecturer(ID1870) => Min Interval: 8, Max Interval: 43
Lecturer(ID1871) => Min Interval: 9, Max Interval: 20
Lecturer(ID1873) => Min Interval: 8, Max Interval: 11
Lecturer(ID1874) => Min Interval: 42, Max Interval: 45
Lecturer(ID1876) => Min Interval: 19, Max Interval: 31
Lecturer(ID1878) => Min Interval: 39, Max Interval: 44
Lecturer(ID1881) => Min Interval: 13, Max Interval: 31
Lecturer(ID1883) => Min Interval: 12, Max Interval: 47
Lecturer(ID1889) => Min Interval: 13, Max Interval: 42
Lecturer(ID1891) => Min Interval: 22, Max Interval: 37
Lecturer(ID1892) => Min Interval: 15, Max Interval: 23
Lecturer(ID1894) => Min Interval: 7, Max Interval: 36
Lecturer(ID1896) => Min Interval: 31, Max Interval: 44
Lecturer(ID1897) => Min Interval: 29, Max Interval: 33
Lecturer(ID1900) => Min Interval: 18, Max Interval: 37
Lecturer(ID1904) => Min Interval: 25, Max Interval: 37
Lecturer(ID1908) => Min Interval: 9, Max Interval: 35
Lecturer(ID1909) => Min Interval: 8, Max Interval: 48
Lecturer(ID1911) => Min Interval: 16, Max Interval: 41
Lecturer(ID1916) => Min Interval: 5, Max Interval: 39
Lecturer(ID1918) => Min Interval: 3, Max Interval: 45
Lecturer(ID1920) => Min Interval: 11, Max Interval: 35
Lecturer(ID1922) => Min Interval: 3, Max Interval: 45
Lecturer(ID1923) => Min Interval: 16, Max Interval: 36
Lecturer(ID1925) => Min Interval: 14, Max Interval: 42
Lecturer(ID1929) => Min Interval: 8, Max Interval: 44
Lecturer(ID1931) => Min Interval: 8, Max Interval: 37
Lecturer(ID1941) => Min Interval: 25, Max Interval: 40
Lecturer(ID1942) => Min Interval: 16, Max Interval: 42
Lecturer(ID1943) => Min Interval: 19, Max Interval: 45
Lecturer(ID1944) => Min Interval: 12, Max Interval: 41
Lecturer(ID1946) => Min Interval: 8, Max Interval: 45
Lecturer(ID1947) => Min Interval: 6, Max Interval: 40
Lecturer(ID1950) => Min Interval: 2, Max Interval: 38
Lecturer(ID1953) => Min Interval: 11, Max Interval: 39
Lecturer(ID1954) => Min Interval: 8, Max Interval: 47
Lecturer(ID1955) => Min Interval: 14, Max Interval: 39
Lecturer(ID1957) => Min Interval: 8, Max Interval: 45
Lecturer(ID1958) => Min Interval: 39, Max Interval: 40
Lecturer(ID1960) => Min Interval: 11, Max Interval: 38
Lecturer(ID1965) => Min Interval: 7, Max Interval: 40
Lecturer(ID1966) => Min Interval: 9, Max Interval: 18
Lecturer(ID1970) => Min Interval: 13, Max Interval: 45
Lecturer(ID1975) => Min Interval: 9, Max Interval: 39
Lecturer(ID1980) => Min Interval: 15, Max Interval: 44
Lecturer(ID1983) => Min Interval: 24, Max Interval: 44
Lecturer(ID1985) => Min Interval: 13, Max Interval: 37
Lecturer(ID1988) => Min Interval: 32, Max Interval: 44
Lecturer(ID1993) => Min Interval: 26, Max Interval: 44
Lecturer(ID1994) => Min Interval: 10, Max Interval: 43
Lecturer(ID1997) => Min Interval: 8, Max Interval: 45
Lecturer(ID1999) => Min Interval: 8, Max Interval: 34
Lecturer(ID2001) => Min Interval: 15, Max Interval: 26
Lecturer(ID2002) => Min Interval: 15, Max Interval: 45
Lecturer(ID2003) => Min Interval: 44, Max Interval: 44
Lecturer(ID2009) => Min Interval: 4, Max Interval: 48
Lecturer(ID2010) => Min Interval: 10, Max Interval: 33
Lecturer(ID2012) => Min Interval: 9, Max Interval: 28
Lecturer(ID2013) => Min Interval: 11, Max Interval: 34
Lecturer(ID2017) => Min Interval: 14, Max Interval: 36
Lecturer(ID2022) => Min Interval: 3, Max Interval: 47
Lecturer(ID2025) => Min Interval: 9, Max Interval: 28
Lecturer(ID2028) => Min Interval: 9, Max Interval: 48
Lecturer(ID2030) => Min Interval: 8, Max Interval: 44
Lecturer(ID2041) => Min Interval: 21, Max Interval: 30
Lecturer(ID2042) => Min Interval: 11, Max Interval: 46
Lecturer(ID2043) => Min Interval: 8, Max Interval: 45
Lecturer(ID2044) => Min Interval: 4, Max Interval: 43
Lecturer(ID2047) => Min Interval: 34, Max Interval: 42
Lecturer(ID2048) => Min Interval: 6, Max Interval: 47
Lecturer(ID2051) => Min Interval: 11, Max Interval: 41
Lecturer(ID2055) => Min Interval: 5, Max Interval: 28
Lecturer(ID2056) => Min Interval: 26, Max Interval: 45
Lecturer(ID2059) => Min Interval: 18, Max Interval: 40
Lecturer(ID2060) => Min Interval: 32, Max Interval: 38
Lecturer(ID2061) => Min Interval: 44, Max Interval: 44
Lecturer(ID2063) => Min Interval: 14, Max Interval: 38
Lecturer(ID2065) => Min Interval: 20, Max Interval: 34
Lecturer(ID2066) => Min Interval: 11, Max Interval: 45
Lecturer(ID2072) => Min Interval: 20, Max Interval: 46
Lecturer(ID2074) => Min Interval: 4, Max Interval: 43
Lecturer(ID2075) => Min Interval: 10, Max Interval: 47
Lecturer(ID2079) => Min Interval: 9, Max Interval: 35
Lecturer(ID2082) => Min Interval: 26, Max Interval: 44
Lecturer(ID2084) => Min Interval: 16, Max Interval: 42
Lecturer(ID2089) => Min Interval: 3, Max Interval: 46
Lecturer(ID2092) => Min Interval: 10, Max Interval: 33
Lecturer(ID2094) => Min Interval: 3, Max Interval: 32
Lecturer(ID2096) => Min Interval: 32, Max Interval: 39
Lecturer(ID2097) => Min Interval: 2, Max Interval: 46
Lecturer(ID2098) => Min Interval: 17, Max Interval: 20
Lecturer(ID2099) => Min Interval: 1, Max Interval: 22
Lecturer(ID2101) => Min Interval: 11, Max Interval: 33
