Stored fact information:
AssociateProfessorCandidate(ID4) => Min Interval: 22, Max Interval: 49
AssociateProfessorCandidate(ID344) => Min Interval: 29, Max Interval: 34
AssociateProfessorCandidate(ID350) => Min Interval: 25, Max Interval: 28
AssociateProfessorCandidate(ID351) => Min Interval: 25, Max Interval: 47
AssociateProfessorCandidate(ID353) => Min Interval: 16, Max Interval: 31
AssociateProfessorCandidate(ID356) => Min Interval: 8, Max Interval: 51
AssociateProfessorCandidate(ID358) => Min Interval: 9, Max Interval: 45
AssociateProfessorCandidate(ID361) => Min Interval: 18, Max Interval: 27
AssociateProfessorCandidate(ID363) => Min Interval: 16, Max Interval: 50
AssociateProfessorCandidate(ID364) => Min Interval: 26, Max Interval: 40
AssociateProfessorCandidate(ID366) => Min Interval: 24, Max Interval: 39
AssociateProfessorCandidate(ID369) => Min Interval: 14, Max Interval: 41
AssociateProfessorCandidate(ID371) => Min Interval: 13, Max Interval: 51
AssociateProfessorCandidate(ID372) => Min Interval: 24, Max Interval: 48
AssociateProfessorCandidate(ID374) => Min Interval: 31, Max Interval: 51
AssociateProfessorCandidate(ID376) => Min Interval: 29, Max Interval: 41
AssociateProfessorCandidate(ID380) => Min Interval: 40, Max Interval: 44
AssociateProfessorCandidate(ID383) => Min Interval: 11, Max Interval: 19
AssociateProfessorCandidate(ID384) => Min Interval: 33, Max Interval: 39
AssociateProfessorCandidate(ID388) => Min Interval: 27, Max Interval: 42
AssociateProfessorCandidate(ID390) => Min Interval: 9, Max Interval: 50
AssociateProfessorCandidate(ID392) => Min Interval: 9, Max Interval: 50
AssociateProfessorCandidate(ID393) => Min Interval: 23, Max Interval: 46
AssociateProfessorCandidate(ID396) => Min Interval: 20, Max Interval: 47
AssociateProfessorCandidate(ID404) => Min Interval: 15, Max Interval: 42
AssociateProfessorCandidate(ID412) => Min Interval: 25, Max Interval: 36
AssociateProfessorCandidate(ID413) => Min Interval: 17, Max Interval: 42
AssociateProfessorCandidate(ID414) => Min Interval: 13, Max Interval: 36
AssociateProfessorCandidate(ID415) => Min Interval: 29, Max Interval: 36
AssociateProfessorCandidate(ID418) => Min Interval: 25, Max Interval: 42
AssociateProfessorCandidate(ID420) => Min Interval: 15, Max Interval: 32
AssociateProfessorCandidate(ID421) => Min Interval: 21, Max Interval: 47
AssociateProfessorCandidate(ID423) => Min Interval: 45, Max Interval: 47
AssociateProfessorCandidate(ID431) => Min Interval: 39, Max Interval: 45
AssociateProfessorCandidate(ID432) => Min Interval: 24, Max Interval: 30
AssociateProfessorCandidate(ID434) => Min Interval: 15, Max Interval: 41
AssociateProfessorCandidate(ID437) => Min Interval: 18, Max Interval: 31
AssociateProfessorCandidate(ID438) => Min Interval: 13, Max Interval: 51
AssociateProfessorCandidate(ID443) => Min Interval: 9, Max Interval: 51
AssociateProfessorCandidate(ID444) => Min Interval: 42, Max Interval: 50
AssociateProfessorCandidate(ID446) => Min Interval: 19, Max Interval: 22
AssociateProfessorCandidate(ID449) => Min Interval: 16, Max Interval: 40
AssociateProfessorCandidate(ID453) => Min Interval: 23, Max Interval: 49
AssociateProfessorCandidate(ID454) => Min Interval: 21, Max Interval: 47
AssociateProfessorCandidate(ID455) => Min Interval: 15, Max Interval: 28
AssociateProfessorCandidate(ID456) => Min Interval: 17, Max Interval: 47
AssociateProfessorCandidate(ID458) => Min Interval: 13, Max Interval: 53
AssociateProfessorCandidate(ID463) => Min Interval: 7, Max Interval: 51
AssociateProfessorCandidate(ID465) => Min Interval: 9, Max Interval: 41
AssociateProfessorCandidate(ID469) => Min Interval: 15, Max Interval: 52
AssociateProfessorCandidate(ID472) => Min Interval: 34, Max Interval: 51
AssociateProfessorCandidate(ID473) => Min Interval: 30, Max Interval: 36
AssociateProfessorCandidate(ID475) => Min Interval: 13, Max Interval: 44
AssociateProfessorCandidate(ID477) => Min Interval: 14, Max Interval: 49
AssociateProfessorCandidate(ID478) => Min Interval: 12, Max Interval: 12
AssociateProfessorCandidate(ID480) => Min Interval: 20, Max Interval: 22
AssociateProfessorCandidate(ID481) => Min Interval: 14, Max Interval: 45
AssociateProfessorCandidate(ID492) => Min Interval: 7, Max Interval: 37
AssociateProfessorCandidate(ID496) => Min Interval: 9, Max Interval: 51
AssociateProfessorCandidate(ID499) => Min Interval: 13, Max Interval: 48
AssociateProfessorCandidate(ID501) => Min Interval: 19, Max Interval: 49
AssociateProfessorCandidate(ID503) => Min Interval: 6, Max Interval: 51
AssociateProfessorCandidate(ID508) => Min Interval: 15, Max Interval: 29
AssociateProfessorCandidate(ID509) => Min Interval: 9, Max Interval: 50
AssociateProfessorCandidate(ID511) => Min Interval: 25, Max Interval: 48
AssociateProfessorCandidate(ID515) => Min Interval: 30, Max Interval: 48
AssociateProfessorCandidate(ID518) => Min Interval: 12, Max Interval: 45
AssociateProfessorCandidate(ID525) => Min Interval: 14, Max Interval: 41
AssociateProfessorCandidate(ID531) => Min Interval: 13, Max Interval: 38
AssociateProfessorCandidate(ID533) => Min Interval: 22, Max Interval: 43
AssociateProfessorCandidate(ID536) => Min Interval: 26, Max Interval: 49
AssociateProfessorCandidate(ID542) => Min Interval: 29, Max Interval: 36
AssociateProfessorCandidate(ID544) => Min Interval: 26, Max Interval: 32
AssociateProfessorCandidate(ID545) => Min Interval: 15, Max Interval: 46
AssociateProfessorCandidate(ID546) => Min Interval: 24, Max Interval: 49
AssociateProfessorCandidate(ID547) => Min Interval: 15, Max Interval: 51
AssociateProfessorCandidate(ID551) => Min Interval: 38, Max Interval: 38
AssociateProfessorCandidate(ID552) => Min Interval: 30, Max Interval: 34
AssociateProfessorCandidate(ID554) => Min Interval: 38, Max Interval: 46
AssociateProfessorCandidate(ID555) => Min Interval: 9, Max Interval: 48
AssociateProfessorCandidate(ID558) => Min Interval: 11, Max Interval: 49
AssociateProfessorCandidate(ID564) => Min Interval: 24, Max Interval: 48
AssociateProfessorCandidate(ID576) => Min Interval: 11, Max Interval: 50
AssociateProfessorCandidate(ID578) => Min Interval: 6, Max Interval: 49
AssociateProfessorCandidate(ID580) => Min Interval: 16, Max Interval: 46
AssociateProfessorCandidate(ID587) => Min Interval: 32, Max Interval: 46
AssociateProfessorCandidate(ID588) => Min Interval: 19, Max Interval: 36
AssociateProfessorCandidate(ID594) => Min Interval: 10, Max Interval: 28
AssociateProfessorCandidate(ID598) => Min Interval: 10, Max Interval: 44
AssociateProfessorCandidate(ID605) => Min Interval: 29, Max Interval: 46
AssociateProfessorCandidate(ID608) => Min Interval: 18, Max Interval: 47
AssociateProfessorCandidate(ID609) => Min Interval: 21, Max Interval: 49
AssociateProfessorCandidate(ID611) => Min Interval: 20, Max Interval: 24
AssociateProfessorCandidate(ID618) => Min Interval: 25, Max Interval: 26
AssociateProfessorCandidate(ID630) => Min Interval: 23, Max Interval: 40
AssociateProfessorCandidate(ID635) => Min Interval: 19, Max Interval: 53
AssociateProfessorCandidate(ID638) => Min Interval: 20, Max Interval: 44
AssociateProfessorCandidate(ID640) => Min Interval: 25, Max Interval: 28
AssociateProfessorCandidate(ID644) => Min Interval: 47, Max Interval: 47
AssociateProfessorCandidate(ID647) => Min Interval: 14, Max Interval: 36
AssociateProfessorCandidate(ID648) => Min Interval: 14, Max Interval: 21
AssociateProfessorCandidate(ID649) => Min Interval: 22, Max Interval: 35
AssociateProfessorCandidate(ID651) => Min Interval: 33, Max Interval: 37
AssociateProfessorCandidate(ID653) => Min Interval: 25, Max Interval: 46
AssociateProfessorCandidate(ID656) => Min Interval: 16, Max Interval: 54
AssociateProfessorCandidate(ID660) => Min Interval: 28, Max Interval: 39
AssociateProfessorCandidate(ID664) => Min Interval: 37, Max Interval: 43
AssociateProfessorCandidate(ID668) => Min Interval: 29, Max Interval: 48
AssociateProfessorCandidate(ID674) => Min Interval: 37, Max Interval: 47
AssociateProfessorCandidate(ID676) => Min Interval: 39, Max Interval: 48
AssociateProfessorCandidate(ID679) => Min Interval: 36, Max Interval: 39
AssociateProfessorCandidate(ID681) => Min Interval: 19, Max Interval: 28
AssociateProfessorCandidate(ID682) => Min Interval: 23, Max Interval: 43
AssociateProfessorCandidate(ID684) => Min Interval: 19, Max Interval: 40
AssociateProfessorCandidate(ID686) => Min Interval: 26, Max Interval: 41
AssociateProfessorCandidate(ID688) => Min Interval: 16, Max Interval: 29
AssociateProfessorCandidate(ID692) => Min Interval: 19, Max Interval: 29
AssociateProfessorCandidate(ID695) => Min Interval: 14, Max Interval: 47
AssociateProfessorCandidate(ID697) => Min Interval: 14, Max Interval: 47
AssociateProfessorCandidate(ID699) => Min Interval: 11, Max Interval: 47
AssociateProfessorCandidate(ID701) => Min Interval: 32, Max Interval: 46
AssociateProfessorCandidate(ID707) => Min Interval: 35, Max Interval: 48
AssociateProfessorCandidate(ID712) => Min Interval: 18, Max Interval: 35
AssociateProfessorCandidate(ID723) => Min Interval: 22, Max Interval: 46
AssociateProfessorCandidate(ID726) => Min Interval: 24, Max Interval: 42
AssociateProfessorCandidate(ID732) => Min Interval: 14, Max Interval: 45
AssociateProfessorCandidate(ID736) => Min Interval: 17, Max Interval: 21
AssociateProfessorCandidate(ID743) => Min Interval: 24, Max Interval: 43
AssociateProfessorCandidate(ID745) => Min Interval: 44, Max Interval: 48
AssociateProfessorCandidate(ID747) => Min Interval: 17, Max Interval: 48
AssociateProfessorCandidate(ID748) => Min Interval: 19, Max Interval: 42
AssociateProfessorCandidate(ID753) => Min Interval: 14, Max Interval: 31
AssociateProfessorCandidate(ID763) => Min Interval: 30, Max Interval: 49
AssociateProfessorCandidate(ID764) => Min Interval: 23, Max Interval: 48
AssociateProfessorCandidate(ID766) => Min Interval: 15, Max Interval: 46
AssociateProfessorCandidate(ID768) => Min Interval: 14, Max Interval: 19
AssociateProfessorCandidate(ID771) => Min Interval: 34, Max Interval: 42
AssociateProfessorCandidate(ID775) => Min Interval: 42, Max Interval: 45
AssociateProfessorCandidate(ID780) => Min Interval: 21, Max Interval: 27
AssociateProfessorCandidate(ID793) => Min Interval: 14, Max Interval: 47
AssociateProfessorCandidate(ID804) => Min Interval: 10, Max Interval: 50
AssociateProfessorCandidate(ID816) => Min Interval: 42, Max Interval: 45
AssociateProfessorCandidate(ID817) => Min Interval: 24, Max Interval: 29
AssociateProfessorCandidate(ID819) => Min Interval: 27, Max Interval: 49
AssociateProfessorCandidate(ID821) => Min Interval: 30, Max Interval: 47
AssociateProfessorCandidate(ID827) => Min Interval: 23, Max Interval: 38
AssociateProfessorCandidate(ID832) => Min Interval: 25, Max Interval: 38
AssociateProfessorCandidate(ID842) => Min Interval: 35, Max Interval: 48
AssociateProfessorCandidate(ID852) => Min Interval: 21, Max Interval: 48
AssociateProfessorCandidate(ID859) => Min Interval: 19, Max Interval: 26
AssociateProfessorCandidate(ID867) => Min Interval: 29, Max Interval: 36
AssociateProfessorCandidate(ID870) => Min Interval: 37, Max Interval: 47
AssociateProfessorCandidate(ID871) => Min Interval: 35, Max Interval: 46
AssociateProfessorCandidate(ID874) => Min Interval: 9, Max Interval: 24
AssociateProfessorCandidate(ID877) => Min Interval: 29, Max Interval: 36
AssociateProfessorCandidate(ID884) => Min Interval: 32, Max Interval: 49
AssociateProfessorCandidate(ID890) => Min Interval: 9, Max Interval: 31
AssociateProfessorCandidate(ID893) => Min Interval: 24, Max Interval: 34
AssociateProfessorCandidate(ID898) => Min Interval: 9, Max Interval: 47
AssociateProfessorCandidate(ID901) => Min Interval: 12, Max Interval: 42
AssociateProfessorCandidate(ID908) => Min Interval: 23, Max Interval: 45
AssociateProfessorCandidate(ID911) => Min Interval: 11, Max Interval: 46
AssociateProfessorCandidate(ID913) => Min Interval: 25, Max Interval: 34
AssociateProfessorCandidate(ID923) => Min Interval: 16, Max Interval: 17
AssociateProfessorCandidate(ID928) => Min Interval: 14, Max Interval: 33
AssociateProfessorCandidate(ID930) => Min Interval: 9, Max Interval: 46
AssociateProfessorCandidate(ID946) => Min Interval: 32, Max Interval: 40
AssociateProfessorCandidate(ID955) => Min Interval: 17, Max Interval: 36
AssociateProfessorCandidate(ID959) => Min Interval: 24, Max Interval: 49
AssociateProfessorCandidate(ID963) => Min Interval: 19, Max Interval: 49
AssociateProfessorCandidate(ID978) => Min Interval: 15, Max Interval: 17
AssociateProfessorCandidate(ID979) => Min Interval: 23, Max Interval: 49
AssociateProfessorCandidate(ID980) => Min Interval: 16, Max Interval: 40
AssociateProfessorCandidate(ID986) => Min Interval: 14, Max Interval: 48
AssociateProfessorCandidate(ID991) => Min Interval: 15, Max Interval: 24
AssociateProfessorCandidate(ID999) => Min Interval: 12, Max Interval: 51
AssociateProfessorCandidate(ID1002) => Min Interval: 16, Max Interval: 40
AssociateProfessorCandidate(ID1008) => Min Interval: 14, Max Interval: 28
AssociateProfessorCandidate(ID1013) => Min Interval: 17, Max Interval: 38
AssociateProfessorCandidate(ID1014) => Min Interval: 20, Max Interval: 39
AssociateProfessorCandidate(ID1024) => Min Interval: 22, Max Interval: 37
AssociateProfessorCandidate(ID1030) => Min Interval: 17, Max Interval: 47
AssociateProfessorCandidate(ID1038) => Min Interval: 12, Max Interval: 52
AssociateProfessorCandidate(ID1041) => Min Interval: 15, Max Interval: 48
AssociateProfessorCandidate(ID1044) => Min Interval: 22, Max Interval: 43
AssociateProfessorCandidate(ID1056) => Min Interval: 14, Max Interval: 32
AssociateProfessorCandidate(ID1062) => Min Interval: 9, Max Interval: 50
AssociateProfessorCandidate(ID1063) => Min Interval: 26, Max Interval: 40
AssociateProfessorCandidate(ID1070) => Min Interval: 14, Max Interval: 19
AssociateProfessorCandidate(ID1080) => Min Interval: 14, Max Interval: 28
AssociateProfessorCandidate(ID1082) => Min Interval: 25, Max Interval: 41
AssociateProfessorCandidate(ID1086) => Min Interval: 14, Max Interval: 52
AssociateProfessorCandidate(ID1091) => Min Interval: 20, Max Interval: 28
AssociateProfessorCandidate(ID1093) => Min Interval: 10, Max Interval: 47
AssociateProfessorCandidate(ID1104) => Min Interval: 23, Max Interval: 24
AssociateProfessorCandidate(ID1126) => Min Interval: 20, Max Interval: 25
AssociateProfessorCandidate(ID1137) => Min Interval: 18, Max Interval: 31
AssociateProfessorCandidate(ID1145) => Min Interval: 17, Max Interval: 51
AssociateProfessorCandidate(ID1150) => Min Interval: 18, Max Interval: 39
AssociateProfessorCandidate(ID1155) => Min Interval: 31, Max Interval: 40
AssociateProfessorCandidate(ID1187) => Min Interval: 22, Max Interval: 28
AssociateProfessorCandidate(ID1211) => Min Interval: 26, Max Interval: 49
AssociateProfessorCandidate(ID1228) => Min Interval: 33, Max Interval: 47
AssociateProfessorCandidate(ID1233) => Min Interval: 32, Max Interval: 47
AssociateProfessorCandidate(ID1251) => Min Interval: 17, Max Interval: 43
AssociateProfessorCandidate(ID1281) => Min Interval: 23, Max Interval: 40
AssociateProfessorCandidate(ID1293) => Min Interval: 23, Max Interval: 38
AssociateProfessorCandidate(ID1306) => Min Interval: 30, Max Interval: 45
AssociateProfessorCandidate(ID1324) => Min Interval: 16, Max Interval: 46
AssociateProfessorCandidate(ID1351) => Min Interval: 21, Max Interval: 41
AssociateProfessorCandidate(ID1353) => Min Interval: 48, Max Interval: 49
AssociateProfessorCandidate(ID1363) => Min Interval: 15, Max Interval: 31
AssociateProfessorCandidate(ID1633) => Min Interval: 28, Max Interval: 44
AssociateProfessorCandidate(ID1640) => Min Interval: 14, Max Interval: 32
AssociateProfessorCandidate(ID1655) => Min Interval: 37, Max Interval: 42
AssociateProfessorCandidate(ID1656) => Min Interval: 44, Max Interval: 46
AssociateProfessorCandidate(ID1680) => Min Interval: 14, Max Interval: 24
AssociateProfessorCandidate(ID1681) => Min Interval: 13, Max Interval: 45
AssociateProfessorCandidate(ID1692) => Min Interval: 32, Max Interval: 46
AssociateProfessorCandidate(ID1696) => Min Interval: 15, Max Interval: 29
AssociateProfessorCandidate(ID1712) => Min Interval: 34, Max Interval: 49
AssociateProfessorCandidate(ID1721) => Min Interval: 47, Max Interval: 48
AssociateProfessorCandidate(ID1748) => Min Interval: 17, Max Interval: 28
AssociateProfessorCandidate(ID1791) => Min Interval: 27, Max Interval: 47
AssociateProfessorCandidate(ID1812) => Min Interval: 17, Max Interval: 23
AssociateProfessorCandidate(ID1858) => Min Interval: 21, Max Interval: 41
AssociateProfessorCandidate(ID1891) => Min Interval: 9, Max Interval: 32
AssociateProfessorCandidate(ID1896) => Min Interval: 11, Max Interval: 45
AssociateProfessorCandidate(ID1911) => Min Interval: 11, Max Interval: 47
AssociateProfessorCandidate(ID1916) => Min Interval: 24, Max Interval: 46
AssociateProfessorCandidate(ID1924) => Min Interval: 10, Max Interval: 40
AssociateProfessorCandidate(ID1925) => Min Interval: 15, Max Interval: 41
AssociateProfessorCandidate(ID1968) => Min Interval: 27, Max Interval: 33
AssociateProfessorCandidate(ID1974) => Min Interval: 26, Max Interval: 46
AssociateProfessorCandidate(ID1980) => Min Interval: 14, Max Interval: 45
AssociateProfessorCandidate(ID1984) => Min Interval: 21, Max Interval: 34
AssociateProfessorCandidate(ID2007) => Min Interval: 15, Max Interval: 49
