Stored fact information:
LecturerCandidate(ID4) => Min Interval: 17, Max Interval: 50
LecturerCandidate(ID184) => Min Interval: 13, Max Interval: 33
LecturerCandidate(ID187) => Min Interval: 46, Max Interval: 48
LecturerCandidate(ID190) => Min Interval: 19, Max Interval: 38
LecturerCandidate(ID192) => Min Interval: 15, Max Interval: 46
LecturerCandidate(ID193) => Min Interval: 10, Max Interval: 47
LecturerCandidate(ID195) => Min Interval: 4, Max Interval: 44
LecturerCandidate(ID197) => Min Interval: 9, Max Interval: 37
LecturerCandidate(ID198) => Min Interval: 10, Max Interval: 49
LecturerCandidate(ID200) => Min Interval: 14, Max Interval: 49
LecturerCandidate(ID207) => Min Interval: 2, Max Interval: 38
LecturerCandidate(ID209) => Min Interval: 3, Max Interval: 36
LecturerCandidate(ID210) => Min Interval: 10, Max Interval: 46
LecturerCandidate(ID217) => Min Interval: 19, Max Interval: 21
LecturerCandidate(ID219) => Min Interval: 14, Max Interval: 48
LecturerCandidate(ID221) => Min Interval: 20, Max Interval: 39
LecturerCandidate(ID227) => Min Interval: 12, Max Interval: 27
LecturerCandidate(ID229) => Min Interval: 15, Max Interval: 43
LecturerCandidate(ID231) => Min Interval: 3, Max Interval: 33
LecturerCandidate(ID233) => Min Interval: 7, Max Interval: 48
LecturerCandidate(ID234) => Min Interval: 20, Max Interval: 34
LecturerCandidate(ID236) => Min Interval: 36, Max Interval: 43
LecturerCandidate(ID238) => Min Interval: 45, Max Interval: 50
LecturerCandidate(ID239) => Min Interval: 16, Max Interval: 49
LecturerCandidate(ID240) => Min Interval: 16, Max Interval: 23
LecturerCandidate(ID241) => Min Interval: 12, Max Interval: 34
LecturerCandidate(ID243) => Min Interval: 9, Max Interval: 50
LecturerCandidate(ID244) => Min Interval: 34, Max Interval: 50
LecturerCandidate(ID246) => Min Interval: 27, Max Interval: 43
LecturerCandidate(ID256) => Min Interval: 5, Max Interval: 24
LecturerCandidate(ID263) => Min Interval: 4, Max Interval: 52
LecturerCandidate(ID266) => Min Interval: 12, Max Interval: 30
LecturerCandidate(ID270) => Min Interval: 10, Max Interval: 24
LecturerCandidate(ID271) => Min Interval: 20, Max Interval: 27
LecturerCandidate(ID277) => Min Interval: 13, Max Interval: 48
LecturerCandidate(ID278) => Min Interval: 16, Max Interval: 42
LecturerCandidate(ID279) => Min Interval: 20, Max Interval: 47
LecturerCandidate(ID289) => Min Interval: 10, Max Interval: 32
LecturerCandidate(ID292) => Min Interval: 9, Max Interval: 43
LecturerCandidate(ID293) => Min Interval: 20, Max Interval: 50
LecturerCandidate(ID295) => Min Interval: 22, Max Interval: 48
LecturerCandidate(ID297) => Min Interval: 10, Max Interval: 50
LecturerCandidate(ID299) => Min Interval: 10, Max Interval: 35
LecturerCandidate(ID303) => Min Interval: 16, Max Interval: 49
LecturerCandidate(ID305) => Min Interval: 7, Max Interval: 38
LecturerCandidate(ID309) => Min Interval: 19, Max Interval: 50
LecturerCandidate(ID311) => Min Interval: 4, Max Interval: 44
LecturerCandidate(ID312) => Min Interval: 33, Max Interval: 41
LecturerCandidate(ID315) => Min Interval: 15, Max Interval: 30
LecturerCandidate(ID316) => Min Interval: 9, Max Interval: 23
LecturerCandidate(ID318) => Min Interval: 26, Max Interval: 49
LecturerCandidate(ID319) => Min Interval: 32, Max Interval: 47
LecturerCandidate(ID320) => Min Interval: 15, Max Interval: 51
LecturerCandidate(ID321) => Min Interval: 4, Max Interval: 46
LecturerCandidate(ID326) => Min Interval: 4, Max Interval: 29
LecturerCandidate(ID328) => Min Interval: 24, Max Interval: 50
LecturerCandidate(ID330) => Min Interval: 13, Max Interval: 52
LecturerCandidate(ID331) => Min Interval: 35, Max Interval: 50
LecturerCandidate(ID332) => Min Interval: 41, Max Interval: 50
LecturerCandidate(ID335) => Min Interval: 11, Max Interval: 20
LecturerCandidate(ID338) => Min Interval: 5, Max Interval: 43
LecturerCandidate(ID340) => Min Interval: 8, Max Interval: 49
LecturerCandidate(ID344) => Min Interval: 24, Max Interval: 35
LecturerCandidate(ID350) => Min Interval: 20, Max Interval: 29
LecturerCandidate(ID351) => Min Interval: 20, Max Interval: 48
LecturerCandidate(ID353) => Min Interval: 11, Max Interval: 32
LecturerCandidate(ID356) => Min Interval: 4, Max Interval: 48
LecturerCandidate(ID358) => Min Interval: 4, Max Interval: 42
LecturerCandidate(ID361) => Min Interval: 13, Max Interval: 28
LecturerCandidate(ID363) => Min Interval: 12, Max Interval: 47
LecturerCandidate(ID364) => Min Interval: 21, Max Interval: 41
LecturerCandidate(ID366) => Min Interval: 19, Max Interval: 40
LecturerCandidate(ID369) => Min Interval: 9, Max Interval: 42
LecturerCandidate(ID371) => Min Interval: 9, Max Interval: 52
LecturerCandidate(ID372) => Min Interval: 19, Max Interval: 49
LecturerCandidate(ID374) => Min Interval: 27, Max Interval: 48
LecturerCandidate(ID376) => Min Interval: 24, Max Interval: 42
LecturerCandidate(ID380) => Min Interval: 35, Max Interval: 45
LecturerCandidate(ID382) => Min Interval: 40, Max Interval: 41
LecturerCandidate(ID383) => Min Interval: 6, Max Interval: 20
LecturerCandidate(ID384) => Min Interval: 28, Max Interval: 40
LecturerCandidate(ID388) => Min Interval: 22, Max Interval: 43
LecturerCandidate(ID390) => Min Interval: 5, Max Interval: 47
LecturerCandidate(ID392) => Min Interval: 4, Max Interval: 48
LecturerCandidate(ID393) => Min Interval: 18, Max Interval: 47
LecturerCandidate(ID396) => Min Interval: 15, Max Interval: 48
LecturerCandidate(ID400) => Min Interval: 12, Max Interval: 47
LecturerCandidate(ID404) => Min Interval: 11, Max Interval: 39
LecturerCandidate(ID405) => Min Interval: 37, Max Interval: 42
LecturerCandidate(ID412) => Min Interval: 20, Max Interval: 37
LecturerCandidate(ID413) => Min Interval: 13, Max Interval: 39
LecturerCandidate(ID415) => Min Interval: 24, Max Interval: 37
LecturerCandidate(ID418) => Min Interval: 20, Max Interval: 43
LecturerCandidate(ID419) => Min Interval: 41, Max Interval: 46
LecturerCandidate(ID420) => Min Interval: 10, Max Interval: 33
LecturerCandidate(ID421) => Min Interval: 16, Max Interval: 48
LecturerCandidate(ID423) => Min Interval: 40, Max Interval: 48
LecturerCandidate(ID429) => Min Interval: 11, Max Interval: 15
LecturerCandidate(ID431) => Min Interval: 12, Max Interval: 46
LecturerCandidate(ID432) => Min Interval: 19, Max Interval: 31
LecturerCandidate(ID434) => Min Interval: 10, Max Interval: 42
LecturerCandidate(ID437) => Min Interval: 13, Max Interval: 32
LecturerCandidate(ID438) => Min Interval: 9, Max Interval: 48
LecturerCandidate(ID443) => Min Interval: 4, Max Interval: 52
LecturerCandidate(ID444) => Min Interval: 38, Max Interval: 49
LecturerCandidate(ID446) => Min Interval: 14, Max Interval: 23
LecturerCandidate(ID449) => Min Interval: 12, Max Interval: 37
LecturerCandidate(ID452) => Min Interval: 19, Max Interval: 19
LecturerCandidate(ID453) => Min Interval: 18, Max Interval: 50
LecturerCandidate(ID454) => Min Interval: 16, Max Interval: 48
LecturerCandidate(ID455) => Min Interval: 10, Max Interval: 29
LecturerCandidate(ID456) => Min Interval: 13, Max Interval: 48
LecturerCandidate(ID458) => Min Interval: 9, Max Interval: 50
LecturerCandidate(ID460) => Min Interval: 21, Max Interval: 40
LecturerCandidate(ID463) => Min Interval: 3, Max Interval: 48
LecturerCandidate(ID465) => Min Interval: 4, Max Interval: 42
LecturerCandidate(ID469) => Min Interval: 10, Max Interval: 50
LecturerCandidate(ID472) => Min Interval: 30, Max Interval: 52
LecturerCandidate(ID473) => Min Interval: 25, Max Interval: 37
LecturerCandidate(ID475) => Min Interval: 8, Max Interval: 45
LecturerCandidate(ID477) => Min Interval: 9, Max Interval: 50
LecturerCandidate(ID478) => Min Interval: 7, Max Interval: 21
LecturerCandidate(ID480) => Min Interval: 15, Max Interval: 23
LecturerCandidate(ID481) => Min Interval: 9, Max Interval: 46
LecturerCandidate(ID484) => Min Interval: 20, Max Interval: 20
LecturerCandidate(ID487) => Min Interval: 20, Max Interval: 25
LecturerCandidate(ID496) => Min Interval: 5, Max Interval: 49
LecturerCandidate(ID499) => Min Interval: 9, Max Interval: 49
LecturerCandidate(ID501) => Min Interval: 14, Max Interval: 49
LecturerCandidate(ID503) => Min Interval: 1, Max Interval: 48
LecturerCandidate(ID508) => Min Interval: 11, Max Interval: 26
LecturerCandidate(ID509) => Min Interval: 5, Max Interval: 47
LecturerCandidate(ID511) => Min Interval: 20, Max Interval: 49
LecturerCandidate(ID515) => Min Interval: 25, Max Interval: 49
LecturerCandidate(ID516) => Min Interval: 9, Max Interval: 12
LecturerCandidate(ID518) => Min Interval: 8, Max Interval: 44
LecturerCandidate(ID525) => Min Interval: 9, Max Interval: 42
LecturerCandidate(ID531) => Min Interval: 9, Max Interval: 39
LecturerCandidate(ID533) => Min Interval: 17, Max Interval: 44
LecturerCandidate(ID536) => Min Interval: 22, Max Interval: 50
LecturerCandidate(ID542) => Min Interval: 24, Max Interval: 37
LecturerCandidate(ID544) => Min Interval: 21, Max Interval: 33
LecturerCandidate(ID545) => Min Interval: 10, Max Interval: 47
LecturerCandidate(ID546) => Min Interval: 19, Max Interval: 50
LecturerCandidate(ID547) => Min Interval: 11, Max Interval: 48
LecturerCandidate(ID551) => Min Interval: 33, Max Interval: 39
LecturerCandidate(ID552) => Min Interval: 25, Max Interval: 35
LecturerCandidate(ID554) => Min Interval: 33, Max Interval: 47
LecturerCandidate(ID555) => Min Interval: 5, Max Interval: 47
LecturerCandidate(ID558) => Min Interval: 7, Max Interval: 46
LecturerCandidate(ID564) => Min Interval: 19, Max Interval: 49
LecturerCandidate(ID576) => Min Interval: 6, Max Interval: 51
LecturerCandidate(ID578) => Min Interval: 1, Max Interval: 46
LecturerCandidate(ID580) => Min Interval: 11, Max Interval: 47
LecturerCandidate(ID584) => Min Interval: 42, Max Interval: 44
LecturerCandidate(ID587) => Min Interval: 27, Max Interval: 47
LecturerCandidate(ID588) => Min Interval: 14, Max Interval: 37
LecturerCandidate(ID594) => Min Interval: 5, Max Interval: 29
LecturerCandidate(ID601) => Min Interval: 11, Max Interval: 15
LecturerCandidate(ID604) => Min Interval: 40, Max Interval: 43
LecturerCandidate(ID605) => Min Interval: 24, Max Interval: 47
LecturerCandidate(ID608) => Min Interval: 13, Max Interval: 48
LecturerCandidate(ID609) => Min Interval: 16, Max Interval: 50
LecturerCandidate(ID611) => Min Interval: 15, Max Interval: 25
LecturerCandidate(ID618) => Min Interval: 20, Max Interval: 27
LecturerCandidate(ID624) => Min Interval: 44, Max Interval: 47
LecturerCandidate(ID630) => Min Interval: 18, Max Interval: 41
LecturerCandidate(ID635) => Min Interval: 15, Max Interval: 50
LecturerCandidate(ID638) => Min Interval: 15, Max Interval: 45
LecturerCandidate(ID640) => Min Interval: 20, Max Interval: 29
LecturerCandidate(ID644) => Min Interval: 19, Max Interval: 48
LecturerCandidate(ID647) => Min Interval: 9, Max Interval: 37
LecturerCandidate(ID648) => Min Interval: 9, Max Interval: 22
LecturerCandidate(ID649) => Min Interval: 17, Max Interval: 36
LecturerCandidate(ID651) => Min Interval: 28, Max Interval: 38
LecturerCandidate(ID653) => Min Interval: 20, Max Interval: 47
LecturerCandidate(ID660) => Min Interval: 23, Max Interval: 40
LecturerCandidate(ID664) => Min Interval: 32, Max Interval: 44
LecturerCandidate(ID668) => Min Interval: 10, Max Interval: 49
LecturerCandidate(ID674) => Min Interval: 32, Max Interval: 48
LecturerCandidate(ID676) => Min Interval: 34, Max Interval: 49
LecturerCandidate(ID679) => Min Interval: 31, Max Interval: 40
LecturerCandidate(ID681) => Min Interval: 14, Max Interval: 29
LecturerCandidate(ID682) => Min Interval: 18, Max Interval: 44
LecturerCandidate(ID684) => Min Interval: 14, Max Interval: 41
LecturerCandidate(ID686) => Min Interval: 21, Max Interval: 42
LecturerCandidate(ID688) => Min Interval: 11, Max Interval: 30
LecturerCandidate(ID692) => Min Interval: 14, Max Interval: 30
LecturerCandidate(ID695) => Min Interval: 10, Max Interval: 48
LecturerCandidate(ID697) => Min Interval: 9, Max Interval: 48
LecturerCandidate(ID699) => Min Interval: 6, Max Interval: 44
LecturerCandidate(ID701) => Min Interval: 27, Max Interval: 47
LecturerCandidate(ID707) => Min Interval: 30, Max Interval: 49
LecturerCandidate(ID712) => Min Interval: 13, Max Interval: 36
LecturerCandidate(ID723) => Min Interval: 17, Max Interval: 47
LecturerCandidate(ID726) => Min Interval: 19, Max Interval: 43
LecturerCandidate(ID727) => Min Interval: 42, Max Interval: 42
LecturerCandidate(ID732) => Min Interval: 9, Max Interval: 46
LecturerCandidate(ID736) => Min Interval: 12, Max Interval: 22
LecturerCandidate(ID743) => Min Interval: 19, Max Interval: 44
LecturerCandidate(ID745) => Min Interval: 39, Max Interval: 49
LecturerCandidate(ID747) => Min Interval: 12, Max Interval: 49
LecturerCandidate(ID748) => Min Interval: 14, Max Interval: 43
LecturerCandidate(ID753) => Min Interval: 9, Max Interval: 32
LecturerCandidate(ID758) => Min Interval: 26, Max Interval: 29
LecturerCandidate(ID763) => Min Interval: 25, Max Interval: 50
LecturerCandidate(ID764) => Min Interval: 18, Max Interval: 49
LecturerCandidate(ID766) => Min Interval: 10, Max Interval: 47
LecturerCandidate(ID768) => Min Interval: 9, Max Interval: 20
LecturerCandidate(ID771) => Min Interval: 29, Max Interval: 43
LecturerCandidate(ID775) => Min Interval: 37, Max Interval: 46
LecturerCandidate(ID780) => Min Interval: 16, Max Interval: 28
LecturerCandidate(ID793) => Min Interval: 9, Max Interval: 48
LecturerCandidate(ID804) => Min Interval: 5, Max Interval: 51
LecturerCandidate(ID811) => Min Interval: 29, Max Interval: 34
LecturerCandidate(ID816) => Min Interval: 37, Max Interval: 46
LecturerCandidate(ID817) => Min Interval: 19, Max Interval: 30
LecturerCandidate(ID819) => Min Interval: 22, Max Interval: 50
LecturerCandidate(ID821) => Min Interval: 25, Max Interval: 48
LecturerCandidate(ID827) => Min Interval: 18, Max Interval: 39
LecturerCandidate(ID832) => Min Interval: 20, Max Interval: 39
LecturerCandidate(ID841) => Min Interval: 28, Max Interval: 31
LecturerCandidate(ID842) => Min Interval: 31, Max Interval: 49
LecturerCandidate(ID852) => Min Interval: 16, Max Interval: 49
LecturerCandidate(ID857) => Min Interval: 18, Max Interval: 18
LecturerCandidate(ID859) => Min Interval: 14, Max Interval: 27
LecturerCandidate(ID865) => Min Interval: 42, Max Interval: 45
LecturerCandidate(ID867) => Min Interval: 24, Max Interval: 37
LecturerCandidate(ID870) => Min Interval: 32, Max Interval: 48
LecturerCandidate(ID871) => Min Interval: 30, Max Interval: 47
LecturerCandidate(ID874) => Min Interval: 5, Max Interval: 21
LecturerCandidate(ID877) => Min Interval: 24, Max Interval: 37
LecturerCandidate(ID884) => Min Interval: 27, Max Interval: 50
LecturerCandidate(ID888) => Min Interval: 16, Max Interval: 41
LecturerCandidate(ID890) => Min Interval: 4, Max Interval: 32
LecturerCandidate(ID891) => Min Interval: 12, Max Interval: 37
LecturerCandidate(ID893) => Min Interval: 19, Max Interval: 35
LecturerCandidate(ID898) => Min Interval: 4, Max Interval: 48
LecturerCandidate(ID899) => Min Interval: 16, Max Interval: 17
LecturerCandidate(ID901) => Min Interval: 8, Max Interval: 39
LecturerCandidate(ID908) => Min Interval: 18, Max Interval: 46
LecturerCandidate(ID911) => Min Interval: 6, Max Interval: 47
LecturerCandidate(ID913) => Min Interval: 20, Max Interval: 35
LecturerCandidate(ID923) => Min Interval: 11, Max Interval: 18
LecturerCandidate(ID928) => Min Interval: 9, Max Interval: 34
LecturerCandidate(ID930) => Min Interval: 4, Max Interval: 52
LecturerCandidate(ID940) => Min Interval: 9, Max Interval: 51
LecturerCandidate(ID946) => Min Interval: 27, Max Interval: 41
LecturerCandidate(ID949) => Min Interval: 15, Max Interval: 33
LecturerCandidate(ID955) => Min Interval: 12, Max Interval: 37
LecturerCandidate(ID959) => Min Interval: 19, Max Interval: 50
LecturerCandidate(ID963) => Min Interval: 14, Max Interval: 50
LecturerCandidate(ID978) => Min Interval: 10, Max Interval: 18
LecturerCandidate(ID979) => Min Interval: 18, Max Interval: 50
LecturerCandidate(ID980) => Min Interval: 11, Max Interval: 41
LecturerCandidate(ID983) => Min Interval: 9, Max Interval: 14
LecturerCandidate(ID986) => Min Interval: 9, Max Interval: 49
LecturerCandidate(ID991) => Min Interval: 10, Max Interval: 25
LecturerCandidate(ID999) => Min Interval: 8, Max Interval: 52
LecturerCandidate(ID1002) => Min Interval: 11, Max Interval: 41
LecturerCandidate(ID1004) => Min Interval: 20, Max Interval: 40
LecturerCandidate(ID1007) => Min Interval: 10, Max Interval: 13
LecturerCandidate(ID1008) => Min Interval: 9, Max Interval: 29
LecturerCandidate(ID1013) => Min Interval: 13, Max Interval: 35
LecturerCandidate(ID1014) => Min Interval: 15, Max Interval: 40
LecturerCandidate(ID1024) => Min Interval: 17, Max Interval: 38
LecturerCandidate(ID1030) => Min Interval: 12, Max Interval: 48
LecturerCandidate(ID1038) => Min Interval: 8, Max Interval: 52
LecturerCandidate(ID1041) => Min Interval: 10, Max Interval: 49
LecturerCandidate(ID1044) => Min Interval: 17, Max Interval: 44
LecturerCandidate(ID1056) => Min Interval: 9, Max Interval: 33
LecturerCandidate(ID1062) => Min Interval: 5, Max Interval: 51
LecturerCandidate(ID1063) => Min Interval: 21, Max Interval: 41
LecturerCandidate(ID1070) => Min Interval: 9, Max Interval: 20
LecturerCandidate(ID1080) => Min Interval: 9, Max Interval: 29
LecturerCandidate(ID1082) => Min Interval: 20, Max Interval: 42
LecturerCandidate(ID1086) => Min Interval: 9, Max Interval: 51
LecturerCandidate(ID1088) => Min Interval: 22, Max Interval: 25
LecturerCandidate(ID1091) => Min Interval: 15, Max Interval: 29
LecturerCandidate(ID1093) => Min Interval: 6, Max Interval: 44
LecturerCandidate(ID1098) => Min Interval: 21, Max Interval: 37
LecturerCandidate(ID1104) => Min Interval: 18, Max Interval: 25
LecturerCandidate(ID1110) => Min Interval: 34, Max Interval: 36
LecturerCandidate(ID1111) => Min Interval: 11, Max Interval: 13
LecturerCandidate(ID1126) => Min Interval: 15, Max Interval: 26
LecturerCandidate(ID1137) => Min Interval: 13, Max Interval: 32
LecturerCandidate(ID1145) => Min Interval: 12, Max Interval: 48
LecturerCandidate(ID1150) => Min Interval: 14, Max Interval: 49
LecturerCandidate(ID1155) => Min Interval: 26, Max Interval: 41
LecturerCandidate(ID1187) => Min Interval: 17, Max Interval: 29
LecturerCandidate(ID1192) => Min Interval: 33, Max Interval: 36
LecturerCandidate(ID1211) => Min Interval: 21, Max Interval: 50
LecturerCandidate(ID1228) => Min Interval: 28, Max Interval: 48
LecturerCandidate(ID1233) => Min Interval: 27, Max Interval: 48
LecturerCandidate(ID1251) => Min Interval: 12, Max Interval: 44
LecturerCandidate(ID1281) => Min Interval: 18, Max Interval: 41
LecturerCandidate(ID1293) => Min Interval: 18, Max Interval: 39
LecturerCandidate(ID1306) => Min Interval: 25, Max Interval: 46
LecturerCandidate(ID1324) => Min Interval: 11, Max Interval: 47
LecturerCandidate(ID1351) => Min Interval: 16, Max Interval: 42
LecturerCandidate(ID1353) => Min Interval: 43, Max Interval: 50
LecturerCandidate(ID1363) => Min Interval: 10, Max Interval: 32
LecturerCandidate(ID1401) => Min Interval: 18, Max Interval: 18
LecturerCandidate(ID1633) => Min Interval: 23, Max Interval: 45
LecturerCandidate(ID1640) => Min Interval: 9, Max Interval: 29
LecturerCandidate(ID1655) => Min Interval: 13, Max Interval: 43
LecturerCandidate(ID1656) => Min Interval: 39, Max Interval: 47
LecturerCandidate(ID1680) => Min Interval: 9, Max Interval: 25
LecturerCandidate(ID1692) => Min Interval: 27, Max Interval: 47
LecturerCandidate(ID1696) => Min Interval: 10, Max Interval: 30
LecturerCandidate(ID1712) => Min Interval: 15, Max Interval: 50
LecturerCandidate(ID1716) => Min Interval: 33, Max Interval: 35
LecturerCandidate(ID1721) => Min Interval: 42, Max Interval: 49
LecturerCandidate(ID1748) => Min Interval: 12, Max Interval: 29
LecturerCandidate(ID1791) => Min Interval: 22, Max Interval: 48
LecturerCandidate(ID1798) => Min Interval: 12, Max Interval: 14
LecturerCandidate(ID1809) => Min Interval: 35, Max Interval: 35
LecturerCandidate(ID1812) => Min Interval: 12, Max Interval: 24
LecturerCandidate(ID1858) => Min Interval: 16, Max Interval: 42
LecturerCandidate(ID1891) => Min Interval: 4, Max Interval: 33
LecturerCandidate(ID1896) => Min Interval: 6, Max Interval: 46
LecturerCandidate(ID1911) => Min Interval: 6, Max Interval: 48
LecturerCandidate(ID1916) => Min Interval: 19, Max Interval: 47
LecturerCandidate(ID1924) => Min Interval: 5, Max Interval: 41
LecturerCandidate(ID1925) => Min Interval: 10, Max Interval: 42
LecturerCandidate(ID1968) => Min Interval: 22, Max Interval: 34
LecturerCandidate(ID1974) => Min Interval: 21, Max Interval: 47
LecturerCandidate(ID1980) => Min Interval: 9, Max Interval: 46
LecturerCandidate(ID1984) => Min Interval: 16, Max Interval: 48
LecturerCandidate(ID2007) => Min Interval: 10, Max Interval: 50
