i0,i1,i2,i3
23.0,89.0,20060.0,38219.0
59.0,95.0,11074.0,38206.0
8.0,49.0,10030.0,191179.0
40.0,11.0,9989.0,182148.0
92.0,42.0,11029.0,38150.0
5.0,32.0,29063.0,56171.0
61.0,12.0,11044.0,38142.0
0.0,90.0,20094.0,47198.0
18.0,98.0,65010.0,83149.0
97.0,1.0,20030.0,47129.0
92.0,88.0,11030.0,192214.0
7.0,4.0,11041.0,38147.0
25.0,0.0,11073.0,38165.0
40.0,11.0,9987.0,191105.0
40.0,66.0,29040.0,56153.0
7.0,59.0,38042.0,65137.0
64.0,4.0,29073.0,47186.0
94.0,49.0,20011.0,38179.0
64.0,84.0,20028.0,38178.0
7.0,52.0,29024.0,47131.0
59.0,17.0,29028.0,56139.0
71.0,62.0,29070.0,56179.0
61.0,74.0,20019.0,47130.0
64.0,15.0,38035.0,65142.0
59.0,22.0,47037.0,65130.0
65.0,7.0,11012.0,38151.0
61.0,38.0,29024.0,56129.0
62.0,20.0,11017.0,192190.0
95.0,97.0,10992.0,201156.0
61.0,27.0,20026.0,38144.0
51.0,95.0,20043.0,47143.0
18.0,84.0,38046.0,65135.0
97.0,95.0,9981.0,182192.0
17.0,53.0,11018.0,201208.0
18.0,0.0,29042.0,56139.0
62.0,93.0,11042.0,38160.0
1.0,44.0,11092.0,38189.0
57.0,91.0,20034.0,47139.0
40.0,66.0,38042.0,56159.0
87.0,97.0,20055.0,38190.0
51.0,40.0,29073.0,56179.0
45.0,41.0,20036.0,47114.0
73.0,42.0,20062.0,38199.0
97.0,41.0,20016.0,38148.0
5.0,93.0,10019.0,182184.0
12.0,23.0,11058.0,38167.0
64.0,52.0,29070.0,56169.0
83.0,81.0,20034.0,47131.0
47.0,90.0,11029.0,192200.0
64.0,59.0,11049.0,38166.0
40.0,24.0,11037.0,38157.0
56.0,61.0,11042.0,38154.0
64.0,79.0,20039.0,47130.0
13.0,72.0,11050.0,38152.0
51.0,81.0,20068.0,38209.0
56.0,61.0,20019.0,38175.0
18.0,20.0,20026.0,47141.0
77.0,25.0,11046.0,38172.0
64.0,4.0,20061.0,47166.0
65.0,51.0,29015.0,47135.0
64.0,59.0,20056.0,38189.0
71.0,19.0,11086.0,38204.0
7.0,18.0,11023.0,38155.0
81.0,90.0,29061.0,56156.0
8.0,26.0,11006.0,201139.0
0.0,28.0,10994.0,192203.0
83.0,32.0,11036.0,38133.0
7.0,18.0,20031.0,38170.0
65.0,11.0,38022.0,56133.0
73.0,63.0,20051.0,47157.0
59.0,74.0,20023.0,38173.0
94.0,22.0,20035.0,47149.0
43.0,38.0,20020.0,47113.0
7.0,65.0,29031.0,47171.0
83.0,32.0,20018.0,38140.0
56.0,7.0,11054.0,201216.0
7.0,4.0,20040.0,38141.0
41.0,98.0,11013.0,192200.0
51.0,38.0,29085.0,56143.0
7.0,30.0,29030.0,56132.0
51.0,8.0,29057.0,47194.0
65.0,51.0,20015.0,47147.0
71.0,7.0,20067.0,47178.0
40.0,72.0,38057.0,65144.0
77.0,25.0,20021.0,38173.0
75.0,11.0,19994.0,38173.0
5.0,77.0,11073.0,38199.0
61.0,24.0,29021.0,47136.0
3.0,68.0,11018.0,192201.0
81.0,16.0,20043.0,38195.0
7.0,95.0,29061.0,56152.0
7.0,37.0,29023.0,56157.0
77.0,51.0,20028.0,47152.0
83.0,61.0,10029.0,191151.0
7.0,36.0,11072.0,38170.0
42.0,55.0,20064.0,47164.0
67.0,5.0,9985.0,182154.0
15.0,22.0,10008.0,191180.0
18.0,98.0,56032.0,83156.0
64.0,99.0,47034.0,74132.0
40.0,19.0,29043.0,47138.0
59.0,90.0,29017.0,47138.0
81.0,16.0,11067.0,38204.0
64.0,84.0,11042.0,38157.0
48.0,98.0,20007.0,47129.0
49.0,27.0,11048.0,38174.0
20.0,62.0,9996.0,182197.0
10.0,92.0,20054.0,47140.0
42.0,50.0,20059.0,38211.0
87.0,6.0,20057.0,47158.0
3.0,68.0,11052.0,201203.0
77.0,94.0,11027.0,201194.0
48.0,24.0,11027.0,38141.0
28.0,46.0,11035.0,38150.0
5.0,38.0,29053.0,47205.0
23.0,72.0,20062.0,47183.0
18.0,30.0,20016.0,38180.0
61.0,24.0,20026.0,47125.0
71.0,41.0,56075.0,83176.0
48.0,78.0,11030.0,201205.0
5.0,77.0,20070.0,38212.0
96.0,49.0,10994.0,201147.0
64.0,48.0,11067.0,38194.0
56.0,28.0,20041.0,47139.0
5.0,50.0,38060.0,65190.0
18.0,22.0,92052.0,119139.0
7.0,59.0,47005.0,65165.0
64.0,47.0,20058.0,47165.0
59.0,74.0,11054.0,38150.0
68.0,85.0,10025.0,182219.0
45.0,41.0,29025.0,47150.0
64.0,99.0,56030.0,74145.0
59.0,22.0,38011.0,65146.0
5.0,67.0,11001.0,192160.0
97.0,41.0,11009.0,38127.0
44.0,24.0,11004.0,201193.0
7.0,1.0,11026.0,38164.0
18.0,85.0,65038.0,92160.0
18.0,0.0,38047.0,56172.0
18.0,58.0,74046.0,101141.0
57.0,54.0,11079.0,38191.0
45.0,60.0,11022.0,38144.0
61.0,12.0,20018.0,38165.0
64.0,15.0,47033.0,65160.0
18.0,50.0,47030.0,74147.0
51.0,8.0,20085.0,47169.0
75.0,36.0,20029.0,47096.0
7.0,86.0,47023.0,74137.0
45.0,40.0,38038.0,65123.0
81.0,52.0,29044.0,47173.0
38.0,31.0,11033.0,201201.0
73.0,42.0,11050.0,38217.0
7.0,75.0,20061.0,38203.0
