i0,i1,i2
49.0,10982.0,201159.0
85.0,10002.0,182243.0
38.0,29041.0,47207.0
6.0,20050.0,47174.0
51.0,29011.0,47141.0
50.0,38050.0,65205.0
7.0,20058.0,47187.0
38.0,20017.0,47123.0
92.0,20038.0,47149.0
55.0,20057.0,47162.0
53.0,20022.0,47136.0
52.0,20009.0,47156.0
5.0,9976.0,182182.0
92.0,11041.0,38211.0
24.0,10990.0,201189.0
30.0,29016.0,56146.0
90.0,11020.0,192209.0
65.0,20043.0,47164.0
24.0,20016.0,38194.0
48.0,20039.0,38216.0
18.0,20008.0,38189.0
77.0,20056.0,38209.0
91.0,20018.0,47147.0
44.0,10969.0,201193.0
86.0,11040.0,38193.0
50.0,11070.0,38197.0
60.0,19996.0,38145.0
51.0,20016.0,47147.0
22.0,92042.0,119140.0
22.0,37996.0,65153.0
59.0,20044.0,38192.0
99.0,56019.0,74151.0
61.0,20018.0,38180.0
59.0,11065.0,38217.0
66.0,11036.0,201226.0
89.0,20047.0,38229.0
58.0,74053.0,101161.0
93.0,10008.0,182201.0
90.0,20036.0,47160.0
54.0,38054.0,65168.0
12.0,11040.0,201193.0
25.0,11040.0,38183.0
8.0,29040.0,47224.0
81.0,11065.0,38186.0
95.0,20050.0,38183.0
94.0,11015.0,201197.0
77.0,11043.0,38206.0
62.0,38029.0,56178.0
11.0,38010.0,56144.0
72.0,20055.0,47199.0
55.0,20064.0,47188.0
88.0,11019.0,192225.0
84.0,38030.0,65162.0
84.0,47031.0,65151.0
27.0,11005.0,38146.0
8.0,11031.0,201191.0
57.0,11016.0,201209.0
25.0,20020.0,38203.0
11.0,19978.0,38177.0
34.0,11032.0,38167.0
95.0,9967.0,182197.0
99.0,47035.0,74131.0
71.0,47047.0,74176.0
36.0,11058.0,38188.0
40.0,29056.0,56201.0
20.0,11007.0,192198.0
32.0,11028.0,38141.0
54.0,11064.0,38198.0
8.0,20064.0,47187.0
7.0,56014.0,83144.0
42.0,20045.0,38214.0
20.0,29015.0,47149.0
50.0,20038.0,38226.0
30.0,20007.0,38192.0
22.0,10002.0,191176.0
47.0,20054.0,47180.0
32.0,19999.0,38161.0
53.0,29013.0,47154.0
38.0,29022.0,56131.0
50.0,56020.0,74140.0
0.0,38049.0,56183.0
21.0,29023.0,47167.0
41.0,56068.0,83187.0
83.0,11028.0,201188.0
40.0,38020.0,65129.0
37.0,29009.0,56154.0
24.0,11011.0,38160.0
4.0,20029.0,38161.0
92.0,10018.0,182246.0
60.0,11079.0,38208.0
51.0,20032.0,47156.0
7.0,29059.0,47195.0
4.0,29059.0,47192.0
41.0,20002.0,38153.0
22.0,47002.0,65128.0
79.0,29019.0,47169.0
99.0,11036.0,201205.0
38.0,20075.0,47190.0
0.0,11071.0,38176.0
54.0,9991.0,182195.0
46.0,29082.0,56173.0
32.0,38049.0,56171.0
50.0,47019.0,74157.0
24.0,29018.0,47148.0
22.0,20027.0,47164.0
17.0,11050.0,38189.0
27.0,11054.0,38183.0
95.0,11062.0,38214.0
31.0,11031.0,201211.0
81.0,20057.0,38223.0
52.0,20049.0,47167.0
58.0,83023.0,101156.0
17.0,29016.0,56144.0
1.0,20012.0,47135.0
53.0,11012.0,201220.0
59.0,38037.0,65142.0
52.0,29061.0,56178.0
67.0,10999.0,201143.0
61.0,11031.0,38163.0
29.0,11066.0,38169.0
24.0,20000.0,38144.0
41.0,20022.0,47129.0
48.0,11065.0,38190.0
71.0,83021.0,110137.0
85.0,65029.0,92153.0
26.0,10993.0,201142.0
16.0,11063.0,38209.0
8.0,29058.0,47190.0
71.0,92031.0,110143.0
71.0,56046.0,74205.0
60.0,20074.0,38213.0
16.0,20032.0,38200.0
8.0,20066.0,47187.0
98.0,11002.0,192199.0
90.0,20084.0,47201.0
1.0,19992.0,38173.0
20.0,11017.0,201206.0
84.0,11030.0,38160.0
18.0,11026.0,38152.0
49.0,19996.0,38201.0
47.0,10031.0,182212.0
75.0,20053.0,38208.0
74.0,20014.0,38178.0
19.0,29028.0,47151.0
7.0,11044.0,201226.0
26.0,9974.0,182185.0
81.0,10984.0,201174.0
41.0,29020.0,47162.0
27.0,20013.0,38150.0
32.0,29063.0,56178.0
62.0,9991.0,182201.0
15.0,38043.0,65151.0
65.0,29032.0,47170.0
33.0,11011.0,38144.0
84.0,20021.0,38179.0
66.0,38031.0,56184.0
12.0,11031.0,38155.0
66.0,11026.0,201171.0
10.0,29065.0,56164.0
7.0,20012.0,38161.0
37.0,38013.0,56138.0
23.0,11051.0,38195.0
31.0,56037.0,83145.0
59.0,11028.0,201234.0
98.0,56020.0,83166.0
54.0,11055.0,38203.0
86.0,47014.0,74150.0
68.0,11009.0,192199.0
52.0,29035.0,47189.0
