i0,i1,i2
38.0,11030.0,201214.0
59.0,20015.0,38177.0
73.0,20047.0,47177.0
43.0,20004.0,38174.0
8.0,10993.0,201144.0
77.0,11045.0,38185.0
94.0,11043.0,38172.0
7.0,29048.0,56150.0
18.0,92047.0,119143.0
77.0,20030.0,47155.0
64.0,29062.0,56176.0
59.0,20054.0,38194.0
97.0,9964.0,182208.0
94.0,20006.0,38198.0
61.0,20004.0,47136.0
18.0,38037.0,65148.0
7.0,11050.0,38194.0
49.0,11042.0,201186.0
49.0,11050.0,38195.0
64.0,47016.0,65166.0
84.0,11018.0,201199.0
18.0,92029.0,110148.0
83.0,20006.0,38167.0
1.0,20067.0,38226.0
0.0,10994.0,192225.0
65.0,29008.0,47148.0
2.0,11058.0,38198.0
94.0,20023.0,47160.0
47.0,11016.0,192212.0
59.0,29093.0,56184.0
51.0,20036.0,47152.0
48.0,11026.0,201199.0
45.0,29011.0,47165.0
71.0,47046.0,65173.0
61.0,11038.0,38149.0
1.0,10037.0,182213.0
40.0,20038.0,47171.0
0.0,20078.0,47198.0
59.0,29009.0,47158.0
7.0,47004.0,65176.0
7.0,11016.0,38181.0
48.0,19997.0,47126.0
18.0,47025.0,65155.0
42.0,11069.0,38181.0
37.0,11046.0,38217.0
75.0,20019.0,47112.0
7.0,56019.0,83131.0
71.0,38024.0,56178.0
45.0,38008.0,65133.0
10.0,20047.0,47146.0
7.0,20007.0,47155.0
65.0,20007.0,47149.0
25.0,11065.0,38182.0
7.0,11053.0,38200.0
45.0,20015.0,47123.0
20.0,9989.0,182211.0
40.0,38052.0,65161.0
65.0,11008.0,38156.0
56.0,11038.0,201225.0
7.0,20047.0,38213.0
73.0,20037.0,38217.0
71.0,20049.0,47186.0
95.0,10978.0,201172.0
61.0,29017.0,56132.0
71.0,20056.0,38214.0
90.0,10017.0,182201.0
5.0,29065.0,56179.0
42.0,20068.0,47161.0
97.0,20006.0,47140.0
71.0,11090.0,38205.0
62.0,11017.0,192198.0
45.0,11024.0,38148.0
71.0,29060.0,47200.0
60.0,9994.0,182193.0
71.0,47054.0,74164.0
45.0,29015.0,56137.0
18.0,38046.0,56180.0
81.0,29038.0,47180.0
43.0,11016.0,38149.0
40.0,20011.0,38191.0
66.0,9976.0,182192.0
7.0,29024.0,47162.0
59.0,11043.0,38147.0
51.0,29032.0,47220.0
59.0,47006.0,74128.0
59.0,20059.0,47177.0
40.0,29038.0,47140.0
44.0,11002.0,201192.0
45.0,37995.0,56141.0
64.0,29053.0,47193.0
56.0,20034.0,47147.0
48.0,11024.0,38155.0
59.0,11072.0,38210.0
18.0,56026.0,83159.0
51.0,20068.0,47183.0
81.0,11051.0,38210.0
4.0,11021.0,201196.0
37.0,10971.0,201199.0
